table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_level_4,_b_field_of_doctorate_b_hierarchy_depth,field_all_doctorate_recipients,field_doctorate_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
11699,r042,All fields -> Science and engineering -> Mathematics and statistics -> Mathematics,All fields,Science and engineering,Mathematics and statistics,Mathematics,4,890,578,477,254,114,90,19,101,0
11699,r043,All fields -> Science and engineering -> Mathematics and statistics -> Statistics,All fields,Science and engineering,Mathematics and statistics,Statistics,4,676,522,476,107,68,265,36,45,1
11699,r044,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,,3,1704,1201,1114,330,198,495,91,86,1
11699,r045,All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Interdisciplinary computer sciences,All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,Interdisciplinary computer sciences,4,583,438,413,91,67,229,26,24,1
11699,r046,"All fields -> Science and engineering -> Multidisciplinary/ interdisciplinary sciences -> Multidisciplinary/ interdisciplinary sciences, other",All fields,Science and engineering,Multidisciplinary/ interdisciplinary sciences,"Multidisciplinary/ interdisciplinary sciences, other",4,1121,763,701,239,131,266,65,62,0
11699,r047,All fields -> Science and engineering -> Physical sciences,All fields,Science and engineering,Physical sciences,,3,5443,3649,3345,1529,199,1449,168,304,0
11699,r048,All fields -> Science and engineering -> Physical sciences -> Astronomy and astrophysics,All fields,Science and engineering,Physical sciences,Astronomy and astrophysics,4,323,249,212,155,19,27,11,37,0
11699,r049,All fields -> Science and engineering -> Physical sciences -> Chemistry,All fields,Science and engineering,Physical sciences,Chemistry,4,2731,1807,1709,680,100,842,87,98,0
11699,r050,All fields -> Science and engineering -> Physical sciences -> Materials sciences,All fields,Science and engineering,Physical sciences,Materials sciences,4,389,261,247,83,10,138,16,14,0
11699,r051,All fields -> Science and engineering -> Physical sciences -> Physics,All fields,Science and engineering,Physical sciences,Physics,4,2000,1332,1177,611,70,442,54,155,0
11699,r052,All fields -> Science and engineering -> Psychology,All fields,Science and engineering,Psychology,,3,3793,2625,2563,1535,398,308,322,62,0
11699,r053,All fields -> Science and engineering -> Psychology -> Clinical psychology,All fields,Science and engineering,Psychology,Clinical psychology,4,1203,931,,793,42,,66,,0
11699,r054,All fields -> Science and engineering -> Psychology -> Counseling and applied psychology,All fields,Science and engineering,Psychology,Counseling and applied psychology,4,1293,918,892,438,165,133,156,26,0
11699,r055,All fields -> Science and engineering -> Psychology -> Research and experimental psychology,All fields,Science and engineering,Psychology,Research and experimental psychology,4,803,533,508,208,136,103,61,25,0
11699,r056,"All fields -> Science and engineering -> Psychology -> Psychology, other",All fields,Science and engineering,Psychology,"Psychology, other",4,494,243,,96,55,,39,,0
11699,r057,All fields -> Science and engineering -> Social sciences,All fields,Science and engineering,Social sciences,,3,4992,3506,2950,848,1076,477,549,553,3
11699,r058,All fields -> Science and engineering -> Social sciences -> Anthropology,All fields,Science and engineering,Social sciences,Anthropology,4,379,228,190,85,67,17,21,38,0
11699,r059,"All fields -> Science and engineering -> Social sciences -> Area, ethnic, cultural, gender, and group studies",All fields,Science and engineering,Social sciences,"Area, ethnic, cultural, gender, and group studies",4,452,275,246,88,121,7,30,29,0
11699,r060,All fields -> Science and engineering -> Social sciences -> Economics,All fields,Science and engineering,Social sciences,Economics,4,1393,1087,822,164,241,241,176,263,2
11699,r061,All fields -> Science and engineering -> Social sciences -> Political science and government,All fields,Science and engineering,Social sciences,Political science and government,4,665,467,408,148,157,49,54,59,0
11699,r062,All fields -> Science and engineering -> Social sciences -> Public policy analysis,All fields,Science and engineering,Social sciences,Public policy analysis,4,407,285,265,56,74,33,102,19,1
11699,r063,"All fields -> Science and engineering -> Social sciences -> Sociology, demography, and population studies",All fields,Science and engineering,Social sciences,"Sociology, demography, and population studies",4,627,470,422,133,190,40,59,48,0
11699,r064,"All fields -> Science and engineering -> Social sciences -> Social sciences, other",All fields,Science and engineering,Social sciences,"Social sciences, other",4,1069,694,597,174,226,90,107,97,0
11699,r065,All fields -> Non-science and engineering,All fields,Non-science and engineering,,,2,11889,7561,6889,1007,3598,657,1627,662,10
11699,r066,All fields -> Non-science and engineering -> Business,All fields,Non-science and engineering,Business,,3,1510,1115,938,86,644,136,72,175,2
11699,r067,All fields -> Non-science and engineering -> Business -> Business administration and management,All fields,Non-science and engineering,Business,Business administration and management,4,493,298,253,23,153,47,30,44,1
11699,r068,"All fields -> Non-science and engineering -> Business -> Business, other",All fields,Non-science and engineering,Business,"Business, other",4,1017,817,685,63,491,89,42,131,1
11699,r069,All fields -> Non-science and engineering -> Education,All fields,Non-science and engineering,Education,,3,3988,2663,2547,216,1191,212,928,114,2
11699,r070,All fields -> Non-science and engineering -> Education -> Education leadership and administration,All fields,Non-science and engineering,Education,Education leadership and administration,4,1179,862,837,44,399,42,352,25,0
11699,r071,All fields -> Non-science and engineering -> Education -> Education research,All fields,Non-science and engineering,Education,Education research,4,1253,792,754,65,336,113,240,37,1
11699,r072,All fields -> Non-science and engineering -> Education -> Teacher education and teaching fields,All fields,Non-science and engineering,Education,Teacher education and teaching fields,4,1098,733,688,75,332,41,240,45,0
11699,r073,"All fields -> Non-science and engineering -> Education -> Education, other",All fields,Non-science and engineering,Education,"Education, other",4,458,276,268,32,124,16,96,7,1
11699,r074,All fields -> Non-science and engineering -> Humanities,All fields,Non-science and engineering,Humanities,,3,3358,1967,1761,417,906,113,325,202,4
11699,r075,"All fields -> Non-science and engineering -> Humanities -> English language and literature, letters",All fields,Non-science and engineering,Humanities,"English language and literature, letters",4,1039,604,566,101,344,50,71,37,1
11699,r076,"All fields -> Non-science and engineering -> Humanities -> Foreign languages, literatures, and linguistics",All fields,Non-science and engineering,Humanities,"Foreign languages, literatures, and linguistics",4,571,318,280,59,165,15,41,37,1
11699,r077,All fields -> Non-science and engineering -> Humanities -> History,All fields,Non-science and engineering,Humanities,History,4,733,446,400,129,165,18,88,45,1
11699,r078,All fields -> Non-science and engineering -> Humanities -> Philosophy and religious studies,All fields,Non-science and engineering,Humanities,Philosophy and religious studies,4,619,382,324,109,146,15,54,57,1
11699,r079,"All fields -> Non-science and engineering -> Humanities -> Humanities, other",All fields,Non-science and engineering,Humanities,"Humanities, other",4,396,217,191,19,86,15,71,26,0
11699,r080,All fields -> Non-science and engineering -> Visual and performing arts,All fields,Non-science and engineering,Visual and performing arts,,3,824,434,388,62,229,39,58,46,0
11699,r081,All fields -> Non-science and engineering -> Visual and performing arts -> Performing arts,All fields,Non-science and engineering,Visual and performing arts,Performing arts,4,487,249,228,19,147,28,34,21,0
11699,r082,"All fields -> Non-science and engineering -> Visual and performing arts -> Visual arts, media studies, and design",All fields,Non-science and engineering,Visual and performing arts,"Visual arts, media studies, and design",4,337,185,160,43,82,11,24,25,0
11699,r083,All fields -> Non-science and engineering -> Other non-science and engineering,All fields,Non-science and engineering,Other non-science and engineering,,3,2209,1382,1255,226,628,157,244,125,2
11699,r084,All fields -> Non-science and engineering -> Other non-science and engineering -> Communications and journalism,All fields,Non-science and engineering,Other non-science and engineering,Communications and journalism,4,635,401,371,58,239,32,42,30,0
11699,r085,All fields -> Non-science and engineering -> Other non-science and engineering -> Multidisciplinary/ interdisciplinary studies,All fields,Non-science and engineering,Other non-science and engineering,Multidisciplinary/ interdisciplinary studies,4,380,228,209,31,106,28,44,19,0
11699,r086,All fields -> Non-science and engineering -> Other non-science and engineering -> Public administration and social services,All fields,Non-science and engineering,Other non-science and engineering,Public administration and social services,4,505,349,320,64,124,42,90,28,1
11699,r087,"All fields -> Non-science and engineering -> Other non-science and engineering -> Non-science and engineering, other",All fields,Non-science and engineering,Other non-science and engineering,"Non-science and engineering, other",4,689,404,355,73,159,55,68,48,1
