table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_female,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_female,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_female,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_female,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_female
10691,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",,4,6511,59.5,1137,64.0,5374,58.6,1599,48.1,590,48.3
10691,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,,4,3866,61.5,1058,65.5,2808,60.0,438,47.9,221,45.2
10691,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,,4,6057,72.9,3844,73.6,2213,71.6,377,61.0,122,64.8
10691,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,,4,3333,63.0,749,77.2,2584,58.9,1288,43.2,551,44.5
10691,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,,4,6492,62.7,2026,69.4,4466,59.7,1811,50.6,708,47.6
10691,r019,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,,4,1639,59.8,408,67.6,1231,57.2,549,39.2,210,39.0
10691,r020,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,,4,6448,60.7,515,66.0,5933,60.2,1932,45.4,800,48.1
10691,r021,All detailed fields -> Science -> Biological and biomedical sciences -> Nutrition science,All detailed fields,Science,Biological and biomedical sciences,Nutrition science,,4,3955,84.1,2905,86.3,1050,78.1,146,60.3,98,67.3
10691,r022,All detailed fields -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All detailed fields,Science,Biological and biomedical sciences,Pathology and experimental pathology,,4,1023,62.7,106,67.9,917,62.1,925,46.3,308,52.9
10691,r023,All detailed fields -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All detailed fields,Science,Biological and biomedical sciences,Pharmacology and toxicology,,4,3405,62.3,996,68.7,2409,59.7,915,47.2,387,46.8
10691,r024,All detailed fields -> Science -> Biological and biomedical sciences -> Physiology,All detailed fields,Science,Biological and biomedical sciences,Physiology,,4,5912,57.5,2891,58.7,3021,56.4,1512,48.6,714,50.7
10691,r025,All detailed fields -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All detailed fields,Science,Biological and biomedical sciences,Zoology and animal biology,,4,2059,57.8,861,61.2,1198,55.4,411,44.0,187,41.7
10691,r026,All detailed fields -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All detailed fields,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,,4,5453,65.4,2860,70.0,2593,60.3,830,47.1,402,46.3
10691,r027,All detailed fields -> Science -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,,,3,150555,32.5,129972,33.2,20583,27.9,859,27.2,507,28.0
10691,r028,"All detailed fields -> Science -> Computer and information sciences -> Artificial intelligence, informatics, and computer and information science topics ",All detailed fields,Science,Computer and information sciences,"Artificial intelligence, informatics, and computer and information science topics ",,4,6142,36.7,5379,36.4,763,38.3,46,32.6,40,32.5
10691,r029,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,Computer and information sciences,,4,46151,29.4,39719,30.3,6432,24.3,166,25.9,134,26.9
10691,r030,All detailed fields -> Science -> Computer and information sciences -> Computer and information systems security ,All detailed fields,Science,Computer and information sciences,Computer and information systems security ,,4,9695,27.2,9254,27.4,441,23.8,11,36.4,18,11.1
10691,r031,All detailed fields -> Science -> Computer and information sciences -> Computer science,All detailed fields,Science,Computer and information sciences,Computer science,,4,52924,28.7,42092,29.5,10832,25.6,496,24.2,192,29.7
10691,r032,All detailed fields -> Science -> Computer and information sciences -> Information science and studies,All detailed fields,Science,Computer and information sciences,Information science and studies,,4,16872,46.7,15478,46.2,1394,51.5,65,52.3,30,36.7
10691,r033,All detailed fields -> Science -> Computer and information sciences -> Information technology,All detailed fields,Science,Computer and information sciences,Information technology,,4,11151,40.6,10601,40.5,550,42.7,3,66.7,11,27.3
10691,r034,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences nec ,All detailed fields,Science,Computer and information sciences,Computer and information sciences nec ,,4,7620,36.7,7449,36.7,171,34.5,72,22.2,82,24.4
10691,r035,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,,3,11970,51.9,5186,53.0,6784,50.9,1787,42.2,2448,33.5
10691,r036,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,,4,1434,41.7,489,42.1,945,41.5,253,37.9,515,27.8
10691,r037,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,,4,7468,48.9,3183,48.0,4285,49.6,844,40.4,1127,34.3
10691,r038,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,,4,3068,63.8,1514,67.2,1554,60.4,414,47.1,385,43.4
10691,r039,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",,4,ne,ne,ne,ne,ne,ne,276,44.6,421,29.0
10691,r040,All detailed fields -> Science -> Mathematics and statistics,All detailed fields,Science,Mathematics and statistics,,,3,34387,36.3,20798,40.4,13589,29.9,1110,24.5,251,29.5
10691,r041,All detailed fields -> Science -> Mathematics and statistics -> Applied mathematics,All detailed fields,Science,Mathematics and statistics,Applied mathematics,,4,11224,37.6,9097,38.4,2127,34.2,221,23.1,73,26.0
10691,r042,All detailed fields -> Science -> Mathematics and statistics -> Mathematics,All detailed fields,Science,Mathematics and statistics,Mathematics,,4,12022,31.4,3905,41.0,8117,26.8,689,25.4,125,28.0
10691,r043,All detailed fields -> Science -> Mathematics and statistics -> Statistics,All detailed fields,Science,Mathematics and statistics,Statistics,,4,11141,40.1,7796,42.5,3345,34.7,200,23.0,53,37.7
10691,r044,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,,,3,20945,50.7,16931,49.8,4014,54.4,840,45.7,931,43.0
10691,r045,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> Biological and physical sciences,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,Biological and physical sciences,,4,1855,55.6,899,58.1,956,53.3,56,53.6,43,25.6
10691,r046,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> Computational science,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,Computational science,,4,3424,36.3,3089,37.2,335,28.1,31,25.8,62,30.6
10691,r047,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> Data science and data analytics,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,Data science and data analytics,,4,6104,36.8,6000,36.9,104,34.6,48,31.3,32,31.3
10691,r048,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> International and global studies,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,International and global studies,,4,1258,62.6,1083,63.3,175,58.9,27,55.6,17,64.7
10691,r049,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> Multidisciplinary and interdisciplinary sciences nec,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,Multidisciplinary and interdisciplinary sciences nec,,4,8304,63.9,5860,66.0,2444,58.9,678,46.6,777,44.9
10691,r050,All detailed fields -> Science -> Natural resources and conservation,All detailed fields,Science,Natural resources and conservation,,,3,13762,60.2,9807,61.4,3955,57.3,936,46.0,605,39.0
10691,r051,All detailed fields -> Science -> Natural resources and conservation -> Environmental science and studies,All detailed fields,Science,Natural resources and conservation,Environmental science and studies,,4,6402,62.8,4422,64.0,1980,60.0,339,49.3,201,45.8
10691,r052,"All detailed fields -> Science -> Natural resources and conservation -> Forestry, natural resources, and conservation",All detailed fields,Science,Natural resources and conservation,"Forestry, natural resources, and conservation",,4,7360,58.0,5385,59.2,1975,54.6,597,44.2,404,35.6
10691,r053,All detailed fields -> Science -> Physical sciences,All detailed fields,Science,Physical sciences,,,3,44092,36.8,6256,39.6,37836,36.4,6877,25.8,2894,23.2
10691,r054,All detailed fields -> Science -> Physical sciences -> Astronomy and astrophysics,All detailed fields,Science,Physical sciences,Astronomy and astrophysics,,4,1703,46.0,100,43.0,1603,46.2,634,33.3,573,23.4
10691,r055,All detailed fields -> Science -> Physical sciences -> Chemistry,All detailed fields,Science,Physical sciences,Chemistry,,4,22710,45.0,3015,49.9,19695,44.3,3157,27.8,876,29.3
10691,r056,All detailed fields -> Science -> Physical sciences -> Materials sciences,All detailed fields,Science,Physical sciences,Materials sciences,,4,1625,33.7,402,30.6,1223,34.8,246,24.4,77,24.7
10691,r057,All detailed fields -> Science -> Physical sciences -> Physics,All detailed fields,Science,Physical sciences,Physics,,4,17000,24.6,2253,23.5,14747,24.7,2618,21.4,1162,18.2
10691,r058,All detailed fields -> Science -> Physical sciences -> Physical sciences nec,All detailed fields,Science,Physical sciences,Physical sciences nec,,4,1054,47.8,486,57.6,568,39.4,222,28.8,206,23.8
10691,r059,All detailed fields -> Science -> Psychology,All detailed fields,Science,Psychology,,,3,69442,80.3,48321,82.3,21121,75.8,1308,65.6,786,66.8
10691,r060,All detailed fields -> Science -> Psychology -> Applied psychology,All detailed fields,Science,Psychology,Applied psychology,,4,25195,81.8,20091,82.9,5104,77.2,109,79.8,70,77.1
10691,r061,All detailed fields -> Science -> Psychology -> Clinical psychology,All detailed fields,Science,Psychology,Clinical psychology,,4,7793,80.7,4519,81.5,3274,79.6,56,87.5,9,88.9
10691,r062,All detailed fields -> Science -> Psychology -> Clinical psychology -> Counseling psychology,All detailed fields,Science,Psychology,Clinical psychology,Counseling psychology,5,13800,82.6,12400,83.3,1400,76.7,14,100.0,11,90.9
10691,r063,All detailed fields -> Science -> Psychology -> Human development,All detailed fields,Science,Psychology,Human development,,4,2293,88.7,1525,91.4,768,83.3,119,79.0,148,71.6
10691,r064,"All detailed fields -> Science -> Psychology -> Psychology, general",All detailed fields,Science,Psychology,"Psychology, general",,4,13181,76.0,7346,77.3,5835,74.4,735,60.8,417,62.1
10691,r065,All detailed fields -> Science -> Psychology -> Research and experimental psychology,All detailed fields,Science,Psychology,Research and experimental psychology,,4,7180,75.6,2440,82.5,4740,72.1,275,60.7,131,67.2
10691,r066,All detailed fields -> Science -> Social sciences,All detailed fields,Science,Social sciences,,,3,78717,55.1,44701,56.8,34016,52.8,1666,51.6,1726,54.2
10691,r067,All detailed fields -> Science -> Social sciences -> Agricultural and natural resource economics,All detailed fields,Science,Social sciences,Agricultural and natural resource economics,,4,901,45.6,485,45.4,416,45.9,53,30.2,31,29.0
10691,r068,All detailed fields -> Science -> Social sciences -> Anthropology,All detailed fields,Science,Social sciences,Anthropology,,4,6220,67.7,2173,69.9,4047,66.5,150,54.7,74,63.5
10691,r069,"All detailed fields -> Science -> Social sciences -> Area, ethnic, cultural, gender, and group studies",All detailed fields,Science,Social sciences,"Area, ethnic, cultural, gender, and group studies",,4,4979,66.2,2634,67.1,2345,65.1,235,59.1,96,62.5
10691,r070,All detailed fields -> Science -> Social sciences -> Criminal justice and safety studies,All detailed fields,Science,Social sciences,Criminal justice and safety studies,,4,6613,62.9,5223,65.0,1390,54.9,15,73.3,21,57.1
10691,r071,All detailed fields -> Science -> Social sciences -> Criminology,All detailed fields,Science,Social sciences,Criminology,,4,1502,70.5,1180,70.3,322,71.4,8,62.5,15,73.3
10691,r072,All detailed fields -> Science -> Social sciences -> Economics (except agricultural and natural resource),All detailed fields,Science,Social sciences,Economics (except agricultural and natural resource),,4,14935,39.7,6734,42.9,8201,37.1,152,38.2,152,46.1
10691,r073,All detailed fields -> Science -> Social sciences -> Geography and cartography,All detailed fields,Science,Social sciences,Geography and cartography,,4,4354,49.4,2807,46.9,1547,53.8,131,51.9,100,38.0
10691,r074,All detailed fields -> Science -> Social sciences -> International relations and national security studies,All detailed fields,Science,Social sciences,International relations and national security studies,,4,8164,49.8,7833,49.9,331,47.4,98,54.1,92,34.8
10691,r075,All detailed fields -> Science -> Social sciences -> Linguistics,All detailed fields,Science,Social sciences,Linguistics,,4,2854,61.5,1159,65.3,1695,58.8,58,44.8,55,47.3
10691,r076,All detailed fields -> Science -> Social sciences -> Political science and government,All detailed fields,Science,Social sciences,Political science and government,,4,8235,46.3,2925,46.7,5310,46.1,162,46.3,87,41.4
10691,r077,All detailed fields -> Science -> Social sciences -> Public policy analysis,All detailed fields,Science,Social sciences,Public policy analysis,,4,9391,58.2,6701,60.5,2690,52.5,241,58.9,468,58.8
10691,r078,All detailed fields -> Science -> Social sciences -> Sociology and population studies,All detailed fields,Science,Social sciences,Sociology and population studies,,4,6845,67.9,2190,72.9,4655,65.5,166,59.0,168,58.3
10691,r079,All detailed fields -> Science -> Social sciences -> Urban studies and affairs ,All detailed fields,Science,Social sciences,Urban studies and affairs ,,4,1069,62.4,671,64.5,398,58.8,18,50.0,37,62.2
10691,r080,"All detailed fields -> Science -> Social sciences -> Social sciences, other",All detailed fields,Science,Social sciences,"Social sciences, other",,4,2655,64.8,1986,67.2,669,57.7,179,43.0,330,60.0
10691,r081,All detailed fields -> Engineering,All detailed fields,Engineering,,,,2,176000,27.9,103020,27.0,72980,29.1,8335,27.5,4355,23.7
10691,r082,"All detailed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All detailed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,8095,19.3,5263,19.2,2832,19.4,244,16.4,153,19.6
10691,r083,"All detailed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All detailed fields,Engineering,"Biological, biomedical, and biosystems engineering",,,3,14442,48.0,5177,50.9,9265,46.4,1540,38.5,685,38.4
10691,r084,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",,,3,10601,34.1,3011,33.4,7590,34.4,1239,28.8,313,27.2
10691,r085,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Chemical engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Chemical engineering,,4,9668,35.4,2599,35.6,7069,35.3,1215,29.0,265,30.9
10691,r086,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Petroleum engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Petroleum engineering,,4,933,20.5,412,19.4,521,21.3,24,20.8,48,6.3
10691,r087,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",,,3,20375,34.4,12621,34.3,7754,34.7,1018,31.0,569,23.9
10691,r088,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Civil engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",Civil engineering,,4,16321,32.5,9692,32.5,6629,32.5,929,30.5,497,23.1
10691,r089,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Architectural, environmental, construction and surveying engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields","Architectural, environmental, construction and surveying engineering",,4,4054,42.2,2929,40.2,1125,47.6,89,37.1,72,29.2
10691,r090,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",,,3,49901,23.5,32316,25.0,17585,20.8,1217,20.4,734,14.9
10691,r091,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Electrical, electronics, and communications engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering","Electrical, electronics, and communications engineering",,4,34537,21.4,19757,22.0,14780,20.7,1129,20.5,673,14.1
10691,r092,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",Computer engineering,,4,15364,28.2,12559,29.7,2805,21.7,88,19.3,61,23.0
10691,r093,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",,,3,16435,28.3,12579,27.0,3856,32.8,143,23.1,197,23.9
10691,r094,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research -> Industrial and manufacturing engineering",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",Industrial and manufacturing engineering,,4,8650,26.8,6349,24.0,2301,34.7,72,22.2,74,24.3
10691,r095,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research -> Systems engineering and operations research",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",Systems engineering and operations research,,4,7785,30.0,6230,30.0,1555,29.9,71,23.9,123,23.6
10691,r096,All detailed fields -> Engineering -> Mechanical engineering,All detailed fields,Engineering,Mechanical engineering,,,3,27552,18.5,16029,16.9,11523,20.8,1189,19.4,527,16.7
10691,r097,"All detailed fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All detailed fields,Engineering,"Metallurgical, mining, materials and related engineering fields",,,3,7118,31.7,2545,32.3,4573,31.4,542,22.1,280,20.4
10691,r098,All detailed fields -> Engineering -> Other engineering,All detailed fields,Engineering,Other engineering,,,3,21481,28.8,13479,28.8,8002,28.8,1203,29.1,897,24.3
10691,r099,All detailed fields -> Engineering -> Other engineering -> Agricultural engineering,All detailed fields,Engineering,Other engineering,Agricultural engineering,,4,1020,39.2,389,42.4,631,37.2,136,35.3,48,33.3
10691,r100,"All detailed fields -> Engineering -> Other engineering -> Engineering mechanics, physics, and science",All detailed fields,Engineering,Other engineering,"Engineering mechanics, physics, and science",,4,2350,28.6,762,29.5,1588,28.1,265,25.3,199,18.1
10691,r101,All detailed fields -> Engineering -> Other engineering -> Nuclear engineering,All detailed fields,Engineering,Other engineering,Nuclear engineering,,4,1578,20.2,493,18.1,1085,21.2,82,23.2,41,24.4
10691,r102,"All detailed fields -> Engineering -> Other engineering -> Engineering, other",All detailed fields,Engineering,Other engineering,"Engineering, other",,4,16533,29.0,11835,28.8,4698,29.6,720,30.0,609,25.6
10691,r103,All detailed fields -> Health,All detailed fields,Health,,,,2,84368,77.2,66308,79.1,18060,70.0,17742,50.6,8501,53.5
10691,r104,All detailed fields -> Health -> Clinical medicine,All detailed fields,Health,Clinical medicine,,,3,39217,76.5,33251,77.4,5966,71.6,15630,50.4,7351,52.9
10691,r105,All detailed fields -> Health -> Clinical medicine -> Medical clinical sciences and clinical and medical laboratory sciences ,All detailed fields,Health,Clinical medicine,Medical clinical sciences and clinical and medical laboratory sciences ,,4,2122,63.7,1168,63.4,954,64.2,450,53.3,128,54.7
10691,r106,All detailed fields -> Health -> Clinical medicine -> Public health,All detailed fields,Health,Clinical medicine,Public health,,4,37095,77.2,32083,77.9,5012,73.0,796,63.6,742,66.4
10691,r107,All detailed fields -> Health -> Clinical medicine -> Anesthesiology,All detailed fields,Health,Clinical medicine,Anesthesiology,,4,ne,ne,ne,ne,ne,ne,313,47.0,129,44.2
10691,r108,All detailed fields -> Health -> Clinical medicine -> Cardiology and cardiovascular disease,All detailed fields,Health,Clinical medicine,Cardiology and cardiovascular disease,,4,ne,ne,ne,ne,ne,ne,672,42.4,227,45.4
10691,r109,"All detailed fields -> Health -> Clinical medicine -> Endocrinology, diabetes, and metabolism",All detailed fields,Health,Clinical medicine,"Endocrinology, diabetes, and metabolism",,4,ne,ne,ne,ne,ne,ne,355,51.8,109,56.9
10691,r110,All detailed fields -> Health -> Clinical medicine -> Gastroenterology,All detailed fields,Health,Clinical medicine,Gastroenterology,,4,ne,ne,ne,ne,ne,ne,310,49.7,105,44.8
10691,r111,All detailed fields -> Health -> Clinical medicine -> Hematology,All detailed fields,Health,Clinical medicine,Hematology,,4,ne,ne,ne,ne,ne,ne,379,44.3,199,51.3
10691,r112,All detailed fields -> Health -> Clinical medicine -> Neurology and neurosurgery,All detailed fields,Health,Clinical medicine,Neurology and neurosurgery,,4,ne,ne,ne,ne,ne,ne,1618,51.0,580,48.6
10691,r113,All detailed fields -> Health -> Clinical medicine -> Obstetrics and gynecology,All detailed fields,Health,Clinical medicine,Obstetrics and gynecology,,4,ne,ne,ne,ne,ne,ne,218,64.2,107,74.8
10691,r114,All detailed fields -> Health -> Clinical medicine -> Oncology and cancer research,All detailed fields,Health,Clinical medicine,Oncology and cancer research,,4,ne,ne,ne,ne,ne,ne,1391,50.3,648,57.9
10691,r115,All detailed fields -> Health -> Clinical medicine -> Ophthalmology,All detailed fields,Health,Clinical medicine,Ophthalmology,,4,ne,ne,ne,ne,ne,ne,476,47.7,303,46.9
10691,r116,All detailed fields -> Health -> Clinical medicine -> Otorhinolaryngology,All detailed fields,Health,Clinical medicine,Otorhinolaryngology,,4,ne,ne,ne,ne,ne,ne,267,47.2,119,55.5
10691,r117,All detailed fields -> Health -> Clinical medicine -> Pediatrics,All detailed fields,Health,Clinical medicine,Pediatrics,,4,ne,ne,ne,ne,ne,ne,1125,59.0,742,55.1
10691,r118,All detailed fields -> Health -> Clinical medicine -> Psychiatry,All detailed fields,Health,Clinical medicine,Psychiatry,,4,ne,ne,ne,ne,ne,ne,951,63.3,351,61.0
10691,r119,All detailed fields -> Health -> Clinical medicine -> Pulmonary disease,All detailed fields,Health,Clinical medicine,Pulmonary disease,,4,ne,ne,ne,ne,ne,ne,238,47.1,116,56.9
10691,r120,All detailed fields -> Health -> Clinical medicine -> Radiological sciences,All detailed fields,Health,Clinical medicine,Radiological sciences,,4,ne,ne,ne,ne,ne,ne,1218,40.0,444,34.2
10691,r121,All detailed fields -> Health -> Clinical medicine -> Surgery,All detailed fields,Health,Clinical medicine,Surgery,,4,ne,ne,ne,ne,ne,ne,1213,42.9,572,45.1
10691,r122,All detailed fields -> Health -> Clinical medicine -> Clinical medicine nec,All detailed fields,Health,Clinical medicine,Clinical medicine nec,,4,ne,ne,ne,ne,ne,ne,3640,49.2,1730,52.5
10691,r123,All detailed fields -> Health -> Other health,All detailed fields,Health,Other health,,,3,45151,77.8,33057,80.9,12094,69.3,2112,52.6,1150,57.9
10691,r124,All detailed fields -> Health -> Other health -> Communication disorders sciences,All detailed fields,Health,Other health,Communication disorders sciences,,4,18589,95.0,17768,95.6,821,81.6,72,66.7,86,68.6
10691,r125,All detailed fields -> Health -> Other health -> Dental sciences ,All detailed fields,Health,Other health,Dental sciences ,,4,1773,54.1,1545,53.5,228,57.9,311,52.7,140,52.1
10691,r126,All detailed fields -> Health -> Other health -> Kinesiology and exercise science,All detailed fields,Health,Other health,Kinesiology and exercise science,,4,5724,50.9,4743,51.2,981,49.4,71,52.1,49,51.0
10691,r127,All detailed fields -> Health -> Other health -> Nursing science,All detailed fields,Health,Other health,Nursing science,,4,5192,85.9,1535,86.5,3657,85.6,141,85.1,166,85.5
10691,r128,All detailed fields -> Health -> Other health -> Pharmaceutical sciences,All detailed fields,Health,Other health,Pharmaceutical sciences,,4,5201,60.7,2142,66.9,3059,56.4,1107,46.3,379,45.4
10691,r129,All detailed fields -> Health -> Other health -> Other health nec,All detailed fields,Health,Other health,Other health nec,,4,8672,68.9,5324,70.2,3348,66.8,410,55.6,330,59.1
