table_id,row_id,debt_level_full_path,debt_level_level_1,debt_level_level_2,debt_level_level_3,debt_level_level_4,debt_level_hierarchy_depth,field_total,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
971,r025,"Cumulative debt -> Graduate debt -> $50,001&#8211;$60,000",Cumulative debt,Graduate debt,"$50,001&#8211;$60,000",,3,"['955', '1.9']","['174', '1.5']","['44', '0.8']","['35', '1.0']","['235', '2.9']","['75', '0.8']","['172', '4.0']","['127', '2.7']","['93', '3.5']"
971,r026,"Cumulative debt -> Graduate debt -> $60,001&#8211;$70,000",Cumulative debt,Graduate debt,"$60,001&#8211;$70,000",,3,"['827', '1.7']","['154', '1.3']","['41', '0.7']","['18', '0.5']","['211', '2.6']","['62', '0.7']","['149', '3.5']","['117', '2.5']","['75', '2.8']"
971,r027,"Cumulative debt -> Graduate debt -> $70,001&#8211;$80,000",Cumulative debt,Graduate debt,"$70,001&#8211;$80,000",,3,"['705', '1.4']","['133', '1.1']","['24', '0.4']","['23', '0.7']","['176', '2.2']","['51', '0.6']","['125', '2.9']","['112', '2.4']","['61', '2.3']"
971,r028,"Cumulative debt -> Graduate debt -> $80,001&#8211;$90,000",Cumulative debt,Graduate debt,"$80,001&#8211;$90,000",,3,"['930', '1.9']","['170', '1.5']","['28', '0.5']","['30', '0.9']","['227', '2.8']","['65', '0.7']","['185', '4.3']","['141', '3.0']","['84', '3.2']"
971,r029,"Cumulative debt -> Graduate debt -> $90,001 or more",Cumulative debt,Graduate debt,"$90,001 or more",,3,"['3,200', '6.5']","['539', '4.6']","['83', '1.5']","['70', '2.0']","['1,040', '13.0']","['150', '1.7']","['598', '13.9']","['427', '9.0']","['293', '11.0']"
971,r030,Cumulative debt -> Graduate debt -> Total,Cumulative debt,Graduate debt,Total,,3,"['49,308', '100.0']","['11,629', '100.0']","['5,630', '100.0']","['3,468', '100.0']","['7,991', '100.0']","['8,913', '100.0']","['4,296', '100.0']","['4,729', '100.0']","['2,652', '100.0']"
971,r031,Cumulative debt -> Undergraduate debt,Cumulative debt,Undergraduate debt,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
971,r032,Cumulative debt -> Undergraduate debt -> Mean,Cumulative debt,Undergraduate debt,Mean,,3,"['$8,430', '']","['$9,069', '']","['$8,344', '']","['$4,185', '']","['$10,783', '']","['$5,052', '']","['$11,492', '']","['$9,727', '']","['$8,338', '']"
971,r033,Cumulative debt -> Undergraduate debt -> ,Cumulative debt,Undergraduate debt,,,3,"['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']","['<u>Number</u>', '<u>Percent</u>']"
971,r034,Cumulative debt -> Undergraduate debt -> No debt,Cumulative debt,Undergraduate debt,No debt,,3,"['35,151', '71.0']","['7,988', '68.5']","['3,955', '70.1']","['2,919', '83.6']","['5,225', '65.2']","['7,249', '81.1']","['2,783', '64.4']","['3,067', '64.6']","['1,965', '73.6']"
971,r035,"Cumulative debt -> Undergraduate debt -> $10,000 or less",Cumulative debt,Undergraduate debt,"$10,000 or less",,3,"['3,467', '7.0']","['885', '7.6']","['393', '7.0']","['164', '4.7']","['610', '7.6']","['487', '5.5']","['363', '8.4']","['403', '8.5']","['162', '6.1']"
971,r036,"Cumulative debt -> Undergraduate debt -> $10,001&#8211;$20,000",Cumulative debt,Undergraduate debt,"$10,001&#8211;$20,000",,3,"['3,221', '6.5']","['848', '7.3']","['381', '6.8']","['140', '4.0']","['626', '7.8']","['355', '4.0']","['294', '6.8']","['437', '9.2']","['140', '5.2']"
971,r037,"Cumulative debt -> Undergraduate debt -> $20,001&#8211;$30,000",Cumulative debt,Undergraduate debt,"$20,001&#8211;$30,000",,3,"['2,583', '5.2']","['651', '5.6']","['340', '6.0']","['105', '3.0']","['491', '6.1']","['302', '3.4']","['256', '5.9']","['315', '6.6']","['123', '4.6']"
971,r038,"Cumulative debt -> Undergraduate debt -> $30,001&#8211;$40,000",Cumulative debt,Undergraduate debt,"$30,001&#8211;$40,000",,3,"['1,553', '3.1']","['408', '3.5']","['188', '3.3']","['54', '1.5']","['313', '3.9']","['163', '1.8']","['168', '3.9']","['175', '3.7']","['84', '3.1']"
971,r039,"Cumulative debt -> Undergraduate debt -> $40,001&#8211;$50,000",Cumulative debt,Undergraduate debt,"$40,001&#8211;$50,000",,3,"['984', '2.0']","['256', '2.2']","['123', '2.2']","['35', '1.0']","['192', '2.4']","['119', '1.3']","['115', '2.7']","['93', '2.0']","['51', '1.9']"
971,r040,"Cumulative debt -> Undergraduate debt -> $50,001&#8211;$60,000",Cumulative debt,Undergraduate debt,"$50,001&#8211;$60,000",,3,"['720', '1.5']","['187', '1.6']","['89', '1.6']","['17', '0.5']","['154', '1.9']","['80', '0.9']","['84', '1.9']","['67', '1.4']","['42', '1.6']"
971,r041,"Cumulative debt -> Undergraduate debt -> $60,001&#8211;$70,000",Cumulative debt,Undergraduate debt,"$60,001&#8211;$70,000",,3,"['470', '0.9']","['115', '1.0']","['53', '0.9']","['15', '0.4']","['99', '1.2']","['49', '0.5']","['69', '1.6']","['49', '1.0']","['21', '0.8']"
971,r042,"Cumulative debt -> Undergraduate debt -> $70,001&#8211;$80,000",Cumulative debt,Undergraduate debt,"$70,001&#8211;$80,000",,3,"['298', '0.6']","['68', '0.6']","['40', '0.7']","['8', '0.2']","['66', '0.8']","['39', '0.4']","['43', '1.0']","['22', '0.5']","['12', '0.4']"
971,r043,"Cumulative debt -> Undergraduate debt -> $80,001&#8211;$90,000",Cumulative debt,Undergraduate debt,"$80,001&#8211;$90,000",,3,"['334', '0.7']","['89', '0.8']","['33', '0.6']","['14', '0.4']","['70', '0.9']","['30', '0.3']","['39', '0.9']","['32', '0.7']","['27', '1.0']"
971,r044,"Cumulative debt -> Undergraduate debt -> $90,001 or more",Cumulative debt,Undergraduate debt,"$90,001 or more",,3,"['710', '1.4']","['170', '1.5']","['49', '0.9']","['20', '0.6']","['172', '2.1']","['60', '0.7']","['109', '2.5']","['86', '1.8']","['44', '1.6']"
971,r045,Cumulative debt -> Undergraduate debt -> Total,Cumulative debt,Undergraduate debt,Total,,3,"['49,491', '100.0']","['11,665', '100.0']","['5,644', '100.0']","['3,491', '100.0']","['8,018', '100.0']","['8,933', '100.0']","['4,323', '100.0']","['4,746', '100.0']","['2,671', '100.0']"
