table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2020_actual,field_2021_preliminary,field_2022_proposed,field_2020_21_change_,field_2021_22_change_
5535,r015,"R&D and R&D plant -> Department of Energy, atomic energy defense activities (053) -> Defense environmental cleanup",R&D and R&D plant,"Department of Energy, atomic energy defense activities (053)",Defense environmental cleanup,,,,3,30,35,28,16.7,-20.0
5535,r016,"R&D and R&D plant -> Department of Energy, atomic energy defense activities (053) -> Naval reactors development",R&D and R&D plant,"Department of Energy, atomic energy defense activities (053)",Naval reactors development,,,,3,1365,1471,1643,7.8,11.7
5535,r017,"R&D and R&D plant -> Department of Energy, atomic energy defense activities (053) -> Nonproliferation",R&D and R&D plant,"Department of Energy, atomic energy defense activities (053)",Nonproliferation,,,,3,411,481,501,17.0,4.2
5535,r018,"R&D and R&D plant -> Department of Energy, atomic energy defense activities (053) -> Weapons activities",R&D and R&D plant,"Department of Energy, atomic energy defense activities (053)",Weapons activities,,,,3,5947,5923,5552,-0.4,-6.3
5535,r019,"R&D and R&D plant -> Department of Justice, Federal Bureau of Investigation (054)",R&D and R&D plant,"Department of Justice, Federal Bureau of Investigation (054)",,,,,2,2,2,2,0.0,0.0
5535,r020,"R&D and R&D plant -> Department of Homeland Security, Cybersecurity and Infrastructure Security Agency (054)",R&D and R&D plant,"Department of Homeland Security, Cybersecurity and Infrastructure Security Agency (054)",,,,,2,14,9,4,-34.6,-58.3
5535,r021,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,79389,78609,77762,-1.0,-1.1
5535,r022,"R&D and R&D plant -> R&D -> Department of Defense, military (051)",R&D and R&D plant,R&D,"Department of Defense, military (051)",,,,3,72251,71662,70954,-0.8,-1.0
5535,r023,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup>",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,,,4,68679,68189,69089,-0.7,1.3
5535,r024,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,,5,20221,19049,18642,-5.8,-2.1
5535,r025,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Defense Advanced Research Projects Agency",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Defense Advanced Research Projects Agency,6,3571,3500,3529,-2.0,0.8
5535,r026,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Missile Defense Agency",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Missile Defense Agency,6,8142,7855,7161,-3.5,-8.8
5535,r027,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Defense agencies -> Other defense agencies",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Defense agencies,Other defense agencies,6,8507,7693,7952,-9.6,3.4
5535,r028,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Air Force",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Air Force,,5,21732,15855,17061,-27.0,7.6
5535,r029,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Space Force",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Space Force,,5,na,5605,5527,-,-1.4
5535,r030,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Army",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Army,,5,11033,12371,11301,12.1,-8.7
5535,r031,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Department of the Navy",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Department of the Navy,,5,15464,15051,16342,-2.7,8.6
5535,r032,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts<sup>a</sup> -> Operational Test and Evaluation",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts<sup>a</sup>,Operational Test and Evaluation,,5,228,257,217,12.9,-15.8
5535,r033,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> Other military funding<sup>b</sup>",R&D and R&D plant,R&D,"Department of Defense, military (051)",Other military funding<sup>b</sup>,,,4,3573,3474,1866,-2.8,-46.3
5535,r034,"R&D and R&D plant -> R&D -> Department of Energy, atomic energy defense activities (053)",R&D and R&D plant,R&D,"Department of Energy, atomic energy defense activities (053)",,,,3,7121,6935,6802,-2.6,-1.9
5535,r035,"R&D and R&D plant -> R&D -> Department of Energy, atomic energy defense activities (053) -> Defense environmental cleanup",R&D and R&D plant,R&D,"Department of Energy, atomic energy defense activities (053)",Defense environmental cleanup,,,4,30,35,28,16.7,-20.0
5535,r036,"R&D and R&D plant -> R&D -> Department of Energy, atomic energy defense activities (053) -> Naval reactors development",R&D and R&D plant,R&D,"Department of Energy, atomic energy defense activities (053)",Naval reactors development,,,4,1112,1140,1246,2.5,9.3
5535,r037,"R&D and R&D plant -> R&D -> Department of Energy, atomic energy defense activities (053) -> Nonproliferation",R&D and R&D plant,R&D,"Department of Energy, atomic energy defense activities (053)",Nonproliferation,,,4,393,466,486,18.6,4.3
5535,r038,"R&D and R&D plant -> R&D -> Department of Energy, atomic energy defense activities (053) -> Weapons activities",R&D and R&D plant,R&D,"Department of Energy, atomic energy defense activities (053)",Weapons activities,,,4,5587,5294,5042,-5.2,-4.8
5535,r039,"R&D and R&D plant -> R&D -> Department of Justice, Federal Bureau of Investigation (054)",R&D and R&D plant,R&D,"Department of Justice, Federal Bureau of Investigation (054)",,,,3,2,2,2,0.0,0.0
5535,r040,"R&D and R&D plant -> R&D -> Department of Homeland Security, Cybersecurity and Infrastructure Security Agency (054)",R&D and R&D plant,R&D,"Department of Homeland Security, Cybersecurity and Infrastructure Security Agency (054)",,,,3,14,9,4,-34.6,-58.3
