table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_total_number,field_total_se,field_hispanic_or_latinoa_number,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_number,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_number,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_number,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_number,field_not_hispanic_or_latinob_other_racec_se
9257,r019,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,121000,950,7050,300,450,100,15450,550,7050,250,88900,900,2050,200
9257,r020,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,4,32250,550,1900,150,,,7150,375,1350,150,21500,500,350,125
9257,r021,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,4,24050,550,1250,150,S,S,1650,200,1850,150,18800,500,400,100
9257,r022,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",4,19400,325,1200,150,,,1650,200,1500,150,14650,350,350,75
9257,r023,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,4,45300,525,2700,150,300,100,5000,300,2350,150,34000,500,900,125
9257,r024,All fields -> Engineering,All fields,Engineering,,,2,206100,1150,7700,275,200,50,85250,1125,5050,250,104850,1125,3050,275
9257,r025,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,7850,250,350,75,,,2500,275,150,50,4750,225,100,50
9257,r026,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,3,24850,425,1000,125,,,10250,425,700,125,12550,400,350,100
9257,r027,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,3,21800,550,1000,100,,,8150,425,700,100,11700,525,250,75
9257,r028,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,3,55900,575,1450,100,50,25,27500,625,1150,125,25050,575,750,150
9257,r029,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,3,30550,425,1000,125,50,25,12800,475,600,75,15450,475,650,175
9257,r030,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,3,19750,375,750,125,,,8100,350,400,75,10200,350,300,100
9257,r031,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,3,45350,450,2100,150,50,25,16000,475,1350,125,25200,425,650,75
9257,r032,All fields -> Health,All fields,Health,,,2,50050,450,1800,125,200,50,9150,350,3850,225,34000,475,1050,150
