table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_intramural_performersa,field_extramural_performersb_total,field_extramural_performersb_higher_education_institutions,field_extramural_performersb_companies_and_individualsc,field_extramural_performersb_nonprofit_organizationsd,field_extramural_performersb_other_governmentse,field_extramural_performersb_all_otherf
12538,r078,United States<sup>g</sup> -> Connecticut -> Innovation Inc.,United States<sup>g</sup>,Connecticut,Innovation Inc.,3,22043617,0,22043617,45000,21998617,0,0,0
12538,r079,"United States<sup>g</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>g</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,7079816,7079816,0,0,0,0,0,0
12538,r080,"United States<sup>g</sup> -> Connecticut -> Social Services, Department of",United States<sup>g</sup>,Connecticut,"Social Services, Department of",3,641305,391305,250000,250000,0,0,0,0
12538,r081,"United States<sup>g</sup> -> Connecticut -> Transportation, Department of",United States<sup>g</sup>,Connecticut,"Transportation, Department of",3,3907816,509716,3398100,1209875,0,0,0,2188225
12538,r082,United States<sup>g</sup> -> Delaware,United States<sup>g</sup>,Delaware,,2,3584063,1600464,1983599,917009,973253,0,93337,0
12538,r083,United States<sup>g</sup> -> Delaware -> Geological Survey,United States<sup>g</sup>,Delaware,Geological Survey,3,1651264,1600464,50800,50800,0,0,0,0
12538,r084,"United States<sup>g</sup> -> Delaware -> Natural Resources and Environmental Control, Department of",United States<sup>g</sup>,Delaware,"Natural Resources and Environmental Control, Department of",3,488092,0,488092,344092,50663,0,93337,0
12538,r085,United States<sup>g</sup> -> Delaware -> Sustainable Energy Utility,United States<sup>g</sup>,Delaware,Sustainable Energy Utility,3,50500,0,50500,50500,0,0,0,0
12538,r086,"United States<sup>g</sup> -> Delaware -> Transportation, Department of",United States<sup>g</sup>,Delaware,"Transportation, Department of",3,1394207,0,1394207,471617,922590,0,0,0
12538,r087,United States<sup>g</sup> -> District of Columbia,United States<sup>g</sup>,District of Columbia,,2,10563918,7041016,3522902,851907,270401,2046290,354304,0
12538,r088,"United States<sup>g</sup> -> District of Columbia -> Energy and Environment, Department of",United States<sup>g</sup>,District of Columbia,"Energy and Environment, Department of",3,348077,0,348077,0,90000,66777,191300,0
12538,r089,"United States<sup>g</sup> -> District of Columbia -> Health, Department of",United States<sup>g</sup>,District of Columbia,"Health, Department of",3,7909103,5929590,1979513,0,0,1979513,0,0
12538,r090,"United States<sup>g</sup> -> District of Columbia -> Transportation, Department of",United States<sup>g</sup>,District of Columbia,"Transportation, Department of",3,806738,111426,695312,401907,130401,0,163004,0
12538,r091,United States<sup>g</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>g</sup>,District of Columbia,Water and Sewer Authority,3,1500000,1000000,500000,450000,50000,0,0,0
12538,r092,United States<sup>g</sup> -> Florida,United States<sup>g</sup>,Florida,,2,222882689,53921437,168961252,96667036,6012904,66211572,69740,0
12538,r093,"United States<sup>g</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>g</sup>,Florida,"Agriculture and Consumer Services, Department of",3,22629310,1089702,21539608,11604957,257559,9607871,69221,0
12538,r094,"United States<sup>g</sup> -> Florida -> Citrus, Department of",United States<sup>g</sup>,Florida,"Citrus, Department of",3,2067852,93920,1973932,111134,862798,1000000,0,0
12538,r095,"United States<sup>g</sup> -> Florida -> Environmental Protection, Department of",United States<sup>g</sup>,Florida,"Environmental Protection, Department of",3,60125,0,60125,0,60125,0,0,0
12538,r096,United States<sup>g</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>g</sup>,Florida,Fish and Wildlife Conservation Commission,3,60990297,51516677,9473620,3104404,2967798,3400899,519,0
12538,r097,United States<sup>g</sup> -> Florida -> Gaming Control Commission,United States<sup>g</sup>,Florida,Gaming Control Commission,3,100000,0,100000,100000,0,0,0,0
12538,r098,"United States<sup>g</sup> -> Florida -> Health, Department of",United States<sup>g</sup>,Florida,"Health, Department of",3,121558745,0,121558745,69355943,0,52202802,0,0
12538,r099,United States<sup>g</sup> -> Florida -> Space Florida,United States<sup>g</sup>,Florida,Space Florida,3,1110000,0,1110000,10000,1100000,0,0,0
12538,r100,"United States<sup>g</sup> -> Florida -> Transportation, Department of",United States<sup>g</sup>,Florida,"Transportation, Department of",3,14366360,1221138,13145222,12380598,764624,0,0,0
12538,r101,United States<sup>g</sup> -> Georgia,United States<sup>g</sup>,Georgia,,2,20739193,2930709,17808484,10326984,4257065,1811783,1412652,0
12538,r102,"United States<sup>g</sup> -> Georgia -> Commodity Commission, Agriculture, Department of",United States<sup>g</sup>,Georgia,"Commodity Commission, Agriculture, Department of",3,2513762,0,2513762,2513762,0,0,0,0
12538,r103,"United States<sup>g</sup> -> Georgia -> Natural Resources, Department of",United States<sup>g</sup>,Georgia,"Natural Resources, Department of",3,2297557,0,2297557,2297557,0,0,0,0
12538,r104,United States<sup>g</sup> -> Georgia -> Southern States Energy Board,United States<sup>g</sup>,Georgia,Southern States Energy Board,3,9213432,2930709,6282723,1668896,4257065,11110,345652,0
12538,r105,"United States<sup>g</sup> -> Georgia -> Transportation, Department of",United States<sup>g</sup>,Georgia,"Transportation, Department of",3,6714442,0,6714442,3846769,0,1800673,1067000,0
