table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_intramural_performersa,field_extramural_performersb_total,field_extramural_performersb_higher_education_institutions,field_extramural_performersb_companies_and_individualsc,field_extramural_performersb_nonprofit_organizationsd,field_extramural_performersb_other_governmentse,field_extramural_performersb_all_otherf
12538,r302,"United States<sup>g</sup> -> Oklahoma -> Health, Department of",United States<sup>g</sup>,Oklahoma,"Health, Department of",3,1314070,432788,881282,881282,0,0,0,0
12538,r303,"United States<sup>g</sup> -> Oklahoma -> Human Services, Department of",United States<sup>g</sup>,Oklahoma,"Human Services, Department of",3,174930,174930,0,0,0,0,0,0
12538,r304,"United States<sup>g</sup> -> Oklahoma -> Midwest Dairy Association, Oklahoma Division",United States<sup>g</sup>,Oklahoma,"Midwest Dairy Association, Oklahoma Division",3,4950,0,4950,4950,0,0,0,0
12538,r305,United States<sup>g</sup> -> Oklahoma -> Tobacco Settlement Endowment Trust,United States<sup>g</sup>,Oklahoma,Tobacco Settlement Endowment Trust,3,12280957,0,12280957,8523428,0,3757529,0,0
12538,r306,"United States<sup>g</sup> -> Oklahoma -> Transportation, Department of",United States<sup>g</sup>,Oklahoma,"Transportation, Department of",3,4240128,573370,3666758,1998928,0,0,1667830,0
12538,r307,"United States<sup>g</sup> -> Oklahoma -> Wildlife Conservation, Department of",United States<sup>g</sup>,Oklahoma,"Wildlife Conservation, Department of",3,1694154,3768,1690386,1625768,0,64618,0,0
12538,r308,United States<sup>g</sup> -> Oregon,United States<sup>g</sup>,Oregon,,2,40257488,19770459,20487029,11220208,3690000,3913105,1663716,0
12538,r309,"United States<sup>g</sup> -> Oregon -> Agriculture, Department of",United States<sup>g</sup>,Oregon,"Agriculture, Department of",3,203998,0,203998,188998,15000,0,0,0
12538,r310,United States<sup>g</sup> -> Oregon -> Business Development Department,United States<sup>g</sup>,Oregon,Business Development Department,3,12000000,0,12000000,4900000,3600000,3500000,0,0
12538,r311,"United States<sup>g</sup> -> Oregon -> Education, Department of",United States<sup>g</sup>,Oregon,"Education, Department of",3,456836,0,456836,456836,0,0,0,0
12538,r312,"United States<sup>g</sup> -> Oregon -> Fish and Wildlife, Department of",United States<sup>g</sup>,Oregon,"Fish and Wildlife, Department of",3,16166574,14440498,1726076,1722956,0,3120,0,0
12538,r313,"United States<sup>g</sup> -> Oregon -> Forestry, Department of",United States<sup>g</sup>,Oregon,"Forestry, Department of",3,700000,350000,350000,50000,75000,75000,150000,0
12538,r314,"United States<sup>g</sup> -> Oregon -> Geology and Mineral Industries, Department of",United States<sup>g</sup>,Oregon,"Geology and Mineral Industries, Department of",3,1118540,1118540,0,0,0,0,0,0
12538,r315,"United States<sup>g</sup> -> Oregon -> Human Services, Department of",United States<sup>g</sup>,Oregon,"Human Services, Department of",3,3077411,2613332,464079,464079,0,0,0,0
12538,r316,"United States<sup>g</sup> -> Oregon -> Transportation, Department of",United States<sup>g</sup>,Oregon,"Transportation, Department of",3,3836183,1049358,2786825,2686317,0,0,100508,0
12538,r317,United States<sup>g</sup> -> Oregon -> Water Resources Department,United States<sup>g</sup>,Oregon,Water Resources Department,3,1526296,188083,1338213,0,0,0,1338213,0
12538,r318,United States<sup>g</sup> -> Oregon -> Watershed Enhancement Board,United States<sup>g</sup>,Oregon,Watershed Enhancement Board,3,1171650,10648,1161002,751022,0,334985,74995,0
12538,r319,United States<sup>g</sup> -> Pennsylvania,United States<sup>g</sup>,Pennsylvania,,2,99487575,16987160,82500415,48476231,624184,33382908,17092,0
12538,r320,"United States<sup>g</sup> -> Pennsylvania -> Agriculture, Department of",United States<sup>g</sup>,Pennsylvania,"Agriculture, Department of",3,2817440,0,2817440,2592232,0,225208,0,0
12538,r321,"United States<sup>g</sup> -> Pennsylvania -> Community and Economic Development, Department of",United States<sup>g</sup>,Pennsylvania,"Community and Economic Development, Department of",3,21742628,0,21742628,6317628,0,15425000,0,0
12538,r322,"United States<sup>g</sup> -> Pennsylvania -> Conservation and Natural Resources, Department of",United States<sup>g</sup>,Pennsylvania,"Conservation and Natural Resources, Department of",3,682346,149625,532721,254594,0,261035,17092,0
12538,r323,"United States<sup>g</sup> -> Pennsylvania -> Environmental Protection, Department of",United States<sup>g</sup>,Pennsylvania,"Environmental Protection, Department of",3,257919,4359,253560,0,253560,0,0,0
12538,r324,United States<sup>g</sup> -> Pennsylvania -> Fish and Boat Commission,United States<sup>g</sup>,Pennsylvania,Fish and Boat Commission,3,163584,143542,20042,20042,0,0,0,0
12538,r325,United States<sup>g</sup> -> Pennsylvania -> Game Commission,United States<sup>g</sup>,Pennsylvania,Game Commission,3,16916509,16509634,406875,406875,0,0,0,0
12538,r326,"United States<sup>g</sup> -> Pennsylvania -> Health, Department of",United States<sup>g</sup>,Pennsylvania,"Health, Department of",3,54141877,0,54141877,36670212,0,17471665,0,0
12538,r327,United States<sup>g</sup> -> Pennsylvania -> Susquehanna River Basin Commission,United States<sup>g</sup>,Pennsylvania,Susquehanna River Basin Commission,3,255000,180000,75000,0,75000,0,0,0
12538,r328,"United States<sup>g</sup> -> Pennsylvania -> Transportation, Department of",United States<sup>g</sup>,Pennsylvania,"Transportation, Department of",3,2510272,0,2510272,2214648,295624,0,0,0
12538,r329,United States<sup>g</sup> -> Rhode Island,United States<sup>g</sup>,Rhode Island,,2,4635868,236546,4399322,1889803,2199530,237000,72989,0
12538,r330,United States<sup>g</sup> -> Rhode Island -> Commerce Corporation,United States<sup>g</sup>,Rhode Island,Commerce Corporation,3,749530,0,749530,0,749530,0,0,0
12538,r331,"United States<sup>g</sup> -> Rhode Island -> Fish and Wildlife; Environmental Management, Department of",United States<sup>g</sup>,Rhode Island,"Fish and Wildlife; Environmental Management, Department of",3,1755569,0,1755569,1755569,0,0,0,0
12538,r332,"United States<sup>g</sup> -> Rhode Island -> Marine Fisheries; Environmental Management, Department of",United States<sup>g</sup>,Rhode Island,"Marine Fisheries; Environmental Management, Department of",3,134234,0,134234,134234,0,0,0,0
12538,r333,"United States<sup>g</sup> -> Rhode Island -> Narragansett Bay National Estuarine Research Reserve; Environmental Management, Department of",United States<sup>g</sup>,Rhode Island,"Narragansett Bay National Estuarine Research Reserve; Environmental Management, Department of",3,236546,236546,0,0,0,0,0,0
12538,r334,"United States<sup>g</sup> -> Rhode Island -> Transportation, Department of",United States<sup>g</sup>,Rhode Island,"Transportation, Department of",3,1687000,0,1687000,0,1450000,237000,0,0
12538,r335,United States<sup>g</sup> -> Rhode Island -> Water Resources Board,United States<sup>g</sup>,Rhode Island,Water Resources Board,3,72989,0,72989,0,0,0,72989,0
12538,r336,United States<sup>g</sup> -> South Carolina,United States<sup>g</sup>,South Carolina,,2,53419952,32709409,20710543,6780967,699643,12760948,468985,0
12538,r337,"United States<sup>g</sup> -> South Carolina -> Agriculture, Department of",United States<sup>g</sup>,South Carolina,"Agriculture, Department of",3,1229068,0,1229068,1229068,0,0,0,0
12538,r338,"United States<sup>g</sup> -> South Carolina -> Disabilities and Special Needs, Department of",United States<sup>g</sup>,South Carolina,"Disabilities and Special Needs, Department of",3,12227417,0,12227417,0,0,12227417,0,0
12538,r339,"United States<sup>g</sup> -> South Carolina -> Health and Environmental Control, Department of",United States<sup>g</sup>,South Carolina,"Health and Environmental Control, Department of",3,1824716,1824716,0,0,0,0,0,0
12538,r340,"United States<sup>g</sup> -> South Carolina -> Natural Resources, Department of",United States<sup>g</sup>,South Carolina,"Natural Resources, Department of",3,29190303,28539233,651070,612821,0,3786,34463,0
12538,r341,United States<sup>g</sup> -> South Carolina -> Public Service Authority,United States<sup>g</sup>,South Carolina,Public Service Authority,3,512345,0,512345,30000,0,482345,0,0
12538,r342,United States<sup>g</sup> -> South Carolina -> Research Authority,United States<sup>g</sup>,South Carolina,Research Authority,3,2075537,0,2075537,1375894,699643,0,0,0
12538,r343,United States<sup>g</sup> -> South Carolina -> Sea Grant Consortium,United States<sup>g</sup>,South Carolina,Sea Grant Consortium,3,4121416,2333614,1787802,1533555,0,47400,206847,0
12538,r344,"United States<sup>g</sup> -> South Carolina -> Transportation, Department of",United States<sup>g</sup>,South Carolina,"Transportation, Department of",3,2239150,11846,2227304,1999629,0,0,227675,0
12538,r345,United States<sup>g</sup> -> South Dakota,United States<sup>g</sup>,South Dakota,,2,5227211,273454,4953757,3379907,1311405,37445,225000,0
12538,r346,United States<sup>g</sup> -> South Dakota -> Corn Utilization Council,United States<sup>g</sup>,South Dakota,Corn Utilization Council,3,37445,0,37445,0,0,37445,0,0
12538,r347,"United States<sup>g</sup> -> South Dakota -> Midwest Dairy Association, South Dakota Division",United States<sup>g</sup>,South Dakota,"Midwest Dairy Association, South Dakota Division",3,90090,0,90090,90090,0,0,0,0
12538,r348,United States<sup>g</sup> -> South Dakota -> Nutrient Research and Education Council,United States<sup>g</sup>,South Dakota,Nutrient Research and Education Council,3,1479262,0,1479262,1411262,68000,0,0,0
12538,r349,United States<sup>g</sup> -> South Dakota -> Oilseeds Council,United States<sup>g</sup>,South Dakota,Oilseeds Council,3,204975,0,204975,204975,0,0,0,0
12538,r350,United States<sup>g</sup> -> South Dakota -> Pulse Crop Council,United States<sup>g</sup>,South Dakota,Pulse Crop Council,3,33610,0,33610,33610,0,0,0,0
12538,r351,United States<sup>g</sup> -> South Dakota -> Soybean Research and Promotion Council,United States<sup>g</sup>,South Dakota,Soybean Research and Promotion Council,3,845866,29267,816599,581599,10000,0,225000,0
12538,r352,"United States<sup>g</sup> -> South Dakota -> Transportation, Department of",United States<sup>g</sup>,South Dakota,"Transportation, Department of",3,1904042,244187,1659855,426450,1233405,0,0,0
12538,r353,United States<sup>g</sup> -> South Dakota -> Weed and Pest Control Commission,United States<sup>g</sup>,South Dakota,Weed and Pest Control Commission,3,47000,0,47000,47000,0,0,0,0
12538,r354,United States<sup>g</sup> -> South Dakota -> Wheat Commission,United States<sup>g</sup>,South Dakota,Wheat Commission,3,584921,0,584921,584921,0,0,0,0
12538,r355,United States<sup>g</sup> -> Tennessee,United States<sup>g</sup>,Tennessee,,2,67457255,175000,67282255,8163359,59118896,0,0,0
12538,r356,"United States<sup>g</sup> -> Tennessee -> Education, Department of",United States<sup>g</sup>,Tennessee,"Education, Department of",3,57171745,0,57171745,5103700,52068045,0,0,0
12538,r357,"United States<sup>g</sup> -> Tennessee -> Environment and Conservation, Department of",United States<sup>g</sup>,Tennessee,"Environment and Conservation, Department of",3,50851,0,50851,0,50851,0,0,0
12538,r358,United States<sup>g</sup> -> Tennessee -> LaunchTN,United States<sup>g</sup>,Tennessee,LaunchTN,3,7000000,0,7000000,0,7000000,0,0,0
12538,r359,"United States<sup>g</sup> -> Tennessee -> Transportation, Department of",United States<sup>g</sup>,Tennessee,"Transportation, Department of",3,3234659,175000,3059659,3059659,0,0,0,0
12538,r360,United States<sup>g</sup> -> Texas,United States<sup>g</sup>,Texas,,2,282261790,1993899,280267891,224879502,52747989,965656,1674744,0
12538,r361,"United States<sup>g</sup> -> Texas -> Agriculture, Department of",United States<sup>g</sup>,Texas,"Agriculture, Department of",3,2086663,0,2086663,1686632,0,400031,0,0
12538,r362,United States<sup>g</sup> -> Texas -> Alzheimer's Research and Care Consortium (TARCC),United States<sup>g</sup>,Texas,Alzheimer's Research and Care Consortium (TARCC),3,4384547,0,4384547,4384547,0,0,0,0
12538,r363,United States<sup>g</sup> -> Texas -> Cancer Prevention and Research Institute,United States<sup>g</sup>,Texas,Cancer Prevention and Research Institute,3,237997927,0,237997927,186815086,51182841,0,0,0
12538,r364,"United States<sup>g</sup> -> Texas -> Environmental Quality, Commission on",United States<sup>g</sup>,Texas,"Environmental Quality, Commission on",3,2255204,63981,2191223,1737947,453276,0,0,0
12538,r365,United States<sup>g</sup> -> Texas -> Parks and Wildlife Department,United States<sup>g</sup>,Texas,Parks and Wildlife Department,3,5484621,1578191,3906430,3164921,130310,553868,57331,0
12538,r366,"United States<sup>g</sup> -> Texas -> State Health Services, Department of ",United States<sup>g</sup>,Texas,"State Health Services, Department of ",3,2257536,351727,1905809,1905809,0,0,0,0
12538,r367,"United States<sup>g</sup> -> Texas -> Transportation, Department of",United States<sup>g</sup>,Texas,"Transportation, Department of",3,24220565,0,24220565,23206994,0,0,1013571,0
12538,r368,United States<sup>g</sup> -> Texas -> Water Development Board,United States<sup>g</sup>,Texas,Water Development Board,3,3574727,0,3574727,1977566,981562,11757,603842,0
12538,r369,United States<sup>g</sup> -> Utah,United States<sup>g</sup>,Utah,,2,10119476,7748094,2371382,1617856,753526,0,0,0
12538,r370,"United States<sup>g</sup> -> Utah -> Agriculture and Food, Department of",United States<sup>g</sup>,Utah,"Agriculture and Food, Department of",3,1317,0,1317,1317,0,0,0,0
12538,r371,"United States<sup>g</sup> -> Utah -> Environmental Quality, Department of",United States<sup>g</sup>,Utah,"Environmental Quality, Department of",3,1036855,273553,763302,657563,105739,0,0,0
12538,r372,"United States<sup>g</sup> -> Utah -> Natural Resources, Department of",United States<sup>g</sup>,Utah,"Natural Resources, Department of",3,6352113,6352113,0,0,0,0,0,0
12538,r373,"United States<sup>g</sup> -> Utah -> Transportation, Department of ",United States<sup>g</sup>,Utah,"Transportation, Department of ",3,2729191,1122428,1606763,958976,647787,0,0,0
12538,r374,United States<sup>g</sup> -> Vermont,United States<sup>g</sup>,Vermont,,2,2833206,2163824,669382,358495,290850,20037,0,0
12538,r375,"United States<sup>g</sup> -> Vermont -> Agriculture, Food, and Markets, Agency of",United States<sup>g</sup>,Vermont,"Agriculture, Food, and Markets, Agency of",3,79783,0,79783,0,79783,0,0,0
12538,r376,"United States<sup>g</sup> -> Vermont -> Human Services, Agency of",United States<sup>g</sup>,Vermont,"Human Services, Agency of",3,1818036,1698182,119854,0,99817,20037,0,0
12538,r377,"United States<sup>g</sup> -> Vermont -> Transportation, Agency of",United States<sup>g</sup>,Vermont,"Transportation, Agency of",3,935387,465642,469745,358495,111250,0,0,0
12538,r378,United States<sup>g</sup> -> Virginia,United States<sup>g</sup>,Virginia,,2,57260560,20744159,36516401,17549067,14203660,551095,4068259,144320
12538,r379,"United States<sup>g</sup> -> Virginia -> Agriculture and Consumer Services, Department of",United States<sup>g</sup>,Virginia,"Agriculture and Consumer Services, Department of",3,3066176,0,3066176,3066176,0,0,0,0
12538,r380,"United States<sup>g</sup> -> Virginia -> Behavioral Health and Developmental Services, Department of",United States<sup>g</sup>,Virginia,"Behavioral Health and Developmental Services, Department of",3,5100,5100,0,0,0,0,0,0
12538,r381,United States<sup>g</sup> -> Virginia -> Commonwealth Health Research Board,United States<sup>g</sup>,Virginia,Commonwealth Health Research Board,3,1573838,0,1573838,1573838,0,0,0,0
12538,r382,"United States<sup>g</sup> -> Virginia -> Education, Department of",United States<sup>g</sup>,Virginia,"Education, Department of",3,1115000,865000,250000,250000,0,0,0,0
12538,r383,"United States<sup>g</sup> -> Virginia -> Energy, Department of",United States<sup>g</sup>,Virginia,"Energy, Department of",3,1321426,1283426,38000,38000,0,0,0,0
12538,r384,"United States<sup>g</sup> -> Virginia -> Environmental Quality, Department of",United States<sup>g</sup>,Virginia,"Environmental Quality, Department of",3,382014,146816,235198,90878,0,0,0,144320
12538,r385,"United States<sup>g</sup> -> Virginia -> Forensic Science, Department of",United States<sup>g</sup>,Virginia,"Forensic Science, Department of",3,1067190,1067190,0,0,0,0,0,0
12538,r386,"United States<sup>g</sup> -> Virginia -> Forestry, Department of",United States<sup>g</sup>,Virginia,"Forestry, Department of",3,481630,481630,0,0,0,0,0,0
12538,r387,United States<sup>g</sup> -> Virginia -> Foundation for Healthy Youth,United States<sup>g</sup>,Virginia,Foundation for Healthy Youth,3,907041,0,907041,907041,0,0,0,0
12538,r388,United States<sup>g</sup> -> Virginia -> Innovation Partnership Corporation,United States<sup>g</sup>,Virginia,Innovation Partnership Corporation,3,18076226,2366008,15710218,1472176,14179660,0,58382,0
12538,r389,United States<sup>g</sup> -> Virginia -> Institute for Advanced Learning and Research,United States<sup>g</sup>,Virginia,Institute for Advanced Learning and Research,3,68000,68000,0,0,0,0,0,0
12538,r390,United States<sup>g</sup> -> Virginia -> Marine Resources Commission,United States<sup>g</sup>,Virginia,Marine Resources Commission,3,2314260,558126,1756134,0,0,0,1756134,0
12538,r391,"United States<sup>g</sup> -> Virginia -> Natural History, Museum of",United States<sup>g</sup>,Virginia,"Natural History, Museum of",3,1001282,1001282,0,0,0,0,0,0
12538,r392,United States<sup>g</sup> -> Virginia -> Rail and Public Transportation,United States<sup>g</sup>,Virginia,Rail and Public Transportation,3,1004284,879284,125000,0,0,0,125000,0
12538,r393,"United States<sup>g</sup> -> Virginia -> Social Services, Department of",United States<sup>g</sup>,Virginia,"Social Services, Department of",3,1050000,1050000,0,0,0,0,0,0
12538,r394,"United States<sup>g</sup> -> Virginia -> Transportation, Department of",United States<sup>g</sup>,Virginia,"Transportation, Department of",3,15450372,9341820,6108552,6108552,0,0,0,0
12538,r395,"United States<sup>g</sup> -> Virginia -> Wildlife Resources, Department of",United States<sup>g</sup>,Virginia,"Wildlife Resources, Department of",3,8376721,1630477,6746244,4042406,24000,551095,2128743,0
12538,r396,United States<sup>g</sup> -> Washington,United States<sup>g</sup>,Washington,,2,60479947,26263518,34216429,17661416,10027553,976419,5169251,381790
12538,r397,"United States<sup>g</sup> -> Washington -> Agriculture, Department of",United States<sup>g</sup>,Washington,"Agriculture, Department of",3,3880349,0,3880349,2653596,844963,0,0,381790
12538,r398,United States<sup>g</sup> -> Washington -> Alfalfa Seed Commission,United States<sup>g</sup>,Washington,Alfalfa Seed Commission,3,20000,0,20000,20000,0,0,0,0
12538,r399,United States<sup>g</sup> -> Washington -> Asparagus Commission,United States<sup>g</sup>,Washington,Asparagus Commission,3,33000,0,33000,0,33000,0,0,0
12538,r400,United States<sup>g</sup> -> Washington -> Blueberry Commission,United States<sup>g</sup>,Washington,Blueberry Commission,3,77262,0,77262,0,77262,0,0,0
12538,r401,"United States<sup>g</sup> -> Washington -> Commerce, Department of",United States<sup>g</sup>,Washington,"Commerce, Department of",3,7387066,0,7387066,220646,5036287,864995,1265138,0
12538,r402,United States<sup>g</sup> -> Washington -> Dairy Products Commission,United States<sup>g</sup>,Washington,Dairy Products Commission,3,20000,0,20000,20000,0,0,0,0
12538,r403,"United States<sup>g</sup> -> Washington -> Ecology, Department of",United States<sup>g</sup>,Washington,"Ecology, Department of",3,2886743,2156422,730321,710101,20220,0,0,0
12538,r404,"United States<sup>g</sup> -> Washington -> Fish and Wildlife, Department of",United States<sup>g</sup>,Washington,"Fish and Wildlife, Department of",3,11115720,10756073,359647,17856,0,0,341791,0
12538,r405,United States<sup>g</sup> -> Washington -> Fruit Commission,United States<sup>g</sup>,Washington,Fruit Commission,3,92424,0,92424,92424,0,0,0,0
12538,r406,United States<sup>g</sup> -> Washington -> Grain Commission,United States<sup>g</sup>,Washington,Grain Commission,3,2050158,0,2050158,2050158,0,0,0,0
12538,r407,"United States<sup>g</sup> -> Washington -> Health, Department of",United States<sup>g</sup>,Washington,"Health, Department of",3,1265000,1202000,63000,63000,0,0,0,0
12538,r408,United States<sup>g</sup> -> Washington -> Hop Commission,United States<sup>g</sup>,Washington,Hop Commission,3,141228,0,141228,0,141228,0,0,0
12538,r409,"United States<sup>g</sup> -> Washington -> Labor and Industries, Department of",United States<sup>g</sup>,Washington,"Labor and Industries, Department of",3,3337518,3337518,0,0,0,0,0,0
12538,r410,United States<sup>g</sup> -> Washington -> Mint Commission,United States<sup>g</sup>,Washington,Mint Commission,3,35289,0,35289,35289,0,0,0,0
12538,r411,"United States<sup>g</sup> -> Washington -> Natural Resources, Department of",United States<sup>g</sup>,Washington,"Natural Resources, Department of",3,11714582,6748718,4965864,2184551,1990524,11424,779365,0
12538,r412,United States<sup>g</sup> -> Washington -> Oilseeds Commission,United States<sup>g</sup>,Washington,Oilseeds Commission,3,69887,0,69887,69887,0,0,0,0
12538,r413,"United States<sup>g</sup> -> Washington -> Pesticide Registration, Commission on",United States<sup>g</sup>,Washington,"Pesticide Registration, Commission on",3,427997,0,427997,427997,0,0,0,0
12538,r414,United States<sup>g</sup> -> Washington -> Potato Commission,United States<sup>g</sup>,Washington,Potato Commission,3,808462,0,808462,515226,109954,0,183282,0
12538,r415,United States<sup>g</sup> -> Washington -> Puget Sound Partnership,United States<sup>g</sup>,Washington,Puget Sound Partnership,3,3615000,115000,3500000,700000,900000,100000,1800000,0
12538,r416,United States<sup>g</sup> -> Washington -> Pulse Crops Commission,United States<sup>g</sup>,Washington,Pulse Crops Commission,3,140077,0,140077,140077,0,0,0,0
12538,r417,United States<sup>g</sup> -> Washington -> Red Raspberry Commission,United States<sup>g</sup>,Washington,Red Raspberry Commission,3,179481,0,179481,149708,29773,0,0,0
12538,r418,"United States<sup>g</sup> -> Washington -> Transportation, Department of",United States<sup>g</sup>,Washington,"Transportation, Department of",3,6136300,1627400,4508900,4164100,223000,0,121800,0
12538,r419,United States<sup>g</sup> -> Washington -> Tree Fruit Research Commission,United States<sup>g</sup>,Washington,Tree Fruit Research Commission,3,4484773,320387,4164386,2887511,599000,0,677875,0
12538,r420,United States<sup>g</sup> -> Washington -> Turfgrass Seed Commission,United States<sup>g</sup>,Washington,Turfgrass Seed Commission,3,110619,0,110619,110619,0,0,0,0
12538,r421,United States<sup>g</sup> -> Washington -> Wine Commission,United States<sup>g</sup>,Washington,Wine Commission,3,451012,0,451012,428670,22342,0,0,0
12538,r422,United States<sup>g</sup> -> West Virginia,United States<sup>g</sup>,West Virginia,,2,8731717,4773515,3958202,3147745,51957,3500,705000,50000
12538,r423,"United States<sup>g</sup> -> West Virginia -> Agriculture, Department of",United States<sup>g</sup>,West Virginia,"Agriculture, Department of",3,43500,43500,0,0,0,0,0,0
12538,r424,United States<sup>g</sup> -> West Virginia -> Geological and Economic Survey,United States<sup>g</sup>,West Virginia,Geological and Economic Survey,3,2516066,2094323,421743,371743,0,0,0,50000
12538,r425,United States<sup>g</sup> -> West Virginia -> Higher Education Policy Commission,United States<sup>g</sup>,West Virginia,Higher Education Policy Commission,3,1832049,196339,1635710,1627210,0,3500,5000,0
12538,r426,"United States<sup>g</sup> -> West Virginia -> Justice and Community Services, Division of Administrative Services",United States<sup>g</sup>,West Virginia,"Justice and Community Services, Division of Administrative Services",3,105395,105395,0,0,0,0,0,0
12538,r427,"United States<sup>g</sup> -> West Virginia -> Natural Resources, Division of",United States<sup>g</sup>,West Virginia,"Natural Resources, Division of",3,2148601,2074488,74113,22156,51957,0,0,0
12538,r428,"United States<sup>g</sup> -> West Virginia -> Transportation, Department of",United States<sup>g</sup>,West Virginia,"Transportation, Department of",3,2086106,259470,1826636,1126636,0,0,700000,0
12538,r429,United States<sup>g</sup> -> Wisconsin,United States<sup>g</sup>,Wisconsin,,2,16366530,5377653,10988877,3877962,4223711,228352,2658402,450
12538,r430,"United States<sup>g</sup> -> Wisconsin -> Agriculture, Trade and Consumer Protection, Department of",United States<sup>g</sup>,Wisconsin,"Agriculture, Trade and Consumer Protection, Department of",3,2384761,0,2384761,893896,1255338,222352,13175,0
12538,r431,United States<sup>g</sup> -> Wisconsin -> Economic Development Corporation,United States<sup>g</sup>,Wisconsin,Economic Development Corporation,3,2096000,0,2096000,0,2096000,0,0,0
12538,r432,"United States<sup>g</sup> -> Wisconsin -> Natural Resources, Department of",United States<sup>g</sup>,Wisconsin,"Natural Resources, Department of",3,7574828,5100602,2474226,1755225,628551,6000,84000,450
12538,r433,"United States<sup>g</sup> -> Wisconsin -> Transportation, Department of",United States<sup>g</sup>,Wisconsin,"Transportation, Department of",3,4310941,277051,4033890,1228841,243822,0,2561227,0
12538,r434,United States<sup>g</sup> -> Wyoming,United States<sup>g</sup>,Wyoming,,2,9886086,4237727,5648359,1768058,3648840,52237,179224,0
12538,r435,"United States<sup>g</sup> -> Wyoming -> Agriculture, Department of",United States<sup>g</sup>,Wyoming,"Agriculture, Department of",3,549736,0,549736,270898,47377,52237,179224,0
12538,r436,United States<sup>g</sup> -> Wyoming -> Business Council,United States<sup>g</sup>,Wyoming,Business Council,3,2010000,0,2010000,0,2010000,0,0,0
12538,r437,United States<sup>g</sup> -> Wyoming -> Enhanced Oil Recovery Institute,United States<sup>g</sup>,Wyoming,Enhanced Oil Recovery Institute,3,2049753,476536,1573217,64854,1508363,0,0,0
12538,r438,United States<sup>g</sup> -> Wyoming -> Game and Fish Department,United States<sup>g</sup>,Wyoming,Game and Fish Department,3,1991442,1563972,427470,344370,83100,0,0,0
12538,r439,United States<sup>g</sup> -> Wyoming -> State Geological Survey,United States<sup>g</sup>,Wyoming,State Geological Survey,3,2095403,2095403,0,0,0,0,0,0
12538,r440,"United States<sup>g</sup> -> Wyoming -> Transportation, Department of",United States<sup>g</sup>,Wyoming,"Transportation, Department of",3,746932,101816,645116,645116,0,0,0,0
12538,r441,United States<sup>g</sup> -> Wyoming -> Water Development Office,United States<sup>g</sup>,Wyoming,Water Development Office,3,442820,0,442820,442820,0,0,0,0
12538,r442,Puerto Rico<sup>h</sup>,Puerto Rico<sup>h</sup>,,,1,47543226,30716521,16826705,7636361,5868235,0,3322109,0
12538,r443,"Puerto Rico<sup>h</sup> -> Business Development Office, Economic Development & Commerce",Puerto Rico<sup>h</sup>,"Business Development Office, Economic Development & Commerce",,2,7190000,0,7190000,3595000,3595000,0,0,0
12538,r444,Puerto Rico<sup>h</sup> -> Comprehensive Cancer Center,Puerto Rico<sup>h</sup>,Comprehensive Cancer Center,,2,16142829,9702293,6440536,2562254,556173,0,3322109,0
12538,r445,Puerto Rico<sup>h</sup> -> Economic Development & Commerce,Puerto Rico<sup>h</sup>,Economic Development & Commerce,,2,528263,0,528263,360000,168263,0,0,0
12538,r446,"Puerto Rico<sup>h</sup> -> Health, Department of ",Puerto Rico<sup>h</sup>,"Health, Department of ",,2,17000000,17000000,0,0,0,0,0,0
12538,r447,Puerto Rico<sup>h</sup> -> Innovation and Technology Services,Puerto Rico<sup>h</sup>,Innovation and Technology Services,,2,3453922,1905123,1548799,0,1548799,0,0,0
12538,r448,Puerto Rico<sup>h</sup> -> Institute of Statistics,Puerto Rico<sup>h</sup>,Institute of Statistics,,2,1615810,1615810,0,0,0,0,0,0
12538,r449,"Puerto Rico<sup>h</sup> -> Science, Technology and Research Trust",Puerto Rico<sup>h</sup>,"Science, Technology and Research Trust",,2,1612402,493295,1119107,1119107,0,0,0,0
