table_id,row_id,level_and_field_of_highest_degree_full_path,level_and_field_of_highest_degree_level_1,level_and_field_of_highest_degree_level_2,level_and_field_of_highest_degree_level_3,level_and_field_of_highest_degree_level_4,level_and_field_of_highest_degree_level_5,level_and_field_of_highest_degree_hierarchy_depth,field_total,field_employed_total,field_employed_s_e_occupations,field_employed_s_e_related_occupations,field_employed_non_s_e_occupations,field_unemployeda,field_not_in_labor_forceb
5279,r026,All degrees -> S&E fields -> Engineering -> Industrial engineering,All degrees,S&E fields,Engineering,Industrial engineering,,4,279000,214000,86000,35000,93000,4000,62000
5279,r027,All degrees -> S&E fields -> Engineering -> Mechanical engineering,All degrees,S&E fields,Engineering,Mechanical engineering,,4,877000,739000,452000,99000,188000,19000,120000
5279,r028,All degrees -> S&E fields -> Engineering -> Other engineering,All degrees,S&E fields,Engineering,Other engineering,,4,661000,552000,269000,88000,195000,12000,97000
5279,r029,All degrees -> S&E-related fields,All degrees,S&E-related fields,,,,2,9145000,7429000,428000,5309000,1692000,151000,1564000
5279,r030,All degrees -> S&E-related fields -> Health,All degrees,S&E-related fields,Health,,,3,7267000,5979000,164000,4731000,1084000,107000,1181000
5279,r031,All degrees -> S&E-related fields -> Science and mathematics teacher education,All degrees,S&E-related fields,Science and mathematics teacher education,,,3,662000,469000,29000,239000,201000,S,186000
5279,r032,All degrees -> S&E-related fields -> Technology and technical fields,All degrees,S&E-related fields,Technology and technical fields,,,3,616000,479000,186000,115000,179000,23000,114000
5279,r033,All degrees -> S&E-related fields -> Other S&E-related fields,All degrees,S&E-related fields,Other S&E-related fields,,,3,600000,501000,49000,224000,228000,14000,85000
5279,r034,All degrees -> Non-S&E fields,All degrees,Non-S&E fields,,,,2,35889000,27734000,1330000,1453000,24951000,948000,7207000
5279,r035,All degrees -> Non-S&E fields -> Management and administration fields,All degrees,Non-S&E fields,Management and administration fields,,,3,12031000,9499000,666000,442000,8391000,344000,2188000
5279,r036,"All degrees -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Non-S&E fields,"Education, except science and math teacher education",,,3,7462000,5285000,76000,444000,4764000,86000,2092000
5279,r037,All degrees -> Non-S&E fields -> Social service and related fields,All degrees,Non-S&E fields,Social service and related fields,,,3,1872000,1413000,77000,53000,1283000,57000,402000
5279,r038,All degrees -> Non-S&E fields -> Sales and marketing fields,All degrees,Non-S&E fields,Sales and marketing fields,,,3,1575000,1299000,53000,S,1213000,41000,236000
5279,r039,All degrees -> Non-S&E fields -> Art and humanities fields,All degrees,Non-S&E fields,Art and humanities fields,,,3,5803000,4487000,224000,237000,4026000,132000,1184000
5279,r040,All degrees -> Non-S&E fields -> Other non-S&E fields,All degrees,Non-S&E fields,Other non-S&E fields,,,3,7146000,5750000,233000,245000,5272000,288000,1107000
5279,r041,All degrees -> Bachelor's,All degrees,Bachelor's,,,,2,41035000,31373000,4176000,4794000,22403000,1217000,8445000
5279,r042,All degrees -> Bachelor's -> S&E fields,All degrees,Bachelor's,S&E fields,,,3,13972000,10731000,3251000,1504000,5976000,422000,2819000
5279,r043,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,2248000,1688000,344000,486000,858000,62000,497000
5279,r044,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,280000,207000,31000,21000,155000,4000,69000
5279,r045,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,1696000,1254000,266000,430000,557000,53000,389000
5279,r046,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,273000,228000,47000,35000,146000,S,39000
5279,r047,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,,4,2360000,1896000,1032000,250000,614000,96000,369000
5279,r048,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,1740000,1478000,915000,156000,407000,70000,192000
5279,r049,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,620000,418000,117000,94000,207000,26000,177000
5279,r050,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences,All degrees,Bachelor's,S&E fields,Physical and related sciences,,4,682000,520000,194000,117000,209000,25000,136000
5279,r051,"All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Bachelor's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,331000,257000,91000,79000,87000,20000,54000
5279,r052,"All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Bachelor's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,205000,163000,59000,19000,84000,S,39000
5279,r053,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Bachelor's,S&E fields,Physical and related sciences,Physics and astronomy,5,122000,85000,40000,17000,28000,S,34000
5279,r054,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Bachelor's,S&E fields,Physical and related sciences,Other physical sciences,5,25000,16000,S,S,11000,,S
5279,r055,All degrees -> Bachelor's -> S&E fields -> Social and related sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,,4,5590000,4097000,327000,269000,3501000,173000,1320000
5279,r056,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Economics,All degrees,Bachelor's,S&E fields,Social and related sciences,Economics,5,939000,709000,79000,20000,610000,20000,210000
5279,r057,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,Political and related sciences,5,1006000,760000,48000,42000,671000,38000,208000
5279,r058,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Psychology,All degrees,Bachelor's,S&E fields,Social and related sciences,Psychology,5,2084000,1509000,116000,117000,1276000,69000,506000
5279,r059,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Bachelor's,S&E fields,Social and related sciences,Sociology and anthropology,5,1014000,711000,45000,48000,619000,31000,272000
5279,r060,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,Other social sciences,5,546000,407000,39000,42000,326000,14000,124000
5279,r061,All degrees -> Bachelor's -> S&E fields -> Engineering,All degrees,Bachelor's,S&E fields,Engineering,,4,3093000,2530000,1355000,382000,793000,65000,497000
5279,r062,"All degrees -> Bachelor's -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Bachelor's,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,114000,88000,47000,8000,34000,S,19000
5279,r063,All degrees -> Bachelor's -> S&E fields -> Engineering -> Chemical engineering,All degrees,Bachelor's,S&E fields,Engineering,Chemical engineering,5,225000,186000,98000,26000,61000,S,35000
5279,r064,All degrees -> Bachelor's -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Bachelor's,S&E fields,Engineering,Civil and architectural engineering,5,469000,397000,182000,68000,146000,11000,62000
5279,r065,All degrees -> Bachelor's -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Bachelor's,S&E fields,Engineering,Electrical and computer engineering,5,1045000,840000,523000,137000,179000,24000,182000
5279,r066,All degrees -> Bachelor's -> S&E fields -> Engineering -> Industrial engineering,All degrees,Bachelor's,S&E fields,Engineering,Industrial engineering,5,192000,141000,54000,19000,68000,S,48000
5279,r067,All degrees -> Bachelor's -> S&E fields -> Engineering -> Mechanical engineering,All degrees,Bachelor's,S&E fields,Engineering,Mechanical engineering,5,673000,563000,325000,75000,164000,13000,97000
5279,r068,All degrees -> Bachelor's -> S&E fields -> Engineering -> Other engineering,All degrees,Bachelor's,S&E fields,Engineering,Other engineering,5,375000,316000,125000,50000,141000,6000,54000
5279,r069,All degrees -> Bachelor's -> S&E-related fields,All degrees,Bachelor's,S&E-related fields,,,3,4837000,3771000,193000,2535000,1043000,96000,970000
5279,r070,All degrees -> Bachelor's -> S&E-related fields -> Health,All degrees,Bachelor's,S&E-related fields,Health,,4,3628000,2844000,36000,2178000,630000,61000,723000
5279,r071,All degrees -> Bachelor's -> S&E-related fields -> Science and mathematics teacher education,All degrees,Bachelor's,S&E-related fields,Science and mathematics teacher education,,4,296000,206000,4000,105000,97000,S,87000
5279,r072,All degrees -> Bachelor's -> S&E-related fields -> Technology and technical fields,All degrees,Bachelor's,S&E-related fields,Technology and technical fields,,4,507000,388000,132000,97000,160000,20000,99000
5279,r073,All degrees -> Bachelor's -> S&E-related fields -> Other S&E-related fields,All degrees,Bachelor's,S&E-related fields,Other S&E-related fields,,4,406000,332000,21000,155000,156000,S,62000
5279,r074,All degrees -> Bachelor's -> Non-S&E fields,All degrees,Bachelor's,Non-S&E fields,,,3,22226000,16871000,732000,756000,15384000,699000,4655000
5279,r075,All degrees -> Bachelor's -> Non-S&E fields -> Management and administration fields,All degrees,Bachelor's,Non-S&E fields,Management and administration fields,,4,8129000,6264000,344000,237000,5683000,233000,1632000
5279,r076,"All degrees -> Bachelor's -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Bachelor's,Non-S&E fields,"Education, except science and math teacher education",,4,3130000,2063000,28000,118000,1917000,39000,1028000
5279,r077,All degrees -> Bachelor's -> Non-S&E fields -> Social service and related fields,All degrees,Bachelor's,Non-S&E fields,Social service and related fields,,4,815000,554000,22000,15000,517000,44000,217000
5279,r078,All degrees -> Bachelor's -> Non-S&E fields -> Sales and marketing fields,All degrees,Bachelor's,Non-S&E fields,Sales and marketing fields,,4,1275000,1057000,37000,S,992000,38000,180000
5279,r079,All degrees -> Bachelor's -> Non-S&E fields -> Art and humanities fields,All degrees,Bachelor's,Non-S&E fields,Art and humanities fields,,4,4617000,3581000,189000,185000,3208000,108000,928000
5279,r080,All degrees -> Bachelor's -> Non-S&E fields -> Other non-S&E fields,All degrees,Bachelor's,Non-S&E fields,Other non-S&E fields,,4,4261000,3352000,112000,171000,3068000,237000,671000
5279,r081,All degrees -> Master's,All degrees,Master's,,,,2,17801000,14158000,2286000,2332000,9540000,331000,3312000
5279,r082,All degrees -> Master's -> S&E fields,All degrees,Master's,S&E fields,,,3,4145000,3350000,1589000,479000,1281000,89000,706000
5279,r083,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,511000,388000,132000,105000,151000,8000,115000
5279,r084,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,53000,40000,13000,4000,22000,,12000
5279,r085,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,368000,280000,90000,92000,99000,7000,81000
5279,r086,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,90000,68000,28000,9000,30000,,22000
5279,r087,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences,All degrees,Master's,S&E fields,Computer and mathematical sciences,,4,1005000,829000,543000,111000,174000,24000,152000
5279,r088,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Master's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,800000,668000,463000,82000,124000,21000,110000
5279,r089,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Master's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,205000,161000,81000,30000,50000,S,42000
5279,r090,All degrees -> Master's -> S&E fields -> Physical and related sciences,All degrees,Master's,S&E fields,Physical and related sciences,,4,200000,170000,88000,32000,51000,2000,28000
5279,r091,"All degrees -> Master's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Master's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,66000,51000,26000,9000,16000,S,14000
5279,r092,"All degrees -> Master's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Master's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,67000,60000,28000,14000,18000,S,6000
5279,r093,All degrees -> Master's -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Master's,S&E fields,Physical and related sciences,Physics and astronomy,5,64000,56000,33000,7000,17000,,6000
5279,r094,All degrees -> Master's -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Master's,S&E fields,Physical and related sciences,Other physical sciences,5,3000,3000,1000,S,,,
5279,r095,All degrees -> Master's -> S&E fields -> Social and related sciences,All degrees,Master's,S&E fields,Social and related sciences,,4,1294000,1001000,194000,76000,731000,30000,262000
5279,r096,All degrees -> Master's -> S&E fields -> Social and related sciences -> Economics,All degrees,Master's,S&E fields,Social and related sciences,Economics,5,131000,106000,26000,3000,77000,2000,23000
5279,r097,All degrees -> Master's -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Master's,S&E fields,Social and related sciences,Political and related sciences,5,224000,171000,34000,8000,129000,17000,36000
5279,r098,All degrees -> Master's -> S&E fields -> Social and related sciences -> Psychology,All degrees,Master's,S&E fields,Social and related sciences,Psychology,5,659000,507000,92000,46000,369000,S,142000
5279,r099,All degrees -> Master's -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Master's,S&E fields,Social and related sciences,Sociology and anthropology,5,94000,67000,19000,7000,41000,S,26000
5279,r100,All degrees -> Master's -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Master's,S&E fields,Social and related sciences,Other social sciences,5,186000,150000,23000,12000,115000,S,34000
5279,r101,All degrees -> Master's -> S&E fields -> Engineering,All degrees,Master's,S&E fields,Engineering,,4,1135000,961000,632000,155000,174000,25000,149000
5279,r102,"All degrees -> Master's -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Master's,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,57000,44000,27000,3000,S,S,12000
5279,r103,All degrees -> Master's -> S&E fields -> Engineering -> Chemical engineering,All degrees,Master's,S&E fields,Engineering,Chemical engineering,5,34000,30000,17000,7000,5000,,4000
5279,r104,All degrees -> Master's -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Master's,S&E fields,Engineering,Civil and architectural engineering,5,148000,126000,85000,18000,23000,2000,20000
5279,r105,All degrees -> Master's -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Master's,S&E fields,Engineering,Electrical and computer engineering,5,445000,381000,273000,61000,47000,11000,53000
5279,r106,All degrees -> Master's -> S&E fields -> Engineering -> Industrial engineering,All degrees,Master's,S&E fields,Engineering,Industrial engineering,5,77000,62000,26000,14000,23000,S,13000
5279,r107,All degrees -> Master's -> S&E fields -> Engineering -> Mechanical engineering,All degrees,Master's,S&E fields,Engineering,Mechanical engineering,5,167000,147000,104000,22000,21000,6000,14000
5279,r108,All degrees -> Master's -> S&E fields -> Engineering -> Other engineering,All degrees,Master's,S&E fields,Engineering,Other engineering,5,207000,171000,101000,29000,41000,4000,32000
5279,r109,All degrees -> Master's -> S&E-related fields,All degrees,Master's,S&E-related fields,,,3,2328000,1920000,172000,1200000,548000,33000,374000
5279,r110,All degrees -> Master's -> S&E-related fields -> Health,All degrees,Master's,S&E-related fields,Health,,4,1691000,1420000,76000,983000,361000,25000,246000
5279,r111,All degrees -> Master's -> S&E-related fields -> Science and mathematics teacher education,All degrees,Master's,S&E-related fields,Science and mathematics teacher education,,4,349000,252000,21000,133000,98000,S,92000
5279,r112,All degrees -> Master's -> S&E-related fields -> Technology and technical fields,All degrees,Master's,S&E-related fields,Technology and technical fields,,4,97000,82000,49000,16000,17000,S,14000
5279,r113,All degrees -> Master's -> S&E-related fields -> Other S&E-related fields,All degrees,Master's,S&E-related fields,Other S&E-related fields,,4,190000,166000,27000,68000,71000,2000,22000
5279,r114,All degrees -> Master's -> Non-S&E fields,All degrees,Master's,Non-S&E fields,,,3,11328000,8888000,524000,653000,7711000,208000,2232000
5279,r115,All degrees -> Master's -> Non-S&E fields -> Management and administration fields,All degrees,Master's,Non-S&E fields,Management and administration fields,,4,3834000,3178000,314000,203000,2660000,107000,550000
5279,r116,"All degrees -> Master's -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Master's,Non-S&E fields,"Education, except science and math teacher education",,4,4123000,3063000,40000,307000,2715000,43000,1017000
5279,r117,All degrees -> Master's -> Non-S&E fields -> Social service and related fields,All degrees,Master's,Non-S&E fields,Social service and related fields,,4,932000,769000,40000,37000,692000,5000,158000
5279,r118,All degrees -> Master's -> Non-S&E fields -> Sales and marketing fields,All degrees,Master's,Non-S&E fields,Sales and marketing fields,,4,293000,237000,16000,4000,217000,S,53000
5279,r119,All degrees -> Master's -> Non-S&E fields -> Art and humanities fields,All degrees,Master's,Non-S&E fields,Art and humanities fields,,4,1001000,739000,30000,52000,658000,23000,239000
5279,r120,All degrees -> Master's -> Non-S&E fields -> Other non-S&E fields,All degrees,Master's,Non-S&E fields,Other non-S&E fields,,4,1145000,903000,84000,51000,768000,27000,215000
5279,r121,All degrees -> Doctorate,All degrees,Doctorate,,,,2,2522000,2090000,938000,387000,765000,43000,389000
5279,r122,All degrees -> Doctorate -> S&E fields,All degrees,Doctorate,S&E fields,,,3,1494000,1239000,841000,146000,252000,22000,233000
5279,r123,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",,4,427000,360000,229000,69000,62000,4000,63000
5279,r124,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,29000,20000,15000,1000,3000,,S
5279,r125,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,390000,333000,209000,66000,59000,4000,53000
5279,r126,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,9000,7000,5000,S,S,,S
5279,r127,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,,4,132000,112000,94000,5000,13000,1000,19000
5279,r128,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,66000,56000,50000,2000,5000,,9000
5279,r129,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,66000,56000,45000,3000,8000,S,10000
5279,r130,All degrees -> Doctorate -> S&E fields -> Physical and related sciences,All degrees,Doctorate,S&E fields,Physical and related sciences,,4,244000,199000,140000,28000,31000,8000,37000
5279,r131,"All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Doctorate,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,112000,92000,62000,12000,18000,S,16000
5279,r132,"All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Doctorate,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,35000,27000,20000,3000,4000,S,S
5279,r133,All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Doctorate,S&E fields,Physical and related sciences,Physics and astronomy,5,94000,79000,58000,11000,10000,S,13000
5279,r134,All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Doctorate,S&E fields,Physical and related sciences,Other physical sciences,5,2000,2000,0.05,,,,S
5279,r135,All degrees -> Doctorate -> S&E fields -> Social and related sciences,All degrees,Doctorate,S&E fields,Social and related sciences,,4,416000,335000,207000,20000,108000,4000,77000
5279,r136,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Economics,All degrees,Doctorate,S&E fields,Social and related sciences,Economics,5,51000,41000,25000,0.05,16000,,9000
5279,r137,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Doctorate,S&E fields,Social and related sciences,Political and related sciences,5,53000,39000,25000,2000,12000,0.05,13000
5279,r138,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Psychology,All degrees,Doctorate,S&E fields,Social and related sciences,Psychology,5,202000,164000,106000,15000,43000,,37000
5279,r139,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Doctorate,S&E fields,Social and related sciences,Sociology and anthropology,5,60000,50000,39000,2000,10000,S,9000
5279,r140,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Doctorate,S&E fields,Social and related sciences,Other social sciences,5,49000,40000,12000,1000,27000,,9000
5279,r141,All degrees -> Doctorate -> S&E fields -> Engineering,All degrees,Doctorate,S&E fields,Engineering,,4,275000,233000,171000,24000,37000,5000,38000
5279,r142,"All degrees -> Doctorate -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Doctorate,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,10000,9000,8000,2000,,,
5279,r143,All degrees -> Doctorate -> S&E fields -> Engineering -> Chemical engineering,All degrees,Doctorate,S&E fields,Engineering,Chemical engineering,5,35000,30000,23000,2000,6000,S,4000
5279,r144,All degrees -> Doctorate -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Doctorate,S&E fields,Engineering,Civil and architectural engineering,5,25000,21000,16000,2000,3000,,3000
5279,r145,All degrees -> Doctorate -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Doctorate,S&E fields,Engineering,Electrical and computer engineering,5,79000,68000,53000,6000,9000,S,10000
5279,r146,All degrees -> Doctorate -> S&E fields -> Engineering -> Industrial engineering,All degrees,Doctorate,S&E fields,Engineering,Industrial engineering,5,10000,10000,6000,S,2000,,
