table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients,field_high_hispanic_enrollment_institution
3278,r053,"Science, all institutions -> Top 50 U.S. institutions -> Rice U.","Science, all institutions",Top 50 U.S. institutions,Rice U.,3,32,No
3278,r054,"Science, all institutions -> Other U.S. institutions","Science, all institutions",Other U.S. institutions,,2,3760,-
3278,r055,"Engineering, all institutions","Engineering, all institutions",,,1,2418,-
3278,r056,"Engineering, all institutions -> Foreign or unknown institutions","Engineering, all institutions",Foreign or unknown institutions,,2,1031,-
3278,r057,"Engineering, all institutions -> Top 50 U.S. institutions","Engineering, all institutions",Top 50 U.S. institutions,,2,919,-
3278,r058,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Puerto Rico, Mayaguez","Engineering, all institutions",Top 50 U.S. institutions,"U. Puerto Rico, Mayaguez",3,142,Yes
3278,r059,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Florida","Engineering, all institutions",Top 50 U.S. institutions,U. Florida,3,64,No
3278,r060,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Texas, El Paso","Engineering, all institutions",Top 50 U.S. institutions,"U. Texas, El Paso",3,61,Yes
3278,r061,"Engineering, all institutions -> Top 50 U.S. institutions -> Massachusetts Institute of Technology","Engineering, all institutions",Top 50 U.S. institutions,Massachusetts Institute of Technology,3,52,No
3278,r062,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Texas, Austin","Engineering, all institutions",Top 50 U.S. institutions,"U. Texas, Austin",3,41,No
3278,r063,"Engineering, all institutions -> Top 50 U.S. institutions -> U. New Mexico, Albuquerque","Engineering, all institutions",Top 50 U.S. institutions,"U. New Mexico, Albuquerque",3,28,Yes
3278,r064,"Engineering, all institutions -> Top 50 U.S. institutions -> Texas A&M U., College Station and Health Science Center","Engineering, all institutions",Top 50 U.S. institutions,"Texas A&M U., College Station and Health Science Center",3,27,No
3278,r065,"Engineering, all institutions -> Top 50 U.S. institutions -> Florida International U.","Engineering, all institutions",Top 50 U.S. institutions,Florida International U.,3,23,Yes
3278,r066,"Engineering, all institutions -> Top 50 U.S. institutions -> U. California, Berkeley","Engineering, all institutions",Top 50 U.S. institutions,"U. California, Berkeley",3,22,No
3278,r067,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Miami","Engineering, all institutions",Top 50 U.S. institutions,U. Miami,3,22,No
3278,r068,"Engineering, all institutions -> Top 50 U.S. institutions -> Arizona State U.","Engineering, all institutions",Top 50 U.S. institutions,Arizona State U.,3,19,No
3278,r069,"Engineering, all institutions -> Top 50 U.S. institutions -> U. California, Los Angeles","Engineering, all institutions",Top 50 U.S. institutions,"U. California, Los Angeles",3,19,No
3278,r070,"Engineering, all institutions -> Top 50 U.S. institutions -> U. California, San Diego","Engineering, all institutions",Top 50 U.S. institutions,"U. California, San Diego",3,19,No
3278,r071,"Engineering, all institutions -> Top 50 U.S. institutions -> U. California, Riverside","Engineering, all institutions",Top 50 U.S. institutions,"U. California, Riverside",3,18,Yes
3278,r072,"Engineering, all institutions -> Top 50 U.S. institutions -> New Mexico State U., Las Cruces","Engineering, all institutions",Top 50 U.S. institutions,"New Mexico State U., Las Cruces",3,17,Yes
3278,r073,"Engineering, all institutions -> Top 50 U.S. institutions -> U. California, Irvine","Engineering, all institutions",Top 50 U.S. institutions,"U. California, Irvine",3,17,Yes
3278,r074,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Central Florida","Engineering, all institutions",Top 50 U.S. institutions,U. Central Florida,3,17,Yes
3278,r075,"Engineering, all institutions -> Top 50 U.S. institutions -> Georgia Institute of Technology","Engineering, all institutions",Top 50 U.S. institutions,Georgia Institute of Technology,3,16,No
3278,r076,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Arizona","Engineering, all institutions",Top 50 U.S. institutions,U. Arizona,3,15,Yes
3278,r077,"Engineering, all institutions -> Top 50 U.S. institutions -> Cornell U.","Engineering, all institutions",Top 50 U.S. institutions,Cornell U.,3,14,No
3278,r078,"Engineering, all institutions -> Top 50 U.S. institutions -> U. California, Davis","Engineering, all institutions",Top 50 U.S. institutions,"U. California, Davis",3,14,No
3278,r079,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Maryland, College Park","Engineering, all institutions",Top 50 U.S. institutions,"U. Maryland, College Park",3,13,No
3278,r080,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Notre Dame","Engineering, all institutions",Top 50 U.S. institutions,U. Notre Dame,3,12,No
3278,r081,"Engineering, all institutions -> Top 50 U.S. institutions -> Florida State U.","Engineering, all institutions",Top 50 U.S. institutions,Florida State U.,3,11,No
3278,r082,"Engineering, all institutions -> Top 50 U.S. institutions -> Rice U.","Engineering, all institutions",Top 50 U.S. institutions,Rice U.,3,11,No
3278,r083,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Illinois, Urbana-Champaign","Engineering, all institutions",Top 50 U.S. institutions,"U. Illinois, Urbana-Champaign",3,11,No
3278,r084,"Engineering, all institutions -> Top 50 U.S. institutions -> U. South Florida, Tampa","Engineering, all institutions",Top 50 U.S. institutions,"U. South Florida, Tampa",3,11,No
3278,r085,"Engineering, all institutions -> Top 50 U.S. institutions -> Carnegie Mellon U.","Engineering, all institutions",Top 50 U.S. institutions,Carnegie Mellon U.,3,10,No
3278,r086,"Engineering, all institutions -> Top 50 U.S. institutions -> Ohio State U., Columbus","Engineering, all institutions",Top 50 U.S. institutions,"Ohio State U., Columbus",3,10,No
3278,r087,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Houston","Engineering, all institutions",Top 50 U.S. institutions,U. Houston,3,9,Yes
3278,r088,"Engineering, all institutions -> Top 50 U.S. institutions -> U. New Orleans","Engineering, all institutions",Top 50 U.S. institutions,U. New Orleans,3,9,No
3278,r089,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Southern California","Engineering, all institutions",Top 50 U.S. institutions,U. Southern California,3,9,No
3278,r090,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Texas Rio Grande Valley","Engineering, all institutions",Top 50 U.S. institutions,U. Texas Rio Grande Valley,3,9,Yes
3278,r091,"Engineering, all institutions -> Top 50 U.S. institutions -> California Institute of Technology","Engineering, all institutions",Top 50 U.S. institutions,California Institute of Technology,3,8,No
3278,r092,"Engineering, all institutions -> Top 50 U.S. institutions -> California State Polytechnic U., Pomona","Engineering, all institutions",Top 50 U.S. institutions,"California State Polytechnic U., Pomona",3,8,Yes
3278,r093,"Engineering, all institutions -> Top 50 U.S. institutions -> Harvard U.","Engineering, all institutions",Top 50 U.S. institutions,Harvard U.,3,8,No
3278,r094,"Engineering, all institutions -> Top 50 U.S. institutions -> Purdue U., West Lafayette","Engineering, all institutions",Top 50 U.S. institutions,"Purdue U., West Lafayette",3,8,No
3278,r095,"Engineering, all institutions -> Top 50 U.S. institutions -> Stanford U.","Engineering, all institutions",Top 50 U.S. institutions,Stanford U.,3,8,No
3278,r096,"Engineering, all institutions -> Top 50 U.S. institutions -> Texas Tech U.","Engineering, all institutions",Top 50 U.S. institutions,Texas Tech U.,3,8,Yes
3278,r097,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Illinois, Chicago","Engineering, all institutions",Top 50 U.S. institutions,"U. Illinois, Chicago",3,8,Yes
3278,r098,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Texas, San Antonio","Engineering, all institutions",Top 50 U.S. institutions,"U. Texas, San Antonio",3,8,Yes
3278,r099,"Engineering, all institutions -> Top 50 U.S. institutions -> Duke U.","Engineering, all institutions",Top 50 U.S. institutions,Duke U.,3,7,No
3278,r100,"Engineering, all institutions -> Top 50 U.S. institutions -> Johns Hopkins U.","Engineering, all institutions",Top 50 U.S. institutions,Johns Hopkins U.,3,7,No
3278,r101,"Engineering, all institutions -> Top 50 U.S. institutions -> North Carolina State U.","Engineering, all institutions",Top 50 U.S. institutions,North Carolina State U.,3,7,No
3278,r102,"Engineering, all institutions -> Top 50 U.S. institutions -> Rensselaer Polytechnic Institute, Troy","Engineering, all institutions",Top 50 U.S. institutions,"Rensselaer Polytechnic Institute, Troy",3,7,No
3278,r103,"Engineering, all institutions -> Top 50 U.S. institutions -> Rutgers, State U. New Jersey, New Brunswick","Engineering, all institutions",Top 50 U.S. institutions,"Rutgers, State U. New Jersey, New Brunswick",3,7,No
3278,r104,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Colorado Boulder","Engineering, all institutions",Top 50 U.S. institutions,U. Colorado Boulder,3,7,No
3278,r105,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Michigan, Ann Arbor","Engineering, all institutions",Top 50 U.S. institutions,"U. Michigan, Ann Arbor",3,7,No
3278,r106,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Texas, Arlington","Engineering, all institutions",Top 50 U.S. institutions,"U. Texas, Arlington",3,7,Yes
3278,r107,"Engineering, all institutions -> Top 50 U.S. institutions -> U. Virginia, Charlottesville","Engineering, all institutions",Top 50 U.S. institutions,"U. Virginia, Charlottesville",3,7,No
3278,r108,"Engineering, all institutions -> Other U.S. institutions","Engineering, all institutions",Other U.S. institutions,,2,468,-
