table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorate_holders,field_female,field_male,field_hispanic_or_latinoa,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_other_race_and_ethnicity
3385,r025,Number of early career doctorate holders -> Field of doctoral degree -> S&E -> Multidisciplinary fields and S&E-related fields,Number of early career doctorate holders,Field of doctoral degree,S&E,Multidisciplinary fields and S&E-related fields,,4,1.4,1.4,1.4,0.9,1.2,S,1.4,1.6
3385,r026,"Number of early career doctorate holders -> Field of doctoral degree -> S&E -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Number of early career doctorate holders,Field of doctoral degree,S&E,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,4,11.1,6.9,14.9,8.1,15.6,1.4,10.9,7.7
3385,r027,Number of early career doctorate holders -> Field of doctoral degree -> S&E -> Psychology and social sciences,Number of early career doctorate holders,Field of doctoral degree,S&E,Psychology and social sciences,,4,16.7,19.2,14.4,20.9,9.2,23.1,18.0,16.8
3385,r028,Number of early career doctorate holders -> Field of doctoral degree -> S&E -> Psychology and social sciences -> Psychology,Number of early career doctorate holders,Field of doctoral degree,S&E,Psychology and social sciences,Psychology,5,4.7,6.7,2.8,5.0,2.2,6.2,5.2,6.2
3385,r029,Number of early career doctorate holders -> Field of doctoral degree -> S&E -> Psychology and social sciences -> Social sciences,Number of early career doctorate holders,Field of doctoral degree,S&E,Psychology and social sciences,Social sciences,5,12.0,12.5,11.6,15.9,6.9,16.8,12.8,10.6
3385,r030,Number of early career doctorate holders -> Field of doctoral degree -> Health,Number of early career doctorate holders,Field of doctoral degree,Health,,,3,7.2,11.0,3.7,5.2,4.2,9.6,8.2,6.5
3385,r031,Number of early career doctorate holders -> Field of doctoral degree -> Non-S&E,Number of early career doctorate holders,Field of doctoral degree,Non-S&E,,,3,32.5,38.7,26.8,32.8,20.8,48.2,34.4,42.6
3385,r032,Number of early career doctorate holders -> Field of doctoral degree -> Non-S&E -> Education,Number of early career doctorate holders,Field of doctoral degree,Non-S&E,Education,,4,11.3,16.0,7.0,11.6,4.7,20.3,12.5,13.0
3385,r033,Number of early career doctorate holders -> Field of doctoral degree -> Non-S&E -> Humanities,Number of early career doctorate holders,Field of doctoral degree,Non-S&E,Humanities,,4,8.4,9.1,7.8,11.4,2.3,8.0,9.8,15.4
3385,r034,Number of early career doctorate holders -> Field of doctoral degree -> Non-S&E -> Other Non-S&E,Number of early career doctorate holders,Field of doctoral degree,Non-S&E,Other Non-S&E,,4,12.8,13.6,12.0,9.9,13.8,19.9,12.2,14.2
