table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_r_d,field_r_d_rank,field_performer_source_of_funds_,field_federal,field_ffrdcs_total,field_ffrdcs_federal,field_ffrdcs_nonfederald,field_business_total,field_business_own,field_business_paid_by_others_nonfederale,field_business_paid_by_others_federal,field_higher_educationa_total,field_higher_educationa_federal,field_higher_educationa_other_government,field_higher_educationa_business,field_higher_educationa_higher_education,field_higher_educationa_nonprofit,field_higher_educationa_other,field_other_nonprofit_institutions_federalf,field_state_internalb_total,field_gdp,field_gdp_rank,field_r_d_intensityc_percent,field_r_d_intensityc_rank
2019,r023,States total<sup>g</sup> -> Maryland,States total<sup>g</sup>,Maryland,2,20859,7,,10027,922,922,0,5595,3106,458,2030,4020,3084,83,123,513,205,13,294,1.08,398416,15,5.24,4
2019,r024,States total<sup>g</sup> -> Massachusetts,States total<sup>g</sup>,Massachusetts,2,31299,2,,359,1678,1671,7,23655,18912,4102,641,3928,2195,50,292,873,379,138,1670,9,540949,10,5.79,2
2019,r025,States total<sup>g</sup> -> Michigan,States total<sup>g</sup>,Michigan,2,23855,5,,102,0,0,0,21042,19101,1712,229,2662,1361,56,117,972,113,43,48,1,505845,14,4.72,6
2019,r026,States total<sup>g</sup> -> Minnesota,States total<sup>g</sup>,Minnesota,2,8470,18,,38,0,0,0,7146,6633,274,239,969,470,78,37,323,26,35,316,1,352267,16,2.4,15
2019,r027,States total<sup>g</sup> -> Mississippi,States total<sup>g</sup>,Mississippi,2,991,41,,244,0,0,0,266,221,17,28,479,210,95,15,142,13,4,0.05,1.19,109901,37,0.9,40
2019,r028,States total<sup>g</sup> -> Missouri,States total<sup>g</sup>,Missouri,2,6518,24,,35,0,0,0,5299,3433,0 - 877,"989 - 1,867",1149,655,7,80,298,93,16,27,8,304051,22,2.14,24
2019,r029,States total<sup>g</sup> -> Montana,States total<sup>g</sup>,Montana,2,414,48,,44,0,0,0,133,114,12,6,229,126,21,3,66,6,7,4,4,47074,49,0.88,41
2019,r030,States total<sup>g</sup> -> Nebraska,States total<sup>g</sup>,Nebraska,2,1150,38,,34,0,0,0,592,470,53,68,514,203,80,28,160,19,23,10,0.05,118546,36,0.97,39
2019,r031,States total<sup>g</sup> -> Nevada,States total<sup>g</sup>,Nevada,2,846,42,,15,0,0,0,624,439,165,21,206,103,27,4,63,2,7,1,0.05,157021,33,0.54,50
2019,r032,States total<sup>g</sup> -> New Hampshire,States total<sup>g</sup>,New Hampshire,2,1845,34,,14,0,0,0,1361,754,221,386,456,231,6,16,176,17,9,13,0.05,81179,40,2.27,18
2019,r033,States total<sup>g</sup> -> New Jersey,States total<sup>g</sup>,New Jersey,2,18495,8,,741,81,81,0,16405,13228,2768,408,1253,657,115,65,343,62,13,13,2,599315,8,3.09,12
2019,r034,States total<sup>g</sup> -> New Mexico,States total<sup>g</sup>,New Mexico,2,6595,23,,519,4863,4802,61,802,298,205,298,374,244,23,5,77,17,7,36,1,94238,38,7.0,1
2019,r035,States total<sup>g</sup> -> New York,States total<sup>g</sup>,New York,2,23631,6,,251,557,539,18,15671,13430,1216,1024,6360,3244,267,436,1616,543,253,547,246,1598457,3,1.48,33
2019,r036,States total<sup>g</sup> -> North Carolina,States total<sup>g</sup>,North Carolina,2,13799,11,,318,0,0,0,10246,7502,2569,175,3082,1772,141,352,586,188,43,133,20,537889,11,2.57,14
2019,r037,States total<sup>g</sup> -> North Dakota,States total<sup>g</sup>,North Dakota,2,592,44,,29,0,0,0,304,276,25,4,256,78,64,10,95,2,6,1,2,51612,47,1.15,36
2019,r038,States total<sup>g</sup> -> Ohio,States total<sup>g</sup>,Ohio,2,13056,12,,765,0,0,0,9769,6697,2495,576,2299,1366,98,200,455,147,33,220,3,645820,7,2.02,28
2019,r039,States total<sup>g</sup> -> Oklahoma,States total<sup>g</sup>,Oklahoma,2,1531,36,,152,0,0,0,833,775,34,24,506,196,65,37,189,9,10,34,6.08,187348,29,0.82,43
2019,r040,States total<sup>g</sup> -> Oregon,States total<sup>g</sup>,Oregon,2,8579,17,,69,0,0,0,7691,7426,207,58,781,519,61,37,93,59,12,19,19,226057,25,3.8,7
2019,r041,States total<sup>g</sup> -> Pennsylvania,States total<sup>g</sup>,Pennsylvania,2,15998,10,,333,133,133,0,10986,9576,1237,173,4180,2356,99,261,1106,246,113,357,9,752340,6,2.13,26
2019,r042,States total<sup>g</sup> -> Rhode Island,States total<sup>g</sup>,Rhode Island,2,1410,37,,272,0,0,0,730,657,30,44,331,218,12,6,66,22,6,76,0.05,59255,45,2.38,17
2019,r043,States total<sup>g</sup> -> South Carolina,States total<sup>g</sup>,South Carolina,2,2360,32,,84,141,141,0,1370,1212,98,60,699,330,28,46,260,24,12,39,26,221897,26,1.06,37
2019,r044,States total<sup>g</sup> -> South Dakota,States total<sup>g</sup>,South Dakota,2,343,50,,14,0,0,0,199,189,9,1,113,54,23,2,24,6,3,16,0.05,49609,48,0.69,45
2019,r045,States total<sup>g</sup> -> Tennessee,States total<sup>g</sup>,Tennessee,2,4521,27,,152,1403,1373,30,1407,1172,195,39,1184,700,30,60,333,45,16,372,3,347835,18,1.3,34
2019,r046,States total<sup>g</sup> -> Texas,States total<sup>g</sup>,Texas,2,27113,3,,433,6,5,1,21002,17752,2521,729,5495,2178,894,371,1376,422,254,172,4,1654494,2,1.64,31
2019,r047,States total<sup>g</sup> -> Utah,States total<sup>g</sup>,Utah,2,3664,29,,187,0,0,0,2846,2171,136,539,611,414,24,41,95,26,11,1,18,165703,31,2.21,21
2019,r048,States total<sup>g</sup> -> Vermont,States total<sup>g</sup>,Vermont,2,381,49,,4,0,0,0,253,241,7,4,123,82,0,3,29,7,2,1,0.05,32623,51,1.17,35
2019,r049,States total<sup>g</sup> -> Virginia,States total<sup>g</sup>,Virginia,2,8897,16,,1613,1267,1243,24,4332,2659,336,1338,1551,750,79,78,513,71,60,122,12,510425,13,1.74,30
2019,r050,States total<sup>g</sup> -> Washington,States total<sup>g</sup>,Washington,2,24958,4,,255,984,971,13,21462,20820,472,169,1741,1122,83,66,263,169,38,501,15,522426,12,4.78,5
2019,r051,States total<sup>g</sup> -> West Virginia,States total<sup>g</sup>,West Virginia,2,492,47,,54,0,0,0,212,182,7,23,210,87,12,10,78,4,20,14,2,73099,41,0.67,46
2019,r052,States total<sup>g</sup> -> Wisconsin,States total<sup>g</sup>,Wisconsin,2,7020,22,,49,0,0,0,5436,4777,554,105,1504,720,80,47,477,129,52,26,5,321584,21,2.18,23
2019,r053,States total<sup>g</sup> -> Wyoming,States total<sup>g</sup>,Wyoming,2,219,51,,4,0,0,0,87,82,3,2,125,56,15,4,46,2,2,0.05,3,37625,50,0.58,49
2019,r054,U.S. undistributed<sup>h</sup>,U.S. undistributed<sup>h</sup>,,1,4340,na,,2159,0,0,0,2181,1561,0 - 621,0 - 621,0,0,0,0,0,0,0,0,0,0,na,na,na
2019,r055,Puerto Rico,Puerto Rico,,1,558,na,,7,0,0,0,437,391,NA,NA,114,74,3,5,30,1,1,0.05,na,104250,na,NA,na
2019,r056,Other<sup>i</sup><sup> </sup>,Other<sup>i</sup><sup> </sup>,,1,29,na,,8,0,0,0,0,0,0,0,21,19,0.05,0.05,2,0.05,0,0.53,na,na,na,na,na
