table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients,field_historically_black_college_or_university
3283,r017,"All institutions  -> Top 50 U.S. institutions  -> Southern U. and A&M C., Baton Rouge",All institutions ,Top 50 U.S. institutions ,"Southern U. and A&M C., Baton Rouge",3,47,Yes
3283,r018,All institutions  -> Top 50 U.S. institutions  -> Xavier U. Louisiana,All institutions ,Top 50 U.S. institutions ,Xavier U. Louisiana,3,47,Yes
3283,r019,"All institutions  -> Top 50 U.S. institutions  -> Louisiana State U., Baton Rouge",All institutions ,Top 50 U.S. institutions ,"Louisiana State U., Baton Rouge",3,45,No
3283,r020,All institutions  -> Top 50 U.S. institutions  -> Massachusetts Institute of Technology,All institutions ,Top 50 U.S. institutions ,Massachusetts Institute of Technology,3,45,No
3283,r021,All institutions  -> Top 50 U.S. institutions  -> Harvard U.,All institutions ,Top 50 U.S. institutions ,Harvard U.,3,44,No
3283,r022,All institutions  -> Top 50 U.S. institutions  -> Tuskegee U.,All institutions ,Top 50 U.S. institutions ,Tuskegee U.,3,41,Yes
3283,r023,"All institutions  -> Top 50 U.S. institutions  -> U. Michigan, Ann Arbor",All institutions ,Top 50 U.S. institutions ,"U. Michigan, Ann Arbor",3,41,No
3283,r024,All institutions  -> Top 50 U.S. institutions  -> Yale U.,All institutions ,Top 50 U.S. institutions ,Yale U.,3,40,No
3283,r025,All institutions  -> Top 50 U.S. institutions  -> Stanford U.,All institutions ,Top 50 U.S. institutions ,Stanford U.,3,39,No
3283,r026,All institutions  -> Top 50 U.S. institutions  -> Oakwood U.,All institutions ,Top 50 U.S. institutions ,Oakwood U.,3,37,Yes
3283,r027,"All institutions  -> Top 50 U.S. institutions  -> U. Illinois, Urbana-Champaign",All institutions ,Top 50 U.S. institutions ,"U. Illinois, Urbana-Champaign",3,37,No
3283,r028,All institutions  -> Top 50 U.S. institutions  -> Florida International U.,All institutions ,Top 50 U.S. institutions ,Florida International U.,3,36,No
3283,r029,All institutions  -> Top 50 U.S. institutions  -> Georgia State U.,All institutions ,Top 50 U.S. institutions ,Georgia State U.,3,36,No
3283,r030,All institutions  -> Top 50 U.S. institutions  -> Prairie View A&M U.,All institutions ,Top 50 U.S. institutions ,Prairie View A&M U.,3,35,Yes
3283,r031,"All institutions  -> Top 50 U.S. institutions  -> Rutgers, State U. New Jersey, New Brunswick",All institutions ,Top 50 U.S. institutions ,"Rutgers, State U. New Jersey, New Brunswick",3,34,No
3283,r032,All institutions  -> Top 50 U.S. institutions  -> Cornell U.,All institutions ,Top 50 U.S. institutions ,Cornell U.,3,32,No
3283,r033,All institutions  -> Top 50 U.S. institutions  -> Temple U.,All institutions ,Top 50 U.S. institutions ,Temple U.,3,32,No
3283,r034,All institutions  -> Top 50 U.S. institutions  -> U. Georgia,All institutions ,Top 50 U.S. institutions ,U. Georgia,3,32,No
3283,r035,"All institutions  -> Top 50 U.S. institutions  -> CUNY, City C.",All institutions ,Top 50 U.S. institutions ,"CUNY, City C.",3,31,No
3283,r036,All institutions  -> Top 50 U.S. institutions  -> Columbia U. in the City of New York,All institutions ,Top 50 U.S. institutions ,Columbia U. in the City of New York,3,31,No
3283,r037,All institutions  -> Top 50 U.S. institutions  -> Emory U.,All institutions ,Top 50 U.S. institutions ,Emory U.,3,31,No
3283,r038,All institutions  -> Top 50 U.S. institutions  -> North Carolina State U.,All institutions ,Top 50 U.S. institutions ,North Carolina State U.,3,31,No
3283,r039,All institutions  -> Top 50 U.S. institutions  -> U. Pennsylvania,All institutions ,Top 50 U.S. institutions ,U. Pennsylvania,3,31,No
3283,r040,All institutions  -> Top 50 U.S. institutions  -> Clark Atlanta U.,All institutions ,Top 50 U.S. institutions ,Clark Atlanta U.,3,30,Yes
3283,r041,All institutions  -> Top 50 U.S. institutions  -> North Carolina Central U.,All institutions ,Top 50 U.S. institutions ,North Carolina Central U.,3,30,Yes
3283,r042,"All institutions  -> Top 50 U.S. institutions  -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions ,Top 50 U.S. institutions ,"Pennsylvania State U., University Park and Hershey Medical Center",3,30,No
3283,r043,All institutions  -> Top 50 U.S. institutions  -> Michigan State U.,All institutions ,Top 50 U.S. institutions ,Michigan State U.,3,29,No
3283,r044,All institutions  -> Top 50 U.S. institutions  -> Georgia Institute of Technology,All institutions ,Top 50 U.S. institutions ,Georgia Institute of Technology,3,28,No
3283,r045,All institutions  -> Top 50 U.S. institutions  -> Norfolk State U.,All institutions ,Top 50 U.S. institutions ,Norfolk State U.,3,28,Yes
3283,r046,"All institutions  -> Top 50 U.S. institutions  -> U. South Florida, Tampa",All institutions ,Top 50 U.S. institutions ,"U. South Florida, Tampa",3,28,No
3283,r047,All institutions  -> Top 50 U.S. institutions  -> U. Southern Mississippi,All institutions ,Top 50 U.S. institutions ,U. Southern Mississippi,3,28,No
3283,r048,"All institutions  -> Top 50 U.S. institutions  -> CUNY, Hunter C.",All institutions ,Top 50 U.S. institutions ,"CUNY, Hunter C.",3,27,No
3283,r049,All institutions  -> Top 50 U.S. institutions  -> Duke U.,All institutions ,Top 50 U.S. institutions ,Duke U.,3,27,No
3283,r050,All institutions  -> Top 50 U.S. institutions  -> Grambling State U.,All institutions ,Top 50 U.S. institutions ,Grambling State U.,3,27,Yes
3283,r051,All institutions  -> Top 50 U.S. institutions  -> Mississippi State U.,All institutions ,Top 50 U.S. institutions ,Mississippi State U.,3,27,No
3283,r052,"All institutions  -> Top 50 U.S. institutions  -> U. California, Berkeley",All institutions ,Top 50 U.S. institutions ,"U. California, Berkeley",3,27,No
3283,r053,All institutions  -> Top 50 U.S. institutions  -> Virginia Polytechnic Institute and State U.,All institutions ,Top 50 U.S. institutions ,Virginia Polytechnic Institute and State U.,3,27,No
3283,r054,All institutions  -> Other U.S. institutions,All institutions ,Other U.S. institutions,,2,4219,-
