table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_energy_companiesb_number_,field_energy_amount,field_environmental_protection_companiesb_number_,field_environmental_protection_amount
2731,r023,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['126', '  ']","['402', '  ']","['D', '&nbsp;']","['2', '  ']","['5', 'i ']","['9', '  ']"
2731,r024,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337","['136', '  ']","['173', '  ']","['6', '  ']","['4', '  ']","['4', '  ']","['13', '  ']"
2731,r025,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['2,114', '  ']","['23,838', '  ']","['500', 'i ']","['944', '  ']","['128', 'i ']","['977', '  ']"
2731,r026,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['10', '  ']","['130', '  ']","['5', '  ']","['89', '  ']","['D', '  ']","['13', '  ']"
2731,r027,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['6', '  ']","['51', '  ']","['5', '  ']","['50', '  ']","['D', '  ']","['34', '  ']"
2731,r028,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['40', '  ']","['25', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2731,r029,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['150', '  ']","['862', '  ']","['3', '  ']","['136', '  ']","['0', '  ']","['0', '  ']"
2731,r030,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['53', '  ']","['489', '  ']","['3', '  ']","['136', '  ']","['0', '  ']","['0', '  ']"
2731,r031,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['12', '  ']","['65', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2731,r032,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['42', '  ']","['191', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2731,r033,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['43', '  ']","['117', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2731,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['1,766', '  ']","['22,486', '  ']","['482', 'i ']","['659', 'i ']","['116', 'i ']","['911', '  ']"
2731,r035,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['348', '  ']","['1,684', '  ']","['105', 'i ']","['318', 'i ']","['52', 'i ']","['852', '  ']"
2731,r036,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,010', '  ']","['17,761', '  ']","['356', 'i ']","['323', '  ']","['53', '  ']","['46', '  ']"
2731,r037,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['143', '  ']","['5,037', '  ']","['5', 'i ']","['*', 'i ']","['7', 'i ']","['1', 'i ']"
2731,r038,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,"['866', '  ']","['12,724', '  ']","['351', 'i ']","['323', '  ']","['46', '  ']","['45', '  ']"
2731,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['408', '  ']","['3,041', '  ']","['20', '  ']","['18', '  ']","['11', '  ']","['13', '  ']"
2731,r040,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['86', '  ']","['75', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2731,r041,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45, 48–49, 52–53, 55–56, 624, 71–72, 81","['56', '  ']","['209', '  ']","['5', '  ']","['9', '  ']","['6', '  ']","['18', '  ']"
2731,r042,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['3,876', '  ']","['63,230', '  ']","['790', 'i ']","['1,949', '  ']","['237', '  ']","['1,763', '  ']"
2731,r043,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2731,r044,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['939', '  ']","['1,050', '  ']","['224', 'i ']","['216', '  ']","['53', 'i ']","['38', 'i ']"
2731,r045,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['1,059', '  ']","['1,695', '  ']","['191', 'i ']","['148', '  ']","['50', 'i ']","['76', 'i ']"
2731,r046,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2731,r047,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['484', '  ']","['1,875', '  ']","['64', 'i ']","['74', '  ']","['30', '  ']","['35', '  ']"
2731,r048,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['726', 'i ']","['3,921', '  ']","['178', 'i ']","['156', '  ']","['26', 'i ']","['83', '  ']"
2731,r049,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2731,r050,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['233', '  ']","['3,041', '  ']","['34', 'i ']","['111', '  ']","['18', '  ']","['97', '  ']"
2731,r051,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['123', '  ']","['2,096', '  ']","['21', 'i ']","['103', 'i ']","['12', '  ']","['137', 'i ']"
2731,r052,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['173', '  ']","['10,068', '  ']","['39', '  ']","['310', '  ']","['25', '  ']","['100', '  ']"
2731,r053,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['47', '  ']","['9,063', '  ']","['11', '  ']","['133', 'i ']","['3', '  ']","['193', '  ']"
2731,r054,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['57', '  ']","['9,997', '  ']","['18', '  ']","['271', '  ']","['12', '  ']","['38', '  ']"
2731,r055,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['36', '  ']","['20,423', '  ']","['10', '  ']","['426', '  ']","['8', '  ']","['966', '  ']"
