table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_graduate_students_rank,field_all_graduate_students_total,field_all_graduate_students_science,field_all_graduate_students_engineering,field_all_graduate_students_health,field_full_time_students_rank,field_full_time_students_total,field_full_time_students_science,field_full_time_students_engineering,field_full_time_students_health,field_part_time_students_rank,field_part_time_students_total,field_part_time_students_science,field_part_time_students_engineering,field_part_time_students_health
6046,r017,"All institutions<sup>a</sup> -> U. California, Berkeley",All institutions<sup>a</sup>,"U. California, Berkeley",2,16,6556,4282,1679,595,11,5580,3546,1636,398,47,976,736,43,197
6046,r018,"All institutions<sup>a</sup> -> U. Maryland, College Park",All institutions<sup>a</sup>,"U. Maryland, College Park",2,17,6374,3560,1660,1154,21,4730,3074,1190,466,17,1644,486,470,688
6046,r019,All institutions<sup>a</sup> -> George Washington U.,All institutions<sup>a</sup>,George Washington U.,2,18,6358,3855,801,1702,45,2855,2171,262,422,5,3503,1684,539,1280
6046,r020,"All institutions<sup>a</sup> -> U. Texas, Austin",All institutions<sup>a</sup>,"U. Texas, Austin",2,19,6043,3647,2005,391,20,4905,2924,1681,300,31,1138,723,324,91
6046,r021,All institutions<sup>a</sup> -> Stanford U.,All institutions<sup>a</sup>,Stanford U.,2,20,5943,3554,2231,158,9,5698,3426,2133,139,204,245,128,98,19
6046,r022,All institutions<sup>a</sup> -> Boston U.,All institutions<sup>a</sup>,Boston U.,2,21,5880,4011,997,872,31,4305,2863,798,644,20,1575,1148,199,228
6046,r023,All institutions<sup>a</sup> -> U. Wisconsin-Madison,All institutions<sup>a</sup>,U. Wisconsin-Madison,2,22,5876,4080,1396,400,19,4908,3500,1068,340,49,968,580,328,60
6046,r024,All institutions<sup>a</sup> -> U. Minnesota,All institutions<sup>a</sup>,U. Minnesota,2,23,5794,3750,1257,787,15,5258,3476,1130,652,100,536,274,127,135
6046,r025,"All institutions<sup>a</sup> -> U. California, Los Angeles",All institutions<sup>a</sup>,"U. California, Los Angeles",2,24,5757,3384,1826,547,8,5757,3384,1826,547,640,0,0,0,0
6046,r026,All institutions<sup>a</sup> -> Northeastern U.,All institutions<sup>a</sup>,Northeastern U.,2,25,5740,2458,3167,115,12,5389,2260,3020,109,153,351,198,147,6
6046,r027,All institutions<sup>a</sup> -> North Carolina State U.,All institutions<sup>a</sup>,North Carolina State U.,2,26,5717,3248,2469,0,29,4501,2625,1876,0,29,1216,623,593,0
6046,r028,All institutions<sup>a</sup> -> Cornell U.,All institutions<sup>a</sup>,Cornell U.,2,27,5339,3541,1707,91,13,5339,3541,1707,91,640,0,0,0,0
6046,r029,All institutions<sup>a</sup> -> Ohio State U.,All institutions<sup>a</sup>,Ohio State U.,2,28,5076,2874,1662,540,28,4568,2698,1458,412,108,508,176,204,128
6046,r030,"All institutions<sup>a</sup> -> U. California, San Diego",All institutions<sup>a</sup>,"U. California, San Diego",2,29,5003,2980,2023,0,23,4677,2809,1868,0,162,326,171,155,0
6046,r031,All institutions<sup>a</sup> -> Carnegie Mellon U.,All institutions<sup>a</sup>,Carnegie Mellon U.,2,30,4805,2516,2289,0,25,4598,2443,2155,0,232,207,73,134,0
6046,r032,All institutions<sup>a</sup> -> U. Chicago,All institutions<sup>a</sup>,U. Chicago,2,31,4719,4511,208,0,32,4105,3898,207,0,83,614,613,1,0
6046,r033,All institutions<sup>a</sup> -> Massachusetts Institute of Technology,All institutions<sup>a</sup>,Massachusetts Institute of Technology,2,32,4692,2397,2295,0,22,4682,2395,2287,0,572,10,2,8,0
6046,r034,All institutions<sup>a</sup> -> Indiana U.,All institutions<sup>a</sup>,Indiana U.,2,33,4646,3464,399,783,37,3510,2767,204,539,32,1136,697,195,244
6046,r035,All institutions<sup>a</sup> -> Virginia Polytechnic Institute and State U.,All institutions<sup>a</sup>,Virginia Polytechnic Institute and State U.,2,34,4533,2590,1883,60,38,3236,1628,1562,46,26,1297,962,321,14
6046,r036,All institutions<sup>a</sup> -> Harvard U.,All institutions<sup>a</sup>,Harvard U.,2,35,4405,3289,463,653,33,4088,3154,452,482,165,317,135,11,171
6046,r037,"All institutions<sup>a</sup> -> U. California, Davis",All institutions<sup>a</sup>,"U. California, Davis",2,36,4385,3203,939,243,30,4306,3171,901,234,379,79,32,38,9
6046,r038,All institutions<sup>a</sup> -> George Mason U.,All institutions<sup>a</sup>,George Mason U.,2,37,4336,3535,520,281,61,2248,1853,245,150,13,2088,1682,275,131
6046,r039,"All institutions<sup>a</sup> -> U. South Florida, Tampa",All institutions<sup>a</sup>,"U. South Florida, Tampa",2,38,4330,2297,822,1211,42,3037,1839,637,561,27,1293,458,185,650
6046,r040,"All institutions<sup>a</sup> -> Rutgers, State U. New Jersey",All institutions<sup>a</sup>,"Rutgers, State U. New Jersey",2,39,4206,3306,832,68,40,3162,2578,539,45,40,1044,728,293,23
6046,r041,All institutions<sup>a</sup> -> U. Arizona,All institutions<sup>a</sup>,U. Arizona,2,40,4132,2691,784,657,46,2666,1864,407,395,21,1466,827,377,262
6046,r042,All institutions<sup>a</sup> -> Northwestern U.,All institutions<sup>a</sup>,Northwestern U.,2,41,4101,2657,1192,252,36,3512,2288,1054,170,88,589,369,138,82
6046,r043,"All institutions<sup>a</sup> -> U. Texas, Dallas",All institutions<sup>a</sup>,"U. Texas, Dallas",2,42,4045,2843,969,233,41,3072,2151,699,222,48,973,692,270,11
6046,r044,"All institutions<sup>a</sup> -> SUNY, U. Buffalo",All institutions<sup>a</sup>,"SUNY, U. Buffalo",2,43,3957,2138,1334,485,72,1965,1115,521,329,16,1992,1023,813,156
6046,r045,"All institutions<sup>a</sup> -> U. California, Irvine",All institutions<sup>a</sup>,"U. California, Irvine",2,44,3886,2679,1039,168,34,3707,2557,990,160,256,179,122,49,8
6046,r046,"All institutions<sup>a</sup> -> U. North Carolina, Chapel Hill",All institutions<sup>a</sup>,"U. North Carolina, Chapel Hill",2,45,3811,2440,109,1262,35,3531,2388,108,1035,178,280,52,1,227
6046,r047,All institutions<sup>a</sup> -> U. Pittsburgh,All institutions<sup>a</sup>,U. Pittsburgh,2,46,3782,2369,848,565,39,3219,2109,683,427,94,563,260,165,138
6046,r048,"All institutions<sup>a</sup> -> U. Maryland, U. C.",All institutions<sup>a</sup>,"U. Maryland, U. C.",2,47,3742,3742,0,0,527,52,52,0,0,4,3690,3690,0,0
6046,r049,All institutions<sup>a</sup> -> U. Central Florida,All institutions<sup>a</sup>,U. Central Florida,2,48,3713,1779,1283,651,55,2450,1276,758,416,28,1263,503,525,235
6046,r050,"All institutions<sup>a</sup> -> Colorado State U., Fort Collins",All institutions<sup>a</sup>,"Colorado State U., Fort Collins",2,49,3629,2675,892,62,114,1261,1018,200,43,10,2368,1657,692,19
6046,r051,All institutions<sup>a</sup> -> U. Utah,All institutions<sup>a</sup>,U. Utah,2,50,3618,2231,891,496,47,2661,1661,646,354,50,957,570,245,142
6046,r052,All institutions<sup>a</sup> -> Michigan State U.,All institutions<sup>a</sup>,Michigan State U.,2,51,3590,2736,554,300,43,2891,2224,473,194,75,699,512,81,106
6046,r053,All institutions<sup>a</sup> -> Florida State U.,All institutions<sup>a</sup>,Florida State U.,2,52,3348,2777,311,260,60,2295,1937,220,138,38,1053,840,91,122
6046,r054,"All institutions<sup>a</sup> -> U. Massachusetts, Amherst",All institutions<sup>a</sup>,"U. Massachusetts, Amherst",2,53,3314,2236,643,435,50,2530,1894,464,172,62,784,342,179,263
6046,r055,All institutions<sup>a</sup> -> U. Cincinnati,All institutions<sup>a</sup>,U. Cincinnati,2,54,3305,1633,872,800,75,1922,1026,491,405,24,1383,607,381,395
6046,r056,"All institutions<sup>a</sup> -> U. Illinois, Chicago",All institutions<sup>a</sup>,"U. Illinois, Chicago",2,55,3286,1738,849,699,52,2513,1391,668,454,64,773,347,181,245
6046,r057,All institutions<sup>a</sup> -> U. Connecticut,All institutions<sup>a</sup>,U. Connecticut,2,56,3275,2064,884,327,48,2639,1790,590,259,80,636,274,294,68
6046,r058,All institutions<sup>a</sup> -> Oregon State U.,All institutions<sup>a</sup>,Oregon State U.,2,57,3062,1881,849,332,58,2365,1439,709,217,76,697,442,140,115
6046,r059,"All institutions<sup>a</sup> -> Washington U., Saint Louis",All institutions<sup>a</sup>,"Washington U., Saint Louis",2,58,2964,1714,1000,250,49,2555,1568,797,190,136,409,146,203,60
6046,r060,"All institutions<sup>a</sup> -> SUNY, Stony Brook U.",All institutions<sup>a</sup>,"SUNY, Stony Brook U.",2,59,2955,2216,548,191,54,2501,1897,444,160,122,454,319,104,31
6046,r061,All institutions<sup>a</sup> -> Georgetown U.,All institutions<sup>a</sup>,Georgetown U.,2,60,2954,2873,0,81,56,2446,2409,0,37,108,508,464,0,44
6046,r062,All institutions<sup>a</sup> -> Texas Tech U.,All institutions<sup>a</sup>,Texas Tech U.,2,61,2909,1886,814,209,63,2188,1467,570,151,72,721,419,244,58
6046,r063,All institutions<sup>a</sup> -> Iowa State U.,All institutions<sup>a</sup>,Iowa State U.,2,62,2902,1919,955,28,82,1772,1186,566,20,33,1130,733,389,8
6046,r064,All institutions<sup>a</sup> -> U. Virginia,All institutions<sup>a</sup>,U. Virginia,2,63,2897,1849,863,185,57,2442,1570,711,161,121,455,279,152,24
6046,r065,"All institutions<sup>a</sup> -> U. Texas, Arlington",All institutions<sup>a</sup>,"U. Texas, Arlington",2,63,2897,1422,1366,109,77,1823,933,831,59,36,1074,489,535,50
6046,r066,All institutions<sup>a</sup> -> Duke U.,All institutions<sup>a</sup>,Duke U.,2,65,2886,1931,809,146,44,2886,1931,809,146,640,0,0,0,0
6046,r067,All institutions<sup>a</sup> -> U. Houston,All institutions<sup>a</sup>,U. Houston,2,66,2873,1691,1008,174,65,2161,1261,744,156,73,712,430,264,18
6046,r068,All institutions<sup>a</sup> -> U. Georgia,All institutions<sup>a</sup>,U. Georgia,2,67,2738,2297,169,272,53,2509,2104,158,247,214,229,193,11,25
6046,r069,"All institutions<sup>a</sup> -> U. Tennessee, Knoxville",All institutions<sup>a</sup>,"U. Tennessee, Knoxville",2,68,2619,1490,981,148,111,1295,772,419,104,25,1324,718,562,44
6046,r070,All institutions<sup>a</sup> -> Lamar U.,All institutions<sup>a</sup>,Lamar U.,2,69,2575,2109,177,289,87,1557,1266,117,174,45,1018,843,60,115
6046,r071,All institutions<sup>a</sup> -> U. Pennsylvania,All institutions<sup>a</sup>,U. Pennsylvania,2,70,2559,2007,552,0,51,2516,1988,528,0,454,43,19,24,0
6046,r072,All institutions<sup>a</sup> -> Syracuse U.,All institutions<sup>a</sup>,Syracuse U.,2,71,2549,2051,469,29,79,1798,1416,357,25,67,751,635,112,4
6046,r073,All institutions<sup>a</sup> -> San Jose State U.,All institutions<sup>a</sup>,San Jose State U.,2,72,2530,724,1663,143,91,1466,439,913,114,37,1064,285,750,29
6046,r074,All institutions<sup>a</sup> -> Clemson U.,All institutions<sup>a</sup>,Clemson U.,2,73,2486,1343,1018,125,71,1967,942,936,89,105,519,401,82,36
6046,r075,All institutions<sup>a</sup> -> Florida International U.,All institutions<sup>a</sup>,Florida International U.,2,74,2462,1602,477,383,73,1961,1300,364,297,110,501,302,113,86
6046,r076,All institutions<sup>a</sup> -> Tufts U.,All institutions<sup>a</sup>,Tufts U.,2,75,2430,1866,327,237,74,1941,1529,260,152,113,489,337,67,85
6046,r077,All institutions<sup>a</sup> -> Pepperdine U.,All institutions<sup>a</sup>,Pepperdine U.,2,76,2429,2429,0,0,152,807,807,0,0,19,1622,1622,0,0
6046,r078,"All institutions<sup>a</sup> -> U. Alabama, Birmingham",All institutions<sup>a</sup>,"U. Alabama, Birmingham",2,77,2382,1284,555,543,103,1361,953,148,260,44,1021,331,407,283
6046,r079,All institutions<sup>a</sup> -> National U.,All institutions<sup>a</sup>,National U.,2,78,2354,2200,0,154,116,1239,1129,0,110,34,1115,1071,0,44
6046,r080,All institutions<sup>a</sup> -> Auburn U.,All institutions<sup>a</sup>,Auburn U.,2,79,2352,1247,1018,87,110,1311,674,570,67,42,1041,573,448,20
6046,r081,All institutions<sup>a</sup> -> U. Oklahoma,All institutions<sup>a</sup>,U. Oklahoma,2,80,2300,1677,517,106,94,1435,1053,304,78,56,865,624,213,28
6046,r082,"All institutions<sup>a</sup> -> U. California, Riverside",All institutions<sup>a</sup>,"U. California, Riverside",2,81,2299,1636,663,0,64,2181,1634,547,0,325,118,2,116,0
6046,r083,All institutions<sup>a</sup> -> Princeton U.,All institutions<sup>a</sup>,Princeton U.,2,82,2296,1586,710,0,59,2296,1586,710,0,640,0,0,0,0
6046,r084,All institutions<sup>a</sup> -> Case Western Reserve U.,All institutions<sup>a</sup>,Case Western Reserve U.,2,83,2289,1505,627,157,68,2003,1307,561,135,175,286,198,66,22
6046,r085,"All institutions<sup>a</sup> -> U. Missouri, Columbia",All institutions<sup>a</sup>,"U. Missouri, Columbia",2,84,2282,1620,298,364,104,1359,1026,138,195,54,923,594,160,169
6046,r086,"All institutions<sup>a</sup> -> U. North Texas, Denton",All institutions<sup>a</sup>,"U. North Texas, Denton",2,85,2264,1816,285,163,109,1318,984,184,150,52,946,832,101,13
6046,r087,All institutions<sup>a</sup> -> Georgia State U.,All institutions<sup>a</sup>,Georgia State U.,2,86,2261,1864,0,397,76,1849,1571,0,278,135,412,293,0,119
6046,r088,All institutions<sup>a</sup> -> Drexel U.,All institutions<sup>a</sup>,Drexel U.,2,87,2253,1537,549,167,96,1419,950,374,95,58,834,587,175,72
6046,r089,All institutions<sup>a</sup> -> U. Kentucky,All institutions<sup>a</sup>,U. Kentucky,2,88,2249,1520,358,371,69,1979,1365,314,300,186,270,155,44,71
6046,r090,All institutions<sup>a</sup> -> U. Delaware,All institutions<sup>a</sup>,U. Delaware,2,89,2243,1464,663,116,67,2081,1350,618,113,271,162,114,45,3
6046,r091,"All institutions<sup>a</sup> -> U. California, Santa Barbara",All institutions<sup>a</sup>,"U. California, Santa Barbara",2,90,2241,1774,467,0,62,2241,1774,467,0,640,0,0,0,0
6046,r092,All institutions<sup>a</sup> -> DePaul U.,All institutions<sup>a</sup>,DePaul U.,2,91,2220,1992,116,112,96,1419,1245,82,92,61,801,747,34,20
6046,r093,All institutions<sup>a</sup> -> Wayne State U.,All institutions<sup>a</sup>,Wayne State U.,2,92,2169,1310,515,344,85,1608,1015,325,268,95,561,295,190,76
6046,r094,All institutions<sup>a</sup> -> U. New Mexico,All institutions<sup>a</sup>,U. New Mexico,2,92,2169,1240,608,321,127,1132,653,253,226,43,1037,587,355,95
6046,r095,All institutions<sup>a</sup> -> Yale U.,All institutions<sup>a</sup>,Yale U.,2,94,2114,1816,125,173,66,2092,1800,121,171,518,22,16,4,2
6046,r096,All institutions<sup>a</sup> -> U. Kansas,All institutions<sup>a</sup>,U. Kansas,2,95,2101,1503,342,256,83,1713,1234,282,197,143,388,269,60,59
6046,r097,All institutions<sup>a</sup> -> U. Nebraska-Lincoln,All institutions<sup>a</sup>,U. Nebraska-Lincoln,2,96,2064,1487,514,63,88,1554,1118,384,52,107,510,369,130,11
6046,r098,All institutions<sup>a</sup> -> Louisiana State U.,All institutions<sup>a</sup>,Louisiana State U.,2,97,2044,1394,425,225,80,1778,1224,348,206,188,266,170,77,19
6046,r099,All institutions<sup>a</sup> -> Washington State U.,All institutions<sup>a</sup>,Washington State U.,2,98,2037,1422,509,106,84,1685,1188,406,91,151,352,234,103,15
6046,r100,"All institutions<sup>a</sup> -> U. Texas, San Antonio",All institutions<sup>a</sup>,"U. Texas, San Antonio",2,99,2032,1455,467,110,133,1040,761,227,52,46,992,694,240,58
6046,r101,All institutions<sup>a</sup> -> Brown U.,All institutions<sup>a</sup>,Brown U.,2,100,2021,1549,263,209,70,1973,1522,251,200,447,48,27,12,9
6046,r102,All institutions<sup>a</sup> -> U. Denver,All institutions<sup>a</sup>,U. Denver,2,101,2011,1851,130,30,102,1367,1292,64,11,79,644,559,66,19
6046,r103,"All institutions<sup>a</sup> -> SUNY, Binghamton U.",All institutions<sup>a</sup>,"SUNY, Binghamton U.",2,102,1983,1285,634,64,95,1431,958,433,40,98,552,327,201,24
6046,r104,All institutions<sup>a</sup> -> U. Miami,All institutions<sup>a</sup>,U. Miami,2,103,1976,1602,229,145,81,1776,1459,211,106,237,200,143,18,39
6046,r105,All institutions<sup>a</sup> -> New Jersey Institute of Technology,All institutions<sup>a</sup>,New Jersey Institute of Technology,2,104,1943,1038,889,16,128,1130,676,445,9,59,813,362,444,7
6046,r106,"All institutions<sup>a</sup> -> U. Texas Health Science Center, Houston",All institutions<sup>a</sup>,"U. Texas Health Science Center, Houston",2,105,1935,1092,41,802,120,1177,789,39,349,65,758,303,2,453
6046,r107,All institutions<sup>a</sup> -> Florida Institute of Technology,All institutions<sup>a</sup>,Florida Institute of Technology,2,106,1908,1405,503,0,120,1177,924,253,0,69,731,481,250,0
6046,r108,All institutions<sup>a</sup> -> Mississippi State U.,All institutions<sup>a</sup>,Mississippi State U.,2,107,1893,1217,614,62,131,1082,765,272,45,60,811,452,342,17
6046,r109,All institutions<sup>a</sup> -> Stevens Institute of Technology,All institutions<sup>a</sup>,Stevens Institute of Technology,2,108,1886,671,1209,6,108,1337,564,769,4,99,549,107,440,2
6046,r110,All institutions<sup>a</sup> -> Illinois Institute of Technology,All institutions<sup>a</sup>,Illinois Institute of Technology,2,109,1879,1276,560,43,112,1291,883,403,5,89,588,393,157,38
6046,r111,"All institutions<sup>a</sup> -> SUNY, U. Albany",All institutions<sup>a</sup>,"SUNY, U. Albany",2,110,1858,1551,30,277,130,1083,928,24,131,63,775,623,6,146
6046,r112,All institutions<sup>a</sup> -> Vanderbilt U.,All institutions<sup>a</sup>,Vanderbilt U.,2,111,1848,1413,384,51,78,1820,1398,374,48,503,28,15,10,3
6046,r113,All institutions<sup>a</sup> -> U. Iowa,All institutions<sup>a</sup>,U. Iowa,2,112,1839,1243,285,311,86,1572,1074,239,259,187,267,169,46,52
6046,r114,"All institutions<sup>a</sup> -> Columbia U., Teachers C.",All institutions<sup>a</sup>,"Columbia U., Teachers C.",2,113,1827,1580,0,247,122,1170,1015,0,155,78,657,565,0,92
6046,r115,All institutions<sup>a</sup> -> Temple U.,All institutions<sup>a</sup>,Temple U.,2,114,1826,1457,187,182,93,1445,1152,143,150,144,381,305,44,32
6046,r116,All institutions<sup>a</sup> -> Oklahoma State U.,All institutions<sup>a</sup>,Oklahoma State U.,2,115,1815,1272,455,88,114,1261,897,287,77,97,554,375,168,11
6046,r117,All institutions<sup>a</sup> -> San Diego State U.,All institutions<sup>a</sup>,San Diego State U.,2,116,1787,1073,282,432,119,1209,681,154,374,92,578,392,128,58
6046,r118,All institutions<sup>a</sup> -> U. Wisconsin-Milwaukee,All institutions<sup>a</sup>,U. Wisconsin-Milwaukee,2,117,1774,1178,258,338,99,1394,929,185,280,145,380,249,73,58
6046,r119,"All institutions<sup>a</sup> -> U. Massachusetts, Lowell",All institutions<sup>a</sup>,"U. Massachusetts, Lowell",2,118,1768,794,833,141,150,820,350,391,79,51,948,444,442,62
6046,r120,All institutions<sup>a</sup> -> U. South Carolina,All institutions<sup>a</sup>,U. South Carolina,2,119,1740,965,352,423,100,1389,847,286,256,153,351,118,66,167
6046,r121,"All institutions<sup>a</sup> -> California State U., Northridge",All institutions<sup>a</sup>,"California State U., Northridge",2,120,1733,485,289,959,180,644,228,127,289,35,1089,257,162,670
6046,r122,All institutions<sup>a</sup> -> West Virginia U.,All institutions<sup>a</sup>,West Virginia U.,2,121,1722,1021,413,288,98,1413,857,311,245,167,309,164,102,43
6046,r123,All institutions<sup>a</sup> -> Rochester Institute of Technology,All institutions<sup>a</sup>,Rochester Institute of Technology,2,122,1717,1210,501,6,106,1339,978,358,3,147,378,232,143,3
6046,r124,All institutions<sup>a</sup> -> American U.,All institutions<sup>a</sup>,American U.,2,123,1698,1676,0,22,134,1012,999,0,13,77,686,677,0,9
6046,r125,All institutions<sup>a</sup> -> Tulane U.,All institutions<sup>a</sup>,Tulane U.,2,124,1689,1045,104,540,92,1453,1008,104,341,207,236,37,0,199
6046,r126,"All institutions<sup>a</sup> -> U. North Carolina, Charlotte",All institutions<sup>a</sup>,"U. North Carolina, Charlotte",2,125,1677,1243,321,113,125,1142,836,222,84,101,535,407,99,29
6046,r127,All institutions<sup>a</sup> -> Kansas State U.,All institutions<sup>a</sup>,Kansas State U.,2,126,1641,1325,278,38,122,1170,965,184,21,117,471,360,94,17
6046,r128,"All institutions<sup>a</sup> -> U. Alabama, Tuscaloosa",All institutions<sup>a</sup>,"U. Alabama, Tuscaloosa",2,127,1634,870,494,270,117,1236,721,327,188,140,398,149,167,82
6046,r129,All institutions<sup>a</sup> -> U. Notre Dame,All institutions<sup>a</sup>,U. Notre Dame,2,128,1625,998,627,0,89,1524,909,615,0,345,101,89,12,0
6046,r130,All institutions<sup>a</sup> -> Old Dominion U.,All institutions<sup>a</sup>,Old Dominion U.,2,129,1613,691,818,104,199,565,339,143,83,39,1048,352,675,21
6046,r131,"All institutions<sup>a</sup> -> U. Hawaii, Manoa",All institutions<sup>a</sup>,"U. Hawaii, Manoa",2,130,1612,1226,236,150,105,1352,1057,189,106,191,260,169,47,44
6046,r132,"All institutions<sup>a</sup> -> California State U., Fullerton",All institutions<sup>a</sup>,"California State U., Fullerton",2,131,1611,847,580,184,170,681,382,161,138,53,930,465,419,46
6046,r133,All institutions<sup>a</sup> -> U. Rochester,All institutions<sup>a</sup>,U. Rochester,2,132,1579,1167,322,90,90,1503,1140,318,45,387,76,27,4,45
6046,r134,All institutions<sup>a</sup> -> Worcester Polytechnic Institute,All institutions<sup>a</sup>,Worcester Polytechnic Institute,2,133,1545,572,973,0,179,648,302,346,0,55,897,270,627,0
6046,r135,"All institutions<sup>a</sup> -> U. Arkansas, Fayetteville",All institutions<sup>a</sup>,"U. Arkansas, Fayetteville",2,134,1539,844,593,102,214,496,284,136,76,41,1043,560,457,26
6046,r136,"All institutions<sup>a</sup> -> U. Nevada, Reno",All institutions<sup>a</sup>,"U. Nevada, Reno",2,135,1531,871,341,319,118,1220,752,304,164,166,311,119,37,155
6046,r137,All institutions<sup>a</sup> -> Naval Postgraduate School,All institutions<sup>a</sup>,Naval Postgraduate School,2,136,1492,539,953,0,139,963,539,424,0,102,529,0,529,0
6046,r138,All institutions<sup>a</sup> -> Portland State U.,All institutions<sup>a</sup>,Portland State U.,2,137,1481,958,432,91,142,900,601,227,72,91,581,357,205,19
6046,r139,All institutions<sup>a</sup> -> Rice U.,All institutions<sup>a</sup>,Rice U.,2,138,1449,759,690,0,101,1387,719,668,0,415,62,40,22,0
6046,r140,All institutions<sup>a</sup> -> U. Louisville,All institutions<sup>a</sup>,U. Louisville,2,139,1446,582,560,304,135,1010,462,300,248,130,436,120,260,56
6046,r141,All institutions<sup>a</sup> -> Baylor U.,All institutions<sup>a</sup>,Baylor U.,2,140,1429,596,93,740,129,1120,535,80,505,167,309,61,13,235
6046,r142,All institutions<sup>a</sup> -> Southern Methodist U.,All institutions<sup>a</sup>,Southern Methodist U.,2,141,1426,862,564,0,173,671,497,174,0,66,755,365,390,0
6046,r143,All institutions<sup>a</sup> -> Colorado School of Mines,All institutions<sup>a</sup>,Colorado School of Mines,2,142,1423,432,991,0,124,1163,375,788,0,191,260,57,203,0
6046,r144,All institutions<sup>a</sup> -> Virginia Commonwealth U.,All institutions<sup>a</sup>,Virginia Commonwealth U.,2,143,1373,771,278,324,132,1080,611,211,258,172,293,160,67,66
6046,r145,"All institutions<sup>a</sup> -> U. Texas, El Paso",All institutions<sup>a</sup>,"U. Texas, El Paso",2,144,1368,639,608,121,156,778,386,304,88,87,590,253,304,33
6046,r146,All institutions<sup>a</sup> -> Texas State U.,All institutions<sup>a</sup>,Texas State U.,2,145,1345,1057,126,162,142,900,683,76,141,124,445,374,50,21
6046,r147,All institutions<sup>a</sup> -> California Institute of Technology,All institutions<sup>a</sup>,California Institute of Technology,2,146,1339,790,549,0,106,1339,790,549,0,640,0,0,0,0
6046,r148,All institutions<sup>a</sup> -> Emory U.,All institutions<sup>a</sup>,Emory U.,2,146,1339,1110,120,109,113,1289,1107,96,86,444,50,3,24,23
6046,r149,All institutions<sup>a</sup> -> New Mexico State U.,All institutions<sup>a</sup>,New Mexico State U.,2,148,1337,841,334,162,147,867,591,210,66,118,470,250,124,96
