table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2016,field_total_2017,field_total_2018,field_total_2019,field_federally_financed_2016,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019
3166,r095,All institutions -> U. Cincinnati,All institutions,U. Cincinnati,2,94,"['5,004', '']","['4,672', '']","['4,704', '']","['5,968', '']","['3,163', '']","['2,655', '']","['2,199', '']","['2,241', '']"
3166,r096,All institutions -> U. Kansas,All institutions,U. Kansas,2,95,"['6,451', '']","['6,746', '']","['4,670', '']","['5,932', '']","['5,180', '']","['5,945', '']","['3,761', '']","['4,395', '']"
3166,r097,All institutions -> New Mexico State U.,All institutions,New Mexico State U.,2,96,"['6,000', '']","['8,112', '']","['6,534', '']","['5,931', '']","['4,872', '']","['6,826', '']","['5,348', '']","['4,397', '']"
3166,r098,All institutions -> Xavier U. Louisiana,All institutions,Xavier U. Louisiana,2,97,"['7,021', '']","['8,007', '']","['6,921', '']","['5,878', '']","['6,996', '']","['7,956', '']","['6,697', '']","['5,796', '']"
3166,r099,All institutions -> U. Oregon,All institutions,U. Oregon,2,98,"['4,581', '']","['4,720', '']","['6,286', '']","['5,867', '']","['3,834', '']","['3,030', '']","['3,605', '']","['3,621', '']"
3166,r100,"All institutions -> SUNY, U. Albany",All institutions,"SUNY, U. Albany",2,99,"['2,759', '']","['4,460', '']","['5,947', '']","['5,655', '']","['1,491', '']","['1,338', '']","['2,759', '']","['3,266', '']"
3166,r101,All institutions -> West Virginia U.,All institutions,West Virginia U.,2,100,"['2,520', '']","['2,742', '']","['4,761', '']","['5,632', '']","['1,467', '']","['1,641', '']","['2,691', '']","['3,616', '']"
3166,r102,All institutions -> Kansas State U.,All institutions,Kansas State U.,2,101,"['2,191', '']","['3,002', '']","['4,750', '']","['5,535', '']","['1,428', '']","['2,164', '']","['3,037', '']","['3,641', '']"
3166,r103,All institutions -> Tufts U.,All institutions,Tufts U.,2,102,"['7,927', '']","['5,626', '']","['42,537', '']","['5,517', '']","['6,765', '']","['4,748', '']","['26,222', '']","['645', '']"
3166,r104,"All institutions -> California State U., Los Angeles",All institutions,"California State U., Los Angeles",2,103,"['1,244', '']","['3,715', '']","['4,040', '']","['5,439', 'i']","['1,227', '']","['3,637', '']","['3,894', '']","['4,197', '']"
3166,r105,All institutions -> Brown U.,All institutions,Brown U.,2,104,"['6,892', '']","['3,498', '']","['5,160', '']","['5,250', '']","['2,909', '']","['2,087', '']","['3,230', '']","['3,932', '']"
3166,r106,All institutions -> U. Kentucky,All institutions,U. Kentucky,2,105,"['3,934', '']","['4,092', '']","['4,703', '']","['5,236', '']","['2,734', '']","['2,579', '']","['3,001', '']","['4,073', '']"
3166,r107,"All institutions -> U. Texas, Arlington",All institutions,"U. Texas, Arlington",2,106,"['4,849', '']","['4,307', '']","['4,776', '']","['5,232', '']","['1,058', '']","['1,210', '']","['1,228', '']","['1,432', '']"
3166,r108,All institutions -> U. Rochester,All institutions,U. Rochester,2,107,"['4,612', '']","['4,601', '']","['4,195', '']","['5,111', '']","['3,639', '']","['3,668', '']","['3,568', '']","['4,115', '']"
3166,r109,All institutions -> Clemson U.,All institutions,Clemson U.,2,108,"['3,598', '']","['3,950', '']","['4,957', '']","['5,030', '']","['1,770', '']","['2,540', '']","['2,865', '']","['2,985', '']"
3166,r110,All institutions -> Rockefeller U.,All institutions,Rockefeller U.,2,109,"['6,278', '']","['5,774', '']","['5,669', '']","['4,970', '']","['3,527', '']","['3,570', '']","['3,261', '']","['2,287', '']"
3166,r111,"All institutions -> U. Nevada, Las Vegas",All institutions,"U. Nevada, Las Vegas",2,110,"['5,153', '']","['4,048', '']","['4,491', '']","['4,910', '']","['2,834', '']","['2,922', '']","['2,984', '']","['2,991', '']"
3166,r112,"All institutions -> Oklahoma State U., Stillwater",All institutions,"Oklahoma State U., Stillwater",2,111,"['4,597', '']","['5,474', '']","['5,074', '']","['4,804', '']","['1,826', '']","['1,864', '']","['1,363', '']","['1,971', '']"
3166,r113,All institutions -> U. Connecticut,All institutions,U. Connecticut,2,112,"['5,753', '']","['5,319', '']","['5,170', '']","['4,713', '']","['3,832', '']","['3,522', '']","['3,297', '']","['3,005', '']"
