table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1442,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['D', '&nbsp;']","['1,149', '&nbsp;']","['1,324', '&nbsp;']","['1,258', '&nbsp;']","['1,557', '&nbsp;']","['2,077', '&nbsp;']","['1,423', '&nbsp;']","['1,222', '&nbsp;']","['1,465', ' ']"
1442,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['3,440', '&nbsp;']","['1,817', '&nbsp;']","['2,027', '&nbsp;']","['3,546', '&nbsp;']","['3,788', '&nbsp;']","['3,395', '&nbsp;']","['3,759', '&nbsp;']","['4,338', '&nbsp;']","['4,297', ' ']"
1442,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,162', '&nbsp;']","['1,158', '&nbsp;']","['1,447', '&nbsp;']","['1,695', '&nbsp;']","['1,062', '&nbsp;']","['1,605', '&nbsp;']","['1,382', '&nbsp;']","['1,351', '&nbsp;']","['1,436', ' ']"
1442,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['10,267', '&nbsp;']","['7,974', '&nbsp;']","['8,422', '&nbsp;']","['7,936', '&nbsp;']","['8,075', '&nbsp;']","['7,899', '&nbsp;']","['9,621', '&nbsp;']","['8,412', '&nbsp;']","['9,050', ' ']"
1442,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['8,448', '&nbsp;']","['6,023', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['6,877', '&nbsp;']","['D', '&nbsp;']","['6,622', '&nbsp;']","['7,130', ' ']"
1442,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['1,816', '&nbsp;']","['1,846', '&nbsp;']","['1,770', '&nbsp;']","['772', '&nbsp;']","['D', '&nbsp;']","['901', '&nbsp;']","['D', '&nbsp;']","['1,672', '&nbsp;']","['1,817', ' ']"
1442,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts",5,336411–13,"['1,742', '&nbsp;']","['1,760', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,670', '&nbsp;']","['1,813', ' ']"
1442,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts",5,"336414–15, 336419","['74', '&nbsp;']","['85', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['5', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['2', '&nbsp;']","['4', ' ']"
1442,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,"['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', ' ']"
1442,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['3', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['121', '&nbsp;']","['D', '&nbsp;']","['118', '&nbsp;']","['104', ' ']"
1442,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['27', '&nbsp;']","['38', '&nbsp;']","['33', '&nbsp;']","['28', '&nbsp;']","['23', '&nbsp;']","['28', '&nbsp;']","['45', '&nbsp;']","['25', '&nbsp;']","['40', ' ']"
1442,r043,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['D', '&nbsp;']","['4,044', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['3,608', '&nbsp;']","['2,194', '&nbsp;']","['2,207', '&nbsp;']","['2,792', ' ']"
1442,r044,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies,,4,3391,"['766', '&nbsp;']","['3,813', '&nbsp;']","['1,003', '&nbsp;']","['D', '&nbsp;']","['1,978', '&nbsp;']","['3,197', '&nbsp;']","['1,782', '&nbsp;']","['1,813', '&nbsp;']","['2,475', ' ']"
1442,r045,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,"['D', '&nbsp;']","['231', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['411', '&nbsp;']","['412', '&nbsp;']","['394', 'i']","['317', 'i']"
1442,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['14,903', '&nbsp;']","['13,648', '&nbsp;']","['14,698', '&nbsp;']","['17,792', '&nbsp;']","['19,037', '&nbsp;']","['19,853', '&nbsp;']","['21,849', '&nbsp;']","['21,778', '&nbsp;']","['24,457', ' ']"
