table_id,row_id,_b_field_and_2021_carnegie_classification_b_full_path,_b_field_and_2021_carnegie_classification_b_level_1,_b_field_and_2021_carnegie_classification_b_level_2,_b_field_and_2021_carnegie_classification_b_level_3,_b_field_and_2021_carnegie_classification_b_level_4,_b_field_and_2021_carnegie_classification_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
11641,r015,All doctorate recipients -> Science and engineering -> Agricultural sciences and natural resources -> Other universities,All doctorate recipients,Science and engineering,Agricultural sciences and natural resources,Other universities,4,11,15,11,18,18,12,11,18,14,19,11
11641,r016,All doctorate recipients -> Science and engineering -> Biological and biomedical sciences,All doctorate recipients,Science and engineering,Biological and biomedical sciences,,3,8707,8868,8783,8863,8567,8782,8678,8403,8131,9208,9575
11641,r017,All doctorate recipients -> Science and engineering -> Biological and biomedical sciences -> R1: doctoral universities - very high research,All doctorate recipients,Science and engineering,Biological and biomedical sciences,R1: doctoral universities - very high research,4,7023,7031,6905,7048,6889,6958,6855,6743,6460,7328,7647
11641,r018,All doctorate recipients -> Science and engineering -> Biological and biomedical sciences -> R2: doctoral universities - high research,All doctorate recipients,Science and engineering,Biological and biomedical sciences,R2: doctoral universities - high research,4,584,705,700,666,675,706,697,681,645,705,752
11641,r019,All doctorate recipients -> Science and engineering -> Biological and biomedical sciences -> Doctoral/ professional universities,All doctorate recipients,Science and engineering,Biological and biomedical sciences,Doctoral/ professional universities,4,107,105,93,157,78,97,45,60,72,56,58
11641,r020,All doctorate recipients -> Science and engineering -> Biological and biomedical sciences -> Other universities,All doctorate recipients,Science and engineering,Biological and biomedical sciences,Other universities,4,993,1027,1085,992,925,1021,1081,919,954,1119,1118
11641,r021,All doctorate recipients -> Science and engineering -> Computer and information sciences,All doctorate recipients,Science and engineering,Computer and information sciences,,3,1843,1988,2003,2082,1998,2000,2220,2363,2360,2607,2687
11641,r022,All doctorate recipients -> Science and engineering -> Computer and information sciences -> R1: doctoral universities - very high research,All doctorate recipients,Science and engineering,Computer and information sciences,R1: doctoral universities - very high research,4,1620,1748,1752,1798,1719,1752,1902,2036,2046,2276,2330
11641,r023,All doctorate recipients -> Science and engineering -> Computer and information sciences -> R2: doctoral universities - high research,All doctorate recipients,Science and engineering,Computer and information sciences,R2: doctoral universities - high research,4,192,215,207,242,230,197,274,277,271,276,281
11641,r024,All doctorate recipients -> Science and engineering -> Computer and information sciences -> Doctoral/ professional universities,All doctorate recipients,Science and engineering,Computer and information sciences,Doctoral/ professional universities,4,8,7,18,14,15,25,10,6,6,10,35
11641,r025,All doctorate recipients -> Science and engineering -> Computer and information sciences -> Other universities,All doctorate recipients,Science and engineering,Computer and information sciences,Other universities,4,23,18,26,28,34,26,34,44,37,45,41
11641,r026,All doctorate recipients -> Science and engineering -> Engineering,All doctorate recipients,Science and engineering,Engineering,,3,9000,9626,9875,9459,9774,10164,10298,10468,10230,11519,11403
11641,r027,All doctorate recipients -> Science and engineering -> Engineering -> R1: doctoral universities - very high research,All doctorate recipients,Science and engineering,Engineering,R1: doctoral universities - very high research,4,8123,8734,8850,8478,8760,8971,9126,9279,9048,10208,10104
11641,r028,All doctorate recipients -> Science and engineering -> Engineering -> R2: doctoral universities - high research,All doctorate recipients,Science and engineering,Engineering,R2: doctoral universities - high research,4,774,808,930,891,894,1071,1047,1072,1049,1140,1122
11641,r029,All doctorate recipients -> Science and engineering -> Engineering -> Doctoral/ professional universities,All doctorate recipients,Science and engineering,Engineering,Doctoral/ professional universities,4,20,27,27,28,38,33,30,25,30,27,37
11641,r030,All doctorate recipients -> Science and engineering -> Engineering -> Other universities,All doctorate recipients,Science and engineering,Engineering,Other universities,4,83,57,68,62,82,89,95,92,103,144,140
11641,r031,"All doctorate recipients -> Science and engineering -> Geosciences, atmospheric, and ocean sciences",All doctorate recipients,Science and engineering,"Geosciences, atmospheric, and ocean sciences",,3,989,1098,1057,1227,1169,1185,1272,1241,1064,1181,1231
11641,r032,"All doctorate recipients -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> R1: doctoral universities - very high research",All doctorate recipients,Science and engineering,"Geosciences, atmospheric, and ocean sciences",R1: doctoral universities - very high research,4,892,955,958,1084,1027,1070,1126,1096,933,1046,1086
11641,r033,"All doctorate recipients -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> R2: doctoral universities - high research",All doctorate recipients,Science and engineering,"Geosciences, atmospheric, and ocean sciences",R2: doctoral universities - high research,4,88,132,92,127,132,103,137,136,119,126,129
11641,r034,"All doctorate recipients -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Doctoral/ professional universities",All doctorate recipients,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Doctoral/ professional universities,4,1,2,1,2,1,2,2,3,2,2,3
11641,r035,"All doctorate recipients -> Science and engineering -> Geosciences, atmospheric, and ocean sciences -> Other universities",All doctorate recipients,Science and engineering,"Geosciences, atmospheric, and ocean sciences",Other universities,4,8,9,6,14,9,10,7,6,10,7,13
11641,r036,All doctorate recipients -> Science and engineering -> Health sciences,All doctorate recipients,Science and engineering,Health sciences,,3,2109,2236,2220,2248,2443,2473,2532,2606,2250,2473,2435
11641,r037,All doctorate recipients -> Science and engineering -> Health sciences -> R1: doctoral universities - very high research,All doctorate recipients,Science and engineering,Health sciences,R1: doctoral universities - very high research,4,1600,1572,1537,1557,1705,1750,1749,1828,1538,1686,1657
11641,r038,All doctorate recipients -> Science and engineering -> Health sciences -> R2: doctoral universities - high research,All doctorate recipients,Science and engineering,Health sciences,R2: doctoral universities - high research,4,216,272,300,285,288,325,368,333,345,338,371
11641,r039,All doctorate recipients -> Science and engineering -> Health sciences -> Doctoral/ professional universities,All doctorate recipients,Science and engineering,Health sciences,Doctoral/ professional universities,4,166,214,208,213,258,231,232,271,209,240,204
11641,r040,All doctorate recipients -> Science and engineering -> Health sciences -> Other universities,All doctorate recipients,Science and engineering,Health sciences,Other universities,4,127,178,175,193,192,167,183,174,158,209,203
11641,r041,All doctorate recipients -> Science and engineering -> Mathematics and statistics,All doctorate recipients,Science and engineering,Mathematics and statistics,,3,1817,1874,1815,1872,1844,2022,2010,2024,2010,2247,2167
11641,r042,All doctorate recipients -> Science and engineering -> Mathematics and statistics -> R1: doctoral universities - very high research,All doctorate recipients,Science and engineering,Mathematics and statistics,R1: doctoral universities - very high research,4,1664,1727,1679,1707,1675,1835,1846,1802,1839,2082,1974
11641,r043,All doctorate recipients -> Science and engineering -> Mathematics and statistics -> R2: doctoral universities - high research,All doctorate recipients,Science and engineering,Mathematics and statistics,R2: doctoral universities - high research,4,132,133,121,157,160,175,154,212,156,140,176
11641,r044,All doctorate recipients -> Science and engineering -> Mathematics and statistics -> Doctoral/ professional universities,All doctorate recipients,Science and engineering,Mathematics and statistics,Doctoral/ professional universities,4,4,8,2,2,1,5,2,5,9,9,10
11641,r045,All doctorate recipients -> Science and engineering -> Mathematics and statistics -> Other universities,All doctorate recipients,Science and engineering,Mathematics and statistics,Other universities,4,17,6,13,6,8,7,8,5,6,16,7
11641,r046,All doctorate recipients -> Science and engineering -> Physical sciences ,All doctorate recipients,Science and engineering,Physical sciences ,,3,4595,4812,4859,5024,4913,5144,5306,5000,4710,5468,5460
11641,r047,All doctorate recipients -> Science and engineering -> Physical sciences  -> R1: doctoral universities - very high research,All doctorate recipients,Science and engineering,Physical sciences ,R1: doctoral universities - very high research,4,4141,4323,4376,4539,4461,4634,4805,4487,4285,4971,4963
11641,r048,All doctorate recipients -> Science and engineering -> Physical sciences  -> R2: doctoral universities - high research,All doctorate recipients,Science and engineering,Physical sciences ,R2: doctoral universities - high research,4,393,436,423,419,397,438,430,441,357,421,430
11641,r049,All doctorate recipients -> Science and engineering -> Physical sciences  -> Doctoral/ professional universities,All doctorate recipients,Science and engineering,Physical sciences ,Doctoral/ professional universities,4,5,16,13,8,7,7,5,9,12,7,1
11641,r050,All doctorate recipients -> Science and engineering -> Physical sciences  -> Other universities,All doctorate recipients,Science and engineering,Physical sciences ,Other universities,4,56,37,47,58,48,65,66,63,56,69,66
11641,r051,All doctorate recipients -> Science and engineering -> Psychology,All doctorate recipients,Science and engineering,Psychology,,3,3592,3724,3776,3910,3925,3821,3909,3868,3777,3952,3899
11641,r052,All doctorate recipients -> Science and engineering -> Psychology -> R1: doctoral universities - very high research,All doctorate recipients,Science and engineering,Psychology,R1: doctoral universities - very high research,4,2192,2245,2246,2342,2465,2295,2314,2281,2237,2362,2369
11641,r053,All doctorate recipients -> Science and engineering -> Psychology -> R2: doctoral universities - high research,All doctorate recipients,Science and engineering,Psychology,R2: doctoral universities - high research,4,692,701,737,767,731,719,716,699,656,696,695
11641,r054,All doctorate recipients -> Science and engineering -> Psychology -> Doctoral/ professional universities,All doctorate recipients,Science and engineering,Psychology,Doctoral/ professional universities,4,515,616,597,589,531,611,608,630,648,636,594
11641,r055,All doctorate recipients -> Science and engineering -> Psychology -> Other universities,All doctorate recipients,Science and engineering,Psychology,Other universities,4,193,162,196,212,198,196,271,258,236,258,241
11641,r056,All doctorate recipients -> Science and engineering -> Social sciences,All doctorate recipients,Science and engineering,Social sciences,,3,5041,5102,5369,5193,5188,5054,5134,5060,4875,5238,5199
11641,r057,All doctorate recipients -> Science and engineering -> Social sciences -> R1: doctoral universities - very high research,All doctorate recipients,Science and engineering,Social sciences,R1: doctoral universities - very high research,4,4440,4413,4676,4532,4454,4403,4430,4376,4199,4548,4513
11641,r058,All doctorate recipients -> Science and engineering -> Social sciences -> R2: doctoral universities - high research,All doctorate recipients,Science and engineering,Social sciences,R2: doctoral universities - high research,4,475,505,536,470,558,459,487,476,457,448,496
11641,r059,All doctorate recipients -> Science and engineering -> Social sciences -> Doctoral/ professional universities,All doctorate recipients,Science and engineering,Social sciences,Doctoral/ professional universities,4,86,133,98,127,124,150,169,155,173,186,129
11641,r060,All doctorate recipients -> Science and engineering -> Social sciences -> Other universities,All doctorate recipients,Science and engineering,Social sciences,Other universities,4,40,51,59,64,52,42,48,53,46,56,61
11641,r061,All doctorate recipients -> Non-science and engineering,All doctorate recipients,Non-science and engineering,,,2,13619,13278,13639,13503,13186,12934,12702,12639,11341,12046,12329
11641,r062,All doctorate recipients -> Non-science and engineering -> R1: doctoral universities - very high research,All doctorate recipients,Non-science and engineering,R1: doctoral universities - very high research,,3,10917,10527,10699,10497,10148,10022,9814,9697,8539,9223,9470
11641,r063,All doctorate recipients -> Non-science and engineering -> R2: doctoral universities - high research,All doctorate recipients,Non-science and engineering,R2: doctoral universities - high research,,3,1661,1729,1818,1888,1921,1743,1740,1708,1578,1627,1626
11641,r064,All doctorate recipients -> Non-science and engineering -> Doctoral/ professional universities,All doctorate recipients,Non-science and engineering,Doctoral/ professional universities,,3,580,626,687,729,698,746,714,796,833,752,735
11641,r065,All doctorate recipients -> Non-science and engineering -> Other universities,All doctorate recipients,Non-science and engineering,Other universities,,3,461,396,435,389,419,423,434,438,391,444,498
11641,r066,All doctorate recipients -> Non-science and engineering -> Business ,All doctorate recipients,Non-science and engineering,Business ,,3,1551,1584,1582,1509,1566,1473,1529,1466,1389,1447,1560
11641,r067,All doctorate recipients -> Non-science and engineering -> Business  -> R1: doctoral universities - very high research,All doctorate recipients,Non-science and engineering,Business ,R1: doctoral universities - very high research,4,1220,1204,1239,1184,1145,1096,1146,1118,1018,1135,1265
11641,r068,All doctorate recipients -> Non-science and engineering -> Business  -> R2: doctoral universities - high research,All doctorate recipients,Non-science and engineering,Business ,R2: doctoral universities - high research,4,143,185,147,163,194,165,165,172,171,160,160
11641,r069,All doctorate recipients -> Non-science and engineering -> Business  -> Doctoral/ professional universities,All doctorate recipients,Non-science and engineering,Business ,Doctoral/ professional universities,4,135,160,169,129,193,181,173,145,173,134,106
11641,r070,All doctorate recipients -> Non-science and engineering -> Business  -> Other universities,All doctorate recipients,Non-science and engineering,Business ,Other universities,4,53,35,27,33,34,31,45,31,27,18,29
11641,r071,All doctorate recipients -> Non-science and engineering -> Education,All doctorate recipients,Non-science and engineering,Education,,3,4934,4789,5098,5146,4825,4818,4628,4712,4239,4471,4562
11641,r072,All doctorate recipients -> Non-science and engineering -> Education -> R1: doctoral universities - very high research,All doctorate recipients,Non-science and engineering,Education,R1: doctoral universities - very high research,4,3602,3467,3569,3573,3378,3373,3229,3284,2892,3143,3162
11641,r073,All doctorate recipients -> Non-science and engineering -> Education -> R2: doctoral universities - high research,All doctorate recipients,Non-science and engineering,Education,R2: doctoral universities - high research,4,924,922,1087,1074,1066,989,994,953,887,879,896
11641,r074,All doctorate recipients -> Non-science and engineering -> Education -> Doctoral/ professional universities,All doctorate recipients,Non-science and engineering,Education,Doctoral/ professional universities,4,317,336,372,421,317,375,328,400,396,371,392
11641,r075,All doctorate recipients -> Non-science and engineering -> Education -> Other universities,All doctorate recipients,Non-science and engineering,Education,Other universities,4,91,64,70,78,64,81,77,75,64,78,112
11641,r076,All doctorate recipients -> Non-science and engineering -> Humanities and arts,All doctorate recipients,Non-science and engineering,Humanities and arts,,3,5662,5446,5522,5416,5209,5139,5051,4924,4132,4456,4453
11641,r077,All doctorate recipients -> Non-science and engineering -> Humanities and arts -> R1: doctoral universities - very high research,All doctorate recipients,Non-science and engineering,Humanities and arts,R1: doctoral universities - very high research,4,4827,4632,4684,4562,4362,4342,4273,4108,3436,3703,3713
11641,r078,All doctorate recipients -> Non-science and engineering -> Humanities and arts -> R2: doctoral universities - high research,All doctorate recipients,Non-science and engineering,Humanities and arts,R2: doctoral universities - high research,4,466,477,450,513,487,437,406,430,342,368,368
11641,r079,All doctorate recipients -> Non-science and engineering -> Humanities and arts -> Doctoral/ professional universities,All doctorate recipients,Non-science and engineering,Humanities and arts,Doctoral/ professional universities,4,78,66,80,103,71,81,80,86,85,86,65
11641,r080,All doctorate recipients -> Non-science and engineering -> Humanities and arts -> Other universities,All doctorate recipients,Non-science and engineering,Humanities and arts,Other universities,4,291,271,308,238,289,279,292,300,269,299,307
11641,r081,All doctorate recipients -> Non-science and engineering -> Other non-science and engineering,All doctorate recipients,Non-science and engineering,Other non-science and engineering,,3,1472,1459,1437,1432,1586,1504,1494,1537,1581,1672,1754
11641,r082,All doctorate recipients -> Non-science and engineering -> Other non-science and engineering -> R1: doctoral universities - very high research,All doctorate recipients,Non-science and engineering,Other non-science and engineering,R1: doctoral universities - very high research,4,1268,1224,1207,1178,1263,1211,1166,1187,1193,1242,1330
11641,r083,All doctorate recipients -> Non-science and engineering -> Other non-science and engineering -> R2: doctoral universities - high research,All doctorate recipients,Non-science and engineering,Other non-science and engineering,R2: doctoral universities - high research,4,128,145,134,138,174,152,175,153,178,220,202
11641,r084,All doctorate recipients -> Non-science and engineering -> Other non-science and engineering -> Doctoral/ professional universities,All doctorate recipients,Non-science and engineering,Other non-science and engineering,Doctoral/ professional universities,4,50,64,66,76,117,109,133,165,179,161,172
11641,r085,All doctorate recipients -> Non-science and engineering -> Other non-science and engineering -> Other universities,All doctorate recipients,Non-science and engineering,Other non-science and engineering,Other universities,4,26,26,30,40,32,32,20,32,31,49,50
