table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_internal_funds,field_federal_government,field_all_other_sources_of_funds
9811,r030,All states -> Nevada,All states,Nevada,2,"['14,933', '  ']","['4,186', '  ']","['3,656', '  ']","['7,091', '  ']"
9811,r031,All states -> New Hampshire,All states,New Hampshire,2,"['S', '  ']","['S', '  ']","['S', '  ']","['S', '  ']"
9811,r032,All states -> New Jersey,All states,New Jersey,2,"['171,439', '  ']","['33,429', '  ']","['36,341', '  ']","['101,670', '  ']"
9811,r033,All states -> New Mexico,All states,New Mexico,2,"['21,392', '  ']","['5,047', '  ']","['8,707', '  ']","['7,638', '  ']"
9811,r034,All states -> New York,All states,New York,2,"['3,207,374', '  ']","['1,070,278', '  ']","['1,078,322', '  ']","['1,058,774', '  ']"
9811,r035,All states -> North Carolina,All states,North Carolina,2,"['886,441', '  ']","['15,259', '  ']","['750,065', '  ']","['121,117', '  ']"
9811,r036,All states -> North Dakota,All states,North Dakota,2,"['S', '  ']","['S', '  ']","['S', '  ']","['S', '  ']"
9811,r037,All states -> Ohio,All states,Ohio,2,"['1,291,738', '  ']","['435,505', '  ']","['547,830', '  ']","['308,403', '  ']"
9811,r038,All states -> Oklahoma,All states,Oklahoma,2,"['86,741', '  ']","['589', '  ']","['40,933', '  ']","['45,219', '  ']"
9811,r039,All states -> Oregon,All states,Oregon,2,"['45,490', '  ']","['14,026', '  ']","['15,295', '  ']","['16,169', '  ']"
9811,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['758,073', '  ']","['172,700', '  ']","['366,028', '  ']","['219,344', '  ']"
9811,r041,All states -> Rhode Island,All states,Rhode Island,2,"['170,772', '  ']","['10,994', '  ']","['71,747', '  ']","['88,031', '  ']"
9811,r042,All states -> South Carolina,All states,South Carolina,2,"['6,567', '  ']","['342', '  ']","['3,846', '  ']","['2,379', '  ']"
9811,r043,All states -> South Dakota,All states,South Dakota,2,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9811,r044,All states -> Tennessee,All states,Tennessee,2,"['630,502', '  ']","['381,165', '  ']","['228,438', '  ']","['20,900', '  ']"
9811,r045,All states -> Texas,All states,Texas,2,"['1,233,893', '  ']","['208,460', '  ']","['575,078', '  ']","['450,355', '  ']"
9811,r046,All states -> Utah,All states,Utah,2,"['25,941', '  ']","['1,728', '  ']","['12,425', '  ']","['11,788', '  ']"
9811,r047,All states -> Vermont,All states,Vermont,2,"['9,821', '  ']","['681', '  ']","['4,542', '  ']","['4,598', '  ']"
9811,r048,All states -> Virginia,All states,Virginia,2,"['857,507', '  ']","['81,589', '  ']","['649,502', '  ']","['126,416', '  ']"
9811,r049,All states -> Washington,All states,Washington,2,"['1,450,605', '  ']","['164,635', '  ']","['833,697', '  ']","['452,273', '  ']"
9811,r050,All states -> West Virginia,All states,West Virginia,2,"['21,883', '  ']","['0', '  ']","['8,688', '  ']","['13,196', '  ']"
9811,r051,All states -> Wisconsin,All states,Wisconsin,2,"['390,083', '  ']","['188,636', '  ']","['52,217', '  ']","['149,231', '  ']"
9811,r052,All states -> Wyoming,All states,Wyoming,2,"['113', '  ']","['0', '  ']","['113', '  ']","['0', '  ']"
