table_id,row_id,type_and_location_of_cooperation_partner_full_path,type_and_location_of_cooperation_partner_level_1,type_and_location_of_cooperation_partner_level_2,type_and_location_of_cooperation_partner_level_3,type_and_location_of_cooperation_partner_hierarchy_depth,field_all_companies,field_companies_with_1_9_employees,field_companies_with_10_49_employees,field_companies_with_50_249_employees,field_companies_with_250_employees
4446,r027,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located outside United States -> Any cooperation partner",All companies with innovation activities (count of companies),"Type of cooperation partner, located outside United States",Any cooperation partner,3,4.5,4.3,4.2,6.5,14.7
4446,r028,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located outside United States -> Other affiliated companies",All companies with innovation activities (count of companies),"Type of cooperation partner, located outside United States",Other affiliated companies,3,1.2,1.0,1.2,2.6,9.5
4446,r029,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located outside United States -> Suppliers of equipment, materials, components, or software ",All companies with innovation activities (count of companies),"Type of cooperation partner, located outside United States","Suppliers of equipment, materials, components, or software ",3,2.4,2.3,2.5,3.7,8.3
4446,r030,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located outside United States -> Clients or customers from the private sector ",All companies with innovation activities (count of companies),"Type of cooperation partner, located outside United States",Clients or customers from the private sector ,3,1.6,1.5,1.4,2.2,5.2
4446,r031,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located outside United States -> Clients or customers from the public sector ",All companies with innovation activities (count of companies),"Type of cooperation partner, located outside United States",Clients or customers from the public sector ,3,0.9,0.8,0.8,1.0,3.0
4446,r032,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located outside United States -> Competitors or other companies in your sector ",All companies with innovation activities (count of companies),"Type of cooperation partner, located outside United States",Competitors or other companies in your sector ,3,1.0,1.0,0.9,1.1,2.8
4446,r033,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located outside United States -> Companies not in your sector ",All companies with innovation activities (count of companies),"Type of cooperation partner, located outside United States",Companies not in your sector ,3,0.7,0.7,0.6,0.7,2.1
4446,r034,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located outside United States -> Consultants or commercial labs ",All companies with innovation activities (count of companies),"Type of cooperation partner, located outside United States",Consultants or commercial labs ,3,0.8,0.8,0.7,1.1,3.4
4446,r035,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located outside United States -> Universities or other higher education institutes ",All companies with innovation activities (count of companies),"Type of cooperation partner, located outside United States",Universities or other higher education institutes ,3,0.6,0.6,0.5,0.4,2.0
4446,r036,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located outside United States -> Government or public research institutes ",All companies with innovation activities (count of companies),"Type of cooperation partner, located outside United States",Government or public research institutes ,3,0.4,0.5,0.4,0.3,1.1
4446,r037,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located outside United States -> Private research institutes ",All companies with innovation activities (count of companies),"Type of cooperation partner, located outside United States",Private research institutes ,3,0.5,0.5,0.4,0.4,1.5
