table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_level_3,ffrdc_hierarchy_depth,field_sponsor,field_location,field_total_all_r_d_expenditures,field_total_basic_research,field_total_applied_research,field_total_experimental_development,field_federally_financed_all_r_d_expenditures,field_federally_financed_basic_research,field_federally_financed_applied_research,field_federally_financed_experimental_development
9274,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,NIST,"Rockville, MD","['27,955', '']","['0', '']","['638', '']","['27,317', '']","['27,955', '']","['0', '']","['638', '']","['27,317', '']"
9274,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"DOD, OSD","Santa Monica, CA","['61,097', '']","['0', '']","['61,097', '']","['0', '']","['61,097', '']","['0', '']","['61,097', '']","['0', '']"
9274,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,DOE,"Golden, CO","['603,356', '']","['53,668', '']","['335,179', '']","['214,509', '']","['536,683', '']","['53,668', '']","['295,176', '']","['187,839', '']"
9274,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"DOD,OSD","Bedford, MA/McLean, VA","['1,286,520', '']","['0', '']","['77,841', '']","['1,208,679', '']","['1,282,762', '']","['0', '']","['77,627', '']","['1,205,135', '']"
9274,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,DOE,"Oak Ridge, TN","['1,803,543', '']","['947,470', '']","['856,073', '']","['0', '']","['1,789,100', '']","['947,470', '']","['841,630', '']","['0', '']"
9274,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,DOE,"Richland, WA","['1,294,614', '']","['231,637', '']","['329,294', '']","['733,683', '']","['1,266,328', '']","['226,576', '']","['322,099', '']","['717,653', '']"
9274,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"DOD, Air Force","Santa Monica, CA","['46,517', '']","['0', '']","['46,517', '']","['0', '']","['46,517', '']","['0', '']","['46,517', '']","['0', '']"
9274,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Savannah River National Laboratory,3,DOE,"Aiken, SC","['182,654', '']","['9,132', '']","['91,327', '']","['82,195', '']","['179,848', '']","['8,992', '']","['89,924', '']","['80,932', '']"
9274,r040,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,NSF,"Washington, DC","['10,593', '']","['0', '']","['10,593', '']","['0', '']","['10,593', '']","['0', '']","['10,593', '']","['0', '']"
9274,r041,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"DOD, OSD","Alexandria, VA","['201,338', '']","['0', '']","['201,338', '']","['0', '']","['200,679', '']","['0', '']","['200,679', '']","['0', '']"
9274,r042,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,-,-,"['10,187,121', ' ']","['859,485', ' ']","['6,050,124', ' ']","['3,277,512', ' ']","['9,947,548', ' ']","['839,818', ' ']","['5,854,789', ' ']","['3,252,941', ' ']"
9274,r043,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"HHS, NIH","Frederick, MD","['904,182', '']","['182,039', '']","['417,884', '']","['304,259', '']","['904,182', '']","['182,039', '']","['417,884', '']","['304,259', '']"
9274,r044,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,DOE,"Livermore, CA","['1,659,808', '']","['107,902', '']","['1,194,957', '']","['356,949', '']","['1,633,185', '']","['102,767', '']","['1,173,469', '']","['356,949', '']"
9274,r045,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,DOE,"Los Alamos, NM","['3,811,602', '']","['304,928', '']","['3,468,557', '']","['38,117', '']","['3,629,955', '']","['290,396', '']","['3,303,259', '']","['36,300', '']"
9274,r046,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,DOE,"Albuquerque, NM","['3,811,529', '']","['264,616', '']","['968,726', '']","['2,578,187', '']","['3,780,226', '']","['264,616', '']","['960,177', '']","['2,555,433', '']"
