table_id,row_id,organization_and_program_by_fy_2019_rank_order_full_path,organization_and_program_by_fy_2019_rank_order_level_1,organization_and_program_by_fy_2019_rank_order_level_2,organization_and_program_by_fy_2019_rank_order_level_3,organization_and_program_by_fy_2019_rank_order_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3368,r046,R&D and R&D plant -> R&D -> National Institute on Alcohol Abuse and Alcoholism,R&D and R&D plant,R&D,National Institute on Alcohol Abuse and Alcoholism,3,507,529,481,4.5,-9.1
3368,r047,R&D and R&D plant -> R&D -> National Institute on Deafness and Other Communication Disorders,R&D and R&D plant,R&D,National Institute on Deafness and Other Communication Disorders,3,457,474,430,3.8,-9.3
3368,r048,R&D and R&D plant -> R&D -> National Institute of Dental and Craniofacial Research,R&D and R&D plant,R&D,National Institute of Dental and Craniofacial Research,3,445,462,421,3.7,-8.8
3368,r049,R&D and R&D plant -> R&D -> National Library of Medicine,R&D and R&D plant,R&D,National Library of Medicine,3,438,455,414,3.8,-9.1
3368,r050,R&D and R&D plant -> R&D -> National Institute of Biomedical Imaging and Bioengineering,R&D and R&D plant,R&D,National Institute of Biomedical Imaging and Bioengineering,3,352,367,334,4.4,-9.1
3368,r051,R&D and R&D plant -> R&D -> National Institute on Minority Health and Health Disparities,R&D and R&D plant,R&D,National Institute on Minority Health and Health Disparities,3,311,334,303,7.3,-9.1
3368,r052,R&D and R&D plant -> R&D -> National Institute of Nursing Research,R&D and R&D plant,R&D,National Institute of Nursing Research,3,154,163,149,6.1,-9.1
3368,r053,R&D and R&D plant -> R&D -> National Center for Complementary and Integrative Health,R&D and R&D plant,R&D,National Center for Complementary and Integrative Health,3,142,147,135,3.7,-8.4
3368,r054,R&D and R&D plant -> R&D -> John E. Fogarty International Center,R&D and R&D plant,R&D,John E. Fogarty International Center,3,60,61,55,2.9,-10.0
3368,r055,R&D and R&D plant -> R&D -> National Institute for Research on Safety and Quality<sup>c</sup>,R&D and R&D plant,R&D,National Institute for Research on Safety and Quality<sup>c</sup>,3,na,na,198,--,--
3368,r056,R&D and R&D plant -> R&D -> Buildings and facilities,R&D and R&D plant,R&D,Buildings and facilities,3,0,0,0,--,--
