table_id,row_id,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_professor,field_associate_professor,field_assistant_professor,field_other_faculty,field_rank_not_applicable
1205,r113,All occupations -> S&E-related occupations<sup>b</sup> -> Female -> Less than 10,All occupations,S&E-related occupations<sup>b</sup>,Female,Less than 10,,,4,7600,100,1300,3450,650,2100
1205,r114,All occupations -> S&E-related occupations<sup>b</sup> -> Female -> 10&#8211;19,All occupations,S&E-related occupations<sup>b</sup>,Female,10&#8211;19,,,4,5450,1050,2300,1250,150,700
1205,r115,All occupations -> S&E-related occupations<sup>b</sup> -> Female -> 20&#8211;29,All occupations,S&E-related occupations<sup>b</sup>,Female,20&#8211;29,,,4,3450,1600,1000,250,200,400
1205,r116,All occupations -> S&E-related occupations<sup>b</sup> -> Female -> 30 or more,All occupations,S&E-related occupations<sup>b</sup>,Female,30 or more,,,4,1400,800,350,,50,150
1205,r117,All occupations -> S&E-related occupations<sup>b</sup> -> Male,All occupations,S&E-related occupations<sup>b</sup>,Male,,,,3,15150,4050,3650,3400,450,3550
1205,r118,All occupations -> S&E-related occupations<sup>b</sup> -> Male -> Less than 10,All occupations,S&E-related occupations<sup>b</sup>,Male,Less than 10,,,4,4650,,400,1850,200,2150
1205,r119,All occupations -> S&E-related occupations<sup>b</sup> -> Male -> 10&#8211;19,All occupations,S&E-related occupations<sup>b</sup>,Male,10&#8211;19,,,4,4300,550,1750,1300,150,550
1205,r120,All occupations -> S&E-related occupations<sup>b</sup> -> Male -> 20&#8211;29,All occupations,S&E-related occupations<sup>b</sup>,Male,20&#8211;29,,,4,3200,1450,1050,200,,450
1205,r121,All occupations -> S&E-related occupations<sup>b</sup> -> Male -> 30 or more,All occupations,S&E-related occupations<sup>b</sup>,Male,30 or more,,,4,3050,2000,500,,,450
1205,r122,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,,,2,41100,16150,8250,4950,2750,9000
1205,r123,All occupations -> Non-S&E occupations -> Female,All occupations,Non-S&E occupations,Female,,,,3,18000,5650,3700,2500,1500,4700
1205,r124,All occupations -> Non-S&E occupations -> Female -> Less than 10,All occupations,Non-S&E occupations,Female,Less than 10,,,4,5050,300,750,1650,500,1800
1205,r125,All occupations -> Non-S&E occupations -> Female -> 10&#8211;19,All occupations,Non-S&E occupations,Female,10&#8211;19,,,4,6050,1700,1750,550,450,1600
1205,r126,All occupations -> Non-S&E occupations -> Female -> 20&#8211;29,All occupations,Non-S&E occupations,Female,20&#8211;29,,,4,4250,2200,750,200,250,900
1205,r127,All occupations -> Non-S&E occupations -> Female -> 30 or more,All occupations,Non-S&E occupations,Female,30 or more,,,4,2650,1450,450,S,300,400
1205,r128,All occupations -> Non-S&E occupations -> Male,All occupations,Non-S&E occupations,Male,,,,3,23100,10500,4550,2450,1250,4300
1205,r129,All occupations -> Non-S&E occupations -> Male -> Less than 10,All occupations,Non-S&E occupations,Male,Less than 10,,,4,3800,100,700,1700,550,800
1205,r130,All occupations -> Non-S&E occupations -> Male -> 10&#8211;19,All occupations,Non-S&E occupations,Male,10&#8211;19,,,4,5400,1500,1950,550,250,1150
1205,r131,All occupations -> Non-S&E occupations -> Male -> 20&#8211;29,All occupations,Non-S&E occupations,Male,20&#8211;29,,,4,6900,3850,1300,150,250,1300
1205,r132,All occupations -> Non-S&E occupations -> Male -> 30 or more,All occupations,Non-S&E occupations,Male,30 or more,,,4,7000,5050,650,,200,1050
