table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_software_products_and_embedded_software_r_d_total_companiesb_number_,field_software_products_and_embedded_software_r_d_total_amount,field_software_products_and_embedded_software_r_d_paid_for_by_the_company_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_the_company_amount,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_amount,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_amount
2049,r014,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment ",,4,3336,"['120', '  ']","['2,080', '  ']","['37', 'i ']","['221', 'i ']","['D', '&nbsp;']","['174 - 222', 'i ']","['D', '  ']","['0 - 48', '  ']","['D', '  ']","['0 - 19', '  ']"
2049,r015,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['1,452', '  ']","['5,853', '  ']","['515', 'i ']","['705', '  ']","['D', '&nbsp;']","['658 - 706', '  ']","['D', '  ']","['0 - 48', 'i ']","['D', '&nbsp;']","['0 - 19', 'i ']"
2049,r016,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['1,793', '  ']","['78,575', '  ']","['1,261', 'i ']","['25,571', 'i ']","['1,224', 'i ']","['23,593', 'i ']","['166', 'i ']","['1,978', '  ']","['28', '  ']","['1,181', 'i ']"
2049,r017,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['471', '  ']","['30,148', '  ']","['243', 'i ']","['6,402', 'i ']","['225', 'i ']","['6,161', 'i ']","['44', 'i ']","['241', 'i ']","['D', '  ']","['25', '  ']"
2049,r018,All industries -> Manufacturing industries -> Computer and electronic products -> Other electronic products,All industries,Manufacturing industries,Computer and electronic products,Other electronic products,,4,other 334,"['1,322', '  ']","['48,427', '  ']","['1,018', 'i ']","['19,169', '  ']","['998', 'i ']","['17,432', '  ']","['122', '  ']","['1,737', '  ']","['D', '  ']","['1,156', 'i ']"
2049,r019,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['731', '  ']","['4,291', '  ']","['443', 'i ']","['811', 'i ']","['433', 'i ']","['797', 'i ']","['30', 'i ']","['14', '  ']","['D', '  ']","['1', '  ']"
2049,r020,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['844', '  ']","['53,292', '  ']","['268', 'i ']","['5,994', 'i ']","['251', 'i ']","['3,468', '  ']","['44', '  ']","['2,525', 'i ']","['12', '  ']","['1,936', 'i ']"
2049,r021,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['396', '  ']","['23,881', '  ']","['87', 'i ']","['1,733', '  ']","['72', '  ']","['1,506', '  ']","['31', '  ']","['228', '  ']","['D', '  ']","['0 - 228', '  ']"
2049,r022,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['449', '  ']","['29,410', '  ']","['181', 'i ']","['4,260', 'i ']","['179', 'i ']","['1,963', 'i ']","['13', '  ']","['2,298', 'i ']","['D', '  ']","['1,707 - 1,937', 'i ']"
2049,r023,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['1,428', '  ']","['15,695', '  ']","['397', 'i ']","['2,243', '  ']","['379', '  ']","['2,204', '  ']","['40', 'i ']","['38', '  ']","['D', '  ']","['0 - 19', '  ']"
2049,r024,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337","['1,078', '  ']","['5,209', '  ']","['148', 'i ']","['224', '  ']","['147', 'i ']","['215', '  ']","['D', '  ']","['8', '  ']","['D', '  ']","['0 - 9', '  ']"
2049,r025,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['8,736', '  ']","['142,874', '  ']","['4,744', 'i ']","['103,648', '  ']","['4,342', 'i ']","['97,931', '  ']","['680', '  ']","['5,718', '  ']","['488', '  ']","['2,072', '  ']"
2049,r026,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['117', '  ']","['3,150', '  ']","['38', '  ']","['500', 'i ']","['36', '  ']","['444', 'i ']","['5', '  ']","['56', 'i ']","['0', '  ']","['0', '  ']"
2049,r027,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['36', '  ']","['317', '  ']","['13', '  ']","['26', '  ']","['13', '  ']","['26', '  ']","['D', '  ']","['*', '  ']","['0', '  ']","['0', '  ']"
2049,r028,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['691', '  ']","['534', '  ']","['90', 'i ']","['88', 'i ']","['86', 'i ']","['85', 'i ']","['D', '  ']","['3', '  ']","['0', '  ']","['0', '  ']"
2049,r029,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['2,527', '  ']","['80,252', '  ']","['2,217', '  ']","['71,664', '  ']","['2,189', '  ']","['70,563', 'i ']","['109', '  ']","['1,100', '  ']","['55', '  ']","['79', '  ']"
2049,r030,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,074', '  ']","['34,338', '  ']","['979', 'i ']","['28,359', '  ']","['959', 'i ']","['27,483', '  ']","['93', 'i ']","['875', '  ']","['51', '  ']","['53', '  ']"
2049,r031,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['D', '  ']","['3,682 - 3,806', '  ']","['76', '  ']","['2,914', '  ']","['D', '  ']","['2,773 - 2,911', '  ']","['D', '  ']","['4 - 140', '  ']","['0', '  ']","['0', '  ']"
2049,r032,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,131', '  ']","['16,155', '  ']","['1,028', '  ']","['15,215', '  ']","['1,022', '  ']","['15,129', '  ']","['10', '  ']","['86', '  ']","['4', '  ']","['27', '  ']"
2049,r033,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['D', '  ']","['25,954 - 26,077', '  ']","['133', '  ']","['25,176', 'i ']","['D', '  ']","['25,041 - 25,177', 'i ']","['D', '  ']","['0 - 134', '  ']","['0', '  ']","['0', '  ']"
2049,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['4,304', '  ']","['36,922', '  ']","['2,132', 'i ']","['14,169', '  ']","['1,764', 'i ']","['9,612', '  ']","['559', '  ']","['4,557', '  ']","['433', '  ']","['1,992', '  ']"
2049,r035,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,265', '  ']","['2,708', '  ']","['424', 'i ']","['685', 'i ']","['320', 'i ']","['208', 'i ']","['150', 'i ']","['477', 'i ']","['116', 'i ']","['326', 'i ']"
2049,r036,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,035', '  ']","['17,321', '  ']","['363', 'i ']","['3,055', '  ']","['191', 'i ']","['292', '  ']","['249', '  ']","['2,763', '  ']","['209', '  ']","['907', '  ']"
2049,r037,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['212', '  ']","['4,449', '  ']","['28', '  ']","['23', 'i ']","['24', '  ']","['12', '  ']","['13', '  ']","['11', 'i ']","['9', '  ']","['7', '  ']"
2049,r038,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,"['823', '  ']","['12,872', '  ']","['335', 'i ']","['3,032', '  ']","['167', 'i ']","['281', '  ']","['236', '  ']","['2,752', '  ']","['200', '  ']","['900', '  ']"
2049,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['2,005', '  ']","['16,893', '  ']","['1,345', 'i ']","['10,429', '  ']","['1,253', 'i ']","['9,112', '  ']","['159', '  ']","['1,317', '  ']","['108', '  ']","['759', '  ']"
2049,r040,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['177', '  ']","['1,101', '  ']","['17', '  ']","['91', 'i ']","['17', '  ']","['91', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2049,r041,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45, 48–49, 52–53, 55–56, 624, 71–72, 81","['885', '  ']","['20,598', '  ']","['237', '  ']","['17,110', '  ']","['237', '  ']","['17,109', '  ']","['D', '  ']","['1', '  ']","['0', '  ']","['0', '  ']"
2049,r042,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['20,884', '  ']","['400,100', '  ']","['8,367', 'i ']","['140,452', '  ']","['7,835', 'i ']","['130,015', '  ']","['1,030', '  ']","['10,437', '  ']","['548', '  ']","['5,212', 'i ']"
2049,r043,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2049,r044,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['3,618', '  ']","['3,311', '  ']","['1,558', 'i ']","['1,009', 'i ']","['1,412', 'i ']","['767', 'i ']","['265', 'i ']","['242', '  ']","['171', '  ']","['165', '  ']"
2049,r045,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['6,420', '  ']","['9,435', '  ']","['2,685', 'i ']","['2,936', '  ']","['2,557', 'i ']","['2,501', '  ']","['280', 'i ']","['435', '  ']","['142', 'i ']","['197', '  ']"
2049,r046,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2049,r047,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['3,806', '  ']","['10,141', '  ']","['1,509', 'i ']","['3,098', '  ']","['1,387', 'i ']","['2,438', '  ']","['191', '  ']","['660', '  ']","['108', '  ']","['312', '  ']"
2049,r048,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['3,176', '  ']","['17,216', '  ']","['1,137', '  ']","['4,820', '  ']","['1,056', '  ']","['3,819', '  ']","['132', '  ']","['1,001', '  ']","['70', '  ']","['490', '  ']"
2049,r049,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2049,r050,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['1,475', '  ']","['14,103', '  ']","['478', '  ']","['4,512', '  ']","['455', '  ']","['4,056', '  ']","['48', '  ']","['456', '  ']","['17', '  ']","['77', '  ']"
2049,r051,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['939', '  ']","['17,871', '  ']","['345', '  ']","['6,716', '  ']","['336', '  ']","['6,572', '  ']","['25', '  ']","['144', '  ']","['7', '  ']","['13', '  ']"
2049,r052,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['984', '  ']","['65,112', '  ']","['427', '  ']","['22,861', '  ']","['413', '  ']","['21,299', '  ']","['45', '  ']","['1,561', '  ']","['11', '  ']","['703', '  ']"
2049,r053,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['206', '  ']","['40,198', '  ']","['95', '  ']","['15,921', '  ']","['91', '  ']","['14,485', '  ']","['14', '  ']","['1,435', '  ']","['4', '  ']","['86', 'i ']"
2049,r054,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['154', '  ']","['73,485', '  ']","['79', '  ']","['20,374', 'i ']","['75', '  ']","['18,848', 'i ']","['18', '  ']","['1,525', 'i ']","['9', '  ']","['725', 'i ']"
2049,r055,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['105', '  ']","['149,227', '  ']","['53', '  ']","['58,206', '  ']","['51', '  ']","['55,229', '  ']","['12', '  ']","['2,977', 'i ']","['7', '  ']","['2,445', 'i ']"
