table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12574,r054,R&D and R&D plant -> R&D -> Water resources (301),R&D and R&D plant,R&D,Water resources (301),,,,3,283,251,221,-11.3,-12.0
12574,r055,R&D and R&D plant -> R&D -> Water resources (301) -> Department of Defense,R&D and R&D plant,R&D,Water resources (301),Department of Defense,,,4,131,103,71,-21.4,-31.1
12574,r056,R&D and R&D plant -> R&D -> Water resources (301) -> Department of Defense -> Army Corps of Engineers,R&D and R&D plant,R&D,Water resources (301),Department of Defense,Army Corps of Engineers,,5,131,103,71,-21.4,-31.1
12574,r057,R&D and R&D plant -> R&D -> Water resources (301) -> Department of the Interior,R&D and R&D plant,R&D,Water resources (301),Department of the Interior,,,4,152,148,150,-2.6,1.4
12574,r058,R&D and R&D plant -> R&D -> Water resources (301) -> Department of the Interior -> Bureau of Reclamation,R&D and R&D plant,R&D,Water resources (301),Department of the Interior,Bureau of Reclamation,,5,152,148,150,-2.6,1.4
12574,r059,R&D and R&D plant -> R&D -> Other natural resources (306),R&D and R&D plant,R&D,Other natural resources (306),,,,3,1870,1831,1824,-2.1,-0.4
12574,r060,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,,,4,998,959,906,-3.9,-5.6
12574,r061,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,,5,998,959,906,-3.9,-5.6
12574,r062,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission support / spectrum,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Mission support / spectrum,6,0,10,15,-,50.0
12574,r063,"R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service",R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",6,59,58,61,-3.0,5.6
12574,r064,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,6,79,65,61,-17.5,-6.1
12574,r065,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,6,135,117,150,-13.2,28.5
12574,r066,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,6,42,42,39,0.2,-6.0
12574,r067,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Oceanic and Atmospheric Research,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Office of Oceanic and Atmospheric Research,6,634,632,531,-0.4,-15.9
12574,r068,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations,R&D and R&D plant,R&D,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,6,49,36,48,-25.8,32.0
12574,r069,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,,,4,872,872,918,0.0,5.3
12574,r070,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> U.S. Geological Survey,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,U.S. Geological Survey,,5,872,872,918,0.0,5.3
12574,r071,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> U.S. Geological Survey -> Core science systems,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,U.S. Geological Survey,Core science systems,6,104,104,115,0.0,10.3
12574,r072,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> U.S. Geological Survey -> Ecosystems,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,U.S. Geological Survey,Ecosystems,6,306,306,324,0.0,6.0
12574,r073,"R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> U.S. Geological Survey -> Energy, minerals, and environmental health",R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,U.S. Geological Survey,"Energy, minerals, and environmental health",6,90,90,104,0.0,15.4
12574,r074,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> U.S. Geological Survey -> Natural hazards,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,U.S. Geological Survey,Natural hazards,6,145,145,154,0.0,5.8
12574,r075,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> U.S. Geological Survey -> Water resources,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,U.S. Geological Survey,Water resources,6,157,157,152,0.0,-3.4
12574,r076,R&D and R&D plant -> R&D -> Other natural resources (306) -> Department of the Interior -> U.S. Geological Survey -> Other<sup>b</sup>,R&D and R&D plant,R&D,Other natural resources (306),Department of the Interior,U.S. Geological Survey,Other<sup>b</sup>,6,69,69,69,0.0,0.0
