table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_units,field_graduate_students_all_graduate_students_institutions,field_graduate_students_master_s_units,field_graduate_students_master_s_institutions,field_graduate_students_doctoral_units,field_graduate_students_doctoral_institutions,field_postdoctoral_appointees_units,field_postdoctoral_appointees_institutions,field_doctorate_holding_nonfaculty_researchers_units,field_doctorate_holding_nonfaculty_researchers_institutions
10696,r030,All detailed fields -> Science -> Computer and information sciences -> Computer and information systems security ,All detailed fields,Science,Computer and information sciences,Computer and information systems security ,,4,160,124,157,123,8,7,5,5,6,6
10696,r031,All detailed fields -> Science -> Computer and information sciences -> Computer science,All detailed fields,Science,Computer and information sciences,Computer science,,4,291,237,266,229,137,117,83,78,61,50
10696,r032,All detailed fields -> Science -> Computer and information sciences -> Information science and studies,All detailed fields,Science,Computer and information sciences,Information science and studies,,4,131,93,120,88,31,28,18,15,14,14
10696,r033,All detailed fields -> Science -> Computer and information sciences -> Information technology,All detailed fields,Science,Computer and information sciences,Information technology,,4,98,76,94,75,11,9,3,3,2,2
10696,r034,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences nec ,All detailed fields,Science,Computer and information sciences,Computer and information sciences nec ,,4,90,66,86,64,9,8,17,15,29,24
10696,r035,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,,3,396,224,335,207,266,155,270,137,241,120
10696,r036,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,,4,59,47,48,41,46,41,47,32,40,29
10696,r037,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,,4,260,196,224,179,163,133,143,110,122,90
10696,r038,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences,,4,77,60,63,54,57,46,56,39,56,39
10696,r039,"All detailed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All detailed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",,4,ne,ne,ne,ne,ne,ne,24,12,23,9
10696,r040,All detailed fields -> Science -> Mathematics and statistics,All detailed fields,Science,Mathematics and statistics,,,3,748,354,644,347,345,196,200,131,81,57
10696,r041,All detailed fields -> Science -> Mathematics and statistics -> Applied mathematics,All detailed fields,Science,Mathematics and statistics,Applied mathematics,,4,218,160,183,142,80,71,36,35,19,17
10696,r042,All detailed fields -> Science -> Mathematics and statistics -> Mathematics,All detailed fields,Science,Mathematics and statistics,Mathematics,,4,323,291,275,257,171,162,114,101,37,34
10696,r043,All detailed fields -> Science -> Mathematics and statistics -> Statistics,All detailed fields,Science,Mathematics and statistics,Statistics,,4,207,165,186,160,94,83,50,50,25,21
10696,r044,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,,,3,439,237,354,212,145,103,189,90,218,88
10696,r045,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> Biological and physical sciences,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,Biological and physical sciences,,4,38,35,29,27,17,16,17,15,14,13
10696,r046,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> Computational science,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,Computational science,,4,56,46,48,40,15,14,11,9,6,6
10696,r047,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> Data science and data analytics,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,Data science and data analytics,,4,70,63,69,63,5,5,14,13,14,11
10696,r048,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> International and global studies,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,International and global studies,,4,33,30,30,28,8,7,5,5,8,6
10696,r049,All detailed fields -> Science -> Multidisciplinary and interdisciplinary sciences -> Multidisciplinary and interdisciplinary sciences nec,All detailed fields,Science,Multidisciplinary and interdisciplinary sciences,Multidisciplinary and interdisciplinary sciences nec,,4,242,152,178,123,100,78,142,68,176,69
10696,r050,All detailed fields -> Science -> Natural resources and conservation,All detailed fields,Science,Natural resources and conservation,,,3,381,208,320,197,168,102,162,89,152,79
10696,r051,All detailed fields -> Science -> Natural resources and conservation -> Environmental science and studies,All detailed fields,Science,Natural resources and conservation,Environmental science and studies,,4,218,161,177,147,81,61,59,50,57,45
10696,r052,"All detailed fields -> Science -> Natural resources and conservation -> Forestry, natural resources, and conservation",All detailed fields,Science,Natural resources and conservation,"Forestry, natural resources, and conservation",,4,163,86,143,85,87,54,103,54,95,49
10696,r053,All detailed fields -> Science -> Physical sciences,All detailed fields,Science,Physical sciences,,,3,806,326,577,305,565,227,593,221,449,182
10696,r054,All detailed fields -> Science -> Physical sciences -> Astronomy and astrophysics,All detailed fields,Science,Physical sciences,Astronomy and astrophysics,,4,61,53,15,15,54,48,70,50,58,38
10696,r055,All detailed fields -> Science -> Physical sciences -> Chemistry,All detailed fields,Science,Physical sciences,Chemistry,,4,356,307,292,268,229,203,221,191,174,147
10696,r056,All detailed fields -> Science -> Physical sciences -> Materials sciences,All detailed fields,Science,Physical sciences,Materials sciences,,4,63,50,36,32,48,40,24,20,25,19
10696,r057,All detailed fields -> Science -> Physical sciences -> Physics,All detailed fields,Science,Physical sciences,Physics,,4,298,237,216,192,219,189,258,180,167,126
10696,r058,All detailed fields -> Science -> Physical sciences -> Physical sciences nec,All detailed fields,Science,Physical sciences,Physical sciences nec,,4,28,24,18,16,15,14,20,19,25,18
10696,r059,All detailed fields -> Science -> Psychology,All detailed fields,Science,Psychology,,,3,1158,474,828,427,518,242,266,149,210,123
10696,r060,All detailed fields -> Science -> Psychology -> Applied psychology,All detailed fields,Science,Psychology,Applied psychology,,4,416,285,352,257,148,120,42,34,29,23
10696,r061,All detailed fields -> Science -> Psychology -> Clinical psychology,All detailed fields,Science,Psychology,Clinical psychology,,4,123,111,63,55,66,65,16,14,6,4
10696,r062,All detailed fields -> Science -> Psychology -> Clinical psychology -> Counseling psychology,All detailed fields,Science,Psychology,Clinical psychology,Counseling psychology,5,121,114,90,88,47,47,8,8,6,6
10696,r063,All detailed fields -> Science -> Psychology -> Human development,All detailed fields,Science,Psychology,Human development,,4,70,63,60,57,27,26,39,31,53,32
10696,r064,"All detailed fields -> Science -> Psychology -> Psychology, general",All detailed fields,Science,Psychology,"Psychology, general",,4,264,238,197,186,109,96,118,104,88,79
10696,r065,All detailed fields -> Science -> Psychology -> Research and experimental psychology,All detailed fields,Science,Psychology,Research and experimental psychology,,4,164,119,66,53,121,94,43,34,28,26
10696,r066,All detailed fields -> Science -> Social sciences,All detailed fields,Science,Social sciences,,,3,2061,411,1622,401,965,208,668,150,517,135
10696,r067,All detailed fields -> Science -> Social sciences -> Agricultural and natural resource economics,All detailed fields,Science,Social sciences,Agricultural and natural resource economics,,4,37,30,32,29,16,15,23,23,15,15
10696,r068,All detailed fields -> Science -> Social sciences -> Anthropology,All detailed fields,Science,Social sciences,Anthropology,,4,178,157,128,121,111,103,65,58,40,31
10696,r069,"All detailed fields -> Science -> Social sciences -> Area, ethnic, cultural, gender, and group studies",All detailed fields,Science,Social sciences,"Area, ethnic, cultural, gender, and group studies",,4,292,135,227,124,116,66,120,46,52,25
10696,r070,All detailed fields -> Science -> Social sciences -> Criminal justice and safety studies,All detailed fields,Science,Social sciences,Criminal justice and safety studies,,4,119,111,114,109,23,23,8,7,10,9
10696,r071,All detailed fields -> Science -> Social sciences -> Criminology,All detailed fields,Science,Social sciences,Criminology,,4,46,44,43,42,14,14,5,5,5,5
10696,r072,All detailed fields -> Science -> Social sciences -> Economics (except agricultural and natural resource),All detailed fields,Science,Social sciences,Economics (except agricultural and natural resource),,4,295,202,229,176,164,131,58,45,47,38
10696,r073,All detailed fields -> Science -> Social sciences -> Geography and cartography,All detailed fields,Science,Social sciences,Geography and cartography,,4,164,135,157,132,65,63,44,39,22,18
10696,r074,All detailed fields -> Science -> Social sciences -> International relations and national security studies,All detailed fields,Science,Social sciences,International relations and national security studies,,4,100,80,96,77,12,12,18,15,18,10
10696,r075,All detailed fields -> Science -> Social sciences -> Linguistics,All detailed fields,Science,Social sciences,Linguistics,,4,107,94,77,70,64,58,30,26,16,15
10696,r076,All detailed fields -> Science -> Social sciences -> Political science and government,All detailed fields,Science,Social sciences,Political science and government,,4,213,191,158,149,131,123,56,45,31,28
10696,r077,All detailed fields -> Science -> Social sciences -> Public policy analysis,All detailed fields,Science,Social sciences,Public policy analysis,,4,148,106,112,88,60,50,64,52,89,56
10696,r078,All detailed fields -> Science -> Social sciences -> Sociology and population studies,All detailed fields,Science,Social sciences,Sociology and population studies,,4,224,202,148,142,127,120,77,64,56,42
10696,r079,All detailed fields -> Science -> Social sciences -> Urban studies and affairs ,All detailed fields,Science,Social sciences,Urban studies and affairs ,,4,39,30,30,24,15,14,9,8,17,10
10696,r080,"All detailed fields -> Science -> Social sciences -> Social sciences, other",All detailed fields,Science,Social sciences,"Social sciences, other",,4,99,80,71,60,47,44,91,54,99,41
10696,r081,All detailed fields -> Engineering,All detailed fields,Engineering,,,,2,2545,328,2250,321,1455,233,1152,214,928,184
10696,r082,"All detailed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All detailed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,73,65,71,65,52,50,39,32,36,32
10696,r083,"All detailed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All detailed fields,Engineering,"Biological, biomedical, and biosystems engineering",,,3,234,179,193,160,167,143,145,116,124,92
10696,r084,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",,,3,202,144,182,139,147,121,144,119,97,72
10696,r085,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Chemical engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Chemical engineering,,4,174,142,157,136,130,121,135,116,87,71
10696,r086,"All detailed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Petroleum engineering",All detailed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Petroleum engineering,,4,28,21,25,21,17,16,9,9,10,9
10696,r087,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",,,3,388,207,357,203,209,140,190,125,134,90
10696,r088,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Civil engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",Civil engineering,,4,249,196,233,193,148,135,169,116,119,85
10696,r089,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Architectural, environmental, construction and surveying engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields","Architectural, environmental, construction and surveying engineering",,4,139,99,124,94,61,51,21,21,15,14
10696,r090,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",,,3,481,254,441,250,247,175,165,131,140,102
10696,r091,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Electrical, electronics, and communications engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering","Electrical, electronics, and communications engineering",,4,299,230,272,226,178,165,146,126,129,99
10696,r092,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",Computer engineering,,4,182,131,169,127,69,64,19,17,11,9
10696,r093,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",,,3,241,150,224,144,107,89,44,40,49,33
10696,r094,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research -> Industrial and manufacturing engineering",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",Industrial and manufacturing engineering,,4,125,105,121,103,61,59,31,27,31,23
10696,r095,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research -> Systems engineering and operations research",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",Systems engineering and operations research,,4,116,83,103,77,46,37,13,13,18,14
10696,r096,All detailed fields -> Engineering -> Mechanical engineering,All detailed fields,Engineering,Mechanical engineering,,,3,301,229,279,225,178,162,163,136,110,92
10696,r097,"All detailed fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All detailed fields,Engineering,"Metallurgical, mining, materials and related engineering fields",,,3,147,97,127,90,106,80,82,59,62,45
10696,r098,All detailed fields -> Engineering -> Other engineering,All detailed fields,Engineering,Other engineering,,,3,478,198,376,176,242,129,180,98,176,89
10696,r099,All detailed fields -> Engineering -> Other engineering -> Agricultural engineering,All detailed fields,Engineering,Other engineering,Agricultural engineering,,4,34,28,31,28,27,24,25,22,16,15
10696,r100,"All detailed fields -> Engineering -> Other engineering -> Engineering mechanics, physics, and science",All detailed fields,Engineering,Other engineering,"Engineering mechanics, physics, and science",,4,68,51,46,38,47,37,25,22,27,17
10696,r101,All detailed fields -> Engineering -> Other engineering -> Nuclear engineering,All detailed fields,Engineering,Other engineering,Nuclear engineering,,4,29,28,27,27,26,26,13,12,11,10
10696,r102,"All detailed fields -> Engineering -> Other engineering -> Engineering, other",All detailed fields,Engineering,Other engineering,"Engineering, other",,4,347,169,272,146,142,90,117,74,122,73
10696,r103,All detailed fields -> Health,All detailed fields,Health,,,,2,1617,452,1232,434,697,229,2133,180,1638,140
10696,r104,All detailed fields -> Health -> Clinical medicine,All detailed fields,Health,Clinical medicine,,,3,600,273,513,266,218,118,1730,141,1332,111
10696,r105,All detailed fields -> Health -> Clinical medicine -> Medical clinical sciences and clinical and medical laboratory sciences ,All detailed fields,Health,Clinical medicine,Medical clinical sciences and clinical and medical laboratory sciences ,,4,75,56,56,46,30,27,31,22,44,21
10696,r106,All detailed fields -> Health -> Clinical medicine -> Public health,All detailed fields,Health,Clinical medicine,Public health,,4,525,262,457,257,188,105,185,98,164,82
10696,r107,All detailed fields -> Health -> Clinical medicine -> Anesthesiology,All detailed fields,Health,Clinical medicine,Anesthesiology,,4,ne,ne,ne,ne,ne,ne,46,39,33,29
10696,r108,All detailed fields -> Health -> Clinical medicine -> Cardiology and cardiovascular disease,All detailed fields,Health,Clinical medicine,Cardiology and cardiovascular disease,,4,ne,ne,ne,ne,ne,ne,60,35,35,26
10696,r109,"All detailed fields -> Health -> Clinical medicine -> Endocrinology, diabetes, and metabolism",All detailed fields,Health,Clinical medicine,"Endocrinology, diabetes, and metabolism",,4,ne,ne,ne,ne,ne,ne,43,36,28,23
10696,r110,All detailed fields -> Health -> Clinical medicine -> Gastroenterology,All detailed fields,Health,Clinical medicine,Gastroenterology,,4,ne,ne,ne,ne,ne,ne,43,33,25,23
10696,r111,All detailed fields -> Health -> Clinical medicine -> Hematology,All detailed fields,Health,Clinical medicine,Hematology,,4,ne,ne,ne,ne,ne,ne,31,25,24,19
10696,r112,All detailed fields -> Health -> Clinical medicine -> Neurology and neurosurgery,All detailed fields,Health,Clinical medicine,Neurology and neurosurgery,,4,ne,ne,ne,ne,ne,ne,118,58,87,47
10696,r113,All detailed fields -> Health -> Clinical medicine -> Obstetrics and gynecology,All detailed fields,Health,Clinical medicine,Obstetrics and gynecology,,4,ne,ne,ne,ne,ne,ne,43,28,39,30
10696,r114,All detailed fields -> Health -> Clinical medicine -> Oncology and cancer research,All detailed fields,Health,Clinical medicine,Oncology and cancer research,,4,ne,ne,ne,ne,ne,ne,105,50,65,35
10696,r115,All detailed fields -> Health -> Clinical medicine -> Ophthalmology,All detailed fields,Health,Clinical medicine,Ophthalmology,,4,ne,ne,ne,ne,ne,ne,61,48,41,36
10696,r116,All detailed fields -> Health -> Clinical medicine -> Otorhinolaryngology,All detailed fields,Health,Clinical medicine,Otorhinolaryngology,,4,ne,ne,ne,ne,ne,ne,35,33,29,27
10696,r117,All detailed fields -> Health -> Clinical medicine -> Pediatrics,All detailed fields,Health,Clinical medicine,Pediatrics,,4,ne,ne,ne,ne,ne,ne,135,56,104,44
10696,r118,All detailed fields -> Health -> Clinical medicine -> Psychiatry,All detailed fields,Health,Clinical medicine,Psychiatry,,4,ne,ne,ne,ne,ne,ne,86,56,54,41
10696,r119,All detailed fields -> Health -> Clinical medicine -> Pulmonary disease,All detailed fields,Health,Clinical medicine,Pulmonary disease,,4,ne,ne,ne,ne,ne,ne,35,33,28,27
10696,r120,All detailed fields -> Health -> Clinical medicine -> Radiological sciences,All detailed fields,Health,Clinical medicine,Radiological sciences,,4,ne,ne,ne,ne,ne,ne,113,51,86,38
10696,r121,All detailed fields -> Health -> Clinical medicine -> Surgery,All detailed fields,Health,Clinical medicine,Surgery,,4,ne,ne,ne,ne,ne,ne,189,60,141,50
10696,r122,All detailed fields -> Health -> Clinical medicine -> Clinical medicine nec,All detailed fields,Health,Clinical medicine,Clinical medicine nec,,4,ne,ne,ne,ne,ne,ne,371,80,305,62
10696,r123,All detailed fields -> Health -> Other health,All detailed fields,Health,Other health,,,3,1017,403,719,367,479,209,403,133,306,103
10696,r124,All detailed fields -> Health -> Other health -> Communication disorders sciences,All detailed fields,Health,Other health,Communication disorders sciences,,4,259,237,240,231,72,65,32,31,30,29
10696,r125,All detailed fields -> Health -> Other health -> Dental sciences ,All detailed fields,Health,Other health,Dental sciences ,,4,97,45,84,44,23,20,66,33,42,23
10696,r126,All detailed fields -> Health -> Other health -> Kinesiology and exercise science,All detailed fields,Health,Other health,Kinesiology and exercise science,,4,176,157,162,148,47,45,25,25,17,17
10696,r127,All detailed fields -> Health -> Other health -> Nursing science,All detailed fields,Health,Other health,Nursing science,,4,149,138,24,24,136,127,55,43,52,32
10696,r128,All detailed fields -> Health -> Other health -> Pharmaceutical sciences,All detailed fields,Health,Other health,Pharmaceutical sciences,,4,135,88,88,66,101,70,109,68,78,49
10696,r129,All detailed fields -> Health -> Other health -> Other health nec,All detailed fields,Health,Other health,Other health nec,,4,201,140,121,99,100,76,116,61,87,46
