table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_dod_number,field_dod_percent,field_doe_number,field_doe_percent,field_hhs_nih_number,field_hhs_nih_percent,field_hhs_other_hhs_number,field_hhs_other_hhs_percent,field_nasa_number,field_nasa_percent,field_nsf_number,field_nsf_percent,field_usda_number,field_usda_percent,field_other_number,field_other_percent
10686,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,3113,216,6.9,7,0.2,816,26.2,252,8.1,0,0.0,395,12.7,12,0.4,1415,45.5
10686,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,2794,481,17.2,13,0.5,145,5.2,83,3.0,38,1.4,651,23.3,287,10.3,1096,39.2
10686,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,24183,5041,20.8,2873,11.9,3276,13.5,871,3.6,886,3.7,7670,31.7,385,1.6,3181,13.2
10686,r014,"All graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,1244,581,46.7,65,5.2,3,0.2,1,0.1,210,16.9,169,13.6,1,0.1,214,17.2
10686,r015,"All graduate students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Engineering,"Biological, biomedical, and biosystems engineering",,3,3463,187,5.4,22,0.6,2088,60.3,169,4.9,9,0.3,673,19.4,57,1.6,258,7.5
10686,r016,"All graduate students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,2419,227,9.4,507,21.0,294,12.2,55,2.3,49,2.0,997,41.2,34,1.4,256,10.6
10686,r017,"All graduate students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Engineering,"Civil, environmental, transportation and related engineering fields",,3,2239,247,11.0,213,9.5,48,2.1,106,4.7,97,4.3,765,34.2,62,2.8,701,31.3
10686,r018,"All graduate students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Engineering,"Electrical, electronics, communications and computer engineering",,3,5621,1591,28.3,469,8.3,380,6.8,138,2.5,172,3.1,2247,40.0,54,1.0,570,10.1
10686,r019,"All graduate students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,1070,429,40.1,53,5.0,38,3.6,49,4.6,22,2.1,293,27.4,8,0.7,178,16.6
10686,r020,All graduate students -> Engineering -> Mechanical engineering,All graduate students,Engineering,Mechanical engineering,,3,4117,1073,26.1,604,14.7,229,5.6,95,2.3,228,5.5,1356,32.9,28,0.7,504,12.2
10686,r021,"All graduate students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,1697,343,20.2,400,23.6,37,2.2,90,5.3,49,2.9,600,35.4,11,0.6,167,9.8
10686,r022,All graduate students -> Engineering -> Other engineering,All graduate students,Engineering,Other engineering,,3,2313,363,15.7,540,23.3,159,6.9,168,7.3,50,2.2,570,24.6,130,5.6,333,14.4
10686,r023,All graduate students -> Health,All graduate students,Health,,,2,4816,376,7.8,11,0.2,1670,34.7,603,12.5,4,0.1,142,2.9,37,0.8,1973,41.0
10686,r024,All graduate students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Health,Clinical medicine<sup>a</sup>,,3,1828,98,5.4,10,0.5,594,32.5,374,20.5,3,0.2,44,2.4,18,1.0,687,37.6
10686,r025,All graduate students -> Health -> Other health,All graduate students,Health,Other health,,3,2988,278,9.3,1,0.05,1076,36.0,229,7.7,1,0.05,98,3.3,19,0.6,1286,43.0
10686,r026,All graduate students -> Master's students,All graduate students,Master's students,,,2,15823,2801,17.7,554,3.5,1107,7.0,630,4.0,322,2.0,2119,13.4,1315,8.3,6975,44.1
10686,r027,All graduate students -> Master's students -> Science,All graduate students,Master's students,Science,,3,9442,1167,12.4,165,1.7,689,7.3,252,2.7,141,1.5,1375,14.6,1193,12.6,4460,47.2
10686,r028,All graduate students -> Master's students -> Science -> Agricultural and veterinary sciences,All graduate students,Master's students,Science,Agricultural and veterinary sciences,4,790,4,0.5,8,1.0,18,2.3,41,5.2,2,0.3,47,5.9,534,67.6,136,17.2
10686,r029,All graduate students -> Master's students -> Science -> Biological and biomedical sciences,All graduate students,Master's students,Science,Biological and biomedical sciences,4,1896,81,4.3,24,1.3,481,25.4,57,3.0,10,0.5,228,12.0,231,12.2,784,41.4
10686,r030,All graduate students -> Master's students -> Science -> Computer and information sciences,All graduate students,Master's students,Science,Computer and information sciences,4,1870,408,21.8,44,2.4,69,3.7,43,2.3,33,1.8,410,21.9,58,3.1,805,43.0
10686,r031,"All graduate students -> Master's students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Master's students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,686,58,8.5,34,5.0,3,0.4,4,0.6,53,7.7,248,36.2,9,1.3,277,40.4
10686,r032,All graduate students -> Master's students -> Science -> Mathematics and statistics,All graduate students,Master's students,Science,Mathematics and statistics,4,205,38,18.5,2,1.0,20,9.8,4,2.0,6,2.9,64,31.2,3,1.5,68,33.2
10686,r033,All graduate students -> Master's students -> Science -> Multidisciplinary and interdisciplinary sciences,All graduate students,Master's students,Science,Multidisciplinary and interdisciplinary sciences,4,413,32,7.7,4,1.0,19,4.6,1,0.2,4,1.0,47,11.4,17,4.1,289,70.0
10686,r034,All graduate students -> Master's students -> Science -> Natural resources and conservation,All graduate students,Master's students,Science,Natural resources and conservation,4,879,29,3.3,21,2.4,15,1.7,38,4.3,9,1.0,108,12.3,219,24.9,440,50.1
10686,r035,All graduate students -> Master's students -> Science -> Physical sciences,All graduate students,Master's students,Science,Physical sciences,4,323,68,21.1,24,7.4,23,7.1,3,0.9,15,4.6,101,31.3,5,1.5,84,26.0
10686,r036,All graduate students -> Master's students -> Science -> Psychology,All graduate students,Master's students,Science,Psychology,4,1072,67,6.3,0,0.0,36,3.4,41,3.8,0,0.0,42,3.9,4,0.4,882,82.3
10686,r037,All graduate students -> Master's students -> Science -> Social sciences,All graduate students,Master's students,Science,Social sciences,4,1308,382,29.2,4,0.3,5,0.4,20,1.5,9,0.7,80,6.1,113,8.6,695,53.1
10686,r038,All graduate students -> Master's students -> Engineering,All graduate students,Master's students,Engineering,,3,3981,1362,34.2,383,9.6,138,3.5,108,2.7,181,4.5,705,17.7,106,2.7,998,25.1
10686,r039,"All graduate students -> Master's students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Master's students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,404,222,55.0,17,4.2,0,0.0,0,0.0,49,12.1,23,5.7,0,0.0,93,23.0
10686,r040,"All graduate students -> Master's students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Master's students,Engineering,"Biological, biomedical, and biosystems engineering",4,219,19,8.7,2,0.9,62,28.3,6,2.7,2,0.9,28,12.8,16,7.3,84,38.4
10686,r041,"All graduate students -> Master's students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Master's students,Engineering,"Chemical, petroleum, and chemical-related engineering",4,92,9,9.8,23,25.0,0,0.0,1,1.1,6,6.5,27,29.3,5,5.4,21,22.8
10686,r042,"All graduate students -> Master's students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Master's students,Engineering,"Civil, environmental, transportation and related engineering fields",4,541,75,13.9,36,6.7,9,1.7,29,5.4,16,3.0,119,22.0,21,3.9,236,43.6
10686,r043,"All graduate students -> Master's students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Master's students,Engineering,"Electrical, electronics, communications and computer engineering",4,820,296,36.1,56,6.8,31,3.8,15,1.8,30,3.7,222,27.1,11,1.3,159,19.4
10686,r044,"All graduate students -> Master's students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Master's students,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,486,305,62.8,20,4.1,6,1.2,9,1.9,2,0.4,29,6.0,5,1.0,110,22.6
10686,r045,All graduate students -> Master's students -> Engineering -> Mechanical engineering,All graduate students,Master's students,Engineering,Mechanical engineering,4,830,285,34.3,112,13.5,25,3.0,24,2.9,58,7.0,165,19.9,5,0.6,156,18.8
10686,r046,"All graduate students -> Master's students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Master's students,Engineering,"Metallurgical, mining, materials and related engineering fields",4,191,57,29.8,44,23.0,0,0.0,8,4.2,8,4.2,44,23.0,1,0.5,29,15.2
10686,r047,All graduate students -> Master's students -> Engineering -> Other engineering,All graduate students,Master's students,Engineering,Other engineering,4,398,94,23.6,73,18.3,5,1.3,16,4.0,10,2.5,48,12.1,42,10.6,110,27.6
10686,r048,All graduate students -> Master's students -> Health,All graduate students,Master's students,Health,,3,2400,272,11.3,6,0.3,280,11.7,270,11.3,0,0.0,39,1.6,16,0.7,1517,63.2
10686,r049,All graduate students -> Master's students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Master's students,Health,Clinical medicine<sup>a</sup>,4,1058,73,6.9,6,0.6,187,17.7,200,18.9,0,0.0,11,1.0,9,0.9,572,54.1
10686,r050,All graduate students -> Master's students -> Health -> Other health,All graduate students,Master's students,Health,Other health,4,1342,199,14.8,0,0.0,93,6.9,70,5.2,0,0.0,28,2.1,7,0.5,945,70.4
10686,r051,All graduate students -> Doctoral students,All graduate students,Doctoral students,,,2,65950,6292,9.5,5316,8.1,22093,33.5,2893,4.4,1852,2.8,19017,28.8,1992,3.0,6495,9.8
10686,r052,All graduate students -> Doctoral students -> Science,All graduate students,Doctoral students,Science,,3,43332,2509,5.8,2821,6.5,17565,40.5,1797,4.1,1143,2.6,11949,27.6,1692,3.9,3856,8.9
10686,r053,All graduate students -> Doctoral students -> Science -> Agricultural and veterinary sciences,All graduate students,Doctoral students,Science,Agricultural and veterinary sciences,4,1117,16,1.4,40,3.6,105,9.4,76,6.8,3,0.3,113,10.1,638,57.1,126,11.3
10686,r054,All graduate students -> Doctoral students -> Science -> Biological and biomedical sciences,All graduate students,Doctoral students,Science,Biological and biomedical sciences,4,19348,361,1.9,172,0.9,14075,72.7,948,4.9,59,0.3,2180,11.3,569,2.9,984,5.1
10686,r055,All graduate students -> Doctoral students -> Science -> Computer and information sciences,All graduate students,Doctoral students,Science,Computer and information sciences,4,4453,879,19.7,138,3.1,311,7.0,123,2.8,38,0.9,2499,56.1,45,1.0,420,9.4
10686,r056,"All graduate students -> Doctoral students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Doctoral students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,2040,121,5.9,86,4.2,23,1.1,14,0.7,407,20.0,998,48.9,30,1.5,361,17.7
10686,r057,All graduate students -> Doctoral students -> Science -> Mathematics and statistics,All graduate students,Doctoral students,Science,Mathematics and statistics,4,1367,95,6.9,34,2.5,185,13.5,38,2.8,19,1.4,906,66.3,9,0.7,81,5.9
10686,r058,All graduate students -> Doctoral students -> Science -> Multidisciplinary and interdisciplinary sciences,All graduate students,Doctoral students,Science,Multidisciplinary and interdisciplinary sciences,4,531,27,5.1,48,9.0,195,36.7,25,4.7,14,2.6,145,27.3,15,2.8,62,11.7
10686,r059,All graduate students -> Doctoral students -> Science -> Natural resources and conservation,All graduate students,Doctoral students,Science,Natural resources and conservation,4,756,23,3.0,38,5.0,42,5.6,34,4.5,34,4.5,190,25.1,178,23.5,217,28.7
10686,r060,All graduate students -> Doctoral students -> Science -> Physical sciences,All graduate students,Doctoral students,Science,Physical sciences,4,10193,739,7.3,2249,22.1,1709,16.8,265,2.6,540,5.3,3994,39.2,26,0.3,671,6.6
10686,r061,All graduate students -> Doctoral students -> Science -> Psychology,All graduate students,Doctoral students,Science,Psychology,4,2041,149,7.3,7,0.3,780,38.2,211,10.3,0,0.0,353,17.3,8,0.4,533,26.1
10686,r062,All graduate students -> Doctoral students -> Science -> Social sciences,All graduate students,Doctoral students,Science,Social sciences,4,1486,99,6.7,9,0.6,140,9.4,63,4.2,29,2.0,571,38.4,174,11.7,401,27.0
10686,r063,All graduate students -> Doctoral students -> Engineering,All graduate students,Doctoral students,Engineering,,3,20202,3679,18.2,2490,12.3,3138,15.5,763,3.8,705,3.5,6965,34.5,279,1.4,2183,10.8
10686,r064,"All graduate students -> Doctoral students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Doctoral students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,840,359,42.7,48,5.7,3,0.4,1,0.1,161,19.2,146,17.4,1,0.1,121,14.4
10686,r065,"All graduate students -> Doctoral students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Doctoral students,Engineering,"Biological, biomedical, and biosystems engineering",4,3244,168,5.2,20,0.6,2026,62.5,163,5.0,7,0.2,645,19.9,41,1.3,174,5.4
10686,r066,"All graduate students -> Doctoral students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Doctoral students,Engineering,"Chemical, petroleum, and chemical-related engineering",4,2327,218,9.4,484,20.8,294,12.6,54,2.3,43,1.8,970,41.7,29,1.2,235,10.1
10686,r067,"All graduate students -> Doctoral students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Doctoral students,Engineering,"Civil, environmental, transportation and related engineering fields",4,1698,172,10.1,177,10.4,39,2.3,77,4.5,81,4.8,646,38.0,41,2.4,465,27.4
10686,r068,"All graduate students -> Doctoral students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Doctoral students,Engineering,"Electrical, electronics, communications and computer engineering",4,4801,1295,27.0,413,8.6,349,7.3,123,2.6,142,3.0,2025,42.2,43,0.9,411,8.6
10686,r069,"All graduate students -> Doctoral students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Doctoral students,Engineering,"Industrial, manufacturing, systems engineering and operations research",4,584,124,21.2,33,5.7,32,5.5,40,6.8,20,3.4,264,45.2,3,0.5,68,11.6
10686,r070,All graduate students -> Doctoral students -> Engineering -> Mechanical engineering,All graduate students,Doctoral students,Engineering,Mechanical engineering,4,3287,788,24.0,492,15.0,204,6.2,71,2.2,170,5.2,1191,36.2,23,0.7,348,10.6
10686,r071,"All graduate students -> Doctoral students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Doctoral students,Engineering,"Metallurgical, mining, materials and related engineering fields",4,1506,286,19.0,356,23.6,37,2.5,82,5.4,41,2.7,556,36.9,10,0.7,138,9.2
10686,r072,All graduate students -> Doctoral students -> Engineering -> Other engineering,All graduate students,Doctoral students,Engineering,Other engineering,4,1915,269,14.0,467,24.4,154,8.0,152,7.9,40,2.1,522,27.3,88,4.6,223,11.6
10686,r073,All graduate students -> Doctoral students -> Health,All graduate students,Doctoral students,Health,,3,2416,104,4.3,5,0.2,1390,57.5,333,13.8,4,0.2,103,4.3,21,0.9,456,18.9
10686,r074,All graduate students -> Doctoral students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Doctoral students,Health,Clinical medicine<sup>a</sup>,4,770,25,3.2,4,0.5,407,52.9,174,22.6,3,0.4,33,4.3,9,1.2,115,14.9
10686,r075,All graduate students -> Doctoral students -> Health -> Other health,All graduate students,Doctoral students,Health,Other health,4,1646,79,4.8,1,0.1,983,59.7,159,9.7,1,0.1,70,4.3,12,0.7,341,20.7
