table_id,row_id,field_of_study_ethnicity_and_race_full_path,field_of_study_ethnicity_and_race_level_1,field_of_study_ethnicity_and_race_level_2,field_of_study_ethnicity_and_race_level_3,field_of_study_ethnicity_and_race_level_4,field_of_study_ethnicity_and_race_level_5,field_of_study_ethnicity_and_race_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_tenured_number,field_tenured_se,field_not_tenured_on_tenure_track_number,field_not_tenured_on_tenure_track_se,field_not_tenured_not_on_tenure_track_number,field_not_tenured_not_on_tenure_track_se,field_tenure_not_applicable_number,field_tenure_not_applicable_se
8201,r013,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Asian,,4,50500,1175,19050,725,8950,525,9150,625,13350,700
8201,r014,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,10600,375,4450,300,2100,200,1550,200,2500,225
8201,r015,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Not Hispanic or Latino<sup>b</sup>,White,,4,192150,1925,95100,1450,23250,725,29350,850,44450,1175
8201,r016,All fields -> Science -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,4700,300,1650,200,850,125,800,150,1400,200
8201,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,95500,1375,35900,1000,12550,550,18150,650,28900,850
8201,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Hispanic or Latino<sup>a</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Hispanic or Latino<sup>a</sup>,,4,4850,275,1350,125,900,125,950,125,1650,200
8201,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
8201,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,150,50,50,25,,,,,50,25
8201,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Asian,5,20600,850,5500,450,3100,350,4950,450,7100,500
8201,r022,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Black or African American,5,2800,225,950,125,450,75,450,75,950,150
8201,r023,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> White",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,White,5,65500,1200,27550,950,7800,425,11450,500,18700,700
8201,r024,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>",All fields,Science,"Biological, agricultural, and environmental life sciences",Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,1600,200,500,150,250,50,350,125,500,75
8201,r025,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,,3,11850,450,6100,400,2800,275,1150,200,1800,250
8201,r026,All fields -> Science -> Computer and information sciences -> Hispanic or Latino<sup>a</sup>,All fields,Science,Computer and information sciences,Hispanic or Latino<sup>a</sup>,,4,400,75,200,50,100,50,100,50,50,25
8201,r027,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
8201,r028,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,
8201,r029,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Asian,5,4300,350,2150,300,1250,200,350,125,600,150
8201,r030,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,350,100,150,75,150,50,0.05,0.05,,
8201,r031,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,White,5,6500,375,3400,325,1300,200,700,125,1100,200
8201,r032,All fields -> Science -> Computer and information sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Computer and information sciences,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,250,125,S,S,,,,,50,25
8201,r033,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,,3,20250,625,11650,475,3000,300,2850,300,2800,275
8201,r034,All fields -> Science -> Mathematics and statistics -> Hispanic or Latino<sup>a</sup>,All fields,Science,Mathematics and statistics,Hispanic or Latino<sup>a</sup>,,4,1000,100,450,75,200,50,200,75,150,50
8201,r035,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
8201,r036,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,
8201,r037,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Asian,5,4950,375,2800,300,1000,225,500,150,650,150
8201,r038,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,600,100,200,50,250,100,100,50,50,25
8201,r039,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,White,5,13500,550,8150,425,1500,200,1950,250,1900,225
8201,r040,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,200,50,50,25,S,S,50,25,S,S
8201,r041,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,,3,45900,1025,21100,725,5300,325,7400,500,12100,625
8201,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Hispanic or Latino<sup>a</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Hispanic or Latino<sup>a</sup>,,4,1650,150,750,100,250,50,200,50,450,75
8201,r043,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
8201,r044,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,
8201,r045,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Asian,5,10200,625,3650,425,1150,200,2000,325,3450,325
8201,r046,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Black or African American,5,1100,150,400,75,200,75,250,100,250,75
8201,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> White",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,White,5,32150,850,16050,650,3550,300,4900,350,7600,475
8201,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,750,150,200,75,150,50,50,25,350,125
8201,r049,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,38700,800,17750,650,4750,325,5950,375,10250,475
8201,r050,All fields -> Science -> Psychology -> Hispanic or Latino<sup>a</sup>,All fields,Science,Psychology,Hispanic or Latino<sup>a</sup>,,4,2450,225,900,125,400,75,400,100,750,150
8201,r051,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
8201,r052,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,50,25,50,25,,,,,,
8201,r053,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Asian,5,2900,250,1300,175,450,125,450,100,700,150
8201,r054,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,2200,225,850,175,300,75,450,125,550,125
8201,r055,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,White,5,30150,700,14350,575,3450,300,4500,375,7850,450
8201,r056,All fields -> Science -> Psychology -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Psychology,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,950,150,300,75,150,50,150,75,350,100
8201,r057,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,60250,950,33500,725,9650,475,7600,400,9500,500
8201,r058,All fields -> Science -> Social sciences -> Hispanic or Latino<sup>a</sup>,All fields,Science,Social sciences,Hispanic or Latino<sup>a</sup>,,4,3750,250,1800,150,950,175,450,75,550,75
8201,r059,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup>,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
8201,r060,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,250,75,150,75,50,25,,,S,S
8201,r061,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Asian,5,7500,450,3650,300,2050,250,900,175,850,175
8201,r062,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Black or African American,5,3500,225,1900,200,650,125,300,75,650,100
8201,r063,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,White,5,44350,850,25600,675,5650,350,5800,325,7250,450
8201,r064,All fields -> Science -> Social sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Social sciences,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,950,125,400,100,300,75,100,50,150,50
8201,r065,All fields -> Engineering,All fields,Engineering,,,,2,46850,1150,23050,775,8400,475,5850,425,9550,450
8201,r066,All fields -> Engineering -> Hispanic or Latino<sup>a</sup>,All fields,Engineering,Hispanic or Latino<sup>a</sup>,,,3,2300,175,1050,125,350,75,400,100,550,125
8201,r067,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup>,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,
8201,r068,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,50,50,S,S,,,,,,
8201,r069,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Asian,,4,16100,700,7700,525,3250,325,1900,275,3250,300
8201,r070,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,1500,150,650,125,300,75,250,75,300,75
8201,r071,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,White,,4,26200,850,13250,575,4400,375,3250,300,5250,300
8201,r072,All fields -> Engineering -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Engineering,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,700,150,300,125,100,50,50,25,200,75
8201,r073,All fields -> Health,All fields,Health,,,,2,21600,600,8050,450,4100,250,4550,375,4900,325
8201,r074,All fields -> Health -> Hispanic or Latino<sup>a</sup>,All fields,Health,Hispanic or Latino<sup>a</sup>,,,3,900,100,250,75,250,50,200,75,200,50
8201,r075,All fields -> Health -> Not Hispanic or Latino<sup>b</sup>,All fields,Health,Not Hispanic or Latino<sup>b</sup>,,,3,,,,,,,,,,
8201,r076,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native,All fields,Health,Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,,4,50,50,,,,,,,,
8201,r077,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Asian,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Asian,,4,3250,300,1250,175,600,125,800,175,600,125
8201,r078,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Black or African American,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Black or African American,,4,1600,150,400,75,450,75,400,125,350,75
8201,r079,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> White,All fields,Health,Not Hispanic or Latino<sup>b</sup>,White,,4,15400,525,6000,400,2750,250,3000,325,3600,300
8201,r080,All fields -> Health -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Health,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,,4,450,100,100,50,100,50,100,50,150,75
