table_id,row_id,occupation_and_age_years_full_path,occupation_and_age_years_level_1,occupation_and_age_years_level_2,occupation_and_age_years_level_3,occupation_and_age_years_level_4,occupation_and_age_years_level_5,occupation_and_age_years_hierarchy_depth,field_all_degreesa_both_sexes,field_all_degreesa_female,field_all_degreesa_male,field_bachelor_s_both_sexes,field_bachelor_s_female,field_bachelor_s_male,field_master_s_both_sexes,field_master_s_female,field_master_s_male,field_doctorate_both_sexes,field_doctorate_female,field_doctorate_male
3301,r035,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,50&#8211;75,5,107000,85000,108000,75000,63000,81000,98000,105000,95000,135000,125000,136000
3301,r036,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,,4,72000,68000,94000,49000,45000,S,57000,56000,64000,94000,89000,98000
3301,r037,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,29 and younger,5,46000,46000,,22000,22000,,46000,46000,,58000,,
3301,r038,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,30&#8211;39,5,69000,66000,72000,62000,61000,,57000,58000,S,90000,90000,89000
3301,r039,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,40&#8211;49,5,78000,74000,92000,S,S,,56000,55000,,89000,86000,92000
3301,r040,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,Psychologist,50&#8211;75,5,95000,88000,103000,92000,,,72000,70000,77000,103000,89000,117000
3301,r041,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,,4,78000,70000,84000,64000,57000,71000,76000,68000,87000,90000,88000,96000
3301,r042,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,29 and younger,5,49000,37000,63000,37000,S,60000,51000,46000,63000,,,S
3301,r043,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,30&#8211;39,5,73000,70000,74000,74000,74000,73000,68000,61000,70000,80000,83000,75000
3301,r044,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,40&#8211;49,5,80000,79000,84000,69000,69000,75000,79000,79000,131000,84000,80000,85000
3301,r045,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,Social scientist,50&#8211;75,5,103000,98000,105000,73000,S,60000,107000,S,107000,108000,106000,120000
3301,r046,All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,,,3,100000,92000,100000,95000,85000,96000,105000,96000,108000,125000,110000,127000
3301,r047,All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,29 and younger,,4,74000,71000,75000,72000,71000,73000,77000,70000,78000,106000,98000,110000
3301,r048,All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,30&#8211;39,,4,96000,94000,97000,91000,90000,92000,100000,99000,100000,103000,98000,105000
3301,r049,All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,40&#8211;49,,4,112000,111000,112000,106000,110000,106000,120000,105000,120000,129000,112000,133000
3301,r050,All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,50&#8211;75,,4,120000,115000,120000,115000,107000,116000,130000,124000,130000,147000,133000,147000
3301,r051,All occupations -> S&E-related occupations<sup>c</sup>,All occupations,S&E-related occupations<sup>c</sup>,,,,2,80000,74000,93000,70000,65000,75000,85000,80000,96000,100000,99000,104000
3301,r052,All occupations -> S&E-related occupations<sup>c</sup> -> 29 and younger,All occupations,S&E-related occupations<sup>c</sup>,29 and younger,,,3,55000,55000,55000,50000,50000,50000,60000,58000,68000,68000,70000,62000
3301,r053,All occupations -> S&E-related occupations<sup>c</sup> -> 30&#8211;39,All occupations,S&E-related occupations<sup>c</sup>,30&#8211;39,,,3,75000,73000,79000,65000,65000,65000,83000,80000,86000,79000,87000,75000
3301,r054,All occupations -> S&E-related occupations<sup>c</sup> -> 40&#8211;49,All occupations,S&E-related occupations<sup>c</sup>,40&#8211;49,,,3,95000,82000,107000,80000,73000,92000,95000,85000,104000,138000,136000,147000
3301,r055,All occupations -> S&E-related occupations<sup>c</sup> -> 50&#8211;75,All occupations,S&E-related occupations<sup>c</sup>,50&#8211;75,,,3,96000,84000,116000,81000,75000,92000,91000,86000,104000,119000,106000,130000
3301,r056,All occupations -> Non-S&E occupations<sup>d</sup>,All occupations,Non-S&E occupations<sup>d</sup>,,,,2,72000,60000,88000,60000,50000,75000,80000,69000,100000,109000,89000,124000
3301,r057,All occupations -> Non-S&E occupations<sup>d</sup> -> 29 and younger,All occupations,Non-S&E occupations<sup>d</sup>,29 and younger,,,3,45000,45000,51000,43000,40000,48000,50000,48000,68000,59000,,S
3301,r058,All occupations -> Non-S&E occupations<sup>d</sup> -> 30&#8211;39,All occupations,Non-S&E occupations<sup>d</sup>,30&#8211;39,,,3,68000,62000,80000,59000,51000,68000,74000,67000,88000,86000,84000,98000
3301,r059,All occupations -> Non-S&E occupations<sup>d</sup> -> 40&#8211;49,All occupations,Non-S&E occupations<sup>d</sup>,40&#8211;49,,,3,85000,72000,100000,75000,59000,95000,90000,80000,109000,109000,85000,124000
3301,r060,All occupations -> Non-S&E occupations<sup>d</sup> -> 50&#8211;75,All occupations,Non-S&E occupations<sup>d</sup>,50&#8211;75,,,3,85000,70000,100000,75000,60000,85000,93000,79000,115000,120000,99000,126000
