table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materialsandsupplies,field_lease_andrental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
1403,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['261', '  ']","['174', '  ']","['*', '  ']","['D', '  ']","['14', '  ']","['24', '  ']","['D', '  ']","['14', '  ']","['*', '  ']","['16', '  ']","['D', ' ']"
1403,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['18', '  ']","['D', '  ']","['0', '  ']","['*', 'i ']","['D', '  ']","['D', '  ']","['*', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['D', ' ']"
1403,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals ",,4,3253,"['D', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['*', '  ']","['18', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['D', ' ']"
1403,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['8,644', '  ']","['4,126', '  ']","['348', '  ']","['353', 'i ']","['40', '  ']","['467', '  ']","['233', '  ']","['319', '  ']","['22', '  ']","['457', '  ']","['2,279', 'i']"
1403,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['141', '  ']","['91', '  ']","['0', '  ']","['11', '  ']","['0', '  ']","['5', '  ']","['9', '  ']","['D', '  ']","['0', '  ']","['3', '  ']","['D', ' ']"
1403,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['D', '&nbsp;']","['17', 'i ']","['0', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['*', 'i ']","['D', '&nbsp;']","['0', '  ']","['*', 'i ']","['D', '&nbsp;']"
1403,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['169', '  ']","['27', '  ']","['0', '  ']","['2', '  ']","['83', '  ']","['48', '  ']","['1', 'i ']","['2', '  ']","['0', '  ']","['1', 'i ']","['4', 'i']"
1403,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['14', '  ']","['10', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['3', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['2', ' ']"
1403,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['10', '  ']","['6', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['*', ' ']"
1403,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['112', 'i ']","['42', 'i ']","['0', '  ']","['D', '&nbsp;']","['*', '  ']","['15', 'i ']","['3', 'i ']","['*', 'i ']","['2', 'i ']","['*', 'i ']","['D', '&nbsp;']"
1403,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['886', '  ']","['609', '  ']","['*', '  ']","['11', '  ']","['2', '  ']","['174', '  ']","['5', '  ']","['25', '  ']","['*', '  ']","['9', '  ']","['51', 'i']"
1403,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['12', '  ']","['9', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['1', '  ']","['*', '  ']","['*', 'i ']","['1', ' ']"
1403,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['383', '  ']","['326', '  ']","['*', '  ']","['1', '  ']","['*', '  ']","['26', '  ']","['*', '  ']","['20', '  ']","['0', '  ']","['4', '  ']","['5', ' ']"
1403,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,"['58', 'i ']","['22', 'i ']","['0', '  ']","['*', '  ']","['0', '  ']","['7', 'i ']","['*', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['29', 'i']"
1403,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['432', '  ']","['252', '  ']","['*', 'i ']","['10', '  ']","['1', 'i ']","['141', '  ']","['5', '  ']","['4', '  ']","['0', '  ']","['5', '  ']","['15', ' ']"
1403,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,869', '  ']","['6,083', '  ']","['24', '  ']","['415', '  ']","['55', '  ']","['742', '  ']","['101', '  ']","['209', '  ']","['14', 'i ']","['227', '  ']","['1,000', ' ']"
1403,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['1,818', 'i ']","['1,427', 'i ']","['2', 'i ']","['102', 'i ']","['9', 'i ']","['29', 'i ']","['7', '  ']","['37', 'i ']","['9', 'i ']","['45', 'i ']","['151', 'i']"
1403,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['2,215', '  ']","['1,456', '  ']","['9', '  ']","['110', '  ']","['23', '  ']","['77', '  ']","['68', '  ']","['87', '  ']","['3', '  ']","['154', '  ']","['227', ' ']"
1403,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['4,753', '  ']","['3,137', '  ']","['11', '  ']","['197', '  ']","['22', '  ']","['633', '  ']","['24', '  ']","['83', '  ']","['2', '  ']","['23', '  ']","['620', ' ']"
1403,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517","['165', '  ']","['112', '  ']","['0', '  ']","['6', '  ']","['1', '  ']","['12', '  ']","['6', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['25', ' ']"
1403,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",5,334511,"['4,412', '  ']","['2,924', '  ']","['11', '  ']","['174', '  ']","['19', '  ']","['606', '  ']","['16', '  ']","['74', '  ']","['2', '  ']","['21', '  ']","['565', ' ']"
1403,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices ,5,other 3345,"['176', '  ']","['100', '  ']","['1', '  ']","['17', '  ']","['3', '  ']","['16', '  ']","['1', '  ']","['6', '  ']","['0', '  ']","['2', '  ']","['31', ' ']"
1403,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['82', '  ']","['63', '  ']","['1', '  ']","['6', '  ']","['*', '  ']","['2', '  ']","['2', '  ']","['2', '  ']","['*', '  ']","['4', '  ']","['2', ' ']"
1403,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['469', 'i ']","['344', 'i ']","['0', '  ']","['14', 'i ']","['3', 'i ']","['39', 'i ']","['10', 'i ']","['11', 'i ']","['0', '  ']","['3', 'i ']","['45', 'i']"
1403,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['18,371', '  ']","['11,219', '  ']","['0', '  ']","['346', '  ']","['78', '  ']","['2,422', '  ']","['234', '  ']","['169', '  ']","['5', 'i ']","['640', '  ']","['3,257', ' ']"
1403,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['2,749', '  ']","['1,355', '  ']","['0', '  ']","['193', '  ']","['D', '&nbsp;']","['599', '  ']","['107', '  ']","['114', '  ']","['5', 'i ']","['D', '  ']","['D', ' ']"
1403,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['14,373', '  ']","['9,137', '  ']","['0', '  ']","['D', '  ']","['41', '  ']","['1,634', '  ']","['107', '  ']","['40', '  ']","['*', '  ']","['527', '  ']","['D', ' ']"
1403,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,"Aircraft, aircraft engines, and aircraft parts ",,4,336411–13,"['13,291', '  ']","['8,663', '  ']","['0', '  ']","['111', '  ']","['41', '  ']","['1,159', '  ']","['107', '  ']","['40', '  ']","['*', '  ']","['527', '  ']","['2,643', ' ']"
1403,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Guided missiles, space vehicles, and related parts ",All industries,Manufacturing industries,Transportation equipment,"Guided missiles, space vehicles, and related parts ",,4,"336414–15, 336419","['1,083', 'i ']","['474', 'i ']","['0', '  ']","['D', '&nbsp;']","['1', '  ']","['475', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['*', 'i ']","['D', '&nbsp;']"
1403,r040,"All industries -> Manufacturing industries -> Military armored vehicles, tanks, and tank components ",All industries,Manufacturing industries,"Military armored vehicles, tanks, and tank components ",,,3,336992,"['D', '  ']","['D', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['D', ' ']"
1403,r041,All industries -> Manufacturing industries -> Other transportation,All industries,Manufacturing industries,Other transportation,,,3,other 336,"['D', '&nbsp;']","['D', '&nbsp;']","['0', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['15', 'i ']","['*', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']"
1403,r042,All industries -> Furniture and related products,All industries,Furniture and related products,,,,2,337,"['*', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i']"
1403,r043,All industries -> Miscellaneous ,All industries,Miscellaneous ,,,,2,339,"['D', '  ']","['127', '  ']","['0', '  ']","['16', '  ']","['8', '  ']","['32', '  ']","['2', '  ']","['2', '  ']","['*', '  ']","['11', '  ']","['D', ' ']"
1403,r044,All industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Miscellaneous ,Medical equipment and supplies ,,,3,3391,"['194', '  ']","['97', '  ']","['0', '  ']","['14', '  ']","['6', '  ']","['29', '  ']","['2', '  ']","['1', '  ']","['*', '  ']","['11', '  ']","['32', ' ']"
1403,r045,All industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Miscellaneous ,Other miscellaneous manufacturing,,,3,3399,"['D', '  ']","['30', 'i ']","['0', '  ']","['2', 'i ']","['2', 'i ']","['2', 'i ']","['*', '  ']","['1', 'i ']","['0', '  ']","['*', '  ']","['D', '&nbsp;']"
1403,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['18,061', '  ']","['10,816', '  ']","['203', '  ']","['568', '  ']","['132', '  ']","['1,082', '  ']","['372', '  ']","['353', '  ']","['13', '  ']","['1,520', 'i ']","['3,002', ' ']"
1403,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['400', '  ']","['225', '  ']","['3', '  ']","['23', '  ']","['*', '  ']","['30', '  ']","['16', '  ']","['11', '  ']","['3', '  ']","['D', '  ']","['D', ' ']"
1403,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['26', '  ']","['8', '  ']","['*', '  ']","['2', '  ']","['1', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['D', ' ']"
1403,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['10', 'i ']","['7', 'i ']","['0', '  ']","['1', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['D', ' ']"
1403,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1403,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['3', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1403,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['674', '  ']","['486', '  ']","['42', '  ']","['10', '  ']","['3', '  ']","['17', '  ']","['12', '  ']","['16', '  ']","['*', '  ']","['42', '  ']","['44', ' ']"
1403,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['400', '  ']","['294', '  ']","['21', '  ']","['6', '  ']","['3', '  ']","['9', '  ']","['7', '  ']","['8', '  ']","['0', '  ']","['39', '  ']","['13', ' ']"
1403,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['3', 'i ']","['2', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['*', 'i ']","['*', 'i']"
1403,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['397', '  ']","['292', '  ']","['21', '  ']","['6', '  ']","['3', '  ']","['9', '  ']","['7', '  ']","['8', '  ']","['0', '  ']","['39', '  ']","['13', ' ']"
1403,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['D', '  ']","['33', '  ']","['0', '  ']","['3', '  ']","['*', '  ']","['1', '  ']","['3', '  ']","['D', '  ']","['*', '  ']","['1', '  ']","['D', ' ']"
1403,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['138', '  ']","['108', '  ']","['D', '  ']","['2', '  ']","['*', '  ']","['2', '  ']","['2', '  ']","['3', '  ']","['0', '  ']","['2', '  ']","['D', ' ']"
1403,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['D', '  ']","['52', '  ']","['D', '  ']","['1', '  ']","['0', '  ']","['6', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['D', ' ']"
1403,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['94', '  ']","['94', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1403,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1403,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1403,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1403,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['16,750', '  ']","['9,915', '  ']","['158', '  ']","['530', '  ']","['127', '  ']","['1,019', '  ']","['339', '  ']","['325', '  ']","['11', '  ']","['1,474', 'i ']","['2,854', ' ']"
1403,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,596', '  ']","['1,011', '  ']","['1', '  ']","['48', '  ']","['5', '  ']","['113', '  ']","['24', '  ']","['4', '  ']","['*', '  ']","['93', '  ']","['298', ' ']"
1403,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['2,492', 'i ']","['1,671', '  ']","['77', '  ']","['16', 'i ']","['46', 'i ']","['33', 'i ']","['97', '  ']","['21', '  ']","['0', '  ']","['61', '  ']","['470', ' ']"
1403,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['12,031', '  ']","['6,721', '  ']","['72', '  ']","['455', '  ']","['71', '  ']","['862', '  ']","['201', '  ']","['295', 'i ']","['10', '  ']","['1,311', 'i ']","['2,032', ' ']"
1403,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['3,714', '  ']","['2,086', '  ']","['28', '  ']","['180', '  ']","['7', '  ']","['251', '  ']","['58', '  ']","['D', '  ']","['1', '  ']","['620', '  ']","['D', ' ']"
1403,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['7,630', '  ']","['4,155', 'i ']","['38', '  ']","['262', 'i ']","['59', '  ']","['609', '  ']","['126', '  ']","['249', 'i ']","['9', '  ']","['682', 'i ']","['1,440', 'i']"
1403,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['687', '  ']","['479', '  ']","['6', '  ']","['13', '  ']","['6', '  ']","['2', '  ']","['17', '  ']","['D', '  ']","['*', '  ']","['9', '  ']","['D', ' ']"
1403,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['632', '  ']","['512', '  ']","['8', 'i ']","['11', '  ']","['5', '  ']","['12', '  ']","['16', '  ']","['5', '  ']","['*', '  ']","['9', '  ']","['55', ' ']"
1403,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['66', '  ']","['49', 'i ']","['0', '  ']","['*', '  ']","['*', 'i ']","['5', '  ']","['3', '  ']","['*', '  ']","['*', '  ']","['4', 'i ']","['5', 'i']"
1403,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['38', '  ']","['30', '  ']","['0', '  ']","['1', '  ']","['*', '  ']","['3', '  ']","['1', '  ']","['1', '  ']","['0', '  ']","['1', '  ']","['2', ' ']"
1403,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['56,954', '  ']","['34,074', '  ']","['576', '  ']","['1,868', '  ']","['424', '  ']","['5,101', '  ']","['993', '  ']","['1,154', '  ']","['56', '  ']","['2,912', '  ']","['9,797', ' ']"
1403,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1403,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5 &#8211; 9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5 &#8211; 9,,,3,–,"['536', 'i ']","['326', 'i ']","['7', 'i ']","['24', 'i ']","['17', '  ']","['44', 'i ']","['12', 'i ']","['6', 'i ']","['*', 'i ']","['22', 'i ']","['78', 'i']"
1403,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1403,r077,All companies (number of domestic employees) -> Small companies -> 10 &#8211; 19,All companies (number of domestic employees),Small companies,10 &#8211; 19,,,3,–,"['1,071', 'i ']","['673', 'i ']","['7', 'i ']","['29', 'i ']","['19', 'i ']","['99', 'i ']","['38', '  ']","['13', 'i ']","['2', '  ']","['30', 'i ']","['161', 'i']"
