table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_dhs,field_doda,field_doe,field_doi,field_dot,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_ssa,field_usda
10410,r016,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,15,9767,0,739,468,0,0,0,0,885,3438,4236,0,0
10410,r017,All HBCUs -> Central State U.,All HBCUs,Central State U.,2,16,8424,0,600,0,0,0,0,0,0,0,122,0,7702
10410,r018,All HBCUs -> Virginia State U.<sup>b</sup>,All HBCUs,Virginia State U.<sup>b</sup>,2,17,8062,0,1788,200,0,0,0,0,663,0,706,0,4705
10410,r019,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,18,7993,0,250,0,0,0,0,0,4678,0,3065,0,0
10410,r020,"All HBCUs -> U. Maryland, Eastern Shore",All HBCUs,"U. Maryland, Eastern Shore",2,19,7623,0,141,0,0,0,0,0,708,0,921,0,5853
10410,r021,All HBCUs -> Lincoln U.,All HBCUs,Lincoln U.,2,20,7399,0,0,0,0,0,0,0,0,0,499,0,6900
10410,r022,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,21,6579,0,0,0,0,0,0,0,0,0,58,0,6521
10410,r023,All HBCUs -> Langston U.,All HBCUs,Langston U.,2,22,6320,0,600,0,0,0,0,0,951,0,0,0,4769
10410,r024,All HBCUs -> Clark Atlanta U.,All HBCUs,Clark Atlanta U.,2,23,5711,0,700,920,0,0,0,0,2576,0,1515,0,0
10410,r025,"All HBCUs -> Southern U. and A&M C., Baton Rouge",All HBCUs,"Southern U. and A&M C., Baton Rouge",2,24,5300,0,0,0,0,0,0,0,102,0,1205,0,3993
10410,r026,All HBCUs -> Fort Valley State U.,All HBCUs,Fort Valley State U.,2,25,5147,0,0,0,0,0,0,0,0,0,0,0,5147
10410,r027,All HBCUs -> Morehouse C.,All HBCUs,Morehouse C.,2,26,4740,0,0,0,0,0,0,0,0,0,4740,0,0
10410,r028,All HBCUs -> South Carolina State U.,All HBCUs,South Carolina State U.,2,27,4556,0,0,0,0,0,0,0,912,0,270,0,3374
10410,r029,All HBCUs -> Voorhees C.,All HBCUs,Voorhees C.,2,28,3940,0,0,0,0,0,3940,0,0,0,0,0,0
10410,r030,All HBCUs -> U. District of Columbia,All HBCUs,U. District of Columbia,2,29,3516,0,814,0,0,0,0,0,376,50,1327,0,949
10410,r031,All HBCUs -> West Virginia State U.,All HBCUs,West Virginia State U.,2,30,3230,0,0,0,0,0,0,0,0,0,0,0,3230
10410,r032,All HBCUs -> Texas Southern U.,All HBCUs,Texas Southern U.,2,31,3230,0,0,0,0,0,0,0,2338,29,863,0,0
10410,r033,All HBCUs -> Spelman C.,All HBCUs,Spelman C.,2,32,2886,0,0,0,0,0,0,0,425,0,2451,0,10
10410,r034,All HBCUs -> Alabama State U.,All HBCUs,Alabama State U.,2,33,2456,0,420,0,0,0,0,0,1219,0,817,0,0
10410,r035,All HBCUs -> Norfolk State U.,All HBCUs,Norfolk State U.,2,34,2360,0,452,0,0,0,0,0,0,0,1908,0,0
10410,r036,All HBCUs -> Bowie State U.,All HBCUs,Bowie State U.,2,35,1966,0,0,0,0,0,0,0,258,0,1708,0,0
10410,r037,All HBCUs -> Winston-Salem State U.,All HBCUs,Winston-Salem State U.,2,36,1810,0,0,0,0,0,0,0,0,0,1810,0,0
10410,r038,All HBCUs -> Fisk U.,All HBCUs,Fisk U.,2,37,1488,0,0,0,0,0,0,0,346,0,1142,0,0
10410,r039,All HBCUs -> Tougaloo C.,All HBCUs,Tougaloo C.,2,38,1464,0,0,0,0,0,0,0,1224,0,240,0,0
10410,r040,All HBCUs -> Fayetteville State U.,All HBCUs,Fayetteville State U.,2,39,1156,0,0,0,0,0,0,0,108,0,1049,0,0
10410,r041,All HBCUs -> Savannah State U.,All HBCUs,Savannah State U.,2,40,957,0,12,0,0,0,0,0,615,0,330,0,0
10410,r042,All HBCUs -> Grambling State U.,All HBCUs,Grambling State U.,2,41,679,0,0,0,0,0,0,0,0,0,679,0,0
10410,r043,All HBCUs -> Claflin U.,All HBCUs,Claflin U.,2,42,629,0,629,0,0,0,0,0,0,0,0,0,0
10410,r044,All HBCUs -> Benedict C.,All HBCUs,Benedict C.,2,43,597,0,0,0,0,0,0,0,97,0,500,0,0
10410,r045,All HBCUs -> Texas C.,All HBCUs,Texas C.,2,44,448,0,0,0,0,0,0,0,0,0,448,0,0
10410,r046,All HBCUs -> Stillman C.,All HBCUs,Stillman C.,2,45,395,0,0,0,0,0,0,0,220,0,175,0,0
10410,r047,All HBCUs -> Elizabeth City State U.,All HBCUs,Elizabeth City State U.,2,46,383,0,178,0,0,0,0,0,0,0,206,0,0
10410,r048,All HBCUs -> Livingstone C.,All HBCUs,Livingstone C.,2,47,341,0,0,0,0,0,0,0,0,0,341,0,0
10410,r049,All HBCUs -> Dillard U.,All HBCUs,Dillard U.,2,48,311,0,190,0,0,0,0,0,0,0,121,0,0
10410,r050,All HBCUs -> Bethune-Cookman U.,All HBCUs,Bethune-Cookman U.,2,49,286,0,0,0,0,0,0,0,0,0,286,0,0
10410,r051,"All HBCUs -> Bennett C., Greensboro",All HBCUs,"Bennett C., Greensboro",2,50,275,0,275,0,0,0,0,0,0,0,0,0,0
10410,r052,All HBCUs -> Johnson C. Smith U.,All HBCUs,Johnson C. Smith U.,2,51,239,0,0,0,0,0,0,0,0,0,239,0,0
10410,r053,All HBCUs -> Huston-Tillotson U.,All HBCUs,Huston-Tillotson U.,2,52,239,0,0,0,0,0,0,0,0,0,239,0,0
10410,r054,All HBCUs -> Alcorn State U.<sup>b</sup>,All HBCUs,Alcorn State U.<sup>b</sup>,2,53,196,0,146,0,0,0,0,0,0,0,0,0,50
10410,r055,"All HBCUs -> U. Arkansas, Pine Bluff",All HBCUs,"U. Arkansas, Pine Bluff",2,54,167,0,0,0,0,0,0,0,0,0,167,0,0
10410,r056,All HBCUs -> Virginia Union U.,All HBCUs,Virginia Union U.,2,55,165,0,125,0,0,0,0,0,0,0,40,0,0
10410,r057,All HBCUs -> Alamo Colleges District<sup>b</sup>,All HBCUs,Alamo Colleges District<sup>b</sup>,2,56,125,0,0,0,0,0,0,0,0,0,125,0,0
10410,r058,All HBCUs -> Oakwood U.,All HBCUs,Oakwood U.,2,57,123,0,0,0,0,0,0,0,0,0,123,0,0
10410,r059,All HBCUs -> Albany State U.<sup>b</sup>,All HBCUs,Albany State U.<sup>b</sup>,2,58,110,0,0,0,0,0,0,0,0,0,110,0,0
10410,r060,All HBCUs -> Harris-Stowe State U.,All HBCUs,Harris-Stowe State U.,2,59,90,0,0,0,0,0,0,0,0,0,90,0,0
10410,r061,"All HBCUs -> Lawson State Community C., Birmingham",All HBCUs,"Lawson State Community C., Birmingham",2,60,79,0,0,0,0,0,0,0,0,0,79,0,0
10410,r062,All HBCUs -> Mississippi Valley State U.,All HBCUs,Mississippi Valley State U.,2,61,77,0,0,0,0,0,0,0,0,0,77,0,0
10410,r063,All HBCUs -> Edward Waters U.,All HBCUs,Edward Waters U.,2,62,75,0,0,0,0,0,0,0,0,0,75,0,0
10410,r064,All HBCUs -> Lane C.,All HBCUs,Lane C.,2,63,67,0,0,0,0,0,0,0,0,0,67,0,0
10410,r065,All HBCUs -> Cheyney U. Pennsylvania,All HBCUs,Cheyney U. Pennsylvania,2,64,66,0,0,0,0,0,0,0,0,0,66,0,0
10410,r066,All HBCUs -> Hinds Community C.<sup>b</sup>,All HBCUs,Hinds Community C.<sup>b</sup>,2,65,63,0,0,0,0,0,0,0,0,0,63,0,0
10410,r067,"All HBCUs -> Southern U. and A&M C., System Office",All HBCUs,"Southern U. and A&M C., System Office",2,66,60,0,0,0,0,0,0,0,0,0,60,0,0
10410,r068,All HBCUs -> Clinton C.,All HBCUs,Clinton C.,2,67,40,0,0,0,0,0,0,0,0,0,40,0,0
10410,r069,"All HBCUs -> Southern U. and A&M C., New Orleans",All HBCUs,"Southern U. and A&M C., New Orleans",2,68,10,0,0,0,0,0,0,0,0,0,10,0,0
10410,r070,All HBCUs -> Lincoln U. Commonwealth of Pennsylvania,All HBCUs,Lincoln U. Commonwealth of Pennsylvania,2,69,8,0,0,0,0,0,0,0,0,0,8,0,0
