table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12591,r034,R&D and R&D plant -> R&D -> Community and regional development,R&D and R&D plant,R&D,Community and regional development,3,5,5,5,0.0,0.0
12591,r035,R&D and R&D plant -> R&D plant,R&D and R&D plant,R&D plant,,2,5862,6294,6813,7.4,8.3
12591,r036,R&D and R&D plant -> R&D plant -> National defense,R&D and R&D plant,R&D plant,National defense,3,1250,628,1024,-49.8,63.1
12591,r037,R&D and R&D plant -> R&D plant -> Health,R&D and R&D plant,R&D plant,Health,3,1491,1542,1577,3.4,2.3
12591,r038,R&D and R&D plant -> R&D plant -> General science and basic research,R&D and R&D plant,R&D plant,General science and basic research,3,1986,2094,2134,5.4,1.9
12591,r039,"R&D and R&D plant -> R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,R&D plant,"Space flight, research, and supporting activities",3,79,33,52,-58.2,57.6
12591,r040,R&D and R&D plant -> R&D plant -> Energy,R&D and R&D plant,R&D plant,Energy,3,118,1094,1083,827.1,-1.0
12591,r041,R&D and R&D plant -> R&D plant -> Natural resources and environment,R&D and R&D plant,R&D plant,Natural resources and environment,3,367,338,310,-8.0,-8.3
12591,r042,R&D and R&D plant -> R&D plant -> Commerce and housing credit,R&D and R&D plant,R&D plant,Commerce and housing credit,3,161,161,345,0.0,114.3
12591,r043,R&D and R&D plant -> R&D plant -> Agriculture,R&D and R&D plant,R&D plant,Agriculture,3,318,322,205,1.3,-36.3
12591,r044,R&D and R&D plant -> R&D plant -> Transportation,R&D and R&D plant,R&D plant,Transportation,3,38,32,38,-15.8,18.8
12591,r045,R&D and R&D plant -> R&D plant -> Veterans benefits and services,R&D and R&D plant,R&D plant,Veterans benefits and services,3,0,0,0,-,-
12591,r046,"R&D and R&D plant -> R&D plant -> Education, training, employment, and social services",R&D and R&D plant,R&D plant,"Education, training, employment, and social services",3,54,34,36,-37.0,5.9
12591,r047,R&D and R&D plant -> R&D plant -> Administration of justice,R&D and R&D plant,R&D plant,Administration of justice,3,0,16,9,-,-43.8
12591,r048,R&D and R&D plant -> R&D plant -> International affairs,R&D and R&D plant,R&D plant,International affairs,3,0,0,0,-,-
12591,r049,R&D and R&D plant -> R&D plant -> Income security,R&D and R&D plant,R&D plant,Income security,3,0,0,0,-,-
12591,r050,R&D and R&D plant -> R&D plant -> Medicare,R&D and R&D plant,R&D plant,Medicare,3,0,0,0,-,-
12591,r051,R&D and R&D plant -> R&D plant -> Community and regional development,R&D and R&D plant,R&D plant,Community and regional development,3,0,0,0,-,-
