table_id,row_id,field_of_study_ethnicity_and_race_full_path,field_of_study_ethnicity_and_race_level_1,field_of_study_ethnicity_and_race_level_2,field_of_study_ethnicity_and_race_level_3,field_of_study_ethnicity_and_race_level_4,field_of_study_ethnicity_and_race_level_5,field_of_study_ethnicity_and_race_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_tenured_number,field_tenured_se,field_not_tenured_on_tenure_track_number,field_not_tenured_on_tenure_track_se,field_not_tenured_not_on_tenure_track_number,field_not_tenured_not_on_tenure_track_se,field_tenure_not_applicable_number,field_tenure_not_applicable_se
3690,r040,All fields -> Science -> Mathematics and statistics -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>,All fields,Science,Mathematics and statistics,Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,200,75,S,S,50,25,S,S,,
3690,r041,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,,3,47350,850,21650,650,5800,400,7050,400,12850,525
3690,r042,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Hispanic or Latino<sup>a</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Hispanic or Latino<sup>a</sup>,,4,1650,125,700,100,350,75,200,50,450,75
3690,r043,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,,4,,,,,,,,,,
3690,r044,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> American Indian or Alaska Native",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,American Indian or Alaska Native,5,,,,,,,,,,
3690,r045,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Asian",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Asian,5,9450,525,3300,325,900,175,1750,225,3500,325
3690,r046,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Black or African American",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Black or African American,5,1100,125,500,100,150,50,150,50,300,75
3690,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> White",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,White,5,34600,825,17050,625,4300,350,4800,325,8450,475
3690,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Not Hispanic or Latino<sup>b</sup> -> Other race<sup>c</sup>",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Not Hispanic or Latino<sup>b</sup>,Other race<sup>c</sup>,5,500,100,150,50,150,75,150,50,100,50
3690,r049,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,39150,775,17650,675,5300,350,5750,375,10450,550
