table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_agencies,field_aid,field_arc,field_cpsc,field_dhs,field_doc,field_doda_total,field_doda_research,field_doda_development_advanced_technology,field_doda_development_major_systems,field_doe,field_doi
10399,r030,All states and outlying areas -> Arizona -> Dine C.,All states and outlying areas,Arizona,Dine C.,3,2606,0,0,0,0,0,0,0,0,0,0,0
10399,r031,All states and outlying areas -> Arizona -> Maricopa Community Colleges,All states and outlying areas,Arizona,Maricopa Community Colleges,3,547,0,0,0,0,0,0,0,0,0,0,0
10399,r032,"All states and outlying areas -> Arizona -> Midwestern U., Glendale",All states and outlying areas,Arizona,"Midwestern U., Glendale",3,1035,0,0,0,0,0,0,0,0,0,0,0
10399,r033,All states and outlying areas -> Arizona -> Mohave Community C.,All states and outlying areas,Arizona,Mohave Community C.,3,3,0,0,0,0,0,0,0,0,0,0,0
10399,r034,All states and outlying areas -> Arizona -> Northern Arizona U.,All states and outlying areas,Arizona,Northern Arizona U.,3,55442,0,0,0,0,600,19965,13348,6616,0,1657,151
10399,r035,All states and outlying areas -> Arizona -> Prescott C.,All states and outlying areas,Arizona,Prescott C.,3,120,0,0,0,0,0,0,0,0,0,0,0
10399,r036,All states and outlying areas -> Arizona -> Tohono O'odham Community C.,All states and outlying areas,Arizona,Tohono O'odham Community C.,3,250,0,0,0,0,0,0,0,0,0,0,0
10399,r037,All states and outlying areas -> Arizona -> U. Arizona,All states and outlying areas,Arizona,U. Arizona,3,236890,0,0,0,0,500,23648,18779,4361,508,4679,165
10399,r038,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,,2,131562,0,0,0,0,0,20358,17868,2490,0,1570,10
10399,r039,"All states and outlying areas -> Arkansas -> Arkansas State U., Jonesboro",All states and outlying areas,Arkansas,"Arkansas State U., Jonesboro",3,1368,0,0,0,0,0,0,0,0,0,0,0
10399,r040,All states and outlying areas -> Arkansas -> Harding U.,All states and outlying areas,Arkansas,Harding U.,3,371,0,0,0,0,0,0,0,0,0,0,0
10399,r041,All states and outlying areas -> Arkansas -> North Arkansas C.,All states and outlying areas,Arkansas,North Arkansas C.,3,497,0,0,0,0,0,0,0,0,0,0,0
10399,r042,All states and outlying areas -> Arkansas -> U. Arkansas for Medical Sciences,All states and outlying areas,Arkansas,U. Arkansas for Medical Sciences,3,60810,0,0,0,0,0,0,0,0,0,0,0
10399,r043,"All states and outlying areas -> Arkansas -> U. Arkansas, Fayetteville",All states and outlying areas,Arkansas,"U. Arkansas, Fayetteville",3,53422,0,0,0,0,0,16667,16473,194,0,0,10
10399,r044,"All states and outlying areas -> Arkansas -> U. Arkansas, Little Rock",All states and outlying areas,Arkansas,"U. Arkansas, Little Rock",3,410,0,0,0,0,0,0,0,0,0,0,0
10399,r045,"All states and outlying areas -> Arkansas -> U. Arkansas, Pine Bluff",All states and outlying areas,Arkansas,"U. Arkansas, Pine Bluff",3,167,0,0,0,0,0,0,0,0,0,0,0
10399,r046,"All states and outlying areas -> Arkansas -> U. Arkansas, System Office",All states and outlying areas,Arkansas,"U. Arkansas, System Office",3,14479,0,0,0,0,0,3691,1395,2296,0,1570,0
10399,r047,All states and outlying areas -> Arkansas -> U. Central Arkansas,All states and outlying areas,Arkansas,U. Central Arkansas,3,38,0,0,0,0,0,0,0,0,0,0,0
10399,r048,All states and outlying areas -> California,All states and outlying areas,California,,2,5416776,7000,0,0,500,14234,575763,460007,98840,16917,181173,17780
10399,r049,All states and outlying areas -> California -> Allan Hancock C.,All states and outlying areas,California,Allan Hancock C.,3,135,0,0,0,0,0,0,0,0,0,0,0
10399,r050,All states and outlying areas -> California -> Azusa Pacific U.,All states and outlying areas,California,Azusa Pacific U.,3,162,0,0,0,0,0,0,0,0,0,0,0
10399,r051,All states and outlying areas -> California -> C. Canyons,All states and outlying areas,California,C. Canyons,3,448,0,0,0,0,0,0,0,0,0,0,0
10399,r052,All states and outlying areas -> California -> California Institute of Technology,All states and outlying areas,California,California Institute of Technology,3,188896,0,0,0,0,99,16828,16828,0,0,18538,4201
10399,r053,All states and outlying areas -> California -> California Lutheran U.,All states and outlying areas,California,California Lutheran U.,3,133,0,0,0,0,0,0,0,0,0,0,0
10399,r054,"All states and outlying areas -> California -> California Polytechnic State U., San Luis Obispo",All states and outlying areas,California,"California Polytechnic State U., San Luis Obispo",3,1972,0,0,0,0,0,103,103,0,0,0,11
10399,r055,"All states and outlying areas -> California -> California State Polytechnic U., Pomona",All states and outlying areas,California,"California State Polytechnic U., Pomona",3,4321,0,0,0,0,0,769,769,0,0,0,0
10399,r056,All states and outlying areas -> California -> California State U. Maritime Academy,All states and outlying areas,California,California State U. Maritime Academy,3,44,0,0,0,0,0,0,0,0,0,0,0
10399,r057,"All states and outlying areas -> California -> California State U., Bakersfield",All states and outlying areas,California,"California State U., Bakersfield",3,428,0,0,0,0,0,0,0,0,0,0,31
10399,r058,"All states and outlying areas -> California -> California State U., Channel Islands",All states and outlying areas,California,"California State U., Channel Islands",3,1091,0,0,0,0,0,0,0,0,0,167,0
10399,r059,"All states and outlying areas -> California -> California State U., Chico",All states and outlying areas,California,"California State U., Chico",3,1022,0,0,0,0,0,149,149,0,0,0,0
10399,r060,"All states and outlying areas -> California -> California State U., Dominguez Hills",All states and outlying areas,California,"California State U., Dominguez Hills",3,2250,0,0,0,0,0,598,598,0,0,0,0
10399,r061,"All states and outlying areas -> California -> California State U., East Bay",All states and outlying areas,California,"California State U., East Bay",3,5051,0,0,0,0,0,0,0,0,0,718,23
10399,r062,"All states and outlying areas -> California -> California State U., Fresno",All states and outlying areas,California,"California State U., Fresno",3,3164,0,0,0,0,0,378,378,0,0,0,0
10399,r063,"All states and outlying areas -> California -> California State U., Fullerton",All states and outlying areas,California,"California State U., Fullerton",3,4822,0,0,0,0,0,590,590,0,0,0,100
10399,r064,"All states and outlying areas -> California -> California State U., Long Beach",All states and outlying areas,California,"California State U., Long Beach",3,10472,0,0,0,0,0,543,543,0,0,0,0
10399,r065,"All states and outlying areas -> California -> California State U., Los Angeles",All states and outlying areas,California,"California State U., Los Angeles",3,6245,0,0,0,0,0,173,173,0,0,0,0
10399,r066,"All states and outlying areas -> California -> California State U., Monterey Bay",All states and outlying areas,California,"California State U., Monterey Bay",3,1067,0,0,0,0,0,0,0,0,0,0,141
10399,r067,"All states and outlying areas -> California -> California State U., Northridge",All states and outlying areas,California,"California State U., Northridge",3,11230,0,0,0,0,225,1184,1184,0,0,0,114
10399,r068,"All states and outlying areas -> California -> California State U., Sacramento",All states and outlying areas,California,"California State U., Sacramento",3,5035,0,0,0,0,0,0,0,0,0,0,1418
10399,r069,"All states and outlying areas -> California -> California State U., San Bernardino",All states and outlying areas,California,"California State U., San Bernardino",3,3643,0,0,0,0,0,0,0,0,0,0,0
10399,r070,"All states and outlying areas -> California -> California State U., San Marcos",All states and outlying areas,California,"California State U., San Marcos",3,5543,0,0,0,0,0,2548,2548,0,0,0,0
10399,r071,"All states and outlying areas -> California -> California State U., Stanislaus",All states and outlying areas,California,"California State U., Stanislaus",3,337,0,0,0,0,0,0,0,0,0,0,186
10399,r072,All states and outlying areas -> California -> Cerritos C.,All states and outlying areas,California,Cerritos C.,3,129,0,0,0,0,0,0,0,0,0,129,0
10399,r073,All states and outlying areas -> California -> Chapman U.,All states and outlying areas,California,Chapman U.,3,6425,0,0,0,0,0,2100,2100,0,0,0,0
10399,r074,All states and outlying areas -> California -> Charles R. Drew U. Medicine and Science,All states and outlying areas,California,Charles R. Drew U. Medicine and Science,3,7609,0,0,0,0,0,0,0,0,0,0,0
10399,r075,All states and outlying areas -> California -> City C. San Francisco,All states and outlying areas,California,City C. San Francisco,3,142,0,0,0,0,0,0,0,0,0,0,0
10399,r076,All states and outlying areas -> California -> Claremont Graduate U.,All states and outlying areas,California,Claremont Graduate U.,3,50,0,0,0,0,0,0,0,0,0,0,0
10399,r077,All states and outlying areas -> California -> Claremont McKenna C.,All states and outlying areas,California,Claremont McKenna C.,3,712,0,0,0,0,0,178,178,0,0,0,0
10399,r078,All states and outlying areas -> California -> Contra Costa Community C. District,All states and outlying areas,California,Contra Costa Community C. District,3,272,0,0,0,0,0,0,0,0,0,0,0
10399,r079,All states and outlying areas -> California -> Dominican U. California,All states and outlying areas,California,Dominican U. California,3,22,0,0,0,0,0,0,0,0,0,0,0
10399,r080,"All states and outlying areas -> California -> El Camino C., Compton Center",All states and outlying areas,California,"El Camino C., Compton Center",3,60,0,0,0,0,0,0,0,0,0,0,0
10399,r081,All states and outlying areas -> California -> Fielding Graduate U.,All states and outlying areas,California,Fielding Graduate U.,3,519,0,0,0,0,0,0,0,0,0,0,0
10399,r082,All states and outlying areas -> California -> Harvey Mudd C.,All states and outlying areas,California,Harvey Mudd C.,3,1200,0,0,0,0,0,100,100,0,0,0,0
10399,r083,All states and outlying areas -> California -> Humboldt State U.,All states and outlying areas,California,Humboldt State U.,3,1264,0,0,0,0,0,0,0,0,0,0,197
10399,r084,All states and outlying areas -> California -> Imperial Valley C.,All states and outlying areas,California,Imperial Valley C.,3,60,0,0,0,0,0,0,0,0,0,0,0
10399,r085,All states and outlying areas -> California -> Keck Graduate Institute,All states and outlying areas,California,Keck Graduate Institute,3,2873,0,0,0,0,0,0,0,0,0,0,0
10399,r086,All states and outlying areas -> California -> Loma Linda U.,All states and outlying areas,California,Loma Linda U.,3,7044,0,0,0,0,0,0,0,0,0,0,0
10399,r087,"All states and outlying areas -> California -> Los Angeles Community C. District, Los Angeles Mission C.",All states and outlying areas,California,"Los Angeles Community C. District, Los Angeles Mission C.",3,102,0,0,0,0,0,0,0,0,0,0,0
10399,r088,"All states and outlying areas -> California -> Los Angeles Community C. District, Los Angeles Valley C.",All states and outlying areas,California,"Los Angeles Community C. District, Los Angeles Valley C.",3,920,0,0,0,0,0,0,0,0,0,0,0
10399,r089,"All states and outlying areas -> California -> Los Angeles Community C. District, Pierce C.",All states and outlying areas,California,"Los Angeles Community C. District, Pierce C.",3,104,0,0,0,0,0,0,0,0,0,0,0
10399,r090,"All states and outlying areas -> California -> Los Angeles Community C. District, West Los Angeles C.",All states and outlying areas,California,"Los Angeles Community C. District, West Los Angeles C.",3,184,0,0,0,0,0,0,0,0,0,0,0
10399,r091,All states and outlying areas -> California -> Loyola Marymount U.,All states and outlying areas,California,Loyola Marymount U.,3,1212,0,0,0,0,0,0,0,0,0,0,0
10399,r092,All states and outlying areas -> California -> Mills C.,All states and outlying areas,California,Mills C.,3,39,0,0,0,0,0,0,0,0,0,0,0
10399,r093,All states and outlying areas -> California -> Mt. San Antonio C.,All states and outlying areas,California,Mt. San Antonio C.,3,62,0,0,0,0,0,0,0,0,0,0,0
10399,r094,All states and outlying areas -> California -> National Physical Science Consortium,All states and outlying areas,California,National Physical Science Consortium,3,211,0,0,0,0,211,0,0,0,0,0,0
10399,r095,All states and outlying areas -> California -> National U.,All states and outlying areas,California,National U.,3,67,0,0,0,0,0,0,0,0,0,0,0
10399,r096,All states and outlying areas -> California -> Naval Postgraduate School,All states and outlying areas,California,Naval Postgraduate School,3,29671,0,0,0,0,0,28571,14027,3470,11074,50,0
10399,r097,All states and outlying areas -> California -> Occidental C.,All states and outlying areas,California,Occidental C.,3,1434,0,0,0,0,0,0,0,0,0,0,240
10399,r098,All states and outlying areas -> California -> Ohlone C.,All states and outlying areas,California,Ohlone C.,3,36,0,0,0,0,0,0,0,0,0,0,0
10399,r099,All states and outlying areas -> California -> Pasadena City C.,All states and outlying areas,California,Pasadena City C.,3,308,0,0,0,0,0,0,0,0,0,0,0
10399,r100,"All states and outlying areas -> California -> Pepperdine U., Malibu",All states and outlying areas,California,"Pepperdine U., Malibu",3,342,0,0,0,0,0,0,0,0,0,0,0
10399,r101,"All states and outlying areas -> California -> Peralta Community C., C. Alameda",All states and outlying areas,California,"Peralta Community C., C. Alameda",3,367,0,0,0,0,0,0,0,0,0,0,0
10399,r102,All states and outlying areas -> California -> Pomona C.,All states and outlying areas,California,Pomona C.,3,1238,0,0,0,0,0,50,50,0,0,0,0
10399,r103,All states and outlying areas -> California -> Riverside Community C. District,All states and outlying areas,California,Riverside Community C. District,3,184,0,0,0,0,0,0,0,0,0,0,0
10399,r104,"All states and outlying areas -> California -> Riverside Community C. District, Riverside",All states and outlying areas,California,"Riverside Community C. District, Riverside",3,1170,0,0,0,0,0,0,0,0,0,0,0
10399,r105,All states and outlying areas -> California -> Saint Mary's C. California,All states and outlying areas,California,Saint Mary's C. California,3,51,0,0,0,0,0,0,0,0,0,0,0
10399,r106,"All states and outlying areas -> California -> San Diego State U., San Diego",All states and outlying areas,California,"San Diego State U., San Diego",3,49193,0,0,0,0,0,2860,2739,0,120,1867,2210
10399,r107,All states and outlying areas -> California -> San Francisco State U.,All states and outlying areas,California,San Francisco State U.,3,9097,0,0,0,0,0,538,538,0,0,531,0
10399,r108,All states and outlying areas -> California -> San Jose State U.,All states and outlying areas,California,San Jose State U.,3,15134,0,0,0,0,0,1194,845,349,0,0,91
10399,r109,All states and outlying areas -> California -> San Mateo County Community C. District,All states and outlying areas,California,San Mateo County Community C. District,3,450,0,0,0,0,0,0,0,0,0,450,0
10399,r110,All states and outlying areas -> California -> Santa Barbara City C.,All states and outlying areas,California,Santa Barbara City C.,3,60,0,0,0,0,0,0,0,0,0,0,0
10399,r111,All states and outlying areas -> California -> Santa Clara U.,All states and outlying areas,California,Santa Clara U.,3,1961,0,0,0,0,0,0,0,0,0,0,0
10399,r112,All states and outlying areas -> California -> Scripps C.,All states and outlying areas,California,Scripps C.,3,2131,0,0,0,0,0,0,0,0,0,0,0
10399,r113,"All states and outlying areas -> California -> Scripps Research Institute, The",All states and outlying areas,California,"Scripps Research Institute, The",3,245127,0,0,0,0,0,521,521,0,0,0,0
10399,r114,All states and outlying areas -> California -> Sonoma State U.,All states and outlying areas,California,Sonoma State U.,3,780,0,0,0,0,0,0,0,0,0,0,0
10399,r115,All states and outlying areas -> California -> Stanford U.,All states and outlying areas,California,Stanford U.,3,696510,0,0,0,0,0,50334,37440,12895,0,22144,79
10399,r116,"All states and outlying areas -> California -> State Center Community C. District, Fresno City C.",All states and outlying areas,California,"State Center Community C. District, Fresno City C.",3,12,0,0,0,0,0,0,0,0,0,0,0
10399,r117,"All states and outlying areas -> California -> U. California, Berkeley",All states and outlying areas,California,"U. California, Berkeley",3,304630,0,0,0,500,638,30416,29095,1322,0,14284,3837
10399,r118,"All states and outlying areas -> California -> U. California, Cooperative Extension",All states and outlying areas,California,"U. California, Cooperative Extension",3,9531,0,0,0,0,0,0,0,0,0,0,0
10399,r119,"All states and outlying areas -> California -> U. California, Davis",All states and outlying areas,California,"U. California, Davis",3,385616,7000,0,0,0,90,18772,14915,3858,0,13590,732
10399,r120,"All states and outlying areas -> California -> U. California, Irvine",All states and outlying areas,California,"U. California, Irvine",3,242999,0,0,0,0,437,11758,8735,3023,0,20122,772
10399,r121,"All states and outlying areas -> California -> U. California, Los Angeles",All states and outlying areas,California,"U. California, Los Angeles",3,686615,0,0,0,0,894,45492,28348,17144,0,23677,0
10399,r122,"All states and outlying areas -> California -> U. California, Merced",All states and outlying areas,California,"U. California, Merced",3,20922,0,0,0,0,76,672,672,0,0,549,0
10399,r123,"All states and outlying areas -> California -> U. California, Office of the President",All states and outlying areas,California,"U. California, Office of the President",3,14891,0,0,0,0,0,10712,9802,910,0,0,0
10399,r124,"All states and outlying areas -> California -> U. California, Riverside",All states and outlying areas,California,"U. California, Riverside",3,101555,0,0,0,0,0,14957,11971,2986,0,6649,100
10399,r125,"All states and outlying areas -> California -> U. California, San Diego",All states and outlying areas,California,"U. California, San Diego",3,792907,0,0,0,0,8489,88772,78581,7421,2770,35450,384
10399,r126,"All states and outlying areas -> California -> U. California, San Francisco",All states and outlying areas,California,"U. California, San Francisco",3,714877,0,0,0,0,0,41796,17037,24760,0,0,0
10399,r127,"All states and outlying areas -> California -> U. California, Santa Barbara",All states and outlying areas,California,"U. California, Santa Barbara",3,231982,0,0,0,0,38,86691,82346,4345,0,15124,1027
10399,r128,"All states and outlying areas -> California -> U. California, Santa Cruz",All states and outlying areas,California,"U. California, Santa Cruz",3,71365,0,0,0,0,866,8832,8223,509,100,0,1037
10399,r129,All states and outlying areas -> California -> U. La Verne,All states and outlying areas,California,U. La Verne,3,466,0,0,0,0,0,0,0,0,0,0,0
10399,r130,All states and outlying areas -> California -> U. Pacific,All states and outlying areas,California,U. Pacific,3,550,0,0,0,0,0,0,0,0,0,0,0
10399,r131,All states and outlying areas -> California -> U. San Diego,All states and outlying areas,California,U. San Diego,3,3696,0,0,0,0,0,1655,1655,0,0,0,0
10399,r132,All states and outlying areas -> California -> U. San Francisco,All states and outlying areas,California,U. San Francisco,3,405,0,0,0,0,0,0,0,0,0,0,0
10399,r133,All states and outlying areas -> California -> U. Southern California,All states and outlying areas,California,U. Southern California,3,484727,0,0,0,0,2171,104427,85724,15850,2852,7137,847
10399,r134,"All states and outlying areas -> California -> Ventura County Community C. District, District Office",All states and outlying areas,California,"Ventura County Community C. District, District Office",3,500,0,0,0,0,0,500,500,0,0,0,0
10399,r135,"All states and outlying areas -> California -> West Hills Community C. District, Coalinga",All states and outlying areas,California,"West Hills Community C. District, Coalinga",3,458,0,0,0,0,0,0,0,0,0,0,0
10399,r136,All states and outlying areas -> California -> Western U. Health Sciences,All states and outlying areas,California,Western U. Health Sciences,3,4032,0,0,0,0,0,0,0,0,0,0,0
10399,r137,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,,2,888796,0,0,0,250,71901,78572,66630,11075,867,43978,5673
10399,r138,All states and outlying areas -> Colorado -> Adams State U.,All states and outlying areas,Colorado,Adams State U.,3,27,0,0,0,0,0,0,0,0,0,0,0
10399,r139,All states and outlying areas -> Colorado -> Arapahoe Community C.,All states and outlying areas,Colorado,Arapahoe Community C.,3,60,0,0,0,0,0,0,0,0,0,0,0
10399,r140,All states and outlying areas -> Colorado -> Colorado C.,All states and outlying areas,Colorado,Colorado C.,3,452,0,0,0,0,0,0,0,0,0,0,0
10399,r141,All states and outlying areas -> Colorado -> Colorado Mesa U.,All states and outlying areas,Colorado,Colorado Mesa U.,3,247,0,0,0,0,0,0,0,0,0,0,31
10399,r142,All states and outlying areas -> Colorado -> Colorado School of Mines,All states and outlying areas,Colorado,Colorado School of Mines,3,43868,0,0,0,0,0,3956,2920,798,238,14316,597
10399,r143,"All states and outlying areas -> Colorado -> Colorado State U., Fort Collins",All states and outlying areas,Colorado,"Colorado State U., Fort Collins",3,102277,0,0,0,250,0,3969,3331,638,0,7352,20
10399,r144,"All states and outlying areas -> Colorado -> Colorado State U., Pueblo",All states and outlying areas,Colorado,"Colorado State U., Pueblo",3,8880,0,0,0,0,0,1416,1416,0,0,6820,0
10399,r145,"All states and outlying areas -> Colorado -> Colorado State U., system office",All states and outlying areas,Colorado,"Colorado State U., system office",3,10793,0,0,0,0,4969,781,781,0,0,440,3777
10399,r146,All states and outlying areas -> Colorado -> Colorado Theological Seminary,All states and outlying areas,Colorado,Colorado Theological Seminary,3,296,0,0,0,0,0,296,0,296,0,0,0
10399,r147,All states and outlying areas -> Colorado -> Community C. Denver,All states and outlying areas,Colorado,Community C. Denver,3,163,0,0,0,0,0,0,0,0,0,0,0
10399,r148,All states and outlying areas -> Colorado -> Fort Lewis C.,All states and outlying areas,Colorado,Fort Lewis C.,3,799,0,0,0,0,0,0,0,0,0,0,0
10399,r149,All states and outlying areas -> Colorado -> Metropolitan State U. Denver,All states and outlying areas,Colorado,Metropolitan State U. Denver,3,430,0,0,0,0,0,0,0,0,0,0,0
10399,r150,All states and outlying areas -> Colorado -> U. Colorado Boulder,All states and outlying areas,Colorado,U. Colorado Boulder,3,657760,0,0,0,0,57932,67927,58101,9344,483,15050,1044
10399,r151,All states and outlying areas -> Colorado -> U. Corp. for Atmospheric Research,All states and outlying areas,Colorado,U. Corp. for Atmospheric Research,3,35390,0,0,0,0,9000,0,0,0,0,0,0
10399,r152,All states and outlying areas -> Colorado -> U. Denver,All states and outlying areas,Colorado,U. Denver,3,11468,0,0,0,0,0,0,0,0,0,0,0
10399,r153,All states and outlying areas -> Colorado -> U. Northern Colorado,All states and outlying areas,Colorado,U. Northern Colorado,3,658,0,0,0,0,0,0,0,0,0,0,158
10399,r154,All states and outlying areas -> Colorado -> U.S. Air Force Academy,All states and outlying areas,Colorado,U.S. Air Force Academy,3,227,0,0,0,0,0,227,81,0,147,0,0
10399,r155,All states and outlying areas -> Colorado -> UNAVCO Inc.,All states and outlying areas,Colorado,UNAVCO Inc.,3,14809,0,0,0,0,0,0,0,0,0,0,0
10399,r156,All states and outlying areas -> Colorado -> Western Colorado U.,All states and outlying areas,Colorado,Western Colorado U.,3,192,0,0,0,0,0,0,0,0,0,0,46
10399,r157,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,,2,765695,2000,0,0,134,6058,58475,31587,26887,0,16009,487
10399,r158,All states and outlying areas -> Connecticut -> Connecticut Board of Regents for Higher Education,All states and outlying areas,Connecticut,Connecticut Board of Regents for Higher Education,3,4541,0,0,0,0,926,0,0,0,0,138,0
10399,r159,All states and outlying areas -> Connecticut -> Connecticut C.,All states and outlying areas,Connecticut,Connecticut C.,3,212,0,0,0,0,0,212,212,0,0,0,0
10399,r160,All states and outlying areas -> Connecticut -> Eastern Connecticut State U.,All states and outlying areas,Connecticut,Eastern Connecticut State U.,3,43,0,0,0,0,0,0,0,0,0,0,0
10399,r161,All states and outlying areas -> Connecticut -> Fairfield U.,All states and outlying areas,Connecticut,Fairfield U.,3,214,0,0,0,0,0,0,0,0,0,0,0
10399,r162,All states and outlying areas -> Connecticut -> Goodwin U.,All states and outlying areas,Connecticut,Goodwin U.,3,88,0,0,0,0,0,0,0,0,0,0,88
10399,r163,All states and outlying areas -> Connecticut -> Quinnipiac U.,All states and outlying areas,Connecticut,Quinnipiac U.,3,256,0,0,0,0,0,0,0,0,0,0,0
10399,r164,All states and outlying areas -> Connecticut -> Sacred Heart U.,All states and outlying areas,Connecticut,Sacred Heart U.,3,21,0,0,0,0,0,0,0,0,0,0,0
10399,r165,All states and outlying areas -> Connecticut -> Southern Connecticut State U.,All states and outlying areas,Connecticut,Southern Connecticut State U.,3,392,0,0,0,0,0,0,0,0,0,0,0
