table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_and_local_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
2740,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['1 - 10', '  ']","['2', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 9', '  ']","['0', '  ']"
2740,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['50', '  ']","['45', '  ']","['*', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['2', '  ']","['0', '  ']"
2740,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['182 - 191', '  ']","['138', '  ']","['7', '  ']","['39', '  ']","['0 - 3', '  ']","['0', '  ']","['*', 'i ']","['0 - 9', '  ']","['0', '  ']"
2740,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['1,785', '  ']","['1,075', '  ']","['544', '  ']","['113', '  ']","['3', '  ']","['*', 'i ']","['13', '  ']","['29', 'i ']","['8', '  ']"
2740,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['779', '  ']","['206', '  ']","['540', '  ']","['30', '  ']","['*', 'i ']","['*', 'i ']","['1', 'i ']","['3', '  ']","['*', 'i ']"
2740,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['384', '  ']","['332', '  ']","['4', '  ']","['35', '  ']","['3', '  ']","['0', '  ']","['4', '  ']","['7', '  ']","['*', '  ']"
2740,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['359', '  ']","['310', '  ']","['*', '  ']","['24', '  ']","['*', 'i ']","['0', '  ']","['7', '  ']","['18', 'i ']","['*', '  ']"
2740,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['80', '  ']","['54', '  ']","['0', '  ']","['6', '  ']","['*', 'i ']","['0', '  ']","['0 - 8', '  ']","['10 - 19', '  ']","['*', 'i ']"
2740,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['177 - 186', '  ']","['170', '  ']","['0', '  ']","['8', '  ']","['0', '  ']","['0', '  ']","['0 - 8', '  ']","['0', '  ']","['*', '  ']"
2740,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['94 - 103', '  ']","['86', '  ']","['*', '  ']","['9', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0 - 9', 'i ']","['*', 'i ']"
