table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2022_actuala,field_2023_preliminary,field_2024_proposed
10427,r039,R&D and R&D plant -> R&D plant -> Agriculture,R&D and R&D plant,R&D plant,Agriculture,3,1.5,1.6,0.6
10427,r040,R&D and R&D plant -> R&D plant -> Health,R&D and R&D plant,R&D plant,Health,3,11.8,25.3,16.4
10427,r041,R&D and R&D plant -> R&D plant -> Energy,R&D and R&D plant,R&D plant,Energy,3,4.7,4.7,4.8
10427,r042,R&D and R&D plant -> R&D plant -> Commerce and housing credit,R&D and R&D plant,R&D plant,Commerce and housing credit,3,4.5,4.5,3.4
10427,r043,"R&D and R&D plant -> R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,R&D plant,"Space flight, research, and supporting activities",3,0.6,0.7,0.6
10427,r044,R&D and R&D plant -> R&D plant -> Transportation,R&D and R&D plant,R&D plant,Transportation,3,0.0,0.0,0.0
10427,r045,"R&D and R&D plant -> R&D plant -> Education, training, employment, and social services",R&D and R&D plant,R&D plant,"Education, training, employment, and social services",3,1.7,2.4,4.6
10427,r046,R&D and R&D plant -> R&D plant -> Veterans benefits and services,R&D and R&D plant,R&D plant,Veterans benefits and services,3,0.6,0.5,0.5
10427,r047,R&D and R&D plant -> R&D plant -> Administration of justice,R&D and R&D plant,R&D plant,Administration of justice,3,0.2,0.8,1.2
10427,r048,R&D and R&D plant -> R&D plant -> International affairs,R&D and R&D plant,R&D plant,International affairs,3,0.0,0.0,0.0
10427,r049,R&D and R&D plant -> R&D plant -> Income security,R&D and R&D plant,R&D plant,Income security,3,0.0,0.0,0.0
10427,r050,R&D and R&D plant -> R&D plant -> Community and regional development,R&D and R&D plant,R&D plant,Community and regional development,3,0.0,0.0,0.0
10427,r051,R&D and R&D plant -> R&D plant -> Medicare,R&D and R&D plant,R&D plant,Medicare,3,0.0,0.0,0.0
