table_id,row_id,field_and_carnegie_category_full_path,field_and_carnegie_category_level_1,field_and_carnegie_category_level_2,field_and_carnegie_category_level_3,field_and_carnegie_category_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
2797,r029,All doctorate recipients -> Engineering -> Doctoral: Moderate research,All doctorate recipients,Engineering,Doctoral: Moderate research,3,122,140,163,151,189,191,150,151,184,183
2797,r030,All doctorate recipients -> Engineering -> Other universities,All doctorate recipients,Engineering,Other universities,3,55,90,77,96,81,107,99,128,134,132
2797,r031,All doctorate recipients -> Education,All doctorate recipients,Education,,2,5287,4670,4802,4934,4789,5098,5146,4826,4824,4635
2797,r032,All doctorate recipients -> Education -> Doctoral: Highest research,All doctorate recipients,Education,Doctoral: Highest research,3,2996,2999,3015,3113,3002,3053,3038,2856,2844,2720
2797,r033,All doctorate recipients -> Education -> Doctoral: Higher research,All doctorate recipients,Education,Doctoral: Higher research,3,1430,1189,1331,1318,1259,1440,1416,1438,1336,1341
2797,r034,All doctorate recipients -> Education -> Doctoral: Moderate research,All doctorate recipients,Education,Doctoral: Moderate research,3,654,368,332,370,425,454,503,395,491,430
2797,r035,All doctorate recipients -> Education -> Other universities,All doctorate recipients,Education,Other universities,3,207,114,124,133,103,151,189,137,153,144
2797,r036,All doctorate recipients -> Humanities and arts,All doctorate recipients,Humanities and arts,,2,5015,5225,5561,5715,5524,5594,5482,5286,5140,5054
2797,r037,All doctorate recipients -> Humanities and arts -> Doctoral: Highest research,All doctorate recipients,Humanities and arts,Doctoral: Highest research,3,4034,4194,4434,4664,4476,4524,4353,4202,4104,4038
2797,r038,All doctorate recipients -> Humanities and arts -> Doctoral: Higher research,All doctorate recipients,Humanities and arts,Doctoral: Higher research,3,590,658,670,616,634,635,713,652,624,590
2797,r039,All doctorate recipients -> Humanities and arts -> Doctoral: Moderate research,All doctorate recipients,Humanities and arts,Doctoral: Moderate research,3,105,104,164,133,134,124,154,136,119,115
2797,r040,All doctorate recipients -> Humanities and arts -> Other universities,All doctorate recipients,Humanities and arts,Other universities,3,286,269,293,302,280,311,262,296,293,311
2797,r041,All doctorate recipients -> Other<sup>b</sup>,All doctorate recipients,Other<sup>b</sup>,,2,2729,2683,2734,3023,3043,3019,2941,3152,2981,3034
2797,r042,All doctorate recipients -> Other<sup>b</sup> -> Doctoral: Highest research,All doctorate recipients,Other<sup>b</sup>,Doctoral: Highest research,3,2061,2038,2113,2268,2212,2215,2144,2196,2084,2127
2797,r043,All doctorate recipients -> Other<sup>b</sup> -> Doctoral: Higher research,All doctorate recipients,Other<sup>b</sup>,Doctoral: Higher research,3,418,425,371,452,474,457,455,517,474,448
2797,r044,All doctorate recipients -> Other<sup>b</sup> -> Doctoral: Moderate research,All doctorate recipients,Other<sup>b</sup>,Doctoral: Moderate research,3,171,162,166,232,295,268,265,344,332,370
2797,r045,All doctorate recipients -> Other<sup>b</sup> -> Other universities,All doctorate recipients,Other<sup>b</sup>,Other universities,3,79,58,84,71,62,79,77,95,91,89
