table_id,row_id,student_age_and_characteristic_full_path,student_age_and_characteristic_level_1,student_age_and_characteristic_level_2,student_age_and_characteristic_level_3,student_age_and_characteristic_hierarchy_depth,field_1978,field_1982,field_1986,field_1990,field_1992,field_1994,field_1996,field_1999,field_2004,field_2008,field_2012,field_2020,field_2022,field_2023
9440,r080,"All 17-year-old students -> Race or ethnicity<sup>a,b</sup> -> Asian or Pacific Islander",All 17-year-old students,"Race or ethnicity<sup>a,b</sup>",Asian or Pacific Islander,3,317,313,316,311,320,317,313,320,315,321,322,NA,NA,NA
9440,r081,"All 17-year-old students -> Race or ethnicity<sup>a,b</sup> -> Black",All 17-year-old students,"Race or ethnicity<sup>a,b</sup>",Black,3,268,272,279,289,286,286,286,283,284,287,288,NA,NA,NA
9440,r082,"All 17-year-old students -> Race or ethnicity<sup>a,b</sup> -> Hispanic",All 17-year-old students,"Race or ethnicity<sup>a,b</sup>",Hispanic,3,276,277,283,284,292,291,292,293,292,293,294,NA,NA,NA
9440,r083,"All 17-year-old students -> Race or ethnicity<sup>a,b</sup> -> Two or more races<sup>c</sup>",All 17-year-old students,"Race or ethnicity<sup>a,b</sup>",Two or more races<sup>c</sup>,3,s,s,s,s,s,s,s,s,s,300,305,NA,NA,NA
9440,r084,"All 17-year-old students -> Race or ethnicity<sup>a,b</sup> -> White",All 17-year-old students,"Race or ethnicity<sup>a,b</sup>",White,3,306,304,308,309,312,312,313,315,311,314,314,NA,NA,NA
9440,r085,All 17-year-old students -> Socioeconomic status<sup>d</sup>,All 17-year-old students,Socioeconomic status<sup>d</sup>,,2,,,,,,,,,,,,,,
9440,r086,All 17-year-old students -> Socioeconomic status<sup>d</sup> -> Eligible for free or reduced-price lunch,All 17-year-old students,Socioeconomic status<sup>d</sup>,Eligible for free or reduced-price lunch,3,NA,NA,NA,NA,NA,NA,NA,NA,289,292,293,NA,NA,NA
9440,r087,All 17-year-old students -> Socioeconomic status<sup>d</sup> -> Not eligible for free or reduced-price lunch,All 17-year-old students,Socioeconomic status<sup>d</sup>,Not eligible for free or reduced-price lunch,3,NA,NA,NA,NA,NA,NA,NA,NA,309,312,314,NA,NA,NA
9440,r088,All 17-year-old students -> Student disability status<sup>e</sup>,All 17-year-old students,Student disability status<sup>e</sup>,,2,,,,,,,,,,,,,,
9440,r089,All 17-year-old students -> Student disability status<sup>e</sup> -> Identified as student with a disability,All 17-year-old students,Student disability status<sup>e</sup>,Identified as student with a disability,3,NA,NA,NA,NA,NA,NA,NA,NA,276,277,276,NA,NA,NA
9440,r090,All 17-year-old students -> Student disability status<sup>e</sup> -> Not identified as student with a disability,All 17-year-old students,Student disability status<sup>e</sup>,Not identified as student with a disability,3,NA,NA,NA,NA,NA,NA,NA,NA,308,309,310,NA,NA,NA
9440,r091,All 17-year-old students -> English language learner status<sup>e</sup>,All 17-year-old students,English language learner status<sup>e</sup>,,2,,,,,,,,,,,,,,
9440,r092,All 17-year-old students -> English language learner status<sup>e</sup> -> English language learner,All 17-year-old students,English language learner status<sup>e</sup>,English language learner,3,NA,NA,NA,NA,NA,NA,NA,NA,280,279,271,NA,NA,NA
9440,r093,All 17-year-old students -> English language learner status<sup>e</sup> -> Not English language learner,All 17-year-old students,English language learner status<sup>e</sup>,Not English language learner,3,NA,NA,NA,NA,NA,NA,NA,NA,306,307,308,NA,NA,NA
9440,r094,All 17-year-old students -> U.S. region,All 17-year-old students,U.S. region,,2,,,,,,,,,,,,,,
9440,r095,All 17-year-old students -> U.S. region -> Midwest,All 17-year-old students,U.S. region,Midwest,3,NA,NA,NA,NA,NA,NA,NA,NA,310,309,308,NA,NA,NA
9440,r096,All 17-year-old students -> U.S. region -> Northeast,All 17-year-old students,U.S. region,Northeast,3,NA,NA,NA,NA,NA,NA,NA,NA,308,307,312,NA,NA,NA
9440,r097,All 17-year-old students -> U.S. region -> South,All 17-year-old students,U.S. region,South,3,NA,NA,NA,NA,NA,NA,NA,NA,299,304,304,NA,NA,NA
9440,r098,All 17-year-old students -> U.S. region -> West,All 17-year-old students,U.S. region,West,3,NA,NA,NA,NA,NA,NA,NA,NA,308,305,304,NA,NA,NA
9440,r099,All 17-year-old students -> School location ,All 17-year-old students,School location ,,2,,,,,,,,,,,,,,
9440,r100,All 17-year-old students -> School location  -> City,All 17-year-old students,School location ,City,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,302,NA,NA,NA
9440,r101,All 17-year-old students -> School location  -> Rural,All 17-year-old students,School location ,Rural,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,307,NA,NA,NA
9440,r102,All 17-year-old students -> School location  -> Suburb,All 17-year-old students,School location ,Suburb,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,311,NA,NA,NA
9440,r103,All 17-year-old students -> School location  -> Town,All 17-year-old students,School location ,Town,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,298,NA,NA,NA
9440,r104,All 17-year-old students -> Percentile,All 17-year-old students,Percentile,,2,,,,,,,,,,,,,,
9440,r105,All 17-year-old students -> Percentile -> 10th percentile,All 17-year-old students,Percentile,10th percentile,3,254,256,263,264,267,267,267,268,266,267,266,NA,NA,NA
9440,r106,All 17-year-old students -> Percentile -> 25th percentile,All 17-year-old students,Percentile,25th percentile,3,276,276,281,283,286,286,286,287,286,287,287,NA,NA,NA
9440,r107,All 17-year-old students -> Percentile -> 50th percentile,All 17-year-old students,Percentile,50th percentile,3,301,299,301,305,308,306,308,309,306,307,307,NA,NA,NA
9440,r108,All 17-year-old students -> Percentile -> 75th percentile,All 17-year-old students,Percentile,75th percentile,3,325,321,323,327,328,327,329,330,327,327,328,NA,NA,NA
9440,r109,All 17-year-old students -> Percentile -> 90th percentile,All 17-year-old students,Percentile,90th percentile,3,345,341,343,345,345,345,346,347,343,343,345,NA,NA,NA
