table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_level_5,agency_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10267,r027,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,20105,0,20105,0,0,0,0,0,0,0
10267,r028,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,1605187,13464,5822,130,969,70523,0,0,1512820,1458
10267,r029,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,375201,0,0,0,0,5234,0,0,369968,0
10267,r030,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,1140270,0,0,0,0,0,0,0,1140270,0
10267,r031,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,89715,13464,5822,130,969,65289,0,0,2583,1458
10267,r032,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,108224,0,0,0,0,0,0,0,108224,0
10267,r033,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,33932925,30109,0,33892051,0,0,0,0,2765,8000
10267,r034,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,29855,29855,0,0,0,0,0,0,0,0
10267,r035,All agencies -> Departments -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Departments,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,,4,33881017,0,0,33881017,0,0,0,0,0,0
10267,r036,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,14053,254,0,11034,0,0,0,0,2765,0
10267,r037,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,8000,0,0,0,0,0,0,0,0,8000
10267,r038,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,291022,51325,11144,0,0,28660,130,0,116392,83370
10267,r039,All agencies -> Departments -> Department of Homeland Security -> Coast Guard,All agencies,Departments,Department of Homeland Security,Coast Guard,,4,7281,2081,301,0,0,0,130,0,4770,0
10267,r040,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,11062,3875,0,0,0,7187,0,0,0,0
10267,r041,All agencies -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,4,3498,3498,0,0,0,0,0,0,0,0
10267,r042,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,240186,41872,10844,0,0,21473,0,0,110627,55370
10267,r043,All agencies -> Departments -> Department of Homeland Security -> Secret Service,All agencies,Departments,Department of Homeland Security,Secret Service,,4,994,0,0,0,0,0,0,0,994,0
10267,r044,All agencies -> Departments -> Department of Homeland Security -> Transportation Security Administration,All agencies,Departments,Department of Homeland Security,Transportation Security Administration,,4,28000,0,0,0,0,0,0,0,0,28000
10267,r045,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,148280,0,81706,45650,0,0,0,686,20238,0
10267,r046,All agencies -> Departments -> Department of the Interior -> Bureau of Land Management,All agencies,Departments,Department of the Interior,Bureau of Land Management,,4,930,0,0,930,0,0,0,0,0,0
10267,r047,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,14200,0,14200,0,0,0,0,0,0,0
10267,r048,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,20000,0,0,0,0,0,0,0,20000,0
10267,r049,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,238,0,0,0,0,0,0,0,238,0
10267,r050,All agencies -> Departments -> Department of the Interior -> Geological Survey,All agencies,Departments,Department of the Interior,Geological Survey,,4,111780,0,67506,44274,0,0,0,0,0,0
10267,r051,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,1132,0,0,446,0,0,0,686,0,0
10267,r052,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,6102,485,0,0,0,1764,0,3849,0,0.05
10267,r053,All agencies -> Departments -> Department of Justice -> Bureau of Prisons,All agencies,Departments,Department of Justice,Bureau of Prisons,,4,0.05,0,0,0,0,0,0,0.05,0,0.05
10267,r054,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,6096,485,0,0,0,1764,0,3847,0,0
10267,r055,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,20000,0,0,20000,0,0,0,0,0,0
10267,r056,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,285241,0,0.05,0,0,468,0,0,44522,240240
10267,r057,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,240240,0,0,0,0,0,0,0,0,240240
10267,r058,All agencies -> Departments -> Department of Transportation -> Federal Highway Administration,All agencies,Departments,Department of Transportation,Federal Highway Administration,,4,36605,0,0,0,0,0,0,0,36605,0
10267,r059,All agencies -> Departments -> Department of Transportation -> Federal Motor Carrier Safety Administration,All agencies,Departments,Department of Transportation,Federal Motor Carrier Safety Administration,,4,468,0,0,0,0,468,0,0,0,0
10267,r060,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,7177,0,0.05,0,0,0,0,0,7165,0
10267,r061,All agencies -> Departments -> Department of Transportation -> Federal Transit Administration,All agencies,Departments,Department of Transportation,Federal Transit Administration,,4,752,0,0,0,0,0,0,0,752,0
10267,r062,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,7539,0,0,0,0,7539,0,0,0,0
10267,r063,All agencies -> Departments -> Department of the Treasury -> Bureau of Engraving and Printing,All agencies,Departments,Department of the Treasury,Bureau of Engraving and Printing,,4,7384,0,0,0,0,7384,0,0,0,0
10267,r064,All agencies -> Departments -> Department of the Treasury -> Mint,All agencies,Departments,Department of the Treasury,Mint,,4,155,0,0,0,0,155,0,0,0,0
10267,r065,All agencies -> Departments -> Department of Veterans Affairs,All agencies,Departments,Department of Veterans Affairs,,,3,137285,0,0,137285,0,0,0,0,0,0
10267,r066,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,,,,,
10267,r067,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,,3,30487,0,0,28087,0,0,0,0,0,2400
10267,r068,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,116994,1602,48220,46220,890,2793,0,675,16592,0.05
10267,r069,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,,,3,2177,0,0,0,0,2177,0,0,0,0
10267,r070,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,4625310,0,37721,0,0,272733,0,0,887109,3427748
10267,r071,All agencies -> Other agencies -> Nuclear Regulatory Commission,All agencies,Other agencies,Nuclear Regulatory Commission,,,3,3418,0,0,0,0,0,0,0,3418,0
10267,r072,All agencies -> Other agencies -> Tennessee Valley Authority,All agencies,Other agencies,Tennessee Valley Authority,,,3,7763,0,0,0,0,0,0,0,7763,0
