table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total,field_asian_number,field_asian_percent,field_american_indian_or_alaska_native_number,field_american_indian_or_alaska_native_percent,field_black_or_african_american_number,field_black_or_african_american_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_white_number,field_white_percent,field_native_hawaiian_or_other_pacific_islander_number,field_native_hawaiian_or_other_pacific_islander_percent,field_more_than_one_race_number,field_more_than_one_race_percent
1630,r011,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Network and computer systems administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Network and computer systems administrators,4,195000,23000,11.8,s,s,28000,14.4,8000,4.1,130000,66.7,s,s,4000,2.1
1630,r012,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Software developers &#8212; applications and systems software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Software developers &#8212; applications and systems software,4,653000,212000,32.5,s,s,29000,4.4,29000,4.4,377000,57.7,s,s,5000,0.8
1630,r013,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Web developers,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Web developers,4,164000,19000,11.6,s,s,7000,4.3,8000,4.9,126000,76.8,s,s,4000,2.4
1630,r014,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Other computer information science occupations,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Other computer information science occupations,4,337000,41000,12.2,s,s,24000,7.1,24000,7.1,240000,71.2,s,s,5000,1.5
1630,r015,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer engineers &#8212; software,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer engineers &#8212; software,4,742000,280000,37.7,s,s,26000,3.5,45000,6.1,383000,51.6,s,s,5000,0.7
1630,r016,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,,3,209000,37000,17.7,s,s,14000,6.7,12000,5.7,143000,68.4,s,s,2000,1.0
1630,r017,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Mathematicians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Mathematicians,4,13000,s,s,s,s,s,s,s,s,1000,s,s,s,s,s
1630,r018,"S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Operations research analysts, including modeling",S&E occupations,Computer and mathematical scientists,Mathematical scientists,"Operations research analysts, including modeling",4,125000,16000,12.8,s,s,4000,3.2,8000,6.4,95000,76.0,s,s,2000,1.6
1630,r019,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Statisticians,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Statisticians,4,46000,14000,30.4,s,s,1000,2.2,3000,6.5,27000,58.7,s,s,s,s
1630,r020,S&E occupations -> Computer and mathematical scientists -> Mathematical scientists -> Other mathematical scientists,S&E occupations,Computer and mathematical scientists,Mathematical scientists,Other mathematical scientists,4,26000,4000,15.4,s,s,s,s,1000,s,19000,73.1,s,s,s,s
1630,r021,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers &#8212; computer and mathematical sciences,S&E occupations,Computer and mathematical scientists,Postsecondary teachers &#8212; computer and mathematical sciences,,3,114000,26000,22.8,s,s,5000,4.4,7000,6.1,76000,66.7,s,s,2000,1.8
1630,r022,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers &#8212; computer and mathematical sciences -> Computer science,S&E occupations,Computer and mathematical scientists,Postsecondary teachers &#8212; computer and mathematical sciences,Computer science,4,32000,10000,31.3,s,s,2000,6.3,4000,12.5,15000,46.9,s,s,s,s
1630,r023,S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers &#8212; computer and mathematical sciences -> Mathematics and statistics,S&E occupations,Computer and mathematical scientists,Postsecondary teachers &#8212; computer and mathematical sciences,Mathematics and statistics,4,82000,16000,19.5,s,s,3000,3.7,2000,2.4,60000,73.2,s,s,1000,1.2
1630,r024,"S&E occupations -> Biological, agricultural, and environmental life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",,,2,610000,126000,20.7,s,s,20000,3.3,38000,6.2,415000,68.0,1000,0.2,9000,1.5
1630,r025,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Agricultural and food scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Agricultural and food scientists,,3,41000,7000,17.1,s,s,1000,2.4,4000,9.8,28000,68.3,s,s,s,s
1630,r026,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,,3,455000,109000,24.0,s,s,16000,3.5,28000,6.2,293000,64.4,1000,0,8000,1.8
1630,r027,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Biochemists and biophysicists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Biochemists and biophysicists,4,71000,21000,29.6,s,s,1000,1.4,6000,8.5,41000,57.7,s,s,s,s
1630,r028,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Biological scientists (e.g., botanists, ecologists, zoologists)",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,"Biological scientists (e.g., botanists, ecologists, zoologists)",4,146000,33000,22.6,s,s,2000,1.4,6000,4.1,102000,69.9,s,s,2000,1.4
1630,r029,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Medical scientists (excluding practitioners)",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Medical scientists (excluding practitioners),4,154000,34000,22.1,s,s,6000,3.9,10000,6.5,101000,65.6,s,s,2000,1.3
1630,r030,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Biological and medical scientists -> Other biological and life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Biological and medical scientists,Other biological and life scientists,4,85000,21000,24.7,s,s,7000,8.2,5000,5.9,49000,57.6,s,s,s,s
1630,r031,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Forestry and conservation scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",Forestry and conservation scientists,,3,27000,s,s,s,s,s,s,s,s,25000,92.6,s,s,s,s
1630,r032,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers &#8212; life and related sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers &#8212; life and related sciences,,3,87000,9000,10.3,s,s,2000,2.3,5000,5.7,69000,79.3,s,s,s,s
1630,r033,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers &#8212; life and related sciences -> Agriculture",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers &#8212; life and related sciences,Agriculture,4,5000,s,s,s,s,s,s,s,s,4000,80.0,s,s,s,s
1630,r034,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers &#8212; life and related sciences -> Biological sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers &#8212; life and related sciences,Biological sciences,4,72000,7000,9.7,s,s,2000,2.8,4000,5.6,57000,79.2,s,s,s,s
1630,r035,"S&E occupations -> Biological, agricultural, and environmental life scientists -> Postsecondary teachers &#8212; life and related sciences -> Other natural sciences",S&E occupations,"Biological, agricultural, and environmental life scientists",Postsecondary teachers &#8212; life and related sciences,Other natural sciences,4,10000,2000,20.0,s,s,s,s,s,s,7000,70.0,s,s,s,s
1630,r036,S&E occupations -> Physical and related scientists,S&E occupations,Physical and related scientists,,,2,366000,51000,13.9,s,s,11000,3.0,29000,7.9,265000,72.4,s,s,7000,1.9
1630,r037,"S&E occupations -> Physical and related scientists -> Chemists, except biochemists",S&E occupations,Physical and related scientists,"Chemists, except biochemists",,3,109000,18000,16.5,s,s,6000,5.5,8000,7.3,75000,68.8,s,s,s,s
1630,r038,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",,3,69000,5000,7.2,s,s,1000,1.4,3000,4.3,60000,87.0,s,s,1000,1.4
1630,r039,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Atmospheric and space scientists",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",Atmospheric and space scientists,4,13000,1000,7.7,s,s,s,s,s,s,12000,92.3,s,s,1000,7.7
1630,r040,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Geologists, including earth scientists",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers","Geologists, including earth scientists",4,54000,3000,5.6,s,s,1000,1.9,3000,5.6,46000,85.2,s,s,1000,1.9
1630,r041,"S&E occupations -> Physical and related scientists -> Earth scientists, geologists, and oceanographers -> Oceanographers",S&E occupations,Physical and related scientists,"Earth scientists, geologists, and oceanographers",Oceanographers,4,2000,s,s,s,s,s,s,s,s,2000,100.0,s,s,s,s
1630,r042,S&E occupations -> Physical and related scientists -> Physicists and astronomers,S&E occupations,Physical and related scientists,Physicists and astronomers,,3,42000,13000,31.0,s,s,s,s,2000,4.8,25000,59.5,s,s,1000,2.4
1630,r043,S&E occupations -> Physical and related scientists -> Physicists and astronomers -> Astronomers,S&E occupations,Physical and related scientists,Physicists and astronomers,Astronomers,4,4000,s,s,s,s,s,s,s,s,3000,75.0,s,s,s,s
1630,r044,"S&E occupations -> Physical and related scientists -> Physicists and astronomers -> Physicists, except biophysicists",S&E occupations,Physical and related scientists,Physicists and astronomers,"Physicists, except biophysicists",4,38000,13000,34.2,s,s,s,s,1000,2.6,22000,57.9,s,s,1000,2.6
1630,r045,S&E occupations -> Physical and related scientists -> Other physical and related scientists,S&E occupations,Physical and related scientists,Other physical and related scientists,,3,65000,5000,7.7,s,s,3000,4.6,13000,20.0,41000,63.1,s,s,2000,3.1
1630,r046,S&E occupations -> Physical and related scientists -> Postsecondary teachers &#8212; physical and related sciences,S&E occupations,Physical and related scientists,Postsecondary teachers &#8212; physical and related sciences,,3,81000,11000,13.6,s,s,1000,1.2,3000,3.7,65000,80.2,s,s,s,s
1630,r047,S&E occupations -> Physical and related scientists -> Postsecondary teachers &#8212; physical and related sciences -> Chemistry,S&E occupations,Physical and related scientists,Postsecondary teachers &#8212; physical and related sciences,Chemistry,4,41000,5000,12.2,s,s,1000,s,1000,2.4,34000,82.9,s,s,s,s
1630,r048,"S&E occupations -> Physical and related scientists -> Postsecondary teachers &#8212; physical and related sciences -> Earth, environmental, and marine sciences",S&E occupations,Physical and related scientists,Postsecondary teachers &#8212; physical and related sciences,"Earth, environmental, and marine sciences",4,20000,s,s,s,s,s,s,1000,5.0,17000,85.0,s,s,s,s
1630,r049,S&E occupations -> Physical and related scientists -> Postsecondary teachers &#8212; physical and related sciences -> Physics,S&E occupations,Physical and related scientists,Postsecondary teachers &#8212; physical and related sciences,Physics,4,19000,3000,15.8,s,s,s,s,s,s,14000,73.7,s,s,s,s
1630,r050,S&E occupations -> Social and related scientists,S&E occupations,Social and related scientists,,,2,646000,38000,5.9,s,s,48000,7.4,95000,14.7,451000,69.8,s,s,10000,1.5
1630,r051,S&E occupations -> Social and related scientists -> Economists,S&E occupations,Social and related scientists,Economists,,3,47000,3000,6.4,s,s,1000,2.1,4000,8.5,37000,78.7,s,s,s,s
1630,r052,S&E occupations -> Social and related scientists -> Political scientists,S&E occupations,Social and related scientists,Political scientists,,3,33000,s,s,s,s,s,s,11000,33.3,18000,54.5,s,s,s,s
1630,r053,"S&E occupations -> Social and related scientists -> Psychologists, including clinical",S&E occupations,Social and related scientists,"Psychologists, including clinical",,3,199000,10000,5.0,s,s,9000,4.5,30000,15.1,148000,74.4,s,s,2000,1.0
1630,r054,S&E occupations -> Social and related scientists -> Sociologists and anthropologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,,3,24000,1000,4.2,s,s,s,s,s,s,20000,83.3,s,s,s,s
1630,r055,S&E occupations -> Social and related scientists -> Sociologists and anthropologists -> Anthropologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,Anthropologists,4,13000,s,s,s,s,s,s,s,s,11000,84.6,s,s,s,s
1630,r056,S&E occupations -> Social and related scientists -> Sociologists and anthropologists -> Sociologists,S&E occupations,Social and related scientists,Sociologists and anthropologists,Sociologists,4,11000,s,s,s,s,s,s,s,s,9000,81.8,s,s,s,s
1630,r057,S&E occupations -> Social and related scientists -> Other social and related scientists,S&E occupations,Social and related scientists,Other social and related scientists,,3,159000,9000,5.7,s,s,12000,7.5,s,s,95000,59.7,s,s,3000,1.9
1630,r058,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,,3,183000,14000,7.7,s,s,23000,12.6,8000,4.4,133000,72.7,s,s,3000,1.6
1630,r059,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Economics,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Economics,4,25000,3000,12.0,s,s,4000,16.0,1000,4.0,17000,68.0,s,s,s,s
1630,r060,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Political science,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Political science,4,20000,s,s,s,s,4000,20.0,1000,5.0,14000,70.0,s,s,s,s
1630,r061,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Psychology,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Psychology,4,51000,4000,7.8,s,s,2000,3.9,3000,5.9,39000,76.5,s,s,s,s
1630,r062,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Sociology,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Sociology,4,18000,2000,11.1,s,s,s,s,s,s,13000,72.2,s,s,s,s
1630,r063,S&E occupations -> Social and related scientists -> Postsecondary teachers &#8212; social and related sciences -> Other social sciences,S&E occupations,Social and related scientists,Postsecondary teachers &#8212; social and related sciences,Other social sciences,4,70000,4000,5.7,s,s,12000,17.1,2000,2.9,50000,71.4,s,s,s,s
1630,r064,S&E occupations -> Engineers,S&E occupations,Engineers,,,2,1728000,283000,16.4,5000,0.3,62000,3.6,143000,8.3,1196000,69.2,8000,0.5,31000,1.8
1630,r065,"S&E occupations -> Engineers -> Aerospace, aeronautical, or astronautical engineers",S&E occupations,Engineers,"Aerospace, aeronautical, or astronautical engineers",,3,132000,13000,9.8,s,s,3000,2.3,13000,9.8,98000,74.2,s,s,2000,1.5
1630,r066,S&E occupations -> Engineers -> Chemical engineers,S&E occupations,Engineers,Chemical engineers,,3,93000,16000,17.2,s,s,1000,s,5000,5.4,71000,76.3,s,s,s,s
1630,r067,"S&E occupations -> Engineers -> Civil, architectural, or sanitary engineers",S&E occupations,Engineers,"Civil, architectural, or sanitary engineers",,3,264000,31000,11.7,s,s,10000,3.8,27000,10.2,191000,72.3,s,s,4000,1.5
1630,r068,S&E occupations -> Engineers -> Electrical or computer hardware engineers,S&E occupations,Engineers,Electrical or computer hardware engineers,,3,374000,98000,26.2,s,s,16000,4.3,28000,7.5,222000,59.4,s,s,8000,2.1
1630,r069,S&E occupations -> Engineers -> Electrical or computer hardware engineers -> Computer engineers &#8212;  hardware,S&E occupations,Engineers,Electrical or computer hardware engineers,Computer engineers &#8212;  hardware,4,69000,21000,30.4,s,s,4000,5.8,3000,4.3,36000,52.2,s,s,5000,7.2
1630,r070,S&E occupations -> Engineers -> Electrical or computer hardware engineers -> Electrical and electronics engineers,S&E occupations,Engineers,Electrical or computer hardware engineers,Electrical and electronics engineers,4,305000,77000,25.2,s,s,12000,3.9,24000,7.9,186000,61.0,s,s,3000,1.0
1630,r071,S&E occupations -> Engineers -> Industrial engineers,S&E occupations,Engineers,Industrial engineers,,3,88000,10000,11.4,s,s,3000,3.4,15000,17.0,59000,67.0,s,s,s,s
1630,r072,S&E occupations -> Engineers -> Mechanical engineers,S&E occupations,Engineers,Mechanical engineers,,3,313000,45000,14.4,s,s,7000,2.2,21000,6.7,233000,74.4,s,s,5000,1.6
1630,r073,S&E occupations -> Engineers -> Other engineers,S&E occupations,Engineers,Other engineers,,3,406000,51000,12.6,s,s,19000,4.7,33000,8.1,288000,70.9,4000,1.0,10000,2.5
1630,r074,S&E occupations -> Engineers -> Other engineers -> Agricultural engineers,S&E occupations,Engineers,Other engineers,Agricultural engineers,4,4000,s,s,s,s,s,s,s,s,3000,75.0,s,s,s,s
1630,r075,S&E occupations -> Engineers -> Other engineers -> Bioengineers or biomedical engineers,S&E occupations,Engineers,Other engineers,Bioengineers or biomedical engineers,4,29000,6000,20.7,s,s,1000,s,2000,6.9,19000,65.5,s,s,s,s
1630,r076,S&E occupations -> Engineers -> Other engineers -> Environmental engineers,S&E occupations,Engineers,Other engineers,Environmental engineers,4,63000,3000,4.8,s,s,2000,3.2,5000,7.9,52000,82.5,s,s,s,s
1630,r077,S&E occupations -> Engineers -> Other engineers -> Marine engineers and naval architects,S&E occupations,Engineers,Other engineers,Marine engineers and naval architects,4,9000,1000,11.1,s,s,s,s,s,s,7000,77.8,s,s,s,s
1630,r078,S&E occupations -> Engineers -> Other engineers -> Materials and metallurgical engineers,S&E occupations,Engineers,Other engineers,Materials and metallurgical engineers,4,31000,4000,12.9,s,s,s,s,3000,9.7,21000,67.7,s,s,s,s
1630,r079,S&E occupations -> Engineers -> Other engineers -> Mining and geological engineers,S&E occupations,Engineers,Other engineers,Mining and geological engineers,4,6000,2000,33.3,s,s,s,s,s,s,3000,50.0,s,s,s,s
1630,r080,S&E occupations -> Engineers -> Other engineers -> Nuclear engineers,S&E occupations,Engineers,Other engineers,Nuclear engineers,4,21000,s,s,s,s,s,s,s,s,16000,76.2,s,s,s,s
1630,r081,S&E occupations -> Engineers -> Other engineers -> Petroleum engineers,S&E occupations,Engineers,Other engineers,Petroleum engineers,4,21000,3000,14.3,s,s,s,s,s,s,15000,71.4,s,s,s,s
1630,r082,S&E occupations -> Engineers -> Other engineers -> Sales engineers,S&E occupations,Engineers,Other engineers,Sales engineers,4,87000,5000,5.7,s,s,3000,3.4,7000,8.0,68000,78.2,s,s,s,s
1630,r083,S&E occupations -> Engineers -> Other engineers -> Other engineers,S&E occupations,Engineers,Other engineers,Other engineers,4,135000,24000,17.8,s,s,10000,7.4,11000,8.1,83000,61.5,s,s,7000,5.2
1630,r084,S&E occupations -> Engineers -> Postsecondary teachers &#8212; engineering,S&E occupations,Engineers,Postsecondary teachers &#8212; engineering,,3,59000,18000,30.5,s,s,s,s,3000,5.1,35000,59.3,s,s,s,s
1630,r085,S&E-related occupations,S&E-related occupations,,,,1,8271000,1042000,12.6,28000,0.3,610000,7.4,702000,8.5,5726000,69.2,16000,0.2,147000,1.8
1630,r086,S&E-related occupations -> Health-related occupations,S&E-related occupations,Health-related occupations,,,2,5181000,649000,12.5,23000,0.4,416000,8.0,433000,8.4,3551000,68.5,10000,0.2,99000,1.9
1630,r087,"S&E-related occupations -> Health-related occupations -> Diagnosing or treating practitioners (e.g., dentists, optometrists, physicians, psychiatrists, podiatrists, surgeons, veterinarians)",S&E-related occupations,Health-related occupations,"Diagnosing or treating practitioners (e.g., dentists, optometrists, physicians, psychiatrists, podiatrists, surgeons, veterinarians)",,3,1237000,226000,18.3,s,s,85000,6.9,100000,8.1,801000,64.8,s,s,18000,1.5
1630,r088,"S&E-related occupations -> Health-related occupations -> Registered nurses, pharmacists, dieticians, therapists, physician assistants, nurse practitioners",S&E-related occupations,Health-related occupations,"Registered nurses, pharmacists, dieticians, therapists, physician assistants, nurse practitioners",,3,2538000,263000,10.4,11000,0.4,168000,6.6,199000,7.8,1836000,72.3,7000,0.3,54000,2.1
1630,r089,"S&E-related occupations -> Health-related occupations -> Health technologists and technicians (e.g., dental hygienists, health record technicians, licensed practical nurses, laboratory or radiology technicians)",S&E-related occupations,Health-related occupations,"Health technologists and technicians (e.g., dental hygienists, health record technicians, licensed practical nurses, laboratory or radiology technicians)",,3,544000,73000,13.4,s,s,59000,10.8,49000,9.0,350000,64.3,s,s,8000,1.5
1630,r090,S&E-related occupations -> Health-related occupations -> Other health occupations,S&E-related occupations,Health-related occupations,Other health occupations,,3,688000,63000,9.2,s,s,98000,14.2,79000,11.5,428000,62.2,s,s,18000,2.6
1630,r091,S&E-related occupations -> Health-related occupations -> Postsecondary teachers &#8212; health and related sciences,S&E-related occupations,Health-related occupations,Postsecondary teachers &#8212; health and related sciences,,3,175000,24000,13.7,s,s,6000,3.4,6000,3.4,137000,78.3,s,s,1000,0.6
1630,r092,S&E-related occupations -> S&E managers,S&E-related occupations,S&E managers,,,2,1048000,136000,13.0,4000,0.4,52000,5.0,72000,6.9,768000,73.3,3000,0.3,13000,1.2
1630,r093,S&E-related occupations -> S&E managers -> Computer and information systems managers,S&E-related occupations,S&E managers,Computer and information systems managers,,3,243000,60000,24.7,s,s,11000,4.5,20000,8.2,145000,59.7,s,s,7000,2.9
1630,r094,S&E-related occupations -> S&E managers -> Engineering managers,S&E-related occupations,S&E managers,Engineering managers,,3,384000,48000,12.5,4000,1.0,19000,4.9,31000,8.1,281000,73.2,s,s,2000,0.5
1630,r095,S&E-related occupations -> S&E managers -> Medical and health services managers,S&E-related occupations,S&E managers,Medical and health services managers,,3,358000,21000,5.9,s,s,19000,5.3,18000,5.0,296000,82.7,s,s,1000,0.3
1630,r096,S&E-related occupations -> S&E managers -> Natural sciences managers,S&E-related occupations,S&E managers,Natural sciences managers,,3,63000,7000,11.1,s,s,s,s,3000,4.8,47000,74.6,s,s,s,s
1630,r097,S&E-related occupations -> S&E precollege teachers,S&E-related occupations,S&E precollege teachers,,,2,961000,35000,3.6,1000,0.1,83000,8.6,76000,7.9,744000,77.4,s,s,21000,2.2
1630,r098,"S&E-related occupations -> S&E precollege teachers -> Secondary &#8212; computer, mathematics, or sciences",S&E-related occupations,S&E precollege teachers,"Secondary &#8212; computer, mathematics, or sciences",,3,673000,28000,4.2,s,s,66000,9.8,63000,9.4,502000,74.6,s,s,13000,1.9
1630,r099,S&E-related occupations -> S&E precollege teachers -> Secondary &#8212; social sciences,S&E-related occupations,S&E precollege teachers,Secondary &#8212; social sciences,,3,288000,s,s,s,s,17000,5.9,13000,4.5,242000,84.0,s,s,8000,2.8
1630,r100,S&E-related occupations -> S&E technicians and technologists,S&E-related occupations,S&E technicians and technologists,,,2,837000,185000,22.1,s,s,54000,6.5,94000,11.2,493000,58.9,1000,0.1,10000,1.2
1630,r101,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the biological and life sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the biological and life sciences,,3,106000,22000,20.8,s,s,9000,8.5,13000,12.3,61000,57.5,s,s,1000,0.9
1630,r102,"S&E-related occupations -> S&E technicians and technologists -> Computer programmers (business, scientific, process control)",S&E-related occupations,S&E technicians and technologists,"Computer programmers (business, scientific, process control)",,3,175000,57000,32.6,s,s,8000,4.6,15000,8.6,93000,53.1,s,s,s,s
1630,r103,"S&E-related occupations -> S&E technicians and technologists -> Electrical, electronic, industrial, and mechanical technicians",S&E-related occupations,S&E technicians and technologists,"Electrical, electronic, industrial, and mechanical technicians",,3,260000,61000,23.5,s,s,25000,9.6,47000,18.1,125000,48.1,s,s,s,s
1630,r104,"S&E-related occupations -> S&E technicians and technologists -> Drafting occupations, including computer drafting",S&E-related occupations,S&E technicians and technologists,"Drafting occupations, including computer drafting",,3,35000,4000,11.4,s,s,s,s,s,s,29000,82.9,s,s,s,s
1630,r105,S&E-related occupations -> S&E technicians and technologists -> Surveying and mapping technicians,S&E-related occupations,S&E technicians and technologists,Surveying and mapping technicians,,3,16000,s,s,s,s,s,s,s,s,12000,75.0,s,s,s,s
1630,r106,S&E-related occupations -> S&E technicians and technologists -> Other engineering technologists and technicians,S&E-related occupations,S&E technicians and technologists,Other engineering technologists and technicians,,3,171000,32000,18.7,s,s,11000,6.4,12000,7.0,114000,66.7,s,s,s,s
1630,r107,"S&E-related occupations -> S&E technicians and technologists -> Surveyors, cartographers, photogrammetrists",S&E-related occupations,S&E technicians and technologists,"Surveyors, cartographers, photogrammetrists",,3,28000,s,s,s,s,s,s,s,s,23000,82.1,s,s,s,s
1630,r108,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the mathematical sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the mathematical sciences,,3,3000,s,s,s,s,s,s,s,s,2000,66.7,s,s,s,s
1630,r109,S&E-related occupations -> S&E technicians and technologists -> Technologists and technicians in the physical sciences,S&E-related occupations,S&E technicians and technologists,Technologists and technicians in the physical sciences,,3,43000,6000,14.0,s,s,s,s,s,s,33000,76.7,s,s,s,s
1630,r110,S&E-related occupations -> Other S&E-related occupations,S&E-related occupations,Other S&E-related occupations,,,2,244000,36000,14.8,s,s,5000,2.0,27000,11.1,170000,69.7,s,s,4000,1.6
