table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_epa,field_hhs_,field_nasa,field_nsf,field_si,field_usda
10858,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,5738,0,4654,0,0,0,54,0,0,0,1030,0,0
10858,r032,All locations -> New Jersey,All locations,New Jersey,,2,77111,0,0,0,51105,4965,12029,71,1913,8,7020,0,0
10858,r033,All locations -> New Mexico,All locations,New Mexico,,2,145352,35,0,5474,129743,850,0,0,7085,0,2166,0,0
10858,r034,All locations -> New York,All locations,New York,,2,533455,0,0,11329,471013,0,0,0,19368,0,31745,0,0
10858,r035,All locations -> North Carolina,All locations,North Carolina,,2,12651,0,0,0,0,0,0,2927,3265,0,4343,0,2116
10858,r036,All locations -> Ohio,All locations,Ohio,,2,73692,0,0,0,0,0,0,1345,0,0,72347,0,0
10858,r037,All locations -> Oklahoma,All locations,Oklahoma,,2,14583,0,0,0,0,0,215,170,0,8840,5358,0,0
10858,r038,All locations -> Oregon,All locations,Oregon,,2,66546,0,23073,0,0,0,0,282,0,0,40542,0,2650
10858,r039,All locations -> Pennsylvania,All locations,Pennsylvania,,2,20016,0,0,0,311,0,131,0,10811,0,7547,0,1217
10858,r040,All locations -> Rhode Island,All locations,Rhode Island,,2,19330,0,11430,7645,0,0,0,255,0,0,0,0,0
10858,r041,All locations -> South Carolina,All locations,South Carolina,,2,23864,0,14546,0,4977,0,22,0,0,0,4318,0,0
10858,r042,All locations -> South Dakota,All locations,South Dakota,,2,6827,0,0,0,5300,0,0,0,0,0,1527,0,0
10858,r043,All locations -> Tennessee,All locations,Tennessee,,2,967095,0,0,7817,888922,0,0,0,11997,2036,56323,0,0
10858,r044,All locations -> Texas,All locations,Texas,,2,40716,0,0,14233,0,0,793,0,7132,933,16820,0,805
10858,r045,All locations -> Utah,All locations,Utah,,2,5416,0,0,2899,0,0,0,0,0,0,2517,0,0
10858,r046,All locations -> Virginia,All locations,Virginia,,2,187885,195,3925,44266,104515,258,7970,0,7996,9820,8941,0,0
10858,r047,All locations -> Washington,All locations,Washington,,2,55761,0,979,0,28958,0,0,0,0,0,3625,0,22200
10858,r048,All locations -> West Virginia,All locations,West Virginia,,2,90,0,0,0,50,0,0,0,0,0,40,0,0
10858,r049,All locations -> Wisconsin,All locations,Wisconsin,,2,47999,0,0,0,0,0,0,0,0,0,7824,0,40175
10858,r050,All locations -> Outlying areas,All locations,Outlying areas,,2,7027,179,0,0,0,0,0,0,24,0,1145,0,5679
10858,r051,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,6008,0,0,0,0,0,0,0,24,0,304,0,5679
10858,r052,All locations -> Outlying areas -> Other areas<sup>a</sup>,All locations,Outlying areas,Other areas<sup>a</sup>,3,1019,179,0,0,0,0,0,0,0,0,841,0,0
10858,r053,All locations -> Undistributed<sup>b</sup>,All locations,Undistributed<sup>b</sup>,,2,1486,0,0,1486,0,0,0,0,0,0,0,0,0
