table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_federal,field_paid_for_by_others_nonfederal
6633,r015,All states -> Illinois,All states,Illinois,2,"['14,112', '&nbsp;']","['13,383', '&nbsp;']","['729', '&nbsp;']","['74', '&nbsp;']","['655', '&nbsp;']"
6633,r016,All states -> Indiana,All states,Indiana,2,"['7,952', '&nbsp;']","['6,895', '&nbsp;']","['1,057', '&nbsp;']","['130', '&nbsp;']","['927', '&nbsp;']"
6633,r017,All states -> Iowa,All states,Iowa,2,"['3,087', 'i']","['2,285', '&nbsp;']","['802', 'i']","['641', 'i']","['161', 'i']"
6633,r018,All states -> Kansas,All states,Kansas,2,"['2,748', '&nbsp;']","['1,857', '&nbsp;']","['891', 'i']","['11', '&nbsp;']","['880', 'i']"
6633,r019,All states -> Kentucky,All states,Kentucky,2,"['1,481', '&nbsp;']","['939', '&nbsp;']","['541', '&nbsp;']","['216', '&nbsp;']","['325', '&nbsp;']"
6633,r020,All states -> Louisiana,All states,Louisiana,2,"['703', '&nbsp;']","['534', '&nbsp;']","['168', '&nbsp;']","['121', '&nbsp;']","['48', '&nbsp;']"
6633,r021,All states -> Maine,All states,Maine,2,"['417', '&nbsp;']","['373', '&nbsp;']","['44', '&nbsp;']","['14', 'i']","['30', '&nbsp;']"
6633,r022,All states -> Maryland,All states,Maryland,2,"['5,852', '&nbsp;']","['4,248', '&nbsp;']","['1,604', '&nbsp;']","['1,042', '&nbsp;']","['563', '&nbsp;']"
6633,r023,All states -> Massachusetts,All states,Massachusetts,2,"['30,843', '&nbsp;']","['25,955', '&nbsp;']","['4,888', '&nbsp;']","['1,170', '&nbsp;']","['3,718', '&nbsp;']"
6633,r024,All states -> Michigan,All states,Michigan,2,"['21,283', '&nbsp;']","['18,918', '&nbsp;']","['2,364', '&nbsp;']","['237', '&nbsp;']","['2,127', '&nbsp;']"
6633,r025,All states -> Minnesota,All states,Minnesota,2,"['8,026', '&nbsp;']","['7,547', '&nbsp;']","['479', '&nbsp;']","['101', '&nbsp;']","['378', '&nbsp;']"
6633,r026,All states -> Mississippi,All states,Mississippi,2,"['324', '&nbsp;']","['276', '&nbsp;']","['48', '&nbsp;']","['19', '&nbsp;']","['30', 'i']"
6633,r027,All states -> Missouri,All states,Missouri,2,"['6,344', '&nbsp;']","['4,150', '&nbsp;']","['2,194', 'i']","['2,036', 'i']","['157', 'i']"
6633,r028,All states -> Montana,All states,Montana,2,"['205', '&nbsp;']","['176', '&nbsp;']","['29', '&nbsp;']","['11', '&nbsp;']","['17', '&nbsp;']"
6633,r029,All states -> Nebraska,All states,Nebraska,2,"['795', '&nbsp;']","['735', '&nbsp;']","['60', '&nbsp;']","['11', '&nbsp;']","['49', '&nbsp;']"
6633,r030,All states -> Nevada,All states,Nevada,2,"['1,045', '&nbsp;']","['829', '&nbsp;']","['216', '&nbsp;']","['34', '&nbsp;']","['183', '&nbsp;']"
6633,r031,All states -> New Hampshire,All states,New Hampshire,2,"['2,541', '&nbsp;']","['1,036', '&nbsp;']","['1,505', '&nbsp;']","['1,333', '&nbsp;']","['171', '&nbsp;']"
6633,r032,All states -> New Jersey,All states,New Jersey,2,"['20,390', '&nbsp;']","['16,648', '&nbsp;']","['3,742', '&nbsp;']","['195', '&nbsp;']","['3,547', '&nbsp;']"
6633,r033,All states -> New Mexico,All states,New Mexico,2,"['637', '&nbsp;']","['391', '&nbsp;']","['245', '&nbsp;']","['202', '&nbsp;']","['43', '&nbsp;']"
6633,r034,All states -> New York,All states,New York,2,"['20,180', '&nbsp;']","['17,968', '&nbsp;']","['2,212', '&nbsp;']","['759', 'i']","['1,453', '&nbsp;']"
6633,r035,All states -> North Carolina,All states,North Carolina,2,"['13,249', '&nbsp;']","['9,188', '&nbsp;']","['4,061', 'i']","['140', '&nbsp;']","['3,920', 'i']"
6633,r036,All states -> North Dakota,All states,North Dakota,2,"['349', '&nbsp;']","['340', '&nbsp;']","['9', '&nbsp;']","['2', 'e']","['7', '&nbsp;']"
6633,r037,All states -> Ohio,All states,Ohio,2,"['10,642', '&nbsp;']","['7,087', '&nbsp;']","['3,555', 'i']","['765', '&nbsp;']","['2,789', 'i']"
6633,r038,All states -> Oklahoma,All states,Oklahoma,2,"['1,067', '&nbsp;']","['956', '&nbsp;']","['111', 'i']","['41', 'i']","['70', '&nbsp;']"
6633,r039,All states -> Oregon,All states,Oregon,2,"['7,890', '&nbsp;']","['7,606', '&nbsp;']","['284', '&nbsp;']","['54', '&nbsp;']","['230', '&nbsp;']"
6633,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['15,245', '&nbsp;']","['13,353', '&nbsp;']","['1,892', 'i']","['219', '&nbsp;']","['1,673', 'i']"
6633,r041,All states -> Rhode Island,All states,Rhode Island,2,"['715', '&nbsp;']","['664', '&nbsp;']","['52', '&nbsp;']","['36', '&nbsp;']","['16', '&nbsp;']"
6633,r042,All states -> South Carolina,All states,South Carolina,2,"['1,784', '&nbsp;']","['1,527', '&nbsp;']","['257', '&nbsp;']","['86', '&nbsp;']","['171', '&nbsp;']"
6633,r043,All states -> South Dakota,All states,South Dakota,2,"['194', '&nbsp;']","['170', '&nbsp;']","['24', '&nbsp;']","['4', '&nbsp;']","['20', '&nbsp;']"
6633,r044,All states -> Tennessee,All states,Tennessee,2,"['1,663', '&nbsp;']","['1,381', '&nbsp;']","['282', '&nbsp;']","['55', '&nbsp;']","['228', '&nbsp;']"
6633,r045,All states -> Texas,All states,Texas,2,"['23,906', '&nbsp;']","['20,916', '&nbsp;']","['2,990', '&nbsp;']","['772', '&nbsp;']","['2,219', '&nbsp;']"
6633,r046,All states -> Utah,All states,Utah,2,"['2,857', '&nbsp;']","['2,463', '&nbsp;']","['394', '&nbsp;']","['78', 'i']","['316', '&nbsp;']"
6633,r047,All states -> Vermont,All states,Vermont,2,"['244', '&nbsp;']","['218', '&nbsp;']","['26', '&nbsp;']","['7', '&nbsp;']","['19', '&nbsp;']"
6633,r048,All states -> Virginia,All states,Virginia,2,"['6,061', '&nbsp;']","['4,276', '&nbsp;']","['1,785', '&nbsp;']","['1,324', '&nbsp;']","['461', 'i']"
6633,r049,All states -> Washington,All states,Washington,2,"['37,330', '&nbsp;']","['35,823', '&nbsp;']","['1,507', '&nbsp;']","['252', 'i']","['1,255', '&nbsp;']"
6633,r050,All states -> West Virginia,All states,West Virginia,2,"['246', 'i']","['219', 'i']","['27', '&nbsp;']","['10', '&nbsp;']","['17', '&nbsp;']"
6633,r051,All states -> Wisconsin,All states,Wisconsin,2,"['6,517', '&nbsp;']","['5,679', '&nbsp;']","['837', '&nbsp;']","['97', '&nbsp;']","['741', '&nbsp;']"
6633,r052,All states -> Wyoming,All states,Wyoming,2,"['686', '&nbsp;']","['670', '&nbsp;']","['16', '&nbsp;']","['5', '&nbsp;']","['11', '&nbsp;']"
6633,r053,All states -> Undistributed<sup>a</sup>,All states,Undistributed<sup>a</sup>,2,"['1,034', '&nbsp;']","['916', '&nbsp;']","['117', '&nbsp;']","['34', '&nbsp;']","['84', '&nbsp;']"
