table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_level_3,_b_state_and_outlying_area_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
4318,r013,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,,2,,,,,,,
4318,r014,All states and outlying areas -> Arkansas -> Obligations ($thousands),All states and outlying areas,Arkansas,Obligations ($thousands),3,112667.8,93614.8,0.0,0.0,10579.4,764.0,7709.6
4318,r015,All states and outlying areas -> Arkansas -> Institutions (number),All states and outlying areas,Arkansas,Institutions (number),3,10,10,0,0,7,1,3
4318,r016,All states and outlying areas -> California,All states and outlying areas,California,,2,,,,,,,
4318,r017,All states and outlying areas -> California -> Obligations ($thousands),All states and outlying areas,California,Obligations ($thousands),3,4906328.5,4630852.1,38222.1,1000.0,198034.9,13112.1,25107.2
4318,r018,All states and outlying areas -> California -> Institutions (number),All states and outlying areas,California,Institutions (number),3,80,72,19,1,60,10,18
4318,r019,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,,2,,,,,,,
4318,r020,All states and outlying areas -> Colorado -> Obligations ($thousands),All states and outlying areas,Colorado,Obligations ($thousands),3,811513.0,748312.4,4115.1,0.0,49004.9,299.3,9781.3
4318,r021,All states and outlying areas -> Colorado -> Institutions (number),All states and outlying areas,Colorado,Institutions (number),3,19,19,2,0,14,1,3
4318,r022,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,,2,,,,,,,
4318,r023,All states and outlying areas -> Connecticut -> Obligations ($thousands),All states and outlying areas,Connecticut,Obligations ($thousands),3,688353.2,661563.6,175.4,0.0,24911.1,742.9,960.1
4318,r024,All states and outlying areas -> Connecticut -> Institutions (number),All states and outlying areas,Connecticut,Institutions (number),3,15,15,1,0,5,2,5
4318,r025,All states and outlying areas -> Delaware,All states and outlying areas,Delaware,,2,,,,,,,
4318,r026,All states and outlying areas -> Delaware -> Obligations ($thousands),All states and outlying areas,Delaware,Obligations ($thousands),3,138647.1,121590.0,9559.9,0.0,2447.7,1121.2,3928.4
4318,r027,All states and outlying areas -> Delaware -> Institutions (number),All states and outlying areas,Delaware,Institutions (number),3,3,2,1,0,2,1,3
4318,r028,All states and outlying areas -> District of Columbia,All states and outlying areas,District of Columbia,,2,,,,,,,
4318,r029,All states and outlying areas -> District of Columbia -> Obligations ($thousands),All states and outlying areas,District of Columbia,Obligations ($thousands),3,498905.8,399414.7,82358.0,0.0,11607.5,1887.5,3638.0
4318,r030,All states and outlying areas -> District of Columbia -> Institutions (number),All states and outlying areas,District of Columbia,Institutions (number),3,13,13,2,0,9,1,6
4318,r031,All states and outlying areas -> Florida,All states and outlying areas,Florida,,2,,,,,,,
4318,r032,All states and outlying areas -> Florida -> Obligations ($thousands),All states and outlying areas,Florida,Obligations ($thousands),3,1005064.8,934427.7,5254.8,0.0,41290.1,1900.0,22192.1
4318,r033,All states and outlying areas -> Florida -> Institutions (number),All states and outlying areas,Florida,Institutions (number),3,31,26,9,0,23,1,10
4318,r034,All states and outlying areas -> Georgia,All states and outlying areas,Georgia,,2,,,,,,,
4318,r035,All states and outlying areas -> Georgia -> Obligations ($thousands),All states and outlying areas,Georgia,Obligations ($thousands),3,1377691.0,1313038.2,2681.6,0.0,50011.1,2185.0,9775.0
4318,r036,All states and outlying areas -> Georgia -> Institutions (number),All states and outlying areas,Georgia,Institutions (number),3,23,21,4,0,17,3,13
4318,r037,All states and outlying areas -> Hawaii,All states and outlying areas,Hawaii,,2,,,,,,,
4318,r038,All states and outlying areas -> Hawaii -> Obligations ($thousands),All states and outlying areas,Hawaii,Obligations ($thousands),3,172601.3,149419.2,9438.2,0.0,12409.4,75.0,1259.4
4318,r039,All states and outlying areas -> Hawaii -> Institutions (number),All states and outlying areas,Hawaii,Institutions (number),3,6,6,2,0,4,1,2
4318,r040,All states and outlying areas -> Idaho,All states and outlying areas,Idaho,,2,,,,,,,
4318,r041,All states and outlying areas -> Idaho -> Obligations ($thousands),All states and outlying areas,Idaho,Obligations ($thousands),3,71398.1,60218.9,405.0,0.0,6995.6,0.0,3778.6
4318,r042,All states and outlying areas -> Idaho -> Institutions (number),All states and outlying areas,Idaho,Institutions (number),3,4,4,1,0,3,0,2
4318,r043,All states and outlying areas -> Illinois,All states and outlying areas,Illinois,,2,,,,,,,
4318,r044,All states and outlying areas -> Illinois -> Obligations ($thousands),All states and outlying areas,Illinois,Obligations ($thousands),3,1419237.7,1317966.0,10218.5,0.0,76991.2,3322.8,10739.2
4318,r045,All states and outlying areas -> Illinois -> Institutions (number),All states and outlying areas,Illinois,Institutions (number),3,37,26,5,0,26,3,12
4318,r046,All states and outlying areas -> Indiana,All states and outlying areas,Indiana,,2,,,,,,,
4318,r047,All states and outlying areas -> Indiana -> Obligations ($thousands),All states and outlying areas,Indiana,Obligations ($thousands),3,611975.1,572186.3,6302.3,0.0,21700.5,1790.0,9996.0
4318,r048,All states and outlying areas -> Indiana -> Institutions (number),All states and outlying areas,Indiana,Institutions (number),3,16,15,3,0,10,2,5
4318,r049,All states and outlying areas -> Iowa,All states and outlying areas,Iowa,,2,,,,,,,
4318,r050,All states and outlying areas -> Iowa -> Obligations ($thousands),All states and outlying areas,Iowa,Obligations ($thousands),3,312625.5,279598.0,702.1,0.0,18353.2,856.4,13115.9
4318,r051,All states and outlying areas -> Iowa -> Institutions (number),All states and outlying areas,Iowa,Institutions (number),3,13,13,3,0,7,1,2
4318,r052,All states and outlying areas -> Kansas,All states and outlying areas,Kansas,,2,,,,,,,
4318,r053,All states and outlying areas -> Kansas -> Obligations ($thousands),All states and outlying areas,Kansas,Obligations ($thousands),3,254812.7,233121.8,1000.6,0.0,9740.9,3205.4,7743.8
4318,r054,All states and outlying areas -> Kansas -> Institutions (number),All states and outlying areas,Kansas,Institutions (number),3,9,7,2,0,6,2,4
4318,r055,All states and outlying areas -> Kentucky,All states and outlying areas,Kentucky,,2,,,,,,,
4318,r056,All states and outlying areas -> Kentucky -> Obligations ($thousands),All states and outlying areas,Kentucky,Obligations ($thousands),3,296526.1,266501.9,6702.5,0.0,17909.7,588.1,4823.9
4318,r057,All states and outlying areas -> Kentucky -> Institutions (number),All states and outlying areas,Kentucky,Institutions (number),3,12,10,3,0,10,2,5
4318,r058,All states and outlying areas -> Louisiana,All states and outlying areas,Louisiana,,2,,,,,,,
4318,r059,All states and outlying areas -> Louisiana -> Obligations ($thousands),All states and outlying areas,Louisiana,Obligations ($thousands),3,253580.2,228775.3,3535.7,0.0,13305.9,893.3,7070.0
4318,r060,All states and outlying areas -> Louisiana -> Institutions (number),All states and outlying areas,Louisiana,Institutions (number),3,15,13,2,0,9,2,6
4318,r061,All states and outlying areas -> Maine,All states and outlying areas,Maine,,2,,,,,,,
4318,r062,All states and outlying areas -> Maine -> Obligations ($thousands),All states and outlying areas,Maine,Obligations ($thousands),3,68889.3,58335.1,350.0,1000.0,3663.0,0.0,5541.2
4318,r063,All states and outlying areas -> Maine -> Institutions (number),All states and outlying areas,Maine,Institutions (number),3,9,8,1,1,3,0,2
4318,r064,All states and outlying areas -> Maryland,All states and outlying areas,Maryland,,2,,,,,,,
4318,r065,All states and outlying areas -> Maryland -> Obligations ($thousands),All states and outlying areas,Maryland,Obligations ($thousands),3,2415778.0,2340951.9,3559.3,0.0,54110.1,3883.1,13273.5
4318,r066,All states and outlying areas -> Maryland -> Institutions (number),All states and outlying areas,Maryland,Institutions (number),3,22,19,4,0,15,3,7
4318,r067,All states and outlying areas -> Massachusetts,All states and outlying areas,Massachusetts,,2,,,,,,,
4318,r068,All states and outlying areas -> Massachusetts -> Obligations ($thousands),All states and outlying areas,Massachusetts,Obligations ($thousands),3,1917570.9,1828291.8,9485.9,1000.0,57650.0,3002.5,18140.7
4318,r069,All states and outlying areas -> Massachusetts -> Institutions (number),All states and outlying areas,Massachusetts,Institutions (number),3,50,41,10,1,34,5,11
4318,r070,All states and outlying areas -> Michigan,All states and outlying areas,Michigan,,2,,,,,,,
4318,r071,All states and outlying areas -> Michigan -> Obligations ($thousands),All states and outlying areas,Michigan,Obligations ($thousands),3,1231391.0,1089036.7,84121.3,1000.0,43945.0,2925.3,10362.6
4318,r072,All states and outlying areas -> Michigan -> Institutions (number),All states and outlying areas,Michigan,Institutions (number),3,24,20,6,1,14,1,8
4318,r073,All states and outlying areas -> Minnesota,All states and outlying areas,Minnesota,,2,,,,,,,
4318,r074,All states and outlying areas -> Minnesota -> Obligations ($thousands),All states and outlying areas,Minnesota,Obligations ($thousands),3,483036.7,432917.7,2764.0,0.0,34160.6,0.0,13194.4
4318,r075,All states and outlying areas -> Minnesota -> Institutions (number),All states and outlying areas,Minnesota,Institutions (number),3,21,19,1,0,15,0,6
4318,r076,All states and outlying areas -> Mississippi,All states and outlying areas,Mississippi,,2,,,,,,,
4318,r077,All states and outlying areas -> Mississippi -> Obligations ($thousands),All states and outlying areas,Mississippi,Obligations ($thousands),3,216017.8,203370.0,132.9,0.0,6975.8,312.6,5226.5
4318,r078,All states and outlying areas -> Mississippi -> Institutions (number),All states and outlying areas,Mississippi,Institutions (number),3,8,8,1,0,8,2,5
4318,r079,All states and outlying areas -> Missouri,All states and outlying areas,Missouri,,2,,,,,,,
4318,r080,All states and outlying areas -> Missouri -> Obligations ($thousands),All states and outlying areas,Missouri,Obligations ($thousands),3,761665.0,707863.9,11129.3,0.0,32824.0,4674.0,5173.8
4318,r081,All states and outlying areas -> Missouri -> Institutions (number),All states and outlying areas,Missouri,Institutions (number),3,18,15,5,0,14,3,8
4318,r082,All states and outlying areas -> Montana,All states and outlying areas,Montana,,2,,,,,,,
4318,r083,All states and outlying areas -> Montana -> Obligations ($thousands),All states and outlying areas,Montana,Obligations ($thousands),3,102503.4,89930.7,0.0,0.0,4852.3,151.1,7569.2
4318,r084,All states and outlying areas -> Montana -> Institutions (number),All states and outlying areas,Montana,Institutions (number),3,12,11,0,0,10,1,9
4318,r085,All states and outlying areas -> Nebraska,All states and outlying areas,Nebraska,,2,,,,,,,
4318,r086,All states and outlying areas -> Nebraska -> Obligations ($thousands),All states and outlying areas,Nebraska,Obligations ($thousands),3,215852.4,190495.3,841.6,0.0,16695.4,718.6,7101.5
4318,r087,All states and outlying areas -> Nebraska -> Institutions (number),All states and outlying areas,Nebraska,Institutions (number),3,9,7,2,0,7,2,3
4318,r088,All states and outlying areas -> Nevada,All states and outlying areas,Nevada,,2,,,,,,,
4318,r089,All states and outlying areas -> Nevada -> Obligations ($thousands),All states and outlying areas,Nevada,Obligations ($thousands),3,91097.7,81351.4,977.4,0.0,5354.8,0.0,3414.1
4318,r090,All states and outlying areas -> Nevada -> Institutions (number),All states and outlying areas,Nevada,Institutions (number),3,5,5,2,0,3,0,2
4318,r091,All states and outlying areas -> New Hampshire,All states and outlying areas,New Hampshire,,2,,,,,,,
4318,r092,All states and outlying areas -> New Hampshire -> Obligations ($thousands),All states and outlying areas,New Hampshire,Obligations ($thousands),3,168813.3,161112.3,1002.9,0.0,6084.6,75.0,538.4
4318,r093,All states and outlying areas -> New Hampshire -> Institutions (number),All states and outlying areas,New Hampshire,Institutions (number),3,7,6,2,0,5,1,3
4318,r094,All states and outlying areas -> New Jersey,All states and outlying areas,New Jersey,,2,,,,,,,
4318,r095,All states and outlying areas -> New Jersey -> Obligations ($thousands),All states and outlying areas,New Jersey,Obligations ($thousands),3,504752.6,479649.1,3663.2,0.0,12790.1,1810.0,6840.2
4318,r096,All states and outlying areas -> New Jersey -> Institutions (number),All states and outlying areas,New Jersey,Institutions (number),3,15,13,3,0,10,1,3
4318,r097,All states and outlying areas -> New Mexico,All states and outlying areas,New Mexico,,2,,,,,,,
4318,r098,All states and outlying areas -> New Mexico -> Obligations ($thousands),All states and outlying areas,New Mexico,Obligations ($thousands),3,176029.4,148433.2,4385.9,0.0,18481.7,69.0,4659.6
4318,r099,All states and outlying areas -> New Mexico -> Institutions (number),All states and outlying areas,New Mexico,Institutions (number),3,10,8,2,0,8,1,5
4318,r100,All states and outlying areas -> New York,All states and outlying areas,New York,,2,,,,,,,
4318,r101,All states and outlying areas -> New York -> Obligations ($thousands),All states and outlying areas,New York,Obligations ($thousands),3,3160971.0,2978234.1,10104.3,1000.0,135860.3,11922.2,23850.2
4318,r102,All states and outlying areas -> New York -> Institutions (number),All states and outlying areas,New York,Institutions (number),3,92,81,21,1,60,10,14
4318,r103,All states and outlying areas -> North Carolina,All states and outlying areas,North Carolina,,2,,,,,,,
4318,r104,All states and outlying areas -> North Carolina -> Obligations ($thousands),All states and outlying areas,North Carolina,Obligations ($thousands),3,1662046.6,1533633.6,18341.6,0.0,84239.1,990.2,24842.1
4318,r105,All states and outlying areas -> North Carolina -> Institutions (number),All states and outlying areas,North Carolina,Institutions (number),3,28,25,6,0,24,4,13
4318,r106,All states and outlying areas -> North Dakota,All states and outlying areas,North Dakota,,2,,,,,,,
4318,r107,All states and outlying areas -> North Dakota -> Obligations ($thousands),All states and outlying areas,North Dakota,Obligations ($thousands),3,49688.3,38722.4,229.4,0.0,6535.9,137.0,4063.6
4318,r108,All states and outlying areas -> North Dakota -> Institutions (number),All states and outlying areas,North Dakota,Institutions (number),3,7,6,1,0,7,1,6
4318,r109,All states and outlying areas -> Ohio,All states and outlying areas,Ohio,,2,,,,,,,
4318,r110,All states and outlying areas -> Ohio -> Obligations ($thousands),All states and outlying areas,Ohio,Obligations ($thousands),3,978559.4,908860.4,18721.0,0.0,40443.6,4540.0,5994.3
4318,r111,All states and outlying areas -> Ohio -> Institutions (number),All states and outlying areas,Ohio,Institutions (number),3,34,32,5,0,22,3,8
4318,r112,All states and outlying areas -> Oklahoma,All states and outlying areas,Oklahoma,,2,,,,,,,
4318,r113,All states and outlying areas -> Oklahoma -> Obligations ($thousands),All states and outlying areas,Oklahoma,Obligations ($thousands),3,209141.6,187807.4,8492.2,0.0,8580.1,206.9,4055.0
4318,r114,All states and outlying areas -> Oklahoma -> Institutions (number),All states and outlying areas,Oklahoma,Institutions (number),3,8,8,2,0,4,2,3
4318,r115,All states and outlying areas -> Oregon,All states and outlying areas,Oregon,,2,,,,,,,
4318,r116,All states and outlying areas -> Oregon -> Obligations ($thousands),All states and outlying areas,Oregon,Obligations ($thousands),3,615132.8,464005.7,120716.8,0.0,21175.9,1100.1,8134.3
4318,r117,All states and outlying areas -> Oregon -> Institutions (number),All states and outlying areas,Oregon,Institutions (number),3,16,15,5,0,11,2,4
4318,r118,All states and outlying areas -> Pennsylvania,All states and outlying areas,Pennsylvania,,2,,,,,,,
4318,r119,All states and outlying areas -> Pennsylvania -> Obligations ($thousands),All states and outlying areas,Pennsylvania,Obligations ($thousands),3,2403531.7,2282065.1,3553.4,0.0,94024.1,5194.3,18694.9
4318,r120,All states and outlying areas -> Pennsylvania -> Institutions (number),All states and outlying areas,Pennsylvania,Institutions (number),3,54,48,10,0,29,5,11
4318,r121,All states and outlying areas -> Rhode Island,All states and outlying areas,Rhode Island,,2,,,,,,,
4318,r122,All states and outlying areas -> Rhode Island -> Obligations ($thousands),All states and outlying areas,Rhode Island,Obligations ($thousands),3,216940.8,204531.1,2612.4,0.0,6256.2,600.0,2941.1
4318,r123,All states and outlying areas -> Rhode Island -> Institutions (number),All states and outlying areas,Rhode Island,Institutions (number),3,6,4,3,0,2,1,2
4318,r124,All states and outlying areas -> South Carolina,All states and outlying areas,South Carolina,,2,,,,,,,
4318,r125,All states and outlying areas -> South Carolina -> Obligations ($thousands),All states and outlying areas,South Carolina,Obligations ($thousands),3,287364.3,254014.6,1508.0,0.0,24278.3,0.0,7563.4
4318,r126,All states and outlying areas -> South Carolina -> Institutions (number),All states and outlying areas,South Carolina,Institutions (number),3,17,12,3,0,11,0,5
4318,r127,All states and outlying areas -> South Dakota,All states and outlying areas,South Dakota,,2,,,,,,,
4318,r128,All states and outlying areas -> South Dakota -> Obligations ($thousands),All states and outlying areas,South Dakota,Obligations ($thousands),3,45425.4,33027.0,255.0,0.0,8087.1,746.6,3309.8
4318,r129,All states and outlying areas -> South Dakota -> Institutions (number),All states and outlying areas,South Dakota,Institutions (number),3,10,10,2,0,6,1,6
4318,r130,All states and outlying areas -> Tennessee,All states and outlying areas,Tennessee,,2,,,,,,,
4318,r131,All states and outlying areas -> Tennessee -> Obligations ($thousands),All states and outlying areas,Tennessee,Obligations ($thousands),3,662341.7,597471.9,2324.0,0.0,49256.8,3393.7,9895.2
4318,r132,All states and outlying areas -> Tennessee -> Institutions (number),All states and outlying areas,Tennessee,Institutions (number),3,22,19,4,0,16,4,8
4318,r133,All states and outlying areas -> Texas,All states and outlying areas,Texas,,2,,,,,,,
4318,r134,All states and outlying areas -> Texas -> Obligations ($thousands),All states and outlying areas,Texas,Obligations ($thousands),3,2146144.9,1955672.7,49661.8,1000.0,101455.5,4217.9,34137.0
4318,r135,All states and outlying areas -> Texas -> Institutions (number),All states and outlying areas,Texas,Institutions (number),3,62,58,9,1,47,6,20
4318,r136,All states and outlying areas -> Utah,All states and outlying areas,Utah,,2,,,,,,,
4318,r137,All states and outlying areas -> Utah -> Obligations ($thousands),All states and outlying areas,Utah,Obligations ($thousands),3,546005.3,524417.8,0.0,0.0,16672.5,2000.0,2914.9
4318,r138,All states and outlying areas -> Utah -> Institutions (number),All states and outlying areas,Utah,Institutions (number),3,7,7,0,0,4,1,3
4318,r139,All states and outlying areas -> Vermont,All states and outlying areas,Vermont,,2,,,,,,,
4318,r140,All states and outlying areas -> Vermont -> Obligations ($thousands),All states and outlying areas,Vermont,Obligations ($thousands),3,92230.1,81051.0,847.1,0.0,4656.0,1007.0,4669.0
4318,r141,All states and outlying areas -> Vermont -> Institutions (number),All states and outlying areas,Vermont,Institutions (number),3,6,5,2,0,1,1,2
4318,r142,All states and outlying areas -> Virginia,All states and outlying areas,Virginia,,2,,,,,,,
4318,r143,All states and outlying areas -> Virginia -> Obligations ($thousands),All states and outlying areas,Virginia,Obligations ($thousands),3,641633.7,588940.2,2834.1,0.0,35447.0,2718.7,11693.7
4318,r144,All states and outlying areas -> Virginia -> Institutions (number),All states and outlying areas,Virginia,Institutions (number),3,27,27,4,0,18,2,9
4318,r145,All states and outlying areas -> Washington,All states and outlying areas,Washington,,2,,,,,,,
4318,r146,All states and outlying areas -> Washington -> Obligations ($thousands),All states and outlying areas,Washington,Obligations ($thousands),3,1021099.3,827974.4,1565.4,0.0,176420.1,195.7,14943.6
4318,r147,All states and outlying areas -> Washington -> Institutions (number),All states and outlying areas,Washington,Institutions (number),3,27,23,4,0,20,1,4
4318,r148,All states and outlying areas -> West Virginia,All states and outlying areas,West Virginia,,2,,,,,,,
4318,r149,All states and outlying areas -> West Virginia -> Obligations ($thousands),All states and outlying areas,West Virginia,Obligations ($thousands),3,68634.2,60649.8,0.0,0.0,5881.0,0.0,2103.4
4318,r150,All states and outlying areas -> West Virginia -> Institutions (number),All states and outlying areas,West Virginia,Institutions (number),3,9,8,0,0,4,0,2
4318,r151,All states and outlying areas -> Wisconsin,All states and outlying areas,Wisconsin,,2,,,,,,,
4318,r152,All states and outlying areas -> Wisconsin -> Obligations ($thousands),All states and outlying areas,Wisconsin,Obligations ($thousands),3,698206.5,631565.7,11445.9,103.3,41305.3,4167.8,9618.6
4318,r153,All states and outlying areas -> Wisconsin -> Institutions (number),All states and outlying areas,Wisconsin,Institutions (number),3,32,28,4,1,21,2,6
4318,r154,All states and outlying areas -> Wyoming,All states and outlying areas,Wyoming,,2,,,,,,,
4318,r155,All states and outlying areas -> Wyoming -> Obligations ($thousands),All states and outlying areas,Wyoming,Obligations ($thousands),3,45662.6,33467.5,10557.3,0.0,256.1,175.8,1205.9
4318,r156,All states and outlying areas -> Wyoming -> Institutions (number),All states and outlying areas,Wyoming,Institutions (number),3,1,1,1,0,1,1,1
4318,r157,All states and outlying areas -> American Samoa,All states and outlying areas,American Samoa,,2,,,,,,,
4318,r158,All states and outlying areas -> American Samoa -> Obligations ($thousands),All states and outlying areas,American Samoa,Obligations ($thousands),3,1604.9,1134.2,0.0,0.0,0.0,0.0,470.7
4318,r159,All states and outlying areas -> American Samoa -> Institutions (number),All states and outlying areas,American Samoa,Institutions (number),3,1,1,0,0,0,0,1
4318,r160,All states and outlying areas -> Guam,All states and outlying areas,Guam,,2,,,,,,,
4318,r161,All states and outlying areas -> Guam -> Obligations ($thousands),All states and outlying areas,Guam,Obligations ($thousands),3,5382.6,4043.8,0.0,0.0,1007.0,0.0,331.8
4318,r162,All states and outlying areas -> Guam -> Institutions (number),All states and outlying areas,Guam,Institutions (number),3,1,1,0,0,1,0,1
4318,r163,All states and outlying areas -> Puerto Rico,All states and outlying areas,Puerto Rico,,2,,,,,,,
4318,r164,All states and outlying areas -> Puerto Rico -> Obligations ($thousands),All states and outlying areas,Puerto Rico,Obligations ($thousands),3,94104.1,70978.5,12917.1,0.0,6868.1,428.4,2911.9
4318,r165,All states and outlying areas -> Puerto Rico -> Institutions (number),All states and outlying areas,Puerto Rico,Institutions (number),3,17,14,4,0,12,1,8
4318,r166,All states and outlying areas -> Trust Territory of the Pacific Islands,All states and outlying areas,Trust Territory of the Pacific Islands,,2,,,,,,,
4318,r167,All states and outlying areas -> Trust Territory of the Pacific Islands -> Obligations ($thousands),All states and outlying areas,Trust Territory of the Pacific Islands,Obligations ($thousands),3,3131.2,2345.8,0.0,0.0,0.0,0.0,785.4
4318,r168,All states and outlying areas -> Trust Territory of the Pacific Islands -> Institutions (number),All states and outlying areas,Trust Territory of the Pacific Islands,Institutions (number),3,2,2,0,0,0,0,2
4318,r169,All states and outlying areas -> Virgin Islands,All states and outlying areas,Virgin Islands,,2,,,,,,,
4318,r170,All states and outlying areas -> Virgin Islands -> Obligations ($thousands),All states and outlying areas,Virgin Islands,Obligations ($thousands),3,5520.5,2750.2,0.0,0.0,2226.5,0.0,543.8
4318,r171,All states and outlying areas -> Virgin Islands -> Institutions (number),All states and outlying areas,Virgin Islands,Institutions (number),3,1,1,0,0,1,0,1
