table_id,row_id,source_of_funds_full_path,source_of_funds_level_1,source_of_funds_level_2,source_of_funds_level_3,source_of_funds_level_4,source_of_funds_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6295,r012,Basic research  -> All business R&D<sup>a</sup> -> Paid for by others -> Federal,Basic research ,All business R&D<sup>a</sup>,Paid for by others,Federal,4,"['1,406', '&nbsp;']","['677', '&nbsp;']","['644', 'i']","['1,196', 'i']","['2,044', 'i']","['2,038', 'i']","['2,005', 'i']","['1,783', 'i']","['2,510', 'i']","['2,313', 'i']"
6295,r013,Basic research  -> All business R&D<sup>a</sup> -> Paid for by others -> All others,Basic research ,All business R&D<sup>a</sup>,Paid for by others,All others,4,"['1,512', '&nbsp;']","['1,608', '&nbsp;']","['1,487', '&nbsp;']","['3,037', '&nbsp;']","['3,785', '&nbsp;']","['3,448', '&nbsp;']","['3,496', '&nbsp;']","['4,314', '&nbsp;']","['4,158', '&nbsp;']","['4,011', '&nbsp;']"
6295,r014,Applied research,Applied research,,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6295,r015,Applied research -> All business R&D<sup>a</sup>,Applied research,All business R&D<sup>a</sup>,,,2,"['44,906', '&nbsp;']","['47,186', '&nbsp;']","['50,755', '&nbsp;']","['51,014', '&nbsp;']","['53,415', '&nbsp;']","['56,472', '&nbsp;']","['61,020', '&nbsp;']","['62,132', '&nbsp;']","['65,222', '&nbsp;']","['74,031', '&nbsp;']"
6295,r016,Applied research -> All business R&D<sup>a</sup> -> Paid for by the company,Applied research,All business R&D<sup>a</sup>,Paid for by the company,,3,"['35,475', '&nbsp;']","['37,573', '&nbsp;']","['39,629', '&nbsp;']","['38,105', '&nbsp;']","['39,012', '&nbsp;']","['44,344', '&nbsp;']","['48,806', '&nbsp;']","['49,149', '&nbsp;']","['53,229', '&nbsp;']","['59,697', '&nbsp;']"
6295,r017,Applied research -> All business R&D<sup>a</sup> -> Paid for by others,Applied research,All business R&D<sup>a</sup>,Paid for by others,,3,"['9,431', '&nbsp;']","['9,613', '&nbsp;']","['11,126', 'i']","['12,908', '&nbsp;']","['14,403', '&nbsp;']","['12,128', '&nbsp;']","['12,213', '&nbsp;']","['12,984', '&nbsp;']","['11,993', '&nbsp;']","['14,333', '&nbsp;']"
6295,r018,Applied research -> All business R&D<sup>a</sup> -> Paid for by others -> Federal,Applied research,All business R&D<sup>a</sup>,Paid for by others,Federal,4,"['4,705', '&nbsp;']","['4,404', '&nbsp;']","['4,137', 'i']","['6,028', 'i']","['6,445', 'i']","['6,102', 'i']","['5,181', 'i']","['5,037', 'i']","['5,097', 'i']","['4,883', '&nbsp;']"
6295,r019,Applied research -> All business R&D<sup>a</sup> -> Paid for by others -> All others,Applied research,All business R&D<sup>a</sup>,Paid for by others,All others,4,"['4,726', '&nbsp;']","['5,209', '&nbsp;']","['6,989', '&nbsp;']","['6,880', '&nbsp;']","['7,958', '&nbsp;']","['6,026', '&nbsp;']","['7,032', '&nbsp;']","['7,947', '&nbsp;']","['6,896', '&nbsp;']","['9,450', '&nbsp;']"
6295,r020,Experimental development,Experimental development,,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6295,r021,Experimental development -> All business R&D<sup>a</sup>,Experimental development,All business R&D<sup>a</sup>,,,2,"['217,699', '&nbsp;']","['233,887', '&nbsp;']","['238,202', '&nbsp;']","['252,007', '&nbsp;']","['265,377', '&nbsp;']","['277,558', '&nbsp;']","['289,021', '&nbsp;']","['313,139', '&nbsp;']","['346,834', '&nbsp;']","['386,686', '&nbsp;']"
6295,r022,Experimental development -> All business R&D<sup>a</sup> -> Paid for by the company,Experimental development,All business R&D<sup>a</sup>,Paid for by the company,,3,"['172,777', '&nbsp;']","['190,460', '&nbsp;']","['196,488', '&nbsp;']","['211,532', '&nbsp;']","['227,451', '&nbsp;']","['236,027', '&nbsp;']","['249,782', '&nbsp;']","['271,155', '&nbsp;']","['302,264', '&nbsp;']","['343,355', '&nbsp;']"
6295,r023,Experimental development -> All business R&D<sup>a</sup> -> Paid for by others,Experimental development,All business R&D<sup>a</sup>,Paid for by others,,3,"['44,922', 'i']","['43,426', '&nbsp;']","['41,714', 'i']","['40,475', '&nbsp;']","['37,927', 'i']","['41,530', '&nbsp;']","['39,239', '&nbsp;']","['41,984', '&nbsp;']","['44,570', '&nbsp;']","['43,332', '&nbsp;']"
6295,r024,Experimental development -> All business R&D<sup>a</sup> -> Paid for by others -> Federal,Experimental development,All business R&D<sup>a</sup>,Paid for by others,Federal,4,"['28,089', 'i']","['26,228', 'i']","['25,840', 'i']","['22,137', 'i']","['18,065', 'i']","['18,850', 'i']","['16,586', '&nbsp;']","['17,457', 'i']","['17,078', '&nbsp;']","['14,745', '&nbsp;']"
6295,r025,Experimental development -> All business R&D<sup>a</sup> -> Paid for by others -> All others,Experimental development,All business R&D<sup>a</sup>,Paid for by others,All others,4,"['16,833', '&nbsp;']","['17,198', '&nbsp;']","['15,874', '&nbsp;']","['18,338', '&nbsp;']","['19,862', '&nbsp;']","['22,680', '&nbsp;']","['22,653', '&nbsp;']","['24,527', '&nbsp;']","['27,492', '&nbsp;']","['28,587', '&nbsp;']"
6295,r026,"Sources of funds as a percentage of business R&D, by type of R&D","Sources of funds as a percentage of business R&D, by type of R&D",,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6295,r027,All business R&D,All business R&D,,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6295,r028,All business R&D -> All business R&D<sup>a</sup>,All business R&D,All business R&D<sup>a</sup>,,,2,"['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']"
6295,r029,All business R&D -> All business R&D<sup>a</sup> -> Paid for by the company,All business R&D,All business R&D<sup>a</sup>,Paid for by the company,,3,"['79.5', '&nbsp;']","['81.2', '&nbsp;']","['81.8', '&nbsp;']","['82.1', '&nbsp;']","['82.9', '&nbsp;']","['83.4', '&nbsp;']","['84.8', '&nbsp;']","['84.7', '&nbsp;']","['85.7', '&nbsp;']","['87.0', '&nbsp;']"
6295,r030,All business R&D -> All business R&D<sup>a</sup> -> Paid for by others,All business R&D,All business R&D<sup>a</sup>,Paid for by others,,3,"['20.5', '&nbsp;']","['18.8', '&nbsp;']","['18.2', '&nbsp;']","['17.9', '&nbsp;']","['17.1', '&nbsp;']","['16.6', '&nbsp;']","['15.2', '&nbsp;']","['15.3', '&nbsp;']","['14.3', '&nbsp;']","['13.0', '&nbsp;']"
6295,r031,All business R&D -> All business R&D<sup>a</sup> -> Paid for by others -> Federal,All business R&D,All business R&D<sup>a</sup>,Paid for by others,Federal,4,"['12.3', '&nbsp;']","['10.6', '&nbsp;']","['10.1', '&nbsp;']","['9.1', '&nbsp;']","['7.8', '&nbsp;']","['7.6', '&nbsp;']","['6.3', '&nbsp;']","['6.1', '&nbsp;']","['5.6', '&nbsp;']","['4.5', '&nbsp;']"
6295,r032,All business R&D -> All business R&D<sup>a</sup> -> Paid for by others -> All others,All business R&D,All business R&D<sup>a</sup>,Paid for by others,All others,4,"['8.3', '&nbsp;']","['8.2', '&nbsp;']","['8.1', '&nbsp;']","['8.8', '&nbsp;']","['9.3', '&nbsp;']","['9.0', '&nbsp;']","['8.9', '&nbsp;']","['9.2', '&nbsp;']","['8.7', '&nbsp;']","['8.5', '&nbsp;']"
6295,r033,Basic research ,Basic research ,,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6295,r034,Basic research  -> All business R&D<sup>a</sup>,Basic research ,All business R&D<sup>a</sup>,,,2,"['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '0.0']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']"
6295,r035,Basic research  -> All business R&D<sup>a</sup> -> Paid for by the company,Basic research ,All business R&D<sup>a</sup>,Paid for by the company,,3,"['82.2', '&nbsp;']","['82.5', '&nbsp;']","['84.0', '&nbsp;']","['78.3', '&nbsp;']","['73.4', '&nbsp;']","['74.8', '&nbsp;']","['77.7', '&nbsp;']","['75.4', '&nbsp;']","['77.0', '&nbsp;']","['80.4', '&nbsp;']"
6295,r036,Basic research  -> All business R&D<sup>a</sup> -> Paid for by others,Basic research ,All business R&D<sup>a</sup>,Paid for by others,,3,"['17.8', '&nbsp;']","['17.5', '&nbsp;']","['16.0', '&nbsp;']","['21.7', '&nbsp;']","['26.6', '&nbsp;']","['25.2', '&nbsp;']","['22.3', '&nbsp;']","['24.6', '&nbsp;']","['23.0', '&nbsp;']","['19.6', '&nbsp;']"
6295,r037,Basic research  -> All business R&D<sup>a</sup> -> Paid for by others -> Federal,Basic research ,All business R&D<sup>a</sup>,Paid for by others,Federal,4,"['8.6', '&nbsp;']","['5.2', '&nbsp;']","['4.8', '&nbsp;']","['6.1', '&nbsp;']","['9.3', '&nbsp;']","['9.4', '&nbsp;']","['8.1', '&nbsp;']","['7.2', '&nbsp;']","['8.7', '&nbsp;']","['7.2', '&nbsp;']"
6295,r038,Basic research  -> All business R&D<sup>a</sup> -> Paid for by others -> All others,Basic research ,All business R&D<sup>a</sup>,Paid for by others,All others,4,"['9.2', '&nbsp;']","['12.4', '&nbsp;']","['11.2', '&nbsp;']","['15.6', '&nbsp;']","['17.3', '&nbsp;']","['15.8', '&nbsp;']","['14.2', '&nbsp;']","['17.4', '&nbsp;']","['14.3', '&nbsp;']","['12.4', '&nbsp;']"
6295,r039,Applied research,Applied research,,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6295,r040,Applied research -> All business R&D<sup>a</sup>,Applied research,All business R&D<sup>a</sup>,,,2,"['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '0.0']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']"
6295,r041,Applied research -> All business R&D<sup>a</sup> -> Paid for by the company,Applied research,All business R&D<sup>a</sup>,Paid for by the company,,3,"['79.0', '&nbsp;']","['79.6', '&nbsp;']","['78.1', '&nbsp;']","['74.7', '&nbsp;']","['73.0', '&nbsp;']","['78.5', '&nbsp;']","['80.0', '&nbsp;']","['79.1', '&nbsp;']","['81.6', '&nbsp;']","['80.6', '&nbsp;']"
6295,r042,Applied research -> All business R&D<sup>a</sup> -> Paid for by others,Applied research,All business R&D<sup>a</sup>,Paid for by others,,3,"['21.0', '&nbsp;']","['20.4', '&nbsp;']","['21.9', '&nbsp;']","['25.3', '&nbsp;']","['27.0', '&nbsp;']","['21.5', '&nbsp;']","['20.0', '&nbsp;']","['20.9', '&nbsp;']","['18.4', '&nbsp;']","['19.4', '&nbsp;']"
6295,r043,Applied research -> All business R&D<sup>a</sup> -> Paid for by others -> Federal,Applied research,All business R&D<sup>a</sup>,Paid for by others,Federal,4,"['10.5', '&nbsp;']","['9.3', '&nbsp;']","['8.2', '&nbsp;']","['11.8', '&nbsp;']","['12.1', '&nbsp;']","['10.8', '&nbsp;']","['8.5', '&nbsp;']","['8.1', '&nbsp;']","['7.8', '&nbsp;']","['6.6', '&nbsp;']"
6295,r044,Applied research -> All business R&D<sup>a</sup> -> Paid for by others -> All others,Applied research,All business R&D<sup>a</sup>,Paid for by others,All others,4,"['10.5', '&nbsp;']","['11.0', '&nbsp;']","['13.8', '&nbsp;']","['13.5', '&nbsp;']","['14.9', '&nbsp;']","['10.7', '&nbsp;']","['11.5', '&nbsp;']","['12.8', '&nbsp;']","['10.6', '&nbsp;']","['12.8', '&nbsp;']"
6295,r045,Experimental development,Experimental development,,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6295,r046,Experimental development -> All business R&D<sup>a</sup>,Experimental development,All business R&D<sup>a</sup>,,,2,"['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']","['100.0', '&nbsp;']"
6295,r047,Experimental development -> All business R&D<sup>a</sup> -> Paid for by the company,Experimental development,All business R&D<sup>a</sup>,Paid for by the company,,3,"['79.4', '&nbsp;']","['81.4', '&nbsp;']","['82.5', '&nbsp;']","['83.9', '&nbsp;']","['85.7', '&nbsp;']","['85.0', '&nbsp;']","['86.4', '&nbsp;']","['86.6', '&nbsp;']","['87.1', '&nbsp;']","['88.8', '&nbsp;']"
6295,r048,Experimental development -> All business R&D<sup>a</sup> -> Paid for by others,Experimental development,All business R&D<sup>a</sup>,Paid for by others,,3,"['20.6', '&nbsp;']","['18.6', '&nbsp;']","['17.5', '&nbsp;']","['16.1', '&nbsp;']","['14.3', '&nbsp;']","['15.0', '&nbsp;']","['13.6', '&nbsp;']","['13.4', '&nbsp;']","['12.9', '&nbsp;']","['11.2', '&nbsp;']"
6295,r049,Experimental development -> All business R&D<sup>a</sup> -> Paid for by others -> Federal,Experimental development,All business R&D<sup>a</sup>,Paid for by others,Federal,4,"['12.9', '&nbsp;']","['11.2', '&nbsp;']","['10.8', '&nbsp;']","['8.8', '&nbsp;']","['6.8', '&nbsp;']","['6.8', '&nbsp;']","['5.7', '&nbsp;']","['5.6', '&nbsp;']","['4.9', '&nbsp;']","['3.8', '&nbsp;']"
6295,r050,Experimental development -> All business R&D<sup>a</sup> -> Paid for by others -> All others,Experimental development,All business R&D<sup>a</sup>,Paid for by others,All others,4,"['7.7', '&nbsp;']","['7.4', '&nbsp;']","['6.7', '&nbsp;']","['7.3', '&nbsp;']","['7.5', '&nbsp;']","['8.2', '&nbsp;']","['7.8', '&nbsp;']","['7.8', '&nbsp;']","['7.9', '&nbsp;']","['7.4', '&nbsp;']"
