table_id,row_id,race_or_ethnicity_and_institution_full_path,race_or_ethnicity_and_institution_level_1,race_or_ethnicity_and_institution_level_2,race_or_ethnicity_and_institution_level_3,race_or_ethnicity_and_institution_level_4,race_or_ethnicity_and_institution_level_5,race_or_ethnicity_and_institution_hierarchy_depth,field_bachelor_s_degrees,field_high_hispanic_enrollment_institution,field_tribal_college_or_university,field_historically_black_college_or_university
3436,r059,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. Washington-Seattle Campus,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. Washington-Seattle Campus,5,1258,No,No,No
3436,r060,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> Rutgers U.-New Brunswick,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,Rutgers U.-New Brunswick,5,1233,No,No,No
3436,r061,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. California-Riverside,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. California-Riverside,5,1195,Yes,No,No
3436,r062,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. Illinois at Urbana-Champaign,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. Illinois at Urbana-Champaign,5,1013,No,No,No
3436,r063,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> San Jose State U.,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,San Jose State U.,5,909,Yes,No,No
3436,r064,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. California-Santa Barbara,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. California-Santa Barbara,5,894,Yes,No,No
3436,r065,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. Maryland-College Park,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. Maryland-College Park,5,837,No,No,No
3436,r066,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. Michigan-Ann Arbor,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. Michigan-Ann Arbor,5,778,No,No,No
3436,r067,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> Stony Brook U.,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,Stony Brook U.,5,703,No,No,No
3436,r068,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. Houston,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. Houston,5,692,Yes,No,No
3436,r069,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. California-Santa Cruz,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. California-Santa Cruz,5,691,Yes,No,No
3436,r070,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> New York U.,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,New York U.,5,658,No,No,No
3436,r071,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> U. Texas at Dallas,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,U. Texas at Dallas,5,652,No,No,No
3436,r072,Not Hispanic or Latino -> Asian -> All institutions -> Top 20 institutions -> Georgia Institute of Technology-Main Campus,Not Hispanic or Latino,Asian,All institutions,Top 20 institutions,Georgia Institute of Technology-Main Campus,5,624,No,No,No
3436,r073,Not Hispanic or Latino -> Asian -> All institutions -> Other institutions,Not Hispanic or Latino,Asian,All institutions,Other institutions,,4,47199,-,-,-
3436,r074,Not Hispanic or Latino -> Black or African American,Not Hispanic or Latino,Black or African American,,,,2,,,,
3436,r075,Not Hispanic or Latino -> Black or African American -> All institutions,Not Hispanic or Latino,Black or African American,All institutions,,,3,56084,-,-,-
3436,r076,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,,4,8437,-,-,-
3436,r077,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Georgia State U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Georgia State U.,5,799,No,No,No
3436,r078,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> U. Phoenix-Arizona,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,U. Phoenix-Arizona,5,746,No,No,No
3436,r079,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> U. Maryland-U. C.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,U. Maryland-U. C.,5,656,No,No,No
3436,r080,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> U. Maryland-College Park,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,U. Maryland-College Park,5,482,No,No,No
3436,r081,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Howard U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Howard U.,5,443,No,No,Yes
3436,r082,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> North Carolina A &amp; T State U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,North Carolina A &amp; T State U.,5,425,No,No,Yes
3436,r083,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Kennesaw State U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Kennesaw State U.,5,420,No,No,No
3436,r084,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Florida International U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Florida International U.,5,410,Yes,No,No
3436,r085,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> U. Central Florida,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,U. Central Florida,5,396,Yes,No,No
3436,r086,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> U. North Carolina at Charlotte,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,U. North Carolina at Charlotte,5,389,No,No,No
3436,r087,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Ashford U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Ashford U.,5,368,No,No,No
3436,r088,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Florida State U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Florida State U.,5,351,No,No,No
3436,r089,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Florida Atlantic U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Florida Atlantic U.,5,333,Yes,No,No
3436,r090,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Towson U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Towson U.,5,332,No,No,No
3436,r091,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> U. South Florida-Main Campus,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,U. South Florida-Main Campus,5,330,No,No,No
3436,r092,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Spelman C.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Spelman C.,5,323,No,No,Yes
3436,r093,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Virginia Commonwealth U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Virginia Commonwealth U.,5,320,No,No,No
3436,r094,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Prairie View A &amp; M U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Prairie View A &amp; M U.,5,312,No,No,Yes
3436,r095,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Morgan State U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Morgan State U.,5,304,No,No,Yes
3436,r096,Not Hispanic or Latino -> Black or African American -> All institutions -> Top 20 institutions -> Georgia Southern U.,Not Hispanic or Latino,Black or African American,All institutions,Top 20 institutions,Georgia Southern U.,5,298,No,No,No
3436,r097,Not Hispanic or Latino -> Black or African American -> All institutions -> Other institutions,Not Hispanic or Latino,Black or African American,All institutions,Other institutions,,4,47647,-,-,-
3436,r098,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,,2,,,,
3436,r099,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,,,3,1379,-,-,-
3436,r100,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,,4,459,-,-,-
3436,r101,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. Guam,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. Guam,5,51,No,No,No
3436,r102,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. Florida,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. Florida,5,48,No,No,No
3436,r103,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. Hawaii at Hilo,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. Hawaii at Hilo,5,34,No,No,No
3436,r104,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. Hawaii at Manoa,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. Hawaii at Manoa,5,29,No,No,No
3436,r105,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. California-Davis,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. California-Davis,5,28,No,No,No
3436,r106,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> Chaminade U. Honolulu,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,Chaminade U. Honolulu,5,27,No,No,No
3436,r107,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. Phoenix-Arizona,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. Phoenix-Arizona,5,24,No,No,No
3436,r108,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. Washington-Seattle Campus,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. Washington-Seattle Campus,5,22,No,No,No
3436,r109,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. California-San Diego,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. California-San Diego,5,19,No,No,No
3436,r110,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. Hawaii-West Oahu,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. Hawaii-West Oahu,5,19,No,No,No
3436,r111,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. Portland,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. Portland,5,18,No,No,No
3436,r112,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. California-Los Angeles,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. California-Los Angeles,5,17,No,No,No
3436,r113,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. Maryland-U. C.,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. Maryland-U. C.,5,16,No,No,No
3436,r114,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> California State U.-Sacramento,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,California State U.-Sacramento,5,14,Yes,No,No
3436,r115,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. Utah,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. Utah,5,14,No,No,No
3436,r116,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> Brigham Young U.-Hawaii,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,Brigham Young U.-Hawaii,5,12,No,No,No
3436,r117,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> Rutgers U.-New Brunswick,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,Rutgers U.-New Brunswick,5,12,No,No,No
3436,r118,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> American Public U. System,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,American Public U. System,5,11,No,No,No
3436,r119,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> San Francisco State U.,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,San Francisco State U.,5,11,Yes,No,No
3436,r120,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. California-Irvine,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. California-Irvine,5,11,Yes,No,No
3436,r121,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> U. Oregon,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,U. Oregon,5,11,No,No,No
3436,r122,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Top 22 institutions -> Washington State U.,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Top 22 institutions,Washington State U.,5,11,No,No,No
3436,r123,Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> All institutions -> Other institutions,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,All institutions,Other institutions,,4,920,-,-,-
3436,r124,Not Hispanic or Latino -> More than one race,Not Hispanic or Latino,More than one race,,,,2,,,,
3436,r125,Not Hispanic or Latino -> More than one race -> All institutions,Not Hispanic or Latino,More than one race,All institutions,,,3,26856,-,-,-
3436,r126,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,,4,4624,-,-,-
3436,r127,Not Hispanic or Latino -> More than one race -> All institutions -> Top 20 institutions -> U. California-Santa Barbara,Not Hispanic or Latino,More than one race,All institutions,Top 20 institutions,U. California-Santa Barbara,5,370,Yes,No,No
