table_id,row_id,_b_state_institutional_control_system_and_institution_b_full_path,_b_state_institutional_control_system_and_institution_b_level_1,_b_state_institutional_control_system_and_institution_b_level_2,_b_state_institutional_control_system_and_institution_b_level_3,_b_state_institutional_control_system_and_institution_b_level_4,_b_state_institutional_control_system_and_institution_b_hierarchy_depth,field_all_r_d_expenditures
3116,r070,"California -> Public -> California State U. System -> California State U., San Bernardino",California,Public,California State U. System,"California State U., San Bernardino",4,"['16,062', '']"
3116,r071,"California -> Public -> California State U. System -> California State U., San Marcos",California,Public,California State U. System,"California State U., San Marcos",4,"['10,595', '']"
3116,r072,"California -> Public -> California State U. System -> California State U., Stanislaus",California,Public,California State U. System,"California State U., Stanislaus",4,"['1,477', '']"
3116,r073,California -> Public -> California State U. System -> Humboldt State U.,California,Public,California State U. System,Humboldt State U.,4,"['15,076', '']"
3116,r074,California -> Public -> California State U. System -> San Diego State U.,California,Public,California State U. System,San Diego State U.,4,"['92,964', '']"
3116,r075,California -> Public -> California State U. System -> San Francisco State U.,California,Public,California State U. System,San Francisco State U.,4,"['31,888', '']"
3116,r076,California -> Public -> California State U. System -> San Jose State U.,California,Public,California State U. System,San Jose State U.,4,"['44,309', '']"
3116,r077,California -> Public -> California State U. System -> Sonoma State U.,California,Public,California State U. System,Sonoma State U.,4,"['1,656', '']"
3116,r078,California -> Public -> Naval Postgraduate School,California,Public,Naval Postgraduate School,,3,"['67,323', '']"
3116,r079,California -> Public -> U. California System,California,Public,U. California System,,3,"['6,988,400', '']"
3116,r080,"California -> Public -> U. California System -> U. California, Berkeley",California,Public,U. California System,"U. California, Berkeley",4,"['802,931', '']"
3116,r081,"California -> Public -> U. California System -> U. California, Davis",California,Public,U. California System,"U. California, Davis",4,"['804,282', '']"
3116,r082,"California -> Public -> U. California System -> U. California, Irvine",California,Public,U. California System,"U. California, Irvine",4,"['448,967', '']"
3116,r083,"California -> Public -> U. California System -> U. California, Los Angeles",California,Public,U. California System,"U. California, Los Angeles",4,"['1,306,376', '']"
3116,r084,"California -> Public -> U. California System -> U. California, Merced",California,Public,U. California System,"U. California, Merced",4,"['44,890', '']"
3116,r085,"California -> Public -> U. California System -> U. California, Office of the President",California,Public,U. California System,"U. California, Office of the President",4,"['67,702', '']"
3116,r086,"California -> Public -> U. California System -> U. California, Riverside",California,Public,U. California System,"U. California, Riverside",4,"['177,655', '']"
3116,r087,"California -> Public -> U. California System -> U. California, San Diego",California,Public,U. California System,"U. California, San Diego",4,"['1,353,763', '']"
3116,r088,"California -> Public -> U. California System -> U. California, San Francisco",California,Public,U. California System,"U. California, San Francisco",4,"['1,595,098', '']"
3116,r089,"California -> Public -> U. California System -> U. California, Santa Barbara",California,Public,U. California System,"U. California, Santa Barbara",4,"['243,778', '']"
3116,r090,"California -> Public -> U. California System -> U. California, Santa Cruz",California,Public,U. California System,"U. California, Santa Cruz",4,"['142,958', '']"
3116,r091,"California -> Public -> U. California, Hastings C. of Law",California,Public,"U. California, Hastings C. of Law",,3,"['1,034', 'i']"
3116,r092,California -> Private,California,Private,,,2,"['3,076,935', '']"
3116,r093,California -> Private -> Azusa Pacific U.,California,Private,Azusa Pacific U.,,3,"['5,598', '']"
3116,r094,California -> Private -> Biola U.,California,Private,Biola U.,,3,"['1,155', 'i']"
3116,r095,California -> Private -> California Institute of Technology,California,Private,California Institute of Technology,,3,"['399,931', '']"
3116,r096,California -> Private -> California Lutheran U.,California,Private,California Lutheran U.,,3,"['1,143', '']"
3116,r097,California -> Private -> Chapman U.,California,Private,Chapman U.,,3,"['19,592', '']"
3116,r098,California -> Private -> Charles R. Drew U. of Medicine and Science,California,Private,Charles R. Drew U. of Medicine and Science,,3,"['13,739', '']"
3116,r099,California -> Private -> Dominican U. California,California,Private,Dominican U. California,,3,"['828', 'i']"
3116,r100,California -> Private -> Fielding Graduate U.,California,Private,Fielding Graduate U.,,3,"['852', '']"
3116,r101,California -> Private -> High Tech High Graduate School of Ed.,California,Private,High Tech High Graduate School of Ed.,,3,"['2,223', '']"
3116,r102,California -> Private -> International Technological U.,California,Private,International Technological U.,,3,"['660', 'i']"
3116,r103,California -> Private -> La Sierra U.,California,Private,La Sierra U.,,3,"['1,581', '']"
3116,r104,California -> Private -> Life Chiropractic C.-West,California,Private,Life Chiropractic C.-West,,3,"['350', '']"
3116,r105,California -> Private -> Loma Linda U.,California,Private,Loma Linda U.,,3,"['24,408', 'i']"
3116,r106,California -> Private -> Loyola Marymount U.,California,Private,Loyola Marymount U.,,3,"['7,272', '']"
3116,r107,California -> Private -> Marshall B. Ketchum U.,California,Private,Marshall B. Ketchum U.,,3,"['1,430', 'i']"
3116,r108,California -> Private -> Mills C.,California,Private,Mills C.,,3,"['1,643', '']"
3116,r109,California -> Private -> Occidental C.,California,Private,Occidental C.,,3,"['2,458', '']"
3116,r110,California -> Private -> Palo Alto U.,California,Private,Palo Alto U.,,3,"['290', '']"
3116,r111,California -> Private -> Pepperdine U.,California,Private,Pepperdine U.,,3,"['2,170', '']"
3116,r112,California -> Private -> Point Loma Nazarene U.,California,Private,Point Loma Nazarene U.,,3,"['265', '']"
3116,r113,California -> Private -> Santa Clara U.,California,Private,Santa Clara U.,,3,"['2,319', '']"
3116,r114,California -> Private -> Scripps Research Institute,California,Private,Scripps Research Institute,,3,"['427,734', '']"
3116,r115,California -> Private -> Southern California U. of Health Sciences,California,Private,Southern California U. of Health Sciences,,3,"['150', 'i']"
3116,r116,California -> Private -> Stanford U.,California,Private,Stanford U.,,3,"['1,204,116', '']"
3116,r117,California -> Private -> The Claremont Colleges,California,Private,The Claremont Colleges,,3,"['24,261', '']"
3116,r118,California -> Private -> The Claremont Colleges -> Claremont Graduate U.,California,Private,The Claremont Colleges,Claremont Graduate U.,4,"['8,715', '']"
3116,r119,California -> Private -> The Claremont Colleges -> Claremont McKenna C.,California,Private,The Claremont Colleges,Claremont McKenna C.,4,"['6,214', '']"
3116,r120,California -> Private -> The Claremont Colleges -> Claremont School of Theology,California,Private,The Claremont Colleges,Claremont School of Theology,4,"['431', '']"
3116,r121,California -> Private -> The Claremont Colleges -> Harvey Mudd C.,California,Private,The Claremont Colleges,Harvey Mudd C.,4,"['3,353', '']"
3116,r122,California -> Private -> The Claremont Colleges -> Keck Graduate Institute,California,Private,The Claremont Colleges,Keck Graduate Institute,4,"['2,095', 'i']"
3116,r123,California -> Private -> The Claremont Colleges -> Pitzer C.,California,Private,The Claremont Colleges,Pitzer C.,4,"['468', '']"
3116,r124,California -> Private -> The Claremont Colleges -> Pomona C.,California,Private,The Claremont Colleges,Pomona C.,4,"['2,985', '']"
3116,r125,California -> Private -> Touro C. and U. System<sup>a</sup>,California,Private,Touro C. and U. System<sup>a</sup>,,3,"['3,543', '']"
3116,r126,California -> Private -> Touro C. and U. System<sup>a</sup> -> Touro U.,California,Private,Touro C. and U. System<sup>a</sup>,Touro U.,4,"['3,543', '']"
3116,r127,California -> Private -> U. of the Pacific,California,Private,U. of the Pacific,,3,"['3,078', '']"
3116,r128,California -> Private -> U. San Diego,California,Private,U. San Diego,,3,"['6,036', '']"
3116,r129,California -> Private -> U. San Francisco,California,Private,U. San Francisco,,3,"['2,712', '']"
3116,r130,California -> Private -> U. Southern California,California,Private,U. Southern California,,3,"['909,683', '']"
3116,r131,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,,3,"['4,951', '']"
3116,r132,California -> Private -> Westmont C.,California,Private,Westmont C.,,3,"['376', '']"
3116,r133,California -> Private -> Whittier C.,California,Private,Whittier C.,,3,"['388', '']"
3116,r134,Colorado,Colorado,,,,1,"['1,624,123', '']"
3116,r135,Colorado -> Public,Colorado,Public,,,2,"['1,584,633', '']"
3116,r136,Colorado -> Public -> Colorado Mesa U.,Colorado,Public,Colorado Mesa U.,,3,"['372', '']"
3116,r137,Colorado -> Public -> Colorado School of Mines,Colorado,Public,Colorado School of Mines,,3,"['70,397', '']"
3116,r138,Colorado -> Public -> Colorado State U. System,Colorado,Public,Colorado State U. System,,3,"['401,584', '']"
3116,r139,"Colorado -> Public -> Colorado State U. System -> Colorado State U., Fort Collins",Colorado,Public,Colorado State U. System,"Colorado State U., Fort Collins",4,"['398,477', '']"
3116,r140,"Colorado -> Public -> Colorado State U. System -> Colorado State U., Pueblo",Colorado,Public,Colorado State U. System,"Colorado State U., Pueblo",4,"['3,107', '']"
3116,r141,Colorado -> Public -> Fort Lewis C.,Colorado,Public,Fort Lewis C.,,3,"['1,460', '']"
3116,r142,Colorado -> Public -> Metropolitan State U. of Denver,Colorado,Public,Metropolitan State U. of Denver,,3,"['574', '']"
3116,r143,Colorado -> Public -> U. Colorado System,Colorado,Public,U. Colorado System,,3,"['1,061,274', '']"
3116,r144,Colorado -> Public -> U. Colorado System -> U. Colorado Boulder,Colorado,Public,U. Colorado System,U. Colorado Boulder,4,"['513,822', '']"
3116,r145,Colorado -> Public -> U. Colorado System -> U. Colorado Colorado Springs,Colorado,Public,U. Colorado System,U. Colorado Colorado Springs,4,"['4,720', '']"
3116,r146,Colorado -> Public -> U. Colorado System -> U. Colorado Denver and Anschutz Medical Campus,Colorado,Public,U. Colorado System,U. Colorado Denver and Anschutz Medical Campus,4,"['542,732', '']"
3116,r147,Colorado -> Public -> U. Northern Colorado,Colorado,Public,U. Northern Colorado,,3,"['4,571', '']"
3116,r148,Colorado -> Public -> U.S. Air Force Academy,Colorado,Public,U.S. Air Force Academy,,3,"['43,941', '']"
3116,r149,Colorado -> Public -> Western State Colorado U.,Colorado,Public,Western State Colorado U.,,3,"['460', '']"
3116,r150,Colorado -> Private,Colorado,Private,,,2,"['39,490', '']"
3116,r151,Colorado -> Private -> Colorado C.,Colorado,Private,Colorado C.,,3,"['2,233', '']"
3116,r152,Colorado -> Private -> Regis U.,Colorado,Private,Regis U.,,3,"['706', '']"
3116,r153,Colorado -> Private -> U. Denver,Colorado,Private,U. Denver,,3,"['36,551', '']"
3116,r154,Connecticut,Connecticut,,,,1,"['1,390,925', '']"
3116,r155,Connecticut -> Public,Connecticut,Public,,,2,"['294,852', '']"
3116,r156,Connecticut -> Public -> Connecticut State U. System,Connecticut,Public,Connecticut State U. System,,3,"['8,380', '']"
3116,r157,Connecticut -> Public -> Connecticut State U. System -> Central Connecticut State U.,Connecticut,Public,Connecticut State U. System,Central Connecticut State U.,4,"['1,381', '']"
3116,r158,Connecticut -> Public -> Connecticut State U. System -> Eastern Connecticut State U.,Connecticut,Public,Connecticut State U. System,Eastern Connecticut State U.,4,"['1,659', '']"
3116,r159,Connecticut -> Public -> Connecticut State U. System -> Southern Connecticut State U.,Connecticut,Public,Connecticut State U. System,Southern Connecticut State U.,4,"['4,627', '']"
3116,r160,Connecticut -> Public -> Connecticut State U. System -> Western Connecticut State U.,Connecticut,Public,Connecticut State U. System,Western Connecticut State U.,4,"['713', '']"
3116,r161,Connecticut -> Public -> U. Connecticut,Connecticut,Public,U. Connecticut,,3,"['285,764', '']"
3116,r162,Connecticut -> Public -> U.S. Coast Guard Academy,Connecticut,Public,U.S. Coast Guard Academy,,3,"['708', '']"
3116,r163,Connecticut -> Private,Connecticut,Private,,,2,"['1,096,073', '']"
3116,r164,Connecticut -> Private -> Connecticut C.,Connecticut,Private,Connecticut C.,,3,"['1,894', '']"
3116,r165,Connecticut -> Private -> Fairfield U.,Connecticut,Private,Fairfield U.,,3,"['1,279', '']"
3116,r166,Connecticut -> Private -> Quinnipiac U.,Connecticut,Private,Quinnipiac U.,,3,"['980', 'i']"
3116,r167,Connecticut -> Private -> Sacred Heart U.,Connecticut,Private,Sacred Heart U.,,3,"['563', '']"
3116,r168,"Connecticut -> Private -> Trinity C., Hartford",Connecticut,Private,"Trinity C., Hartford",,3,"['1,858', '']"
3116,r169,Connecticut -> Private -> U. Bridgeport,Connecticut,Private,U. Bridgeport,,3,"['642', 'i']"
3116,r170,Connecticut -> Private -> U. Hartford,Connecticut,Private,U. Hartford,,3,"['1,528', '']"
3116,r171,Connecticut -> Private -> U. New Haven,Connecticut,Private,U. New Haven,,3,"['5,062', '']"
3116,r172,Connecticut -> Private -> Wesleyan U.,Connecticut,Private,Wesleyan U.,,3,"['9,958', '']"
3116,r173,Connecticut -> Private -> Yale U.,Connecticut,Private,Yale U.,,3,"['1,072,309', '']"
3116,r174,Delaware,Delaware,,,,1,"['229,287', '']"
3116,r175,Delaware -> Public,Delaware,Public,,,2,"['229,287', '']"
3116,r176,Delaware -> Public -> Delaware State U.,Delaware,Public,Delaware State U.,,3,"['23,017', '']"
3116,r177,Delaware -> Public -> U. Delaware,Delaware,Public,U. Delaware,,3,"['206,270', '']"
3116,r178,District of Columbia,District of Columbia,,,,1,"['664,872', '']"
3116,r179,District of Columbia -> Public,District of Columbia,Public,,,2,"['9,031', '']"
3116,r180,District of Columbia -> Public -> National Defense U.,District of Columbia,Public,National Defense U.,,3,"['4,231', '']"
3116,r181,District of Columbia -> Public -> National Defense U. -> U. of the District of Columbia,District of Columbia,Public,National Defense U.,U. of the District of Columbia,4,"['4,800', '']"
3116,r182,District of Columbia -> Private,District of Columbia,Private,,,2,"['655,841', '']"
3116,r183,District of Columbia -> Private -> American U.,District of Columbia,Private,American U.,,3,"['71,053', '']"
3116,r184,District of Columbia -> Private -> Catholic U. of America,District of Columbia,Private,Catholic U. of America,,3,"['24,484', '']"
3116,r185,District of Columbia -> Private -> Gallaudet U.,District of Columbia,Private,Gallaudet U.,,3,"['5,382', '']"
3116,r186,District of Columbia -> Private -> George Washington U.,District of Columbia,Private,George Washington U.,,3,"['269,799', '']"
3116,r187,District of Columbia -> Private -> Georgetown U.,District of Columbia,Private,Georgetown U.,,3,"['240,960', '']"
3116,r188,District of Columbia -> Private -> Howard U.,District of Columbia,Private,Howard U.,,3,"['44,163', '']"
3116,r189,Florida,Florida,,,,1,"['2,690,200', '']"
3116,r190,Florida -> Public (State U. Florida Board of Governors),Florida,Public (State U. Florida Board of Governors),,,2,"['2,270,424', '']"
3116,r191,Florida -> Public (State U. Florida Board of Governors) -> Florida A&M U.,Florida,Public (State U. Florida Board of Governors),Florida A&M U.,,3,"['42,470', '']"
3116,r192,Florida -> Public (State U. Florida Board of Governors) -> Florida Atlantic U.,Florida,Public (State U. Florida Board of Governors),Florida Atlantic U.,,3,"['51,085', '']"
3116,r193,Florida -> Public (State U. Florida Board of Governors) -> Florida Gulf Coast U.,Florida,Public (State U. Florida Board of Governors),Florida Gulf Coast U.,,3,"['5,907', '']"
3116,r194,Florida -> Public (State U. Florida Board of Governors) -> Florida International U.,Florida,Public (State U. Florida Board of Governors),Florida International U.,,3,"['225,864', '']"
3116,r195,Florida -> Public (State U. Florida Board of Governors) -> Florida Polytechnic U.,Florida,Public (State U. Florida Board of Governors),Florida Polytechnic U.,,3,"['2,006', '']"
3116,r196,Florida -> Public (State U. Florida Board of Governors) -> Florida State U.,Florida,Public (State U. Florida Board of Governors),Florida State U.,,3,"['329,205', '']"
3116,r197,Florida -> Public (State U. Florida Board of Governors) -> New C. Florida,Florida,Public (State U. Florida Board of Governors),New C. Florida,,3,"['962', '']"
3116,r198,Florida -> Public (State U. Florida Board of Governors) -> U. Central Florida,Florida,Public (State U. Florida Board of Governors),U. Central Florida,,3,"['225,085', '']"
3116,r199,Florida -> Public (State U. Florida Board of Governors) -> U. Florida,Florida,Public (State U. Florida Board of Governors),U. Florida,,3,"['928,639', '']"
3116,r200,Florida -> Public (State U. Florida Board of Governors) -> U. North Florida,Florida,Public (State U. Florida Board of Governors),U. North Florida,,3,"['12,341', '']"
3116,r201,Florida -> Public (State U. Florida Board of Governors) -> U. South Florida System,Florida,Public (State U. Florida Board of Governors),U. South Florida System,,3,"['404,883', '']"
3116,r202,"Florida -> Public (State U. Florida Board of Governors) -> U. South Florida System -> U. South Florida, Saint Petersburg",Florida,Public (State U. Florida Board of Governors),U. South Florida System,"U. South Florida, Saint Petersburg",4,"['11,686', '']"
3116,r203,"Florida -> Public (State U. Florida Board of Governors) -> U. South Florida System -> U. South Florida, Sarasota-Manatee",Florida,Public (State U. Florida Board of Governors),U. South Florida System,"U. South Florida, Sarasota-Manatee",4,"['1,872', '']"
3116,r204,"Florida -> Public (State U. Florida Board of Governors) -> U. South Florida System -> U. South Florida, Tampa",Florida,Public (State U. Florida Board of Governors),U. South Florida System,"U. South Florida, Tampa",4,"['391,325', '']"
3116,r205,Florida -> Public (State U. Florida Board of Governors) -> U. West Florida,Florida,Public (State U. Florida Board of Governors),U. West Florida,,3,"['41,977', '']"
3116,r206,Florida -> Private,Florida,Private,,,2,"['419,776', '']"
3116,r207,Florida -> Private -> Barry U.,Florida,Private,Barry U.,,3,"['295', '']"
3116,r208,Florida -> Private -> Bethune-Cookman U.,Florida,Private,Bethune-Cookman U.,,3,"['735', '']"
3116,r209,Florida -> Private -> Eckerd C.,Florida,Private,Eckerd C.,,3,"['435', '']"
3116,r210,Florida -> Private -> Embry-Riddle Aeronautical U.,Florida,Private,Embry-Riddle Aeronautical U.,,3,"['12,478', '']"
3116,r211,Florida -> Private -> Florida Institute of Technology,Florida,Private,Florida Institute of Technology,,3,"['17,876', '']"
3116,r212,Florida -> Private -> Jacksonville U.,Florida,Private,Jacksonville U.,,3,"['365', '']"
3116,r213,Florida -> Private -> Keiser U.,Florida,Private,Keiser U.,,3,"['450', '']"
3116,r214,Florida -> Private -> Nova Southeastern U.,Florida,Private,Nova Southeastern U.,,3,"['24,567', '']"
3116,r215,Florida -> Private -> Rollins C.,Florida,Private,Rollins C.,,3,"['626', '']"
3116,r216,"Florida -> Private -> St. Thomas U., Miami Gardens",Florida,Private,"St. Thomas U., Miami Gardens",,3,"['268', '']"
3116,r217,Florida -> Private -> Stetson U.,Florida,Private,Stetson U.,,3,"['476', '']"
3116,r218,Florida -> Private -> U. Miami,Florida,Private,U. Miami,,3,"['360,716', '']"
3116,r219,Florida -> Private -> U. Tampa,Florida,Private,U. Tampa,,3,"['489', '']"
3116,r220,Georgia,Georgia,,,,1,"['2,671,533', '']"
3116,r221,Georgia -> Public (U. System Georgia Board of Regents),Georgia,Public (U. System Georgia Board of Regents),,,2,"['1,783,836', '']"
3116,r222,Georgia -> Public (U. System Georgia Board of Regents) -> Albany State U.,Georgia,Public (U. System Georgia Board of Regents),Albany State U.,,3,"['1,491', '']"
3116,r223,Georgia -> Public (U. System Georgia Board of Regents) -> Augusta U.,Georgia,Public (U. System Georgia Board of Regents),Augusta U.,,3,"['96,502', '']"
3116,r224,Georgia -> Public (U. System Georgia Board of Regents) -> Clayton State U.,Georgia,Public (U. System Georgia Board of Regents),Clayton State U.,,3,"['330', '']"
3116,r225,Georgia -> Public (U. System Georgia Board of Regents) -> Fort Valley State U.,Georgia,Public (U. System Georgia Board of Regents),Fort Valley State U.,,3,"['4,563', '']"
3116,r226,Georgia -> Public (U. System Georgia Board of Regents) -> Georgia C. and State U.,Georgia,Public (U. System Georgia Board of Regents),Georgia C. and State U.,,3,"['548', '']"
