table_id,row_id,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_full_path,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_1,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_2,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_3,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_level_4,sex_ethnicity_race_disability_status_and_primary_or_secondary_work_activity_hierarchy_depth,field_age_years_75_and_younger,field_age_years_younger_than_35,field_age_years_35_44,field_age_years_45_54,field_age_years_55_75
3398,r038,Total -> Not Hispanic or Latino -> Black or African American,Total,Not Hispanic or Latino,Black or African American,,3,933000,278000,260000,222000,173000
3398,r039,Total -> Not Hispanic or Latino -> Black or African American -> Computer applications,Total,Not Hispanic or Latino,Black or African American,Computer applications,4,125000,47000,40000,21000,17000
3398,r040,Total -> Not Hispanic or Latino -> Black or African American -> Management or administration<sup>a</sup>,Total,Not Hispanic or Latino,Black or African American,Management or administration<sup>a</sup>,4,559000,150000,150000,141000,118000
3398,r041,Total -> Not Hispanic or Latino -> Black or African American -> Research and development,Total,Not Hispanic or Latino,Black or African American,Research and development,4,259000,88000,93000,49000,29000
3398,r042,Total -> Not Hispanic or Latino -> Black or African American -> Teaching,Total,Not Hispanic or Latino,Black or African American,Teaching,4,59000,21000,14000,5000,18000
3398,r043,Total -> Not Hispanic or Latino -> Black or African American -> Other,Total,Not Hispanic or Latino,Black or African American,Other,4,425000,116000,113000,118000,78000
3398,r044,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,3,35000,6000,6000,9000,13000
3398,r045,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Computer applications,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Computer applications,4,3000,S,,,
3398,r046,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Management or administration<sup>a</sup>,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Management or administration<sup>a</sup>,4,28000,2000,6000,8000,12000
3398,r047,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Research and development,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Research and development,4,15000,2000,0.05,S,9000
3398,r048,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Teaching,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Teaching,4,,,,,
3398,r049,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Other,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Other,4,11000,2000,S,S,S
3398,r050,Total -> Not Hispanic or Latino -> White,Total,Not Hispanic or Latino,White,,3,10399000,3086000,2345000,2325000,2644000
3398,r051,Total -> Not Hispanic or Latino -> White -> Computer applications,Total,Not Hispanic or Latino,White,Computer applications,4,1457000,481000,335000,338000,303000
3398,r052,Total -> Not Hispanic or Latino -> White -> Management or administration<sup>a</sup>,Total,Not Hispanic or Latino,White,Management or administration<sup>a</sup>,4,6571000,1750000,1565000,1608000,1648000
3398,r053,Total -> Not Hispanic or Latino -> White -> Research and development,Total,Not Hispanic or Latino,White,Research and development,4,3182000,1057000,748000,657000,721000
3398,r054,Total -> Not Hispanic or Latino -> White -> Teaching,Total,Not Hispanic or Latino,White,Teaching,4,646000,160000,162000,139000,185000
3398,r055,Total -> Not Hispanic or Latino -> White -> Other,Total,Not Hispanic or Latino,White,Other,4,4139000,1306000,914000,808000,1111000
3398,r056,Total -> Not Hispanic or Latino -> More than one race,Total,Not Hispanic or Latino,More than one race,,3,333000,150000,93000,46000,42000
3398,r057,Total -> Not Hispanic or Latino -> More than one race -> Computer applications,Total,Not Hispanic or Latino,More than one race,Computer applications,4,49000,32000,8000,S,5000
3398,r058,Total -> Not Hispanic or Latino -> More than one race -> Management or administration<sup>a</sup>,Total,Not Hispanic or Latino,More than one race,Management or administration<sup>a</sup>,4,196000,79000,61000,33000,24000
3398,r059,Total -> Not Hispanic or Latino -> More than one race -> Research and development,Total,Not Hispanic or Latino,More than one race,Research and development,4,112000,59000,26000,12000,15000
3398,r060,Total -> Not Hispanic or Latino -> More than one race -> Teaching,Total,Not Hispanic or Latino,More than one race,Teaching,4,29000,21000,S,S,S
3398,r061,Total -> Not Hispanic or Latino -> More than one race -> Other,Total,Not Hispanic or Latino,More than one race,Other,4,126000,49000,44000,20000,13000
3398,r062,Total -> Without disability,Total,Without disability,,,2,14014000,4531000,3570000,3063000,2850000
3398,r063,Total -> Without disability -> Computer applications,Total,Without disability,Computer applications,,3,2383000,863000,686000,483000,351000
3398,r064,Total -> Without disability -> Management or administration<sup>a</sup>,Total,Without disability,Management or administration<sup>a</sup>,,3,8603000,2500000,2292000,2047000,1763000
3398,r065,Total -> Without disability -> Research and development,Total,Without disability,Research and development,,3,4413000,1613000,1176000,876000,749000
3398,r066,Total -> Without disability -> Teaching,Total,Without disability,Teaching,,3,824000,231000,182000,206000,206000
3398,r067,Total -> Without disability -> Other,Total,Without disability,Other,,3,5379000,1780000,1308000,1088000,1203000
3398,r068,Total -> With disability,Total,With disability,,,2,1565000,341000,234000,434000,556000
3398,r069,Total -> With disability -> Computer applications,Total,With disability,Computer applications,,3,234000,82000,35000,60000,57000
3398,r070,Total -> With disability -> Management or administration<sup>a</sup>,Total,With disability,Management or administration<sup>a</sup>,,3,981000,191000,138000,301000,351000
3398,r071,Total -> With disability -> Research and development,Total,With disability,Research and development,,3,484000,125000,80000,100000,179000
3398,r072,Total -> With disability -> Teaching,Total,With disability,Teaching,,3,96000,20000,S,14000,33000
3398,r073,Total -> With disability -> Other,Total,With disability,Other,,3,590000,117000,89000,162000,223000
