table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_performersa_all,field_r_d_performersa_intramural,field_r_d_performersa_extramural,field_r_d_plant
5213,r178,United States<sup>b</sup> -> Maryland,United States<sup>b</sup>,Maryland,,2,33407022,659436,32747586,0
5213,r179,"United States<sup>b</sup> -> Maryland -> Education, Department of",United States<sup>b</sup>,Maryland,"Education, Department of",3,1160456,0,1160456,0
5213,r180,United States<sup>b</sup> -> Maryland -> Energy Administration,United States<sup>b</sup>,Maryland,Energy Administration,3,1026832,0,1026832,0
5213,r181,"United States<sup>b</sup> -> Maryland -> Health and Mental Hygiene, Department of",United States<sup>b</sup>,Maryland,"Health and Mental Hygiene, Department of",3,15000000,0,15000000,0
5213,r182,"United States<sup>b</sup> -> Maryland -> Natural Resources, Department of",United States<sup>b</sup>,Maryland,"Natural Resources, Department of",3,607906,79183,528723,0
5213,r183,United States<sup>b</sup> -> Maryland -> Technology Development Corporation,United States<sup>b</sup>,Maryland,Technology Development Corporation,3,10964344,0,10964344,0
5213,r184,"United States<sup>b</sup> -> Maryland -> Transportation, Department of",United States<sup>b</sup>,Maryland,"Transportation, Department of",3,4647484,580253,4067231,0
5213,r185,United States<sup>b</sup> -> Massachusetts,United States<sup>b</sup>,Massachusetts,,2,31700411,9681990,22018421,0
5213,r186,United States<sup>b</sup> -> Massachusetts -> Clean Energy Technology Center,United States<sup>b</sup>,Massachusetts,Clean Energy Technology Center,3,4008011,0,4008011,0
5213,r187,"United States<sup>b</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>b</sup>,Massachusetts,"Environmental Protection, Department of ",3,309872,248990,60882,0
5213,r188,"United States<sup>b</sup> -> Massachusetts -> Fish and Game, Department of ",United States<sup>b</sup>,Massachusetts,"Fish and Game, Department of ",3,9493000,9333000,160000,0
5213,r189,United States<sup>b</sup> -> Massachusetts -> Gaming Commission,United States<sup>b</sup>,Massachusetts,Gaming Commission,3,2670000,0,2670000,0
5213,r190,United States<sup>b</sup> -> Massachusetts -> Life Sciences Center,United States<sup>b</sup>,Massachusetts,Life Sciences Center,3,1030299,0,1030299,0
5213,r191,United States<sup>b</sup> -> Massachusetts -> Massventures,United States<sup>b</sup>,Massachusetts,Massventures,3,3100000,0,3100000,0
5213,r192,"United States<sup>b</sup> -> Massachusetts -> Mental Health, Department of",United States<sup>b</sup>,Massachusetts,"Mental Health, Department of",3,1800000,0,1800000,0
5213,r193,"United States<sup>b</sup> -> Massachusetts -> Public Health, Department of ",United States<sup>b</sup>,Massachusetts,"Public Health, Department of ",3,1849229,0,1849229,0
5213,r194,United States<sup>b</sup> -> Massachusetts -> Technology Park Corporation ,United States<sup>b</sup>,Massachusetts,Technology Park Corporation ,3,3175000,0,3175000,0
5213,r195,"United States<sup>b</sup> -> Massachusetts -> Transportation, Department of",United States<sup>b</sup>,Massachusetts,"Transportation, Department of",3,4065000,0,4065000,0
5213,r196,United States<sup>b</sup> -> Massachusetts -> Water Resources Authority,United States<sup>b</sup>,Massachusetts,Water Resources Authority,3,200000,100000,100000,0
5213,r197,United States<sup>b</sup> -> Michigan,United States<sup>b</sup>,Michigan,,2,11191816,527096,10664720,0
5213,r198,"United States<sup>b</sup> -> Michigan -> Agriculture and Rural Development, Department of",United States<sup>b</sup>,Michigan,"Agriculture and Rural Development, Department of",3,3316092,0,3316092,0
5213,r199,"United States<sup>b</sup> -> Michigan -> Environmental, Great Lakes and Energy, Department of",United States<sup>b</sup>,Michigan,"Environmental, Great Lakes and Energy, Department of",3,1265405,527096,738309,0
5213,r200,"United States<sup>b</sup> -> Michigan -> Transportation, Department of",United States<sup>b</sup>,Michigan,"Transportation, Department of",3,6610319,0,6610319,0
5213,r201,United States<sup>b</sup> -> Minnesota,United States<sup>b</sup>,Minnesota,,2,20511698,2583398,17928300,0
5213,r202,"United States<sup>b</sup> -> Minnesota -> Agriculture, Department of",United States<sup>b</sup>,Minnesota,"Agriculture, Department of",3,6203140,886703,5316437,0
5213,r203,United States<sup>b</sup> -> Minnesota -> Forest Resources Council,United States<sup>b</sup>,Minnesota,Forest Resources Council,3,150000,100000,50000,0
5213,r204,"United States<sup>b</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>b</sup>,Minnesota,"Natural Resources, Department of",3,1941631,1591195,350436,0
5213,r205,United States<sup>b</sup> -> Minnesota -> Pollution Control Agency,United States<sup>b</sup>,Minnesota,Pollution Control Agency,3,25981,0,25981,0
5213,r206,"United States<sup>b</sup> -> Minnesota -> Transportation, Department of",United States<sup>b</sup>,Minnesota,"Transportation, Department of",3,12190946,5500,12185446,0
5213,r207,United States<sup>b</sup> -> Mississippi,United States<sup>b</sup>,Mississippi,,2,10268396,1236050,9032346,0
5213,r208,"United States<sup>b</sup> -> Mississippi -> Agriculture and Commerce, Department of ",United States<sup>b</sup>,Mississippi,"Agriculture and Commerce, Department of ",3,180501,0,180501,0
5213,r209,"United States<sup>b</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>b</sup>,Mississippi,"Environmental Quality, Department of",3,1804582,110635,1693947,0
5213,r210,United States<sup>b</sup> -> Mississippi -> Gulf States Marine Fisheries Commission,United States<sup>b</sup>,Mississippi,Gulf States Marine Fisheries Commission,3,1100424,0,1100424,0
5213,r211,"United States<sup>b</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>b</sup>,Mississippi,"Marine Resources, Department of",3,1060182,304290,755892,0
5213,r212,"United States<sup>b</sup> -> Mississippi -> Transportation, Department of",United States<sup>b</sup>,Mississippi,"Transportation, Department of",3,4417666,3071,4414595,0
5213,r213,"United States<sup>b</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>b</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,1705041,818054,886987,0
5213,r214,United States<sup>b</sup> -> Missouri,United States<sup>b</sup>,Missouri,,2,14826364,8112983,6713381,0
5213,r215,"United States<sup>b</sup> -> Missouri -> Agriculture, Department of",United States<sup>b</sup>,Missouri,"Agriculture, Department of",3,95763,0,95763,0
5213,r216,"United States<sup>b</sup> -> Missouri -> Conservation, Department of",United States<sup>b</sup>,Missouri,"Conservation, Department of",3,10860153,8068161,2791992,0
5213,r217,"United States<sup>b</sup> -> Missouri -> Health and Senior Services, Department of",United States<sup>b</sup>,Missouri,"Health and Senior Services, Department of",3,29761,29761,0,0
5213,r218,"United States<sup>b</sup> -> Missouri -> Mental Health, Department of",United States<sup>b</sup>,Missouri,"Mental Health, Department of",3,121250,0,121250,0
5213,r219,"United States<sup>b</sup> -> Missouri -> Natural Resources, Department of",United States<sup>b</sup>,Missouri,"Natural Resources, Department of",3,743537,15061,728476,0
5213,r220,United States<sup>b</sup> -> Missouri -> Technology Corporation,United States<sup>b</sup>,Missouri,Technology Corporation,3,582296,0,582296,0
5213,r221,"United States<sup>b</sup> -> Missouri -> Transportation, Department of",United States<sup>b</sup>,Missouri,"Transportation, Department of",3,1557401,0,1557401,0
5213,r222,United States<sup>b</sup> -> Missouri -> Wine and Grape Board,United States<sup>b</sup>,Missouri,Wine and Grape Board,3,836203,0,836203,0
5213,r223,United States<sup>b</sup> -> Montana,United States<sup>b</sup>,Montana,,2,13131022,6104413,7026609,0
5213,r224,"United States<sup>b</sup> -> Montana -> Agriculture, Department of",United States<sup>b</sup>,Montana,"Agriculture, Department of",3,3566938,0,3566938,0
5213,r225,"United States<sup>b</sup> -> Montana -> Environmental Quality, Department of",United States<sup>b</sup>,Montana,"Environmental Quality, Department of",3,92296,92296,0,0
5213,r226,"United States<sup>b</sup> -> Montana -> Fish, Wildlife and Parks, Department of",United States<sup>b</sup>,Montana,"Fish, Wildlife and Parks, Department of",3,7640799,5916231,1724568,0
5213,r227,"United States<sup>b</sup> -> Montana -> Natural Resources and Conservation, Department of",United States<sup>b</sup>,Montana,"Natural Resources and Conservation, Department of",3,20000,0,20000,0
5213,r228,"United States<sup>b</sup> -> Montana -> Transportation, Department of",United States<sup>b</sup>,Montana,"Transportation, Department of",3,1810989,95886,1715103,0
5213,r229,United States<sup>b</sup> -> Nebraska,United States<sup>b</sup>,Nebraska,,2,32423818,2342783,30081035,0
5213,r230,"United States<sup>b</sup> -> Nebraska -> Agriculture, Department of",United States<sup>b</sup>,Nebraska,"Agriculture, Department of",3,645372,0,645372,0
5213,r231,United States<sup>b</sup> -> Nebraska -> Corn Board,United States<sup>b</sup>,Nebraska,Corn Board,3,803068,0,803068,0
5213,r232,United States<sup>b</sup> -> Nebraska -> Dairy Industry Development Board,United States<sup>b</sup>,Nebraska,Dairy Industry Development Board,3,87654,0,87654,0
5213,r233,United States<sup>b</sup> -> Nebraska -> Dry Bean Commission,United States<sup>b</sup>,Nebraska,Dry Bean Commission,3,290954,0,290954,0
5213,r234,"United States<sup>b</sup> -> Nebraska -> Economic Development, Department of",United States<sup>b</sup>,Nebraska,"Economic Development, Department of",3,2184835,0,2184835,0
5213,r235,United States<sup>b</sup> -> Nebraska -> Game and Parks Commission,United States<sup>b</sup>,Nebraska,Game and Parks Commission,3,5798854,2332795,3466059,0
5213,r236,United States<sup>b</sup> -> Nebraska -> Grain Sorghum Board,United States<sup>b</sup>,Nebraska,Grain Sorghum Board,3,3672,0,3672,0
5213,r237,"United States<sup>b</sup> -> Nebraska -> Health and Human Services, Department of",United States<sup>b</sup>,Nebraska,"Health and Human Services, Department of",3,19453501,0,19453501,0
5213,r238,"United States<sup>b</sup> -> Nebraska -> Natural Resources, Department of",United States<sup>b</sup>,Nebraska,"Natural Resources, Department of",3,958089,9988,948101,0
5213,r239,"United States<sup>b</sup> -> Nebraska -> Transportation, Department of",United States<sup>b</sup>,Nebraska,"Transportation, Department of",3,1909404,0,1909404,0
5213,r240,United States<sup>b</sup> -> Nebraska -> Wheat Board,United States<sup>b</sup>,Nebraska,Wheat Board,3,288415,0,288415,0
5213,r241,United States<sup>b</sup> -> Nevada,United States<sup>b</sup>,Nevada,,2,4764898,188146,4576752,0
5213,r242,"United States<sup>b</sup> -> Nevada -> Agriculture, Department of",United States<sup>b</sup>,Nevada,"Agriculture, Department of",3,188146,188146,0,0
5213,r243,"United States<sup>b</sup> -> Nevada -> Economic Development, Governor's office of",United States<sup>b</sup>,Nevada,"Economic Development, Governor's office of",3,3055388,0,3055388,0
5213,r244,"United States<sup>b</sup> -> Nevada -> Transportation, Department of",United States<sup>b</sup>,Nevada,"Transportation, Department of",3,1521364,0,1521364,0
5213,r245,United States<sup>b</sup> -> New Hampshire,United States<sup>b</sup>,New Hampshire,,2,8221518,49309,8172209,0
5213,r246,"United States<sup>b</sup> -> New Hampshire -> Agriculture, Markets and Food, Department of",United States<sup>b</sup>,New Hampshire,"Agriculture, Markets and Food, Department of",3,146743,0,146743,0
5213,r247,"United States<sup>b</sup> -> New Hampshire -> Business and Economic Affairs, Department of",United States<sup>b</sup>,New Hampshire,"Business and Economic Affairs, Department of",3,7275000,0,7275000,0
5213,r248,"United States<sup>b</sup> -> New Hampshire -> Transportation, Department of",United States<sup>b</sup>,New Hampshire,"Transportation, Department of",3,799775,49309,750466,0
5213,r249,United States<sup>b</sup> -> New Jersey,United States<sup>b</sup>,New Jersey,,2,23754925,2624342,21130583,0
5213,r250,"United States<sup>b</sup> -> New Jersey -> Children and Families, Department of",United States<sup>b</sup>,New Jersey,"Children and Families, Department of",3,237423,181115,56308,0
5213,r251,"United States<sup>b</sup> -> New Jersey -> Corrections, Department of",United States<sup>b</sup>,New Jersey,"Corrections, Department of",3,305895,305895,0,0
5213,r252,"United States<sup>b</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>b</sup>,New Jersey,"Environmental Protection, Department of",3,2608000,1802000,806000,0
5213,r253,"United States<sup>b</sup> -> New Jersey -> Health, Department of",United States<sup>b</sup>,New Jersey,"Health, Department of",3,940186,0,940186,0
5213,r254,United States<sup>b</sup> -> New Jersey -> Pinelands Commission,United States<sup>b</sup>,New Jersey,Pinelands Commission,3,537794,335332,202462,0
5213,r255,"United States<sup>b</sup> -> New Jersey -> Research Initiatives, Office of",United States<sup>b</sup>,New Jersey,"Research Initiatives, Office of",3,13000000,0,13000000,0
5213,r256,"United States<sup>b</sup> -> New Jersey -> Secretary of Higher Education, Office of",United States<sup>b</sup>,New Jersey,"Secretary of Higher Education, Office of",3,3000000,0,3000000,0
5213,r257,"United States<sup>b</sup> -> New Jersey -> Transit, New Jersey",United States<sup>b</sup>,New Jersey,"Transit, New Jersey",3,511533,0,511533,0
5213,r258,"United States<sup>b</sup> -> New Jersey -> Transportation, Department of",United States<sup>b</sup>,New Jersey,"Transportation, Department of",3,2614094,0,2614094,0
5213,r259,United States<sup>b</sup> -> New Mexico,United States<sup>b</sup>,New Mexico,,2,5227599,2594660,2632939,0
5213,r260,"United States<sup>b</sup> -> New Mexico -> Cultural Affairs, Department of",United States<sup>b</sup>,New Mexico,"Cultural Affairs, Department of",3,103000,103000,0,0
5213,r261,"United States<sup>b</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>b</sup>,New Mexico,"Game and Fish, Department of",3,1000000,500000,500000,0
5213,r262,"United States<sup>b</sup> -> New Mexico -> Transportation, Department of",United States<sup>b</sup>,New Mexico,"Transportation, Department of",3,3383320,1991660,1391660,0
5213,r263,United States<sup>b</sup> -> New Mexico -> Western State Air Resources Council,United States<sup>b</sup>,New Mexico,Western State Air Resources Council,3,741279,0,741279,0
5213,r264,United States<sup>b</sup> -> New York,United States<sup>b</sup>,New York,,2,453807331,278751443,175055888,640000
5213,r265,"United States<sup>b</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>b</sup>,New York,"Agriculture and Markets, Department of ",3,6587196,2290000,4297196,0
5213,r266,"United States<sup>b</sup> -> New York -> Economic Development, Department of",United States<sup>b</sup>,New York,"Economic Development, Department of",3,34942880,0,34942880,0
5213,r267,United States<sup>b</sup> -> New York -> Energy Research and Development Authority,United States<sup>b</sup>,New York,Energy Research and Development Authority,3,63800898,8152894,55648004,0
5213,r268,"United States<sup>b</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>b</sup>,New York,"Environmental Conservation, Department of ",3,11066820,4490190,6576630,0
5213,r269,"United States<sup>b</sup> -> New York -> Health, Department of ",United States<sup>b</sup>,New York,"Health, Department of ",3,74723334,32566879,42156455,0
5213,r270,"United States<sup>b</sup> -> New York -> Mental Health, Office of ",United States<sup>b</sup>,New York,"Mental Health, Office of ",3,166944173,144972379,21971794,640000
5213,r271,"United States<sup>b</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>b</sup>,New York,"People with Developmental Disabilities, Office of",3,2136105,2136105,0,0
5213,r272,United States<sup>b</sup> -> New York -> Power Authority,United States<sup>b</sup>,New York,Power Authority,3,11111406,5915635,5195771,0
5213,r273,United States<sup>b</sup> -> New York -> Roswell Park Comprehensive Cancer Center,United States<sup>b</sup>,New York,Roswell Park Comprehensive Cancer Center,3,66297074,66297074,0,0
5213,r274,United States<sup>b</sup> -> New York -> State Museum,United States<sup>b</sup>,New York,State Museum,3,10578496,10089582,488914,0
5213,r275,United States<sup>b</sup> -> New York -> Thoroughbred Breeding and Development Fund Corp.,United States<sup>b</sup>,New York,Thoroughbred Breeding and Development Fund Corp.,3,234030,0,234030,0
5213,r276,"United States<sup>b</sup> -> New York -> Transportation, Department of ",United States<sup>b</sup>,New York,"Transportation, Department of ",3,5384919,1840705,3544214,0
5213,r277,United States<sup>b</sup> -> North Carolina,United States<sup>b</sup>,North Carolina,,2,35892185,17813294,18078891,1000000
5213,r278,"United States<sup>b</sup> -> North Carolina -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,North Carolina,"Agriculture and Consumer Services, Department of",3,15422911,13922911,1500000,1000000
5213,r279,United States<sup>b</sup> -> North Carolina -> Biotechnology Center,United States<sup>b</sup>,North Carolina,Biotechnology Center,3,3810296,0,3810296,0
5213,r280,"United States<sup>b</sup> -> North Carolina -> Environmental Quality, Department of",United States<sup>b</sup>,North Carolina,"Environmental Quality, Department of",3,3621969,1421353,2200616,0
5213,r281,"United States<sup>b</sup> -> North Carolina -> Natural and Cultural Resources, Department of",United States<sup>b</sup>,North Carolina,"Natural and Cultural Resources, Department of",3,2903776,1690939,1212837,0
5213,r282,"United States<sup>b</sup> -> North Carolina -> Transportation, Department of",United States<sup>b</sup>,North Carolina,"Transportation, Department of",3,10033233,778091,9255142,0
5213,r283,United States<sup>b</sup> -> North Carolina -> Wine and Grape Growers Council,United States<sup>b</sup>,North Carolina,Wine and Grape Growers Council,3,100000,0,100000,0
5213,r284,United States<sup>b</sup> -> North Dakota,United States<sup>b</sup>,North Dakota,,2,18065251,346342,17718909,0
5213,r285,"United States<sup>b</sup> -> North Dakota -> Agriculture, Department of",United States<sup>b</sup>,North Dakota,"Agriculture, Department of",3,817049,0,817049,0
5213,r286,United States<sup>b</sup> -> North Dakota -> Dairy Promotion Commission,United States<sup>b</sup>,North Dakota,Dairy Promotion Commission,3,16000,0,16000,0
5213,r287,United States<sup>b</sup> -> North Dakota -> Dry Pea and Lentil Council,United States<sup>b</sup>,North Dakota,Dry Pea and Lentil Council,3,80683,0,80683,0
5213,r288,United States<sup>b</sup> -> North Dakota -> Game and Fish Department,United States<sup>b</sup>,North Dakota,Game and Fish Department,3,789902,0,789902,0
5213,r289,United States<sup>b</sup> -> North Dakota -> Historical Society of North Dakota,United States<sup>b</sup>,North Dakota,Historical Society of North Dakota,3,223743,223743,0,0
5213,r290,United States<sup>b</sup> -> North Dakota -> Industrial Commission,United States<sup>b</sup>,North Dakota,Industrial Commission,3,10111495,0,10111495,0
5213,r291,United States<sup>b</sup> -> North Dakota -> Soybean Council,United States<sup>b</sup>,North Dakota,Soybean Council,3,1163242,0,1163242,0
5213,r292,"United States<sup>b</sup> -> North Dakota -> Transportation, Department of",United States<sup>b</sup>,North Dakota,"Transportation, Department of",3,3635470,122599,3512871,0
5213,r293,United States<sup>b</sup> -> North Dakota -> Wheat Commission,United States<sup>b</sup>,North Dakota,Wheat Commission,3,1227667,0,1227667,0
5213,r294,United States<sup>b</sup> -> Ohio,United States<sup>b</sup>,Ohio,,2,76169661,2005523,74164138,0
5213,r295,United States<sup>b</sup> -> Ohio -> Development Services Agency,United States<sup>b</sup>,Ohio,Development Services Agency,3,63372408,0,63372408,0
5213,r296,"United States<sup>b</sup> -> Ohio -> Education, Department of",United States<sup>b</sup>,Ohio,"Education, Department of",3,460000,0,460000,0
5213,r297,United States<sup>b</sup> -> Ohio -> Environmental Protection Agency,United States<sup>b</sup>,Ohio,Environmental Protection Agency,3,53352,53352,0,0
5213,r298,"United States<sup>b</sup> -> Ohio -> Mental Health and Addictions Services, Department of",United States<sup>b</sup>,Ohio,"Mental Health and Addictions Services, Department of",3,1500000,0,1500000,0
5213,r299,"United States<sup>b</sup> -> Ohio -> Natural Resources, Department of",United States<sup>b</sup>,Ohio,"Natural Resources, Department of",3,3583207,1952171,1631036,0
5213,r300,United States<sup>b</sup> -> Ohio -> Rail Development Commission,United States<sup>b</sup>,Ohio,Rail Development Commission,3,220000,0,220000,0
5213,r301,"United States<sup>b</sup> -> Ohio -> Transportation, Department of",United States<sup>b</sup>,Ohio,"Transportation, Department of",3,6029317,0,6029317,0
5213,r302,United States<sup>b</sup> -> Ohio -> Water Development Authority,United States<sup>b</sup>,Ohio,Water Development Authority,3,951377,0,951377,0
5213,r303,United States<sup>b</sup> -> Oklahoma,United States<sup>b</sup>,Oklahoma,,2,30050338,2015986,28034352,243500
5213,r304,"United States<sup>b</sup> -> Oklahoma -> Advancement of Science and Technology, Center for the ",United States<sup>b</sup>,Oklahoma,"Advancement of Science and Technology, Center for the ",3,8704830,0,8704830,243500
5213,r305,"United States<sup>b</sup> -> Oklahoma -> Agriculture, Food, and Forestry, Department of",United States<sup>b</sup>,Oklahoma,"Agriculture, Food, and Forestry, Department of",3,454578,0,454578,0
5213,r306,United States<sup>b</sup> -> Oklahoma -> Grand River Dam Authority,United States<sup>b</sup>,Oklahoma,Grand River Dam Authority,3,550000,140000,410000,0
5213,r307,"United States<sup>b</sup> -> Oklahoma -> Health, Department of",United States<sup>b</sup>,Oklahoma,"Health, Department of",3,544357,527041,17316,0
5213,r308,"United States<sup>b</sup> -> Oklahoma -> Human Services, Department of",United States<sup>b</sup>,Oklahoma,"Human Services, Department of",3,457147,457147,0,0
5213,r309,United States<sup>b</sup> -> Oklahoma -> Tobacco Settlement Endowment Trust,United States<sup>b</sup>,Oklahoma,Tobacco Settlement Endowment Trust,3,12300000,0,12300000,0
5213,r310,"United States<sup>b</sup> -> Oklahoma -> Transportation, Department of",United States<sup>b</sup>,Oklahoma,"Transportation, Department of",3,5817457,844589,4972868,0
5213,r311,"United States<sup>b</sup> -> Oklahoma -> Wildlife Conservation, Department of",United States<sup>b</sup>,Oklahoma,"Wildlife Conservation, Department of",3,1221969,47209,1174760,0
5213,r312,United States<sup>b</sup> -> Oregon,United States<sup>b</sup>,Oregon,,2,30486113,15852036,14634077,700000
5213,r313,"United States<sup>b</sup> -> Oregon -> Agriculture, Department of",United States<sup>b</sup>,Oregon,"Agriculture, Department of",3,206521,0,206521,0
5213,r314,United States<sup>b</sup> -> Oregon -> Business Oregon,United States<sup>b</sup>,Oregon,Business Oregon,3,9190000,0,9190000,700000
5213,r315,"United States<sup>b</sup> -> Oregon -> Education, Department of",United States<sup>b</sup>,Oregon,"Education, Department of",3,639639,639639,0,0
5213,r316,"United States<sup>b</sup> -> Oregon -> Environmental Quality, Department of",United States<sup>b</sup>,Oregon,"Environmental Quality, Department of",3,433500,433500,0,0
5213,r317,"United States<sup>b</sup> -> Oregon -> Fish and Wildlife, Department of",United States<sup>b</sup>,Oregon,"Fish and Wildlife, Department of",3,12424618,11265588,1159030,0
5213,r318,"United States<sup>b</sup> -> Oregon -> Forestry, Department of",United States<sup>b</sup>,Oregon,"Forestry, Department of",3,694549,449480,245069,0
5213,r319,"United States<sup>b</sup> -> Oregon -> Geology and Mineral Industries, Department of",United States<sup>b</sup>,Oregon,"Geology and Mineral Industries, Department of",3,496117,496117,0,0
5213,r320,"United States<sup>b</sup> -> Oregon -> Human Services, Department of",United States<sup>b</sup>,Oregon,"Human Services, Department of",3,1488479,1488479,0,0
5213,r321,"United States<sup>b</sup> -> Oregon -> Transportation, Department of",United States<sup>b</sup>,Oregon,"Transportation, Department of",3,2460479,81545,2378934,0
5213,r322,United States<sup>b</sup> -> Oregon -> Water Resources Department,United States<sup>b</sup>,Oregon,Water Resources Department,3,1583355,987464,595891,0
5213,r323,United States<sup>b</sup> -> Oregon -> Watershed Enhancement Board,United States<sup>b</sup>,Oregon,Watershed Enhancement Board,3,868856,10224,858632,0
5213,r324,United States<sup>b</sup> -> Pennsylvania,United States<sup>b</sup>,Pennsylvania,,2,103098941,7874722,95224219,0
5213,r325,"United States<sup>b</sup> -> Pennsylvania -> Agriculture, Department of",United States<sup>b</sup>,Pennsylvania,"Agriculture, Department of",3,3877434,0,3877434,0
5213,r326,"United States<sup>b</sup> -> Pennsylvania -> Community and Economic Development, Department of",United States<sup>b</sup>,Pennsylvania,"Community and Economic Development, Department of",3,31350000,0,31350000,0
5213,r327,"United States<sup>b</sup> -> Pennsylvania -> Conservation and Natural Resources, Department of",United States<sup>b</sup>,Pennsylvania,"Conservation and Natural Resources, Department of",3,1248,1248,0,0
5213,r328,"United States<sup>b</sup> -> Pennsylvania -> Environmental Protection, Department of",United States<sup>b</sup>,Pennsylvania,"Environmental Protection, Department of",3,894656,18052,876604,0
5213,r329,United States<sup>b</sup> -> Pennsylvania -> Fish and Boat Commission,United States<sup>b</sup>,Pennsylvania,Fish and Boat Commission,3,270914,161651,109263,0
5213,r330,United States<sup>b</sup> -> Pennsylvania -> Game Commission,United States<sup>b</sup>,Pennsylvania,Game Commission,3,9876885,7358771,2518114,0
5213,r331,"United States<sup>b</sup> -> Pennsylvania -> Health, Department of",United States<sup>b</sup>,Pennsylvania,"Health, Department of",3,53279107,0,53279107,0
5213,r332,United States<sup>b</sup> -> Pennsylvania -> Susquehanna River Basin Commission,United States<sup>b</sup>,Pennsylvania,Susquehanna River Basin Commission,3,335000,335000,0,0
5213,r333,"United States<sup>b</sup> -> Pennsylvania -> Transportation, Department of",United States<sup>b</sup>,Pennsylvania,"Transportation, Department of",3,3213697,0,3213697,0
5213,r334,United States<sup>b</sup> -> Rhode Island,United States<sup>b</sup>,Rhode Island,,2,4594040,3098833,1495207,46478
5213,r335,United States<sup>b</sup> -> Rhode Island -> Commerce Corporation,United States<sup>b</sup>,Rhode Island,Commerce Corporation,3,1119546,0,1119546,0
5213,r336,"United States<sup>b</sup> -> Rhode Island -> Environmental Management, Department of; Marine Fisheries",United States<sup>b</sup>,Rhode Island,"Environmental Management, Department of; Marine Fisheries",3,3097546,2799416,298130,46478
5213,r337,"United States<sup>b</sup> -> Rhode Island -> Environmental Management, Department of; Narragansett Bay National Estuarine Research Reserve",United States<sup>b</sup>,Rhode Island,"Environmental Management, Department of; Narragansett Bay National Estuarine Research Reserve",3,76014,76014,0,0
5213,r338,United States<sup>b</sup> -> Rhode Island -> Water Resources Board,United States<sup>b</sup>,Rhode Island,Water Resources Board,3,300934,223403,77531,0
5213,r339,United States<sup>b</sup> -> South Carolina,United States<sup>b</sup>,South Carolina,,2,46800816,27894342,18906474,450
5213,r340,"United States<sup>b</sup> -> South Carolina -> Agriculture, Department of",United States<sup>b</sup>,South Carolina,"Agriculture, Department of",3,803873,0,803873,0
5213,r341,"United States<sup>b</sup> -> South Carolina -> Disabilities and Special Needs, Department of",United States<sup>b</sup>,South Carolina,"Disabilities and Special Needs, Department of",3,14226376,0,14226376,0
5213,r342,"United States<sup>b</sup> -> South Carolina -> Health and Environmental Control, Department of",United States<sup>b</sup>,South Carolina,"Health and Environmental Control, Department of",3,1388752,1233275,155477,0
5213,r343,"United States<sup>b</sup> -> South Carolina -> Natural Resources, Department of",United States<sup>b</sup>,South Carolina,"Natural Resources, Department of",3,25080757,24796999,283758,450
5213,r344,United States<sup>b</sup> -> South Carolina -> Public Service Authority,United States<sup>b</sup>,South Carolina,Public Service Authority,3,30000,0,30000,0
5213,r345,United States<sup>b</sup> -> South Carolina -> Research Authority,United States<sup>b</sup>,South Carolina,Research Authority,3,726551,0,726551,0
5213,r346,United States<sup>b</sup> -> South Carolina -> Sea Grant Consortium,United States<sup>b</sup>,South Carolina,Sea Grant Consortium,3,2742872,1843674,899198,0
5213,r347,"United States<sup>b</sup> -> South Carolina -> Transportation, Department of",United States<sup>b</sup>,South Carolina,"Transportation, Department of",3,1801635,20394,1781241,0
5213,r348,United States<sup>b</sup> -> South Dakota,United States<sup>b</sup>,South Dakota,,2,2913274,327346,2585928,0
5213,r349,United States<sup>b</sup> -> South Dakota -> Corn Utilization Council,United States<sup>b</sup>,South Dakota,Corn Utilization Council,3,310000,0,310000,0
5213,r350,United States<sup>b</sup> -> South Dakota -> Oilseeds Council,United States<sup>b</sup>,South Dakota,Oilseeds Council,3,250865,0,250865,0
5213,r351,United States<sup>b</sup> -> South Dakota -> Pulse Crop Council,United States<sup>b</sup>,South Dakota,Pulse Crop Council,3,2273,0,2273,0
5213,r352,United States<sup>b</sup> -> South Dakota -> Science and Technology Authority,United States<sup>b</sup>,South Dakota,Science and Technology Authority,3,16021,0,16021,0
5213,r353,United States<sup>b</sup> -> South Dakota -> Soybean Research and Promotion Council,United States<sup>b</sup>,South Dakota,Soybean Research and Promotion Council,3,375717,25724,349993,0
5213,r354,"United States<sup>b</sup> -> South Dakota -> Transportation, Department of",United States<sup>b</sup>,South Dakota,"Transportation, Department of",3,1321098,301622,1019476,0
