table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_paid_for_by_the_company,field_foreign_owner,field_another_u_s_company,field_other_businesses_outside_the_united_states,field_u_s_university_or_college,field_u_s_nonprofit_organization,field_u_s_federal_government,field_u_s_state_or_local_government,field_all_other_organizations_outside_the_united_states
5623,r036,All states -> North Dakota,All states,North Dakota,2,"['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r037,All states -> Ohio,All states,Ohio,2,"['    57,088 ', '&nbsp;']","['    32,478 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    11,543 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r038,All states -> Oklahoma,All states,Oklahoma,2,"['    17,412 ', '&nbsp;']","['    16,829 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r039,All states -> Oregon,All states,Oregon,2,"['    63,553 ', '&nbsp;']","['    53,336 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['    157,350 ', '&nbsp;']","['    128,045 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    24,072 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r041,All states -> Rhode Island,All states,Rhode Island,2,"['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r042,All states -> South Carolina,All states,South Carolina,2,"['    26,743 ', '&nbsp;']","['    23,038 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5623,r043,All states -> South Dakota,All states,South Dakota,2,"['    9,195 ', '&nbsp;']","['    9,195 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r044,All states -> Tennessee,All states,Tennessee,2,"['    19,054 ', '&nbsp;']","['    17,952 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r045,All states -> Texas,All states,Texas,2,"['    265,339 ', '&nbsp;']","['    232,449 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    21,143 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r046,All states -> Utah,All states,Utah,2,"['    41,705 ', 'r']","['    12,304 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r047,All states -> Vermont,All states,Vermont,2,"['    10,559 ', '&nbsp;']","['    6,662 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r048,All states -> Virginia,All states,Virginia,2,"['    82,654 ', '&nbsp;']","['    55,984 ', '&nbsp;']","['    0 ', '&nbsp;']","['    8,256 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    14,280 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r049,All states -> Washington,All states,Washington,2,"['    221,251 ', '&nbsp;']","['    140,261 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    26,547 ', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
5623,r050,All states -> West Virginia,All states,West Virginia,2,"['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r051,All states -> Wisconsin,All states,Wisconsin,2,"['    41,172 ', '&nbsp;']","['    32,437 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    7,857 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r052,All states -> Wyoming,All states,Wyoming,2,"['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
5623,r053,All states -> Undistributed,All states,Undistributed,2,"['D', '&nbsp;']","['D', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['    0 ', '&nbsp;']"
