table_id,row_id,debt_level_and_broad_field_of_study_full_path,debt_level_and_broad_field_of_study_level_1,debt_level_and_broad_field_of_study_level_2,debt_level_and_broad_field_of_study_level_3,debt_level_and_broad_field_of_study_level_4,debt_level_and_broad_field_of_study_hierarchy_depth,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1767,r012,All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,No debt,4,3591,3575,3734,3833,3831,4023,4164,4530,4585,4826
1767,r013,"All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,"$10,000 or less",4,434,384,401,426,421,404,460,484,392,446
1767,r014,"All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,"$10,001&#8211;$30,000",4,348,333,353,377,380,365,324,335,298,269
1767,r015,"All doctorate recipients -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Physical sciences and earth sciences,"$30,001 or more",4,376,337,412,373,373,411,380,399,351,332
1767,r016,All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences,All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,,3,2911,2956,2999,3149,3273,3415,3407,3589,3468,3679
1767,r017,All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,No debt,4,2335,2358,2381,2505,2633,2685,2747,2885,2835,3049
1767,r018,"All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,"$10,000 or less",4,193,174,217,202,204,238,222,190,218,215
1767,r019,"All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,"$10,001&#8211;$30,000",4,164,171,178,187,182,189,175,217,175,171
1767,r020,"All doctorate recipients -> Life sciences<sup>a</sup> -> Mathematics and computer sciences -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Mathematics and computer sciences,"$30,001 or more",4,219,253,223,255,254,303,263,297,240,244
1767,r021,All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences,All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,,3,7105,7095,7363,7598,7442,7435,7853,8071,7957,7933
1767,r022,All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,No debt,4,3444,3415,3523,3560,3446,3431,3636,3964,4057,4173
1767,r023,"All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,"$10,000 or less",4,603,556,630,657,615,609,670,687,643,613
1767,r024,"All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,"$10,001&#8211;$30,000",4,865,866,882,983,880,860,947,881,840,737
1767,r025,"All doctorate recipients -> Life sciences<sup>a</sup> -> Psychology and social sciences -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Psychology and social sciences,"$30,001 or more",4,2193,2258,2328,2398,2501,2535,2600,2539,2417,2410
1767,r026,All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering,All doctorate recipients,Life sciences<sup>a</sup>,Engineering,,3,7034,6989,7363,7747,7964,8445,8827,8548,8854,9296
1767,r027,All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Engineering,No debt,4,5340,5347,5654,5907,5981,6426,6787,6554,7035,7494
1767,r028,"All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Engineering,"$10,000 or less",4,609,581,635,692,706,746,774,759,678,715
1767,r029,"All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Engineering,"$10,001&#8211;$30,000",4,550,528,504,549,615,617,613,568,520,518
1767,r030,"All doctorate recipients -> Life sciences<sup>a</sup> -> Engineering -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Engineering,"$30,001 or more",4,535,533,570,599,662,656,653,667,621,569
1767,r031,All doctorate recipients -> Life sciences<sup>a</sup> -> Education,All doctorate recipients,Life sciences<sup>a</sup>,Education,,3,5898,4766,4255,4397,4300,4079,4490,4618,4299,4365
1767,r032,All doctorate recipients -> Life sciences<sup>a</sup> -> Education -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Education,No debt,4,2967,2445,2152,2115,1898,1725,1942,2036,1893,1956
1767,r033,"All doctorate recipients -> Life sciences<sup>a</sup> -> Education -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Education,"$10,000 or less",4,488,365,312,373,361,347,396,368,340,340
1767,r034,"All doctorate recipients -> Life sciences<sup>a</sup> -> Education -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Education,"$10,001&#8211;$30,000",4,727,556,542,534,574,502,555,557,483,480
1767,r035,"All doctorate recipients -> Life sciences<sup>a</sup> -> Education -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Education,"$30,001 or more",4,1716,1400,1249,1375,1467,1505,1597,1657,1583,1589
1767,r036,All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts,All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,,3,4449,4577,4808,5059,4974,4771,4939,4951,4734,4615
1767,r037,All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,No debt,4,2264,2383,2459,2451,2431,2325,2437,2549,2544,2554
1767,r038,"All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,"$10,000 or less",4,472,434,477,539,525,450,543,466,444,457
1767,r039,"All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,"$10,001&#8211;$30,000",4,612,569,657,671,667,629,633,611,509,483
1767,r040,"All doctorate recipients -> Life sciences<sup>a</sup> -> Humanities and arts -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Humanities and arts,"$30,001 or more",4,1101,1191,1215,1398,1351,1367,1326,1325,1237,1121
1767,r041,All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup>,All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,,3,2484,2420,2420,2416,2624,2554,2609,2609,2675,2535
1767,r042,All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup> -> No debt,All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,No debt,4,1343,1314,1309,1268,1345,1291,1366,1362,1443,1423
1767,r043,"All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup> -> $10,000 or less",All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,"$10,000 or less",4,186,167,172,198,195,188,184,202,171,174
1767,r044,"All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup> -> $10,001&#8211;$30,000",All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,"$10,001&#8211;$30,000",4,297,271,289,263,295,276,274,267,254,252
1767,r045,"All doctorate recipients -> Life sciences<sup>a</sup> -> Other<sup>b</sup> -> $30,001 or more",All doctorate recipients,Life sciences<sup>a</sup>,Other<sup>b</sup>,"$30,001 or more",4,658,668,650,687,789,799,785,778,807,686
