table_id,row_id,occupation_and_employment_status_full_path,occupation_and_employment_status_level_1,occupation_and_employment_status_level_2,occupation_and_employment_status_level_3,occupation_and_employment_status_level_4,occupation_and_employment_status_hierarchy_depth,field_total_number,field_total_se,field_male_number,field_male_se,field_female_number,field_female_se
8212,r043,All occupations -> Science occupations -> Social scientists,All occupations,Science occupations,Social scientists,,3,81200,1225,44200,975,37000,800
8212,r044,All occupations -> Science occupations -> Social scientists -> Full time,All occupations,Science occupations,Social scientists,Full time,4,60750,1000,33000,850,27750,650
8212,r045,All occupations -> Science occupations -> Social scientists -> Part time,All occupations,Science occupations,Social scientists,Part time,4,7700,475,3900,375,3850,275
8212,r046,All occupations -> Science occupations -> Social scientists -> Unemployed<sup>a</sup>,All occupations,Science occupations,Social scientists,Unemployed<sup>a</sup>,4,1400,225,800,200,600,150
8212,r047,All occupations -> Science occupations -> Social scientists -> Retired,All occupations,Science occupations,Social scientists,Retired,4,10050,550,6150,425,3850,325
8212,r048,All occupations -> Science occupations -> Social scientists -> Not employed or not seeking work<sup>b</sup>,All occupations,Science occupations,Social scientists,Not employed or not seeking work<sup>b</sup>,4,1300,225,400,125,950,200
8212,r049,All occupations -> Engineering occupations,All occupations,Engineering occupations,,,2,138100,1575,115050,1525,23050,650
8212,r050,All occupations -> Engineering occupations -> Full time,All occupations,Engineering occupations,Full time,,3,116050,1525,96100,1500,19950,625
8212,r051,All occupations -> Engineering occupations -> Part time,All occupations,Engineering occupations,Part time,,3,6750,475,5600,450,1150,125
8212,r052,All occupations -> Engineering occupations -> Unemployed<sup>a</sup>,All occupations,Engineering occupations,Unemployed<sup>a</sup>,,3,2150,275,1700,250,450,125
8212,r053,All occupations -> Engineering occupations -> Retired,All occupations,Engineering occupations,Retired,,3,11850,600,11000,575,850,150
8212,r054,All occupations -> Engineering occupations -> Not employed or not seeking work<sup>b</sup>,All occupations,Engineering occupations,Not employed or not seeking work<sup>b</sup>,,3,1250,200,650,150,650,125
8212,r055,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,2,119200,1700,66750,1350,52450,1100
8212,r056,All occupations -> S&E-related occupations -> Full time,All occupations,S&E-related occupations,Full time,,3,91200,1425,52900,1100,38300,975
8212,r057,All occupations -> S&E-related occupations -> Part time,All occupations,S&E-related occupations,Part time,,3,9300,600,3950,400,5300,400
8212,r058,All occupations -> S&E-related occupations -> Unemployed<sup>a</sup>,All occupations,S&E-related occupations,Unemployed<sup>a</sup>,,3,2000,225,1050,200,950,150
8212,r059,All occupations -> S&E-related occupations -> Retired,All occupations,S&E-related occupations,Retired,,3,14650,675,7950,475,6750,425
8212,r060,All occupations -> S&E-related occupations -> Not employed or not seeking work<sup>b</sup>,All occupations,S&E-related occupations,Not employed or not seeking work<sup>b</sup>,,3,2050,300,900,200,1150,200
8212,r061,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,2,178900,1950,102450,1550,76450,1075
8212,r062,All occupations -> Non-S&E occupations -> Full time,All occupations,Non-S&E occupations,Full time,,3,124450,1825,72100,1525,52300,900
8212,r063,All occupations -> Non-S&E occupations -> Part time,All occupations,Non-S&E occupations,Part time,,3,22200,750,11200,550,10950,550
8212,r064,All occupations -> Non-S&E occupations -> Unemployed<sup>a</sup>,All occupations,Non-S&E occupations,Unemployed<sup>a</sup>,,3,4300,400,2450,275,1850,250
8212,r065,All occupations -> Non-S&E occupations -> Retired,All occupations,Non-S&E occupations,Retired,,3,24600,850,15550,700,9000,425
8212,r066,All occupations -> Non-S&E occupations -> Not employed or not seeking work<sup>b</sup>,All occupations,Non-S&E occupations,Not employed or not seeking work<sup>b</sup>,,3,3450,275,1100,150,2300,250
