table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_fy_2020,field_fy_2021,field_fy_2022
12384,r037,All states -> Ohio,All states,Ohio,2,"['190,581', '  ']","['216,283', '  ']","['258,197', '  ']"
12384,r038,All states -> Oklahoma,All states,Oklahoma,2,"['12,166', '  ']","['14,560', '  ']","['14,021', '  ']"
12384,r039,All states -> Oregon,All states,Oregon,2,"['16,341', '  ']","['18,004', '  ']","['15,605', '  ']"
12384,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['226,964', '  ']","['97,447', '  ']","['100,984', '  ']"
12384,r041,All states -> Rhode Island,All states,Rhode Island,2,"['24,068', 'i ']","['16,832', '  ']","['24,616', '  ']"
12384,r042,All states -> South Carolina,All states,South Carolina,2,"['7,425', '  ']","['36,280', '  ']","['42,377', '  ']"
12384,r043,All states -> South Dakota,All states,South Dakota,2,"['549', '  ']","['390', '  ']","['39,421', '  ']"
12384,r044,All states -> Tennessee,All states,Tennessee,2,"['198,477', '  ']","['86,959', '  ']","['45,133', '  ']"
12384,r045,All states -> Texas,All states,Texas,2,"['196,361', '  ']","['156,896', '  ']","['139,179', '  ']"
12384,r046,All states -> Utah,All states,Utah,2,"['43,083', '  ']","['48,603', '  ']","['53,858', '  ']"
12384,r047,All states -> Vermont,All states,Vermont,2,"['59', '  ']","['2,394', '  ']","['57', '  ']"
12384,r048,All states -> Virginia,All states,Virginia,2,"['71,124', '  ']","['72,513', '  ']","['65,207', '  ']"
12384,r049,All states -> Washington,All states,Washington,2,"['178,904', '  ']","['187,685', '  ']","['345,879', '  ']"
12384,r050,All states -> West Virginia,All states,West Virginia,2,"['1,181', '  ']","['158', '  ']","['181', '  ']"
12384,r051,All states -> Wisconsin,All states,Wisconsin,2,"['122,882', '  ']","['677,103', '  ']","['44,422', '  ']"
12384,r052,All states -> Wyoming,All states,Wyoming,2,"['152', '  ']","['152', '  ']","['131', '  ']"
