table_id,row_id,institution_type_and_field_full_path,institution_type_and_field_level_1,institution_type_and_field_level_2,institution_type_and_field_level_3,institution_type_and_field_level_4,institution_type_and_field_level_5,institution_type_and_field_level_6,institution_type_and_field_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
3253,r019,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science ,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,,5,61,52,42,62,75,96,91,119,89,118,165
3253,r020,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Agricultural sciences,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Agricultural sciences,6,11,11,15,17,23,31,30,32,17,36,47
3253,r021,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Biological sciences,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Biological sciences,6,0,0,0,0,0,2,0,3,0,2,5
3253,r022,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Computer sciences,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Computer sciences,6,5,5,5,1,6,4,12,12,5,8,19
3253,r023,"All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Earth, atmospheric, and ocean sciences",All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,"Earth, atmospheric, and ocean sciences",6,0,0,0,0,0,0,1,1,1,1,3
3253,r024,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Mathematics and statistics,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Mathematics and statistics,6,0,0,0,0,0,0,0,0,0,0,0
3253,r025,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Physical sciences,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Physical sciences,6,0,0,0,0,0,0,0,0,0,0,0
3253,r026,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Psychology,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Psychology,6,0,0,0,2,1,1,3,3,2,5,15
3253,r027,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Social sciences,All institutions,Tribal colleges and universities,All fields                       ,S&E,Science ,Social sciences,6,45,36,22,42,45,58,45,68,64,66,76
3253,r028,All institutions -> Tribal colleges and universities -> All fields                        -> S&E -> Engineering ,All institutions,Tribal colleges and universities,All fields                       ,S&E,Engineering ,,5,0,0,0,0,0,0,0,0,3,1,5
3253,r029,All institutions -> Tribal colleges and universities -> All fields                        -> Non-S&E,All institutions,Tribal colleges and universities,All fields                       ,Non-S&E,,,4,112,108,135,138,178,188,204,202,209,222,206
3253,r030,Percent,Percent,,,,,,1,,,,,,,,,,,
3253,r031,Tribal colleges and universities,Tribal colleges and universities,,,,,,1,,,,,,,,,,,
3253,r032,Tribal colleges and universities -> All fields                       ,Tribal colleges and universities,All fields                       ,,,,,2,1.61,1.4,1.54,1.8,2.36,2.64,2.89,3.31,3.23,3.71,4.25
3253,r033,Tribal colleges and universities -> All fields                        -> S&E,Tribal colleges and universities,All fields                       ,S&E,,,,3,1.8,1.46,1.16,1.8,2.2,2.79,2.85,4.0,3.14,4.18,5.98
3253,r034,Tribal colleges and universities -> All fields                        -> S&E -> Science ,Tribal colleges and universities,All fields                       ,S&E,Science ,,,4,2.0,1.62,1.29,1.99,2.42,3.11,3.17,4.48,3.4,4.63,6.64
3253,r035,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Agricultural sciences,Tribal colleges and universities,All fields                       ,S&E,Science ,Agricultural sciences,,5,6.4,5.31,8.57,9.34,10.8,13.78,15.54,15.53,9.34,17.56,20.35
3253,r036,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Biological sciences,Tribal colleges and universities,All fields                       ,S&E,Science ,Biological sciences,,5,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.69,0.0,0.44,1.11
3253,r037,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Computer sciences,Tribal colleges and universities,All fields                       ,S&E,Science ,Computer sciences,,5,2.26,2.35,2.02,0.44,2.6,1.5,4.32,4.27,2.18,3.14,7.6
3253,r038,"Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Earth, atmospheric, and ocean sciences",Tribal colleges and universities,All fields                       ,S&E,Science ,"Earth, atmospheric, and ocean sciences",,5,0.0,0.0,0.0,0.0,0.0,0.0,2.33,2.27,2.78,2.7,6.52
3253,r039,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Mathematics and statistics,Tribal colleges and universities,All fields                       ,S&E,Science ,Mathematics and statistics,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3253,r040,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Physical sciences,Tribal colleges and universities,All fields                       ,S&E,Science ,Physical sciences,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3253,r041,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Psychology,Tribal colleges and universities,All fields                       ,S&E,Science ,Psychology,,5,0.0,0.0,0.0,0.31,0.14,0.15,0.45,0.5,0.32,0.82,2.74
3253,r042,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Social sciences,Tribal colleges and universities,All fields                       ,S&E,Science ,Social sciences,,5,3.46,2.66,1.68,3.23,3.82,4.89,4.35,7.2,6.92,7.72,9.34
3253,r043,Tribal colleges and universities -> All fields                        -> S&E -> Science  -> Engineering ,Tribal colleges and universities,All fields                       ,S&E,Science ,Engineering ,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.34,1.4
3253,r044,Tribal colleges and universities -> All fields                        -> Non-S&E,Tribal colleges and universities,All fields                       ,Non-S&E,,,,3,1.52,1.38,1.72,1.8,2.43,2.57,2.91,3.0,3.27,3.5,3.44
