table_id,row_id,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,sex_and_demographic_characteristic_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
1277,r017,"Employed scientists and engineers (number) -> If married, spouse's employment status -> Employed",Employed scientists and engineers (number),"If married, spouse's employment status",Employed,,,3,77.4,79.0,74.2,73.6,79.7,75.6,77.8,78.2
1277,r018,"Employed scientists and engineers (number) -> If married, spouse's employment status -> Employed -> Full time",Employed scientists and engineers (number),"If married, spouse's employment status",Employed,Full time,,4,64.6,67.8,62.9,63.5,69.6,65.9,64.2,60.1
1277,r019,"Employed scientists and engineers (number) -> If married, spouse's employment status -> Employed -> Part time",Employed scientists and engineers (number),"If married, spouse's employment status",Employed,Part time,,4,12.8,11.2,12.9,10.1,10.1,7.3,13.6,18.1
1277,r020,"Employed scientists and engineers (number) -> If married, spouse's employment status -> Not employed",Employed scientists and engineers (number),"If married, spouse's employment status",Not employed,,,3,22.6,21.1,24.2,26.3,20.3,24.4,22.2,21.8
1277,r021,"Employed scientists and engineers (number) -> If spouse is employed, field in which spouse's job required a bachelor's",Employed scientists and engineers (number),"If spouse is employed, field in which spouse's job required a bachelor's",,,,2,,,,,,,,
1277,r022,"Employed scientists and engineers (number) -> If spouse is employed, field in which spouse's job required a bachelor's -> Engineering, computer science, math, or natural sciences",Employed scientists and engineers (number),"If spouse is employed, field in which spouse's job required a bachelor's","Engineering, computer science, math, or natural sciences",,,3,26.5,26.5,23.9,50.2,19.4,16.1,22.7,25.3
1277,r023,"Employed scientists and engineers (number) -> If spouse is employed, field in which spouse's job required a bachelor's -> Social sciences",Employed scientists and engineers (number),"If spouse is employed, field in which spouse's job required a bachelor's",Social sciences,,,3,12.5,15.3,8.7,8.6,12.5,16.1,12.9,13.3
1277,r024,"Employed scientists and engineers (number) -> If spouse is employed, field in which spouse's job required a bachelor's -> Other",Employed scientists and engineers (number),"If spouse is employed, field in which spouse's job required a bachelor's",Other,,,3,39.0,38.8,41.3,34.5,42.5,38.7,39.7,36.1
1277,r025,Employed scientists and engineers (number) -> Children living in household,Employed scientists and engineers (number),Children living in household,,,,2,,,,,,,,
1277,r026,Employed scientists and engineers (number) -> Children living in household -> No,Employed scientists and engineers (number),Children living in household,No,,,3,52.5,52.0,45.6,44.6,49.5,44.8,54.2,60.4
1277,r027,Employed scientists and engineers (number) -> Children living in household -> Yes,Employed scientists and engineers (number),Children living in household,Yes,,,3,47.6,48.1,54.4,55.4,50.5,55.2,45.8,39.4
1277,r028,Employed scientists and engineers (number) -> Citizenship,Employed scientists and engineers (number),Citizenship,,,,2,,,,,,,,
1277,r029,Employed scientists and engineers (number) -> Citizenship -> U.S. citizen,Employed scientists and engineers (number),Citizenship,U.S. citizen,,,3,92.8,90.2,100.0,66.0,94.9,91.0,97.8,98.2
1277,r030,Employed scientists and engineers (number) -> Citizenship -> U.S. citizen -> Native,Employed scientists and engineers (number),Citizenship,U.S. citizen,Native,,4,80.4,68.1,100.0,19.1,79.6,59.7,93.2,92.1
1277,r031,Employed scientists and engineers (number) -> Citizenship -> U.S. citizen -> Naturalized,Employed scientists and engineers (number),Citizenship,U.S. citizen,Naturalized,,4,12.4,22.0,,46.9,15.3,31.3,4.5,6.3
1277,r032,Employed scientists and engineers (number) -> Citizenship -> Non-U.S. citizen,Employed scientists and engineers (number),Citizenship,Non-U.S. citizen,,,3,7.2,9.8,,34.0,5.1,9.0,2.2,1.6
1277,r033,Employed scientists and engineers (number) -> Citizenship -> Non-U.S. citizen -> Permanent resident,Employed scientists and engineers (number),Citizenship,Non-U.S. citizen,Permanent resident,,4,4.0,7.0,,14.7,4.1,9.0,1.6,1.0
1277,r034,Employed scientists and engineers (number) -> Citizenship -> Non-U.S. citizen -> Temporary resident,Employed scientists and engineers (number),Citizenship,Non-U.S. citizen,Temporary resident,,4,3.3,2.8,,19.3,1.0,,0.6,S
1277,r035,Employed scientists and engineers (number) -> Female,Employed scientists and engineers (number),Female,,,,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1277,r036,Employed scientists and engineers (number) -> Female -> Age (years),Employed scientists and engineers (number),Female,Age (years),,,3,,,,,,,,
1277,r037,Employed scientists and engineers (number) -> Female -> Age (years) -> 29 and younger,Employed scientists and engineers (number),Female,Age (years),29 and younger,,4,17.5,23.8,5.4,18.4,14.7,13.8,16.4,31.8
1277,r038,Employed scientists and engineers (number) -> Female -> Age (years) -> 30&#8211;39,Employed scientists and engineers (number),Female,Age (years),30&#8211;39,,4,27.5,29.6,37.8,33.5,27.9,37.9,25.7,36.9
1277,r039,Employed scientists and engineers (number) -> Female -> Age (years) -> 40&#8211;49,Employed scientists and engineers (number),Female,Age (years),40&#8211;49,,4,23.2,23.0,29.7,26.5,26.1,27.6,22.5,15.7
1277,r040,Employed scientists and engineers (number) -> Female -> Age (years) -> 50&#8211;75,Employed scientists and engineers (number),Female,Age (years),50&#8211;75,,4,31.8,23.5,27.0,21.7,31.2,20.7,35.4,15.7
1277,r041,Employed scientists and engineers (number) -> Female -> Disability status,Employed scientists and engineers (number),Female,Disability status,,,3,,,,,,,,
1277,r042,Employed scientists and engineers (number) -> Female -> Disability status -> Without disability,Employed scientists and engineers (number),Female,Disability status,Without disability,,4,90.6,88.3,83.8,92.8,89.2,89.7,90.9,88.3
1277,r043,Employed scientists and engineers (number) -> Female -> Disability status -> With disability,Employed scientists and engineers (number),Female,Disability status,With disability,,4,9.4,11.6,S,7.2,10.8,S,9.1,12.0
1277,r044,Employed scientists and engineers (number) -> Female -> Marital status,Employed scientists and engineers (number),Female,Marital status,,,3,,,,,,,,
1277,r045,Employed scientists and engineers (number) -> Female -> Marital status -> Married,Employed scientists and engineers (number),Female,Marital status,Married,,4,66.1,59.9,78.4,73.3,40.9,48.3,69.4,55.5
1277,r046,Employed scientists and engineers (number) -> Female -> Marital status -> Widowed,Employed scientists and engineers (number),Female,Marital status,Widowed,,4,1.5,1.4,,0.5,1.1,,1.8,S
1277,r047,Employed scientists and engineers (number) -> Female -> Marital status -> Separated,Employed scientists and engineers (number),Female,Marital status,Separated,,4,1.3,2.6,S,0.4,2.7,,1.0,1.5
1277,r048,Employed scientists and engineers (number) -> Female -> Marital status -> Divorced,Employed scientists and engineers (number),Female,Marital status,Divorced,,4,9.3,9.9,5.4,3.4,15.9,13.8,9.4,8.0
1277,r049,Employed scientists and engineers (number) -> Female -> Marital status -> Never married,Employed scientists and engineers (number),Female,Marital status,Never married,,4,21.8,26.1,10.8,22.4,39.4,34.5,18.3,34.3
1277,r050,"Employed scientists and engineers (number) -> Female -> If married, spouse's employment status",Employed scientists and engineers (number),Female,"If married, spouse's employment status",,,3,,,,,,,,
1277,r051,"Employed scientists and engineers (number) -> Female -> If married, spouse's employment status -> Employed",Employed scientists and engineers (number),Female,"If married, spouse's employment status",Employed,,4,87.0,86.2,75.9,87.7,84.7,92.9,87.2,88.2
1277,r052,"Employed scientists and engineers (number) -> Female -> If married, spouse's employment status -> Employed -> Full time",Employed scientists and engineers (number),Female,"If married, spouse's employment status",Employed,Full time,5,80.8,81.0,72.4,82.3,79.2,85.7,80.9,70.4
1277,r053,"Employed scientists and engineers (number) -> Female -> If married, spouse's employment status -> Employed -> Part time",Employed scientists and engineers (number),Female,"If married, spouse's employment status",Employed,Part time,5,6.2,5.3,S,5.5,5.5,S,6.3,17.8
1277,r054,"Employed scientists and engineers (number) -> Female -> If married, spouse's employment status -> Not employed",Employed scientists and engineers (number),Female,"If married, spouse's employment status",Not employed,,4,13.0,13.8,S,12.2,15.3,,12.8,11.8
1277,r055,"Employed scientists and engineers (number) -> Female -> If spouse is employed, field in which spouse's job required a bachelor's",Employed scientists and engineers (number),Female,"If spouse is employed, field in which spouse's job required a bachelor's",,,3,,,,,,,,
1277,r056,"Employed scientists and engineers (number) -> Female -> If spouse is employed, field in which spouse's job required a bachelor's -> Engineering, computer science, math, or natural sciences",Employed scientists and engineers (number),Female,"If spouse is employed, field in which spouse's job required a bachelor's","Engineering, computer science, math, or natural sciences",,4,32.3,32.6,22.7,57.8,20.5,23.1,28.5,28.4
1277,r057,"Employed scientists and engineers (number) -> Female -> If spouse is employed, field in which spouse's job required a bachelor's -> Social sciences",Employed scientists and engineers (number),Female,"If spouse is employed, field in which spouse's job required a bachelor's",Social sciences,,4,9.2,11.9,S,7.2,9.7,S,9.3,8.2
1277,r058,"Employed scientists and engineers (number) -> Female -> If spouse is employed, field in which spouse's job required a bachelor's -> Other",Employed scientists and engineers (number),Female,"If spouse is employed, field in which spouse's job required a bachelor's",Other,,4,33.8,34.0,36.4,30.8,29.2,38.5,34.8,29.9
1277,r059,Employed scientists and engineers (number) -> Female -> Children living in household,Employed scientists and engineers (number),Female,Children living in household,,,3,,,,,,,,
1277,r060,Employed scientists and engineers (number) -> Female -> Children living in household -> No,Employed scientists and engineers (number),Female,Children living in household,No,,4,52.9,53.6,32.4,47.3,49.3,48.3,54.2,59.9
1277,r061,Employed scientists and engineers (number) -> Female -> Children living in household -> Yes,Employed scientists and engineers (number),Female,Children living in household,Yes,,4,47.1,46.3,67.6,52.7,50.7,55.2,45.8,40.1
1277,r062,Employed scientists and engineers (number) -> Female -> Citizenship,Employed scientists and engineers (number),Female,Citizenship,,,3,,,,,,,,
1277,r063,Employed scientists and engineers (number) -> Female -> Citizenship -> U.S. citizen,Employed scientists and engineers (number),Female,Citizenship,U.S. citizen,,4,94.8,93.5,100.0,71.6,97.3,100.0,98.5,98.5
1277,r064,Employed scientists and engineers (number) -> Female -> Citizenship -> U.S. citizen -> Native,Employed scientists and engineers (number),Female,Citizenship,U.S. citizen,Native,5,82.9,72.8,100.0,22.3,85.3,62.1,94.6,91.2
1277,r065,Employed scientists and engineers (number) -> Female -> Citizenship -> U.S. citizen -> Naturalized,Employed scientists and engineers (number),Female,Citizenship,U.S. citizen,Naturalized,5,11.8,20.8,,49.3,12.0,34.5,4.0,7.3
1277,r066,Employed scientists and engineers (number) -> Female -> Citizenship -> Non-U.S. citizen,Employed scientists and engineers (number),Female,Citizenship,Non-U.S. citizen,,4,5.2,6.5,,28.4,2.7,,1.5,1.5
1277,r067,Employed scientists and engineers (number) -> Female -> Citizenship -> Non-U.S. citizen -> Permanent resident,Employed scientists and engineers (number),Female,Citizenship,Non-U.S. citizen,Permanent resident,5,3.1,5.1,,14.5,1.8,,1.1,0.7
1277,r068,Employed scientists and engineers (number) -> Female -> Citizenship -> Non-U.S. citizen -> Temporary resident,Employed scientists and engineers (number),Female,Citizenship,Non-U.S. citizen,Temporary resident,5,2.1,1.4,,14.0,0.9,,0.3,
1277,r069,Employed scientists and engineers (number) -> Male,Employed scientists and engineers (number),Male,,,,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1277,r070,Employed scientists and engineers (number) -> Male -> Age (years),Employed scientists and engineers (number),Male,Age (years),,,3,,,,,,,,
1277,r071,Employed scientists and engineers (number) -> Male -> Age (years) -> 29 and younger,Employed scientists and engineers (number),Male,Age (years),29 and younger,,4,12.3,17.0,S,14.7,11.7,10.8,11.3,17.2
1277,r072,Employed scientists and engineers (number) -> Male -> Age (years) -> 30&#8211;39,Employed scientists and engineers (number),Male,Age (years),30&#8211;39,,4,25.5,28.0,9.5,31.8,29.3,16.2,23.4,38.5
1277,r073,Employed scientists and engineers (number) -> Male -> Age (years) -> 40&#8211;49,Employed scientists and engineers (number),Male,Age (years),40&#8211;49,,4,22.6,25.4,23.8,27.0,22.7,54.1,21.3,23.1
1277,r074,Employed scientists and engineers (number) -> Male -> Age (years) -> 50&#8211;75,Employed scientists and engineers (number),Male,Age (years),50&#8211;75,,4,39.6,29.5,52.4,26.5,36.4,21.6,44.0,21.3
1277,r075,Employed scientists and engineers (number) -> Male -> Disability status,Employed scientists and engineers (number),Male,Disability status,,,3,,,,,,,,
1277,r076,Employed scientists and engineers (number) -> Male -> Disability status -> Without disability,Employed scientists and engineers (number),Male,Disability status,Without disability,,4,88.8,86.1,83.3,92.6,88.9,94.6,88.2,91.4
1277,r077,Employed scientists and engineers (number) -> Male -> Disability status -> With disability,Employed scientists and engineers (number),Male,Disability status,With disability,,4,11.2,13.9,16.7,7.4,11.1,S,11.8,8.1
1277,r078,Employed scientists and engineers (number) -> Male -> Marital status,Employed scientists and engineers (number),Male,Marital status,,,3,,,,,,,,
1277,r079,Employed scientists and engineers (number) -> Male -> Marital status -> Married,Employed scientists and engineers (number),Male,Marital status,Married,,4,76.4,69.5,78.6,77.1,66.2,73.0,78.1,66.5
1277,r080,Employed scientists and engineers (number) -> Male -> Marital status -> Widowed,Employed scientists and engineers (number),Male,Marital status,Widowed,,4,0.6,0.4,,0.2,0.6,,0.7,
1277,r081,Employed scientists and engineers (number) -> Male -> Marital status -> Separated,Employed scientists and engineers (number),Male,Marital status,Separated,,4,0.7,1.0,,0.3,2.3,,0.6,
1277,r082,Employed scientists and engineers (number) -> Male -> Marital status -> Divorced,Employed scientists and engineers (number),Male,Marital status,Divorced,,4,5.2,7.1,S,2.8,8.2,,5.2,5.9
1277,r083,Employed scientists and engineers (number) -> Male -> Marital status -> Never married,Employed scientists and engineers (number),Male,Marital status,Never married,,4,17.2,22.0,S,19.6,22.8,27.0,15.4,27.1
1277,r084,"Employed scientists and engineers (number) -> Male -> If married, spouse's employment status",Employed scientists and engineers (number),Male,"If married, spouse's employment status",,,3,,,,,,,,
1277,r085,"Employed scientists and engineers (number) -> Male -> If married, spouse's employment status -> Employed",Employed scientists and engineers (number),Male,"If married, spouse's employment status",Employed,,4,69.8,71.9,72.7,63.2,75.4,66.7,70.5,68.0
1277,r086,"Employed scientists and engineers (number) -> Male -> If married, spouse's employment status -> Employed -> Full time",Employed scientists and engineers (number),Male,"If married, spouse's employment status",Employed,Full time,5,51.8,54.9,54.5,49.6,61.2,55.6,51.3,49.0
1277,r087,"Employed scientists and engineers (number) -> Male -> If married, spouse's employment status -> Employed -> Part time",Employed scientists and engineers (number),Male,"If married, spouse's employment status",Employed,Part time,5,18.0,17.0,18.2,13.6,14.0,11.1,19.2,18.4
1277,r088,"Employed scientists and engineers (number) -> Male -> If married, spouse's employment status -> Not employed",Employed scientists and engineers (number),Male,"If married, spouse's employment status",Not employed,,4,30.2,28.2,27.3,36.8,24.6,33.3,29.5,32.0
1277,r089,"Employed scientists and engineers (number) -> Male -> If spouse is employed, field in which spouse's job required a bachelor's",Employed scientists and engineers (number),Male,"If spouse is employed, field in which spouse's job required a bachelor's",,,3,,,,,,,,
1277,r090,"Employed scientists and engineers (number) -> Male -> If spouse is employed, field in which spouse's job required a bachelor's -> Engineering, computer science, math, or natural sciences",Employed scientists and engineers (number),Male,"If spouse is employed, field in which spouse's job required a bachelor's","Engineering, computer science, math, or natural sciences",,4,20.7,19.2,25.0,42.6,18.6,11.1,17.2,21.0
1277,r091,"Employed scientists and engineers (number) -> Male -> If spouse is employed, field in which spouse's job required a bachelor's -> Social sciences",Employed scientists and engineers (number),Male,"If spouse is employed, field in which spouse's job required a bachelor's",Social sciences,,4,15.7,19.2,12.5,10.2,15.2,S,16.3,21.0
1277,r092,"Employed scientists and engineers (number) -> Male -> If spouse is employed, field in which spouse's job required a bachelor's -> Other",Employed scientists and engineers (number),Male,"If spouse is employed, field in which spouse's job required a bachelor's",Other,,4,44.2,44.5,45.8,38.3,55.2,38.9,44.3,44.0
1277,r093,Employed scientists and engineers (number) -> Male -> Children living in household,Employed scientists and engineers (number),Male,Children living in household,,,3,,,,,,,,
1277,r094,Employed scientists and engineers (number) -> Male -> Children living in household -> No,Employed scientists and engineers (number),Male,Children living in household,No,,4,52.0,50.0,57.1,42.5,49.8,43.2,54.1,61.1
1277,r095,Employed scientists and engineers (number) -> Male -> Children living in household -> Yes,Employed scientists and engineers (number),Male,Children living in household,Yes,,4,48.0,49.9,42.9,57.5,50.2,56.8,45.9,38.5
1277,r096,Employed scientists and engineers (number) -> Male -> Citizenship,Employed scientists and engineers (number),Male,Citizenship,,,3,,,,,,,,
1277,r097,Employed scientists and engineers (number) -> Male -> Citizenship -> U.S. citizen,Employed scientists and engineers (number),Male,Citizenship,U.S. citizen,,4,91.0,86.3,100.0,61.7,91.6,86.5,97.1,98.2
1277,r098,Employed scientists and engineers (number) -> Male -> Citizenship -> U.S. citizen -> Native,Employed scientists and engineers (number),Male,Citizenship,U.S. citizen,Native,5,78.0,62.8,100.0,16.7,71.7,59.5,92.1,93.2
1277,r099,Employed scientists and engineers (number) -> Male -> Citizenship -> U.S. citizen -> Naturalized,Employed scientists and engineers (number),Male,Citizenship,U.S. citizen,Naturalized,5,12.9,23.4,,45.0,19.9,27.0,5.0,4.5
1277,r100,Employed scientists and engineers (number) -> Male -> Citizenship -> Non-U.S. citizen,Employed scientists and engineers (number),Male,Citizenship,Non-U.S. citizen,,4,9.0,13.7,,38.4,8.6,S,2.9,1.8
1277,r101,Employed scientists and engineers (number) -> Male -> Citizenship -> Non-U.S. citizen -> Permanent resident,Employed scientists and engineers (number),Male,Citizenship,Non-U.S. citizen,Permanent resident,5,4.7,9.2,,15.0,7.3,,2.0,1.8
1277,r102,Employed scientists and engineers (number) -> Male -> Citizenship -> Non-U.S. citizen -> Temporary resident,Employed scientists and engineers (number),Male,Citizenship,Non-U.S. citizen,Temporary resident,5,4.3,4.5,,23.4,1.3,,0.9,0.05
