table_id,row_id,sex_and_academic_institution_full_path,sex_and_academic_institution_level_1,sex_and_academic_institution_level_2,sex_and_academic_institution_level_3,sex_and_academic_institution_level_4,sex_and_academic_institution_hierarchy_depth,field_doctorate_recipients
3263,r078,Male -> All institutions -> Top 50 institutions -> Virginia Polytechnic Institute and State U.,Male,All institutions,Top 50 institutions,Virginia Polytechnic Institute and State U.,4,261
3263,r079,Male -> All institutions -> Top 50 institutions -> U. California-Davis,Male,All institutions,Top 50 institutions,U. California-Davis,4,259
3263,r080,Male -> All institutions -> Top 50 institutions -> U. Washington-Seattle Campus,Male,All institutions,Top 50 institutions,U. Washington-Seattle Campus,4,258
3263,r081,Male -> All institutions -> Top 50 institutions -> Columbia U. in the City of New York,Male,All institutions,Top 50 institutions,Columbia U. in the City of New York,4,247
3263,r082,Male -> All institutions -> Top 50 institutions -> Arizona State U.-Tempe,Male,All institutions,Top 50 institutions,Arizona State U.-Tempe,4,227
3263,r083,Male -> All institutions -> Top 50 institutions -> Northwestern U.,Male,All institutions,Top 50 institutions,Northwestern U.,4,214
3263,r084,Male -> All institutions -> Top 50 institutions -> Duke U.,Male,All institutions,Top 50 institutions,Duke U.,4,213
3263,r085,Male -> All institutions -> Top 50 institutions -> Johns Hopkins U.,Male,All institutions,Top 50 institutions,Johns Hopkins U.,4,209
3263,r086,Male -> All institutions -> Top 50 institutions -> U. Southern California,Male,All institutions,Top 50 institutions,U. Southern California,4,209
3263,r087,Male -> All institutions -> Top 50 institutions -> Carnegie Mellon U.,Male,All institutions,Top 50 institutions,Carnegie Mellon U.,4,207
3263,r088,Male -> All institutions -> Top 50 institutions -> Iowa State U.,Male,All institutions,Top 50 institutions,Iowa State U.,4,205
3263,r089,Male -> All institutions -> Top 50 institutions -> U. California-Irvine,Male,All institutions,Top 50 institutions,U. California-Irvine,4,201
3263,r090,Male -> All institutions -> Top 50 institutions -> Rutgers U.-New Brunswick,Male,All institutions,Top 50 institutions,Rutgers U.-New Brunswick,4,191
3263,r091,Male -> All institutions -> Top 50 institutions -> Michigan State U.,Male,All institutions,Top 50 institutions,Michigan State U.,4,186
3263,r092,Male -> All institutions -> Top 50 institutions -> U. California-Santa Barbara,Male,All institutions,Top 50 institutions,U. California-Santa Barbara,4,186
3263,r093,Male -> All institutions -> Top 50 institutions -> U. Colorado Boulder,Male,All institutions,Top 50 institutions,U. Colorado Boulder,4,186
3263,r094,Male -> All institutions -> Top 50 institutions -> Princeton U.,Male,All institutions,Top 50 institutions,Princeton U.,4,185
3263,r095,Male -> All institutions -> Top 50 institutions -> U. Chicago,Male,All institutions,Top 50 institutions,U. Chicago,4,181
3263,r096,Male -> All institutions -> Top 50 institutions -> U. Tennessee-Knoxville,Male,All institutions,Top 50 institutions,U. Tennessee-Knoxville,4,176
3263,r097,Male -> All institutions -> Top 50 institutions -> U. Pennsylvania,Male,All institutions,Top 50 institutions,U. Pennsylvania,4,170
3263,r098,Male -> All institutions -> Top 50 institutions -> U. Pittsburgh-Pittsburgh Campus,Male,All institutions,Top 50 institutions,U. Pittsburgh-Pittsburgh Campus,4,170
3263,r099,Male -> All institutions -> Top 50 institutions -> U. Utah,Male,All institutions,Top 50 institutions,U. Utah,4,156
3263,r100,Male -> All institutions -> Top 50 institutions -> Yale U.,Male,All institutions,Top 50 institutions,Yale U.,4,156
3263,r101,Male -> All institutions -> Top 50 institutions -> U. Houston,Male,All institutions,Top 50 institutions,U. Houston,4,150
3263,r102,Male -> All institutions -> Top 50 institutions -> U. Arizona,Male,All institutions,Top 50 institutions,U. Arizona,4,149
3263,r103,Male -> All institutions -> Top 50 institutions -> New York U.,Male,All institutions,Top 50 institutions,New York U.,4,142
3263,r104,Male -> All institutions -> Top 50 institutions -> U. Connecticut,Male,All institutions,Top 50 institutions,U. Connecticut,4,142
3263,r105,Male -> All institutions -> Top 50 institutions -> U. North Carolina at Chapel Hill,Male,All institutions,Top 50 institutions,U. North Carolina at Chapel Hill,4,140
3263,r106,Male -> All institutions -> Top 50 institutions -> U. California-Riverside,Male,All institutions,Top 50 institutions,U. California-Riverside,4,139
3263,r107,Male -> All institutions -> Top 50 institutions -> Stony Brook U.,Male,All institutions,Top 50 institutions,Stony Brook U.,4,136
3263,r108,Male -> All institutions -> Other institutions,Male,All institutions,Other institutions,,3,11079
