table_id,row_id,employer_location_full_path,employer_location_level_1,employer_location_level_2,employer_location_level_3,employer_location_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_science_total_number,field_science_total_se,field_science_biological_agricultural_and_environmental_life_sciences_number,field_science_biological_agricultural_and_environmental_life_sciences_se,field_science_computer_and_information_sciences_number,field_science_computer_and_information_sciences_se,field_science_mathematics_and_statistics_number,field_science_mathematics_and_statistics_se,field_science_physical_sciences_number,field_science_physical_sciences_se,field_science_psychology_number,field_science_psychology_se,field_science_social_sciences_number,field_science_social_sciences_se,field_engineering_number,field_engineering_se,field_health_number,field_health_se
8195,r027,All locations -> South Atlantic,All locations,South Atlantic,,2,167250,1950,128250,1575,44100,975,5150,350,6500,350,25400,850,22600,800,24450,825,29500,900,9550,400
8195,r028,All locations -> South Atlantic -> Delaware,All locations,South Atlantic,Delaware,3,3800,350,2750,275,750,150,,,100,50,1150,200,450,125,250,75,900,200,150,50
8195,r029,All locations -> South Atlantic -> District of Columbia,All locations,South Atlantic,District of Columbia,3,18500,750,15550,700,3150,325,300,75,500,125,2350,300,1950,225,7300,475,2250,300,700,125
8195,r030,All locations -> South Atlantic -> Florida,All locations,South Atlantic,Florida,3,24950,750,18050,600,5550,425,850,150,900,150,2900,300,5000,375,2900,300,5200,400,1700,225
8195,r031,All locations -> South Atlantic -> Georgia,All locations,South Atlantic,Georgia,3,19200,725,14450,575,5000,350,650,125,850,150,2300,300,3000,300,2650,300,3650,325,1150,150
8195,r032,All locations -> South Atlantic -> Maryland,All locations,South Atlantic,Maryland,3,38000,1125,29200,925,12550,600,1250,200,1350,175,7200,500,3550,350,3300,300,6500,425,2300,275
8195,r033,All locations -> South Atlantic -> North Carolina,All locations,South Atlantic,North Carolina,3,27800,900,21500,725,8800,450,750,175,1200,200,3600,325,4050,350,3100,325,4350,400,1950,225
8195,r034,All locations -> South Atlantic -> South Carolina,All locations,South Atlantic,South Carolina,3,6600,450,4950,350,1550,200,150,75,300,100,1200,225,900,175,850,150,1250,200,450,125
8195,r035,All locations -> South Atlantic -> Virginia,All locations,South Atlantic,Virginia,3,26200,875,20200,750,6000,400,1200,200,1250,200,4400,350,3550,400,3800,300,4950,350,1050,150
8195,r036,All locations -> South Atlantic -> West Virginia,All locations,South Atlantic,West Virginia,3,2200,225,1600,175,750,100,,,100,50,300,100,150,75,350,100,450,150,150,50
8195,r037,All locations -> East South Central,All locations,East South Central,,2,30000,900,22950,825,8650,475,850,200,1050,150,4600,400,4300,350,3450,300,5200,325,1900,175
8195,r038,All locations -> East South Central -> Alabama,All locations,East South Central,Alabama,3,8750,475,6400,425,2200,250,250,125,350,100,1250,200,1450,225,850,150,1750,250,600,100
8195,r039,All locations -> East South Central -> Kentucky,All locations,East South Central,Kentucky,3,6000,425,4850,375,1750,225,200,100,250,75,900,175,1000,200,800,150,700,150,450,100
8195,r040,All locations -> East South Central -> Mississippi,All locations,East South Central,Mississippi,3,3550,300,2700,250,1400,225,S,S,S,S,400,125,250,75,550,125,550,100,350,75
8195,r041,All locations -> East South Central -> Tennessee,All locations,East South Central,Tennessee,3,11700,625,9000,550,3300,350,350,150,400,100,2050,275,1650,200,1250,175,2200,250,550,100
8195,r042,All locations -> West South Central,All locations,West South Central,,2,66900,1325,47300,1175,16150,675,2050,250,2900,300,10150,450,8900,500,7150,475,16400,725,3200,250
8195,r043,All locations -> West South Central -> Arkansas,All locations,West South Central,Arkansas,3,4300,400,3300,325,1350,225,100,75,200,75,400,125,650,150,600,125,500,150,500,150
8195,r044,All locations -> West South Central -> Louisiana,All locations,West South Central,Louisiana,3,6050,400,4900,400,1700,200,100,50,250,75,950,225,900,175,1000,200,900,175,250,100
8195,r045,All locations -> West South Central -> Oklahoma,All locations,West South Central,Oklahoma,3,5150,375,3900,325,1800,225,50,25,150,50,600,125,650,125,650,150,950,175,300,75
8195,r046,All locations -> West South Central -> Texas,All locations,West South Central,Texas,3,51350,1275,35200,1075,11250,600,1750,250,2300,300,8200,425,6700,500,4950,375,14000,625,2150,225
8195,r047,All locations -> Mountain,All locations,Mountain,,2,59300,1150,43350,950,13450,550,1500,225,2450,300,11350,475,8250,500,6300,425,13500,650,2450,250
8195,r048,All locations -> Mountain -> Arizona,All locations,Mountain,Arizona,3,12650,550,8850,425,2200,225,300,100,500,125,2400,250,1650,200,1800,250,3400,325,400,100
8195,r049,All locations -> Mountain -> Colorado,All locations,Mountain,Colorado,3,18550,650,14300,575,4600,325,550,150,750,125,3600,275,2800,325,2000,250,3450,300,850,175
8195,r050,All locations -> Mountain -> Idaho,All locations,Mountain,Idaho,3,3250,325,2350,250,1150,200,,,100,50,600,150,300,100,200,75,800,150,50,25
8195,r051,All locations -> Mountain -> Montana,All locations,Mountain,Montana,3,2900,300,2400,275,1100,150,,,S,S,500,150,300,75,300,100,350,150,150,50
8195,r052,All locations -> Mountain -> Nevada,All locations,Mountain,Nevada,3,3150,325,2550,300,1000,200,S,S,50,50,550,125,550,125,350,100,500,100,100,50
8195,r053,All locations -> Mountain -> New Mexico,All locations,Mountain,New Mexico,3,8800,500,5400,400,1200,175,100,50,350,125,2200,225,900,200,600,175,3100,300,300,75
8195,r054,All locations -> Mountain -> Utah,All locations,Mountain,Utah,3,9000,525,6500,400,2000,250,450,125,450,150,1200,175,1450,225,950,200,1850,300,600,125
8195,r055,All locations -> Mountain -> Wyoming,All locations,Mountain,Wyoming,3,1000,200,950,175,250,75,,,,,300,125,300,100,150,75,0.05,0.05,S,S
8195,r056,All locations -> Pacific,All locations,Pacific,,2,193000,2200,133500,1925,46100,1075,12750,575,6850,425,30150,850,21700,750,15900,725,53550,1175,5950,350
8195,r057,All locations -> Pacific -> Alaska,All locations,Pacific,Alaska,3,1500,225,1250,200,600,125,,,,,350,75,150,75,100,50,200,75,S,S
8195,r058,All locations -> Pacific -> California,All locations,Pacific,California,3,145600,1875,99500,1500,34450,925,9350,500,5250,350,23150,775,15550,700,11750,600,42100,1175,4000,275
8195,r059,All locations -> Pacific -> Hawaii,All locations,Pacific,Hawaii,3,3050,325,2650,275,700,125,S,S,100,50,550,125,750,175,400,100,350,150,50,50
8195,r060,All locations -> Pacific -> Oregon,All locations,Pacific,Oregon,3,15300,550,10050,450,3450,300,650,150,400,100,2500,250,1800,225,1250,200,4600,350,600,150
8195,r061,All locations -> Pacific -> Washington,All locations,Pacific,Washington,3,27550,1025,20050,800,6900,425,2600,300,1100,175,3600,275,3450,350,2400,275,6250,500,1200,200
8195,r062,All locations -> Puerto Rico,All locations,Puerto Rico,,2,2700,275,2100,225,500,100,S,S,50,25,400,75,850,150,200,50,550,150,S,S
8195,r063,All locations -> U.S. territories and other areas,All locations,U.S. territories and other areas,,2,3950,325,2650,275,750,150,200,100,150,75,650,150,250,75,650,175,1050,225,250,100
