table_id,row_id,time_period,manufacturing_level_1,manufacturing_level_2,manufacturing_hierarchy_depth,value
10955,r032_6,,Nonmanufacturing,R&D intensity (%),2,0.21
10955,r033_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,77–82
10955,r033_5,,Nonmanufacturing,Name,2,Administrative and support services
10955,r033_6,,Nonmanufacturing,R&D intensity (%),2,0.18
10955,r034_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,90–99
10955,r034_5,,Nonmanufacturing,Name,2,"Arts, entertainment, repair of household goods, and other services"
10955,r034_6,,Nonmanufacturing,R&D intensity (%),2,0.11
10955,r035_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,49–53
10955,r035_5,,Nonmanufacturing,Name,2,Transportation and storage
10955,r035_6,,Nonmanufacturing,R&D intensity (%),2,0.08
10955,r036_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,55–56
10955,r036_5,,Nonmanufacturing,Name,2,Accommodation and food service activities
10955,r036_6,,Nonmanufacturing,R&D intensity (%),2,0.02
10955,r037_4,,Nonmanufacturing,"ISIC, Rev.4, industry code",2,68
10955,r037_5,,Nonmanufacturing,Name,2,Real estate activities
10955,r037_6,,Nonmanufacturing,R&D intensity (%),2,0.01
