table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_businesses,field_extramural_higher_educationb,field_extramural_nonprofit_organizations,field_extramural_state_and_local_governments
10291,r026,"Connecticut -> Department of Defense, RDT&E",Connecticut,"Department of Defense, RDT&E",,2,1759210,74962,0,1626651,54632,2965,0
10291,r027,"Connecticut -> Department of Defense,  research",Connecticut,"Department of Defense,  research",,2,1534943,73759,0,1403586,54632,2965,0
10291,r028,"Connecticut -> Department of Defense, operational systems development<sup>c</sup>",Connecticut,"Department of Defense, operational systems development<sup>c</sup>",,2,224268,1202,0,223066,0,0,0
10291,r029,Delaware,Delaware,,,1,,,,,,,
10291,r030,"Delaware -> Department of Defense, RDT&E",Delaware,"Department of Defense, RDT&E",,2,48340,458,5271,18257,23950,403,0
10291,r031,"Delaware -> Department of Defense,  research",Delaware,"Department of Defense,  research",,2,48096,458,5271,18013,23950,403,0
10291,r032,"Delaware -> Department of Defense, operational systems development<sup>c</sup>",Delaware,"Department of Defense, operational systems development<sup>c</sup>",,2,244,0,0,244,0,0,0
10291,r033,District of Columbia,District of Columbia,,,1,,,,,,,
10291,r034,"District of Columbia -> Department of Defense, RDT&E",District of Columbia,"Department of Defense, RDT&E",,2,4094774,3203859,4383,664829,43923,177780,0
10291,r035,"District of Columbia -> Department of Defense,  research",District of Columbia,"Department of Defense,  research",,2,2936657,2109668,542,609602,43923,172923,0
10291,r036,"District of Columbia -> Department of Defense, operational systems development<sup>c</sup>",District of Columbia,"Department of Defense, operational systems development<sup>c</sup>",,2,1158117,1094191,3841,55228,0,4857,0
10291,r037,Florida,Florida,,,1,,,,,,,
10291,r038,"Florida -> Department of Defense, RDT&E",Florida,"Department of Defense, RDT&E",,2,2939985,848313,9988,1905530,115730,60174,250
10291,r039,"Florida -> Department of Defense,  research",Florida,"Department of Defense,  research",,2,2574591,725989,9988,1676295,115722,46347,250
10291,r040,"Florida -> Department of Defense, operational systems development<sup>c</sup>",Florida,"Department of Defense, operational systems development<sup>c</sup>",,2,365394,122323,0,229236,0.05,13827,0
10291,r041,Georgia,Georgia,,,1,,,,,,,
10291,r042,"Georgia -> Department of Defense, RDT&E",Georgia,"Department of Defense, RDT&E",,2,676842,247753,1227,223986,201637,2239,0
10291,r043,"Georgia -> Department of Defense,  research",Georgia,"Department of Defense,  research",,2,435233,139192,1227,120598,173373,844,0
10291,r044,"Georgia -> Department of Defense, operational systems development<sup>c</sup>",Georgia,"Department of Defense, operational systems development<sup>c</sup>",,2,241609,108561,0,103388,28264,1395,0
10291,r045,Hawaii,Hawaii,,,1,,,,,,,
10291,r046,"Hawaii -> Department of Defense, RDT&E",Hawaii,"Department of Defense, RDT&E",,2,309197,178748,0,80239,36312,13898,0
10291,r047,"Hawaii -> Department of Defense,  research",Hawaii,"Department of Defense,  research",,2,304728,176409,0,79829,34592,13898,0
10291,r048,"Hawaii -> Department of Defense, operational systems development<sup>c</sup>",Hawaii,"Department of Defense, operational systems development<sup>c</sup>",,2,4469,2339,0,410,1720,0,0
10291,r049,Idaho,Idaho,,,1,,,,,,,
10291,r050,"Idaho -> Department of Defense, RDT&E",Idaho,"Department of Defense, RDT&E",,2,57364,15090,21337,19589,1067,155,125
10291,r051,"Idaho -> Department of Defense,  research",Idaho,"Department of Defense,  research",,2,52410,15090,18737,17235,1067,155,125
10291,r052,"Idaho -> Department of Defense, operational systems development<sup>c</sup>",Idaho,"Department of Defense, operational systems development<sup>c</sup>",,2,4954,0,2600,2354,0,0,0
10291,r053,Illinois,Illinois,,,1,,,,,,,
10291,r054,"Illinois -> Department of Defense, RDT&E",Illinois,"Department of Defense, RDT&E",,2,827191,173436,2241,493904,150970,6640,0
10291,r055,"Illinois -> Department of Defense,  research",Illinois,"Department of Defense,  research",,2,738833,118667,2241,460315,150970,6640,0
10291,r056,"Illinois -> Department of Defense, operational systems development<sup>c</sup>",Illinois,"Department of Defense, operational systems development<sup>c</sup>",,2,88358,54769,0,33589,0,0,0
10291,r057,Indiana,Indiana,,,1,,,,,,,
10291,r058,"Indiana -> Department of Defense, RDT&E",Indiana,"Department of Defense, RDT&E",,2,466096,208996,0,150262,105955,882,0.05
10291,r059,"Indiana -> Department of Defense,  research",Indiana,"Department of Defense,  research",,2,394631,151987,0,136748,105012,882,0.05
10291,r060,"Indiana -> Department of Defense, operational systems development<sup>c</sup>",Indiana,"Department of Defense, operational systems development<sup>c</sup>",,2,71465,57008,0,13514,943,0,0
10291,r061,Iowa,Iowa,,,1,,,,,,,
10291,r062,"Iowa -> Department of Defense, RDT&E",Iowa,"Department of Defense, RDT&E",,2,233971,2724,0.05,211427,19651,165,0
10291,r063,"Iowa -> Department of Defense,  research",Iowa,"Department of Defense,  research",,2,201288,1674,0.05,179794,19651,165,0
10291,r064,"Iowa -> Department of Defense, operational systems development<sup>c</sup>",Iowa,"Department of Defense, operational systems development<sup>c</sup>",,2,32683,1050,0,31633,0,0,0
10291,r065,Kansas,Kansas,,,1,,,,,,,
10291,r066,"Kansas -> Department of Defense, RDT&E",Kansas,"Department of Defense, RDT&E",,2,83876,1978,0,20726,61146,0.05,0
10291,r067,"Kansas -> Department of Defense,  research",Kansas,"Department of Defense,  research",,2,76716,1978,0,13565,61146,0.05,0
10291,r068,"Kansas -> Department of Defense, operational systems development<sup>c</sup>",Kansas,"Department of Defense, operational systems development<sup>c</sup>",,2,7161,0,0,7161,0,0,0
10291,r069,Kentucky,Kentucky,,,1,,,,,,,
10291,r070,"Kentucky -> Department of Defense, RDT&E",Kentucky,"Department of Defense, RDT&E",,2,178990,127954,0,33040,16941,86,969
10291,r071,"Kentucky -> Department of Defense,  research",Kentucky,"Department of Defense,  research",,2,163425,126324,0,19105,16941,86,969
10291,r072,"Kentucky -> Department of Defense, operational systems development<sup>c</sup>",Kentucky,"Department of Defense, operational systems development<sup>c</sup>",,2,15565,1630,0,13935,0,0,0
10291,r073,Louisiana,Louisiana,,,1,,,,,,,
10291,r074,"Louisiana -> Department of Defense, RDT&E",Louisiana,"Department of Defense, RDT&E",,2,98008,6611,0,84581,5573,1243,0.05
10291,r075,"Louisiana -> Department of Defense,  research",Louisiana,"Department of Defense,  research",,2,89377,6611,0,75950,5573,1243,0.05
10291,r076,"Louisiana -> Department of Defense, operational systems development<sup>c</sup>",Louisiana,"Department of Defense, operational systems development<sup>c</sup>",,2,8631,0,0,8631,0,0,0
10291,r077,Maine,Maine,,,1,,,,,,,
10291,r078,"Maine -> Department of Defense, RDT&E",Maine,"Department of Defense, RDT&E",,2,40316,12141,2040,23284,1885,966,0
10291,r079,"Maine -> Department of Defense,  research",Maine,"Department of Defense,  research",,2,24985,4196,2040,15898,1885,966,0
10291,r080,"Maine -> Department of Defense, operational systems development<sup>c</sup>",Maine,"Department of Defense, operational systems development<sup>c</sup>",,2,15330,7945,0,7386,0,0,0
10291,r081,Maryland,Maryland,,,1,,,,,,,
10291,r082,"Maryland -> Department of Defense, RDT&E",Maryland,"Department of Defense, RDT&E",,2,5944982,3243606,6527,1510220,882783,301536,310
10291,r083,"Maryland -> Department of Defense,  research",Maryland,"Department of Defense,  research",,2,5188173,2767624,5194,1335722,777786,301536,310
10291,r084,"Maryland -> Department of Defense, operational systems development<sup>c</sup>",Maryland,"Department of Defense, operational systems development<sup>c</sup>",,2,756809,475982,1333,174498,104996,0,0
10291,r085,Massachusetts,Massachusetts,,,1,,,,,,,
10291,r086,"Massachusetts -> Department of Defense, RDT&E",Massachusetts,"Department of Defense, RDT&E",,2,5005343,347882,1923010,2282022,305965,146465,0
10291,r087,"Massachusetts -> Department of Defense,  research",Massachusetts,"Department of Defense,  research",,2,4370252,185663,1870776,1891852,303109,118853,0
10291,r088,"Massachusetts -> Department of Defense, operational systems development<sup>c</sup>",Massachusetts,"Department of Defense, operational systems development<sup>c</sup>",,2,635091,162218,52233,390170,2857,27613,0
10291,r089,Michigan,Michigan,,,1,,,,,,,
10291,r090,"Michigan -> Department of Defense, RDT&E",Michigan,"Department of Defense, RDT&E",,2,986642,404646,0.05,470545,89084,22365,0
10291,r091,"Michigan -> Department of Defense,  research",Michigan,"Department of Defense,  research",,2,731517,255301,0.05,365421,89084,21709,0
10291,r092,"Michigan -> Department of Defense, operational systems development<sup>c</sup>",Michigan,"Department of Defense, operational systems development<sup>c</sup>",,2,255125,149345,0,105124,0,656,0
10291,r093,Minnesota,Minnesota,,,1,,,,,,,
10291,r094,"Minnesota -> Department of Defense, RDT&E",Minnesota,"Department of Defense, RDT&E",,2,229510,18871,0,143564,29822,37253,0
10291,r095,"Minnesota -> Department of Defense,  research",Minnesota,"Department of Defense,  research",,2,226938,18871,0,140992,29822,37253,0
10291,r096,"Minnesota -> Department of Defense, operational systems development<sup>c</sup>",Minnesota,"Department of Defense, operational systems development<sup>c</sup>",,2,2572,0,0,2572,0,0,0
10291,r097,Mississippi,Mississippi,,,1,,,,,,,
10291,r098,"Mississippi -> Department of Defense, RDT&E",Mississippi,"Department of Defense, RDT&E",,2,131560,79486,0,27668,24247,158,0
10291,r099,"Mississippi -> Department of Defense,  research",Mississippi,"Department of Defense,  research",,2,126351,77954,0,23991,24247,158,0
10291,r100,"Mississippi -> Department of Defense, operational systems development<sup>c</sup>",Mississippi,"Department of Defense, operational systems development<sup>c</sup>",,2,5209,1532,0,3677,0,0,0
10291,r101,Missouri,Missouri,,,1,,,,,,,
10291,r102,"Missouri -> Department of Defense, RDT&E",Missouri,"Department of Defense, RDT&E",,2,1277073,81275,0,1126331,56289,13177,0
10291,r103,"Missouri -> Department of Defense,  research",Missouri,"Department of Defense,  research",,2,976576,71133,0,835977,56289,13177,0
10291,r104,"Missouri -> Department of Defense, operational systems development<sup>c</sup>",Missouri,"Department of Defense, operational systems development<sup>c</sup>",,2,300497,10143,0,290355,0,0,0
10291,r105,Montana,Montana,,,1,,,,,,,
10291,r106,"Montana -> Department of Defense, RDT&E",Montana,"Department of Defense, RDT&E",,2,81885,3309,0,11327,67031,219,0
10291,r107,"Montana -> Department of Defense,  research",Montana,"Department of Defense,  research",,2,77430,3309,0,9587,64316,219,0
10291,r108,"Montana -> Department of Defense, operational systems development<sup>c</sup>",Montana,"Department of Defense, operational systems development<sup>c</sup>",,2,4455,0,0,1740,2715,0,0
10291,r109,Nebraska,Nebraska,,,1,,,,,,,
10291,r110,"Nebraska -> Department of Defense, RDT&E",Nebraska,"Department of Defense, RDT&E",,2,103288,3524,0,77410,20413,1941,0
10291,r111,"Nebraska -> Department of Defense,  research",Nebraska,"Department of Defense,  research",,2,42448,3524,0,16690,20413,1820,0
10291,r112,"Nebraska -> Department of Defense, operational systems development<sup>c</sup>",Nebraska,"Department of Defense, operational systems development<sup>c</sup>",,2,60840,0,0,60719,0,121,0
10291,r113,Nevada,Nevada,,,1,,,,,,,
10291,r114,"Nevada -> Department of Defense, RDT&E",Nevada,"Department of Defense, RDT&E",,2,219422,6864,0,203431,9127,0,0
10291,r115,"Nevada -> Department of Defense,  research",Nevada,"Department of Defense,  research",,2,209532,4914,0,195490,9127,0,0
10291,r116,"Nevada -> Department of Defense, operational systems development<sup>c</sup>",Nevada,"Department of Defense, operational systems development<sup>c</sup>",,2,9890,1950,0,7940,0,0,0
10291,r117,New Hampshire,New Hampshire,,,1,,,,,,,
10291,r118,"New Hampshire -> Department of Defense, RDT&E",New Hampshire,"Department of Defense, RDT&E",,2,338284,8451,0,318842,9788,1204,0
10291,r119,"New Hampshire -> Department of Defense,  research",New Hampshire,"Department of Defense,  research",,2,272965,7224,0,254749,9788,1204,0
10291,r120,"New Hampshire -> Department of Defense, operational systems development<sup>c</sup>",New Hampshire,"Department of Defense, operational systems development<sup>c</sup>",,2,65319,1227,0,64093,0,0,0
10291,r121,New Jersey,New Jersey,,,1,,,,,,,
10291,r122,"New Jersey -> Department of Defense, RDT&E",New Jersey,"Department of Defense, RDT&E",,2,2009963,1254114,0,682397,67358,6094,0
10291,r123,"New Jersey -> Department of Defense,  research",New Jersey,"Department of Defense,  research",,2,1725542,1042484,0,611546,65419,6094,0
10291,r124,"New Jersey -> Department of Defense, operational systems development<sup>c</sup>",New Jersey,"Department of Defense, operational systems development<sup>c</sup>",,2,284421,211630,0,70851,1939,0,0
10291,r125,New Mexico,New Mexico,,,1,,,,,,,
10291,r126,"New Mexico -> Department of Defense, RDT&E",New Mexico,"Department of Defense, RDT&E",,2,1810237,836118,328270,600015,35220,10615,0
10291,r127,"New Mexico -> Department of Defense,  research",New Mexico,"Department of Defense,  research",,2,1665889,767357,279956,572741,35220,10615,0
10291,r128,"New Mexico -> Department of Defense, operational systems development<sup>c</sup>",New Mexico,"Department of Defense, operational systems development<sup>c</sup>",,2,144348,68761,48313,27274,0,0,0
10291,r129,New York,New York,,,1,,,,,,,
10291,r130,"New York -> Department of Defense, RDT&E",New York,"Department of Defense, RDT&E",,2,1316271,167439,5210,886919,186744,69657,302
10291,r131,"New York -> Department of Defense,  research",New York,"Department of Defense,  research",,2,1169060,123797,5210,784174,186744,68832,302
10291,r132,"New York -> Department of Defense, operational systems development<sup>c</sup>",New York,"Department of Defense, operational systems development<sup>c</sup>",,2,147211,43642,0,102745,0,825,0
10291,r133,North Carolina,North Carolina,,,1,,,,,,,
10291,r134,"North Carolina -> Department of Defense, RDT&E",North Carolina,"Department of Defense, RDT&E",,2,368677,26347,0,198499,116165,27666,0
10291,r135,"North Carolina -> Department of Defense,  research",North Carolina,"Department of Defense,  research",,2,345047,21827,0,179390,116165,27666,0
10291,r136,"North Carolina -> Department of Defense, operational systems development<sup>c</sup>",North Carolina,"Department of Defense, operational systems development<sup>c</sup>",,2,23630,4521,0,19110,0,0,0
10291,r137,North Dakota,North Dakota,,,1,,,,,,,
10291,r138,"North Dakota -> Department of Defense, RDT&E",North Dakota,"Department of Defense, RDT&E",,2,24021,0,0,19306,4681,0.05,0
10291,r139,"North Dakota -> Department of Defense,  research",North Dakota,"Department of Defense,  research",,2,23933,0,0,19218,4681,0.05,0
10291,r140,"North Dakota -> Department of Defense, operational systems development<sup>c</sup>",North Dakota,"Department of Defense, operational systems development<sup>c</sup>",,2,88,0,0,88,0,0,0
10291,r141,Ohio,Ohio,,,1,,,,,,,
10291,r142,"Ohio -> Department of Defense, RDT&E",Ohio,"Department of Defense, RDT&E",,2,2595042,1107486,24316,1212302,178683,72110,144
10291,r143,"Ohio -> Department of Defense,  research",Ohio,"Department of Defense,  research",,2,2333320,975374,22357,1085033,178302,72110,144
10291,r144,"Ohio -> Department of Defense, operational systems development<sup>c</sup>",Ohio,"Department of Defense, operational systems development<sup>c</sup>",,2,261722,132113,1960,127269,381,0,0
10291,r145,Oklahoma,Oklahoma,,,1,,,,,,,
10291,r146,"Oklahoma -> Department of Defense, RDT&E",Oklahoma,"Department of Defense, RDT&E",,2,1597514,1127318,0,458089,11792,315,0
10291,r147,"Oklahoma -> Department of Defense,  research",Oklahoma,"Department of Defense,  research",,2,1153268,1051272,0,89888,11792,315,0
10291,r148,"Oklahoma -> Department of Defense, operational systems development<sup>c</sup>",Oklahoma,"Department of Defense, operational systems development<sup>c</sup>",,2,444246,76046,0,368200,0,0,0
10291,r149,Oregon,Oregon,,,1,,,,,,,
10291,r150,"Oregon -> Department of Defense, RDT&E",Oregon,"Department of Defense, RDT&E",,2,332324,131182,1782,82057,116939,364,0
10291,r151,"Oregon -> Department of Defense,  research",Oregon,"Department of Defense,  research",,2,287381,131182,1782,37226,116828,364,0
10291,r152,"Oregon -> Department of Defense, operational systems development<sup>c</sup>",Oregon,"Department of Defense, operational systems development<sup>c</sup>",,2,44943,0,0,44831,111,0,0
10291,r153,Pennsylvania,Pennsylvania,,,1,,,,,,,
10291,r154,"Pennsylvania -> Department of Defense, RDT&E",Pennsylvania,"Department of Defense, RDT&E",,2,1462186,360325,70058,710332,296669,24803,0.05
10291,r155,"Pennsylvania -> Department of Defense,  research",Pennsylvania,"Department of Defense,  research",,2,1295879,297728,64174,632386,276965,24625,0.05
10291,r156,"Pennsylvania -> Department of Defense, operational systems development<sup>c</sup>",Pennsylvania,"Department of Defense, operational systems development<sup>c</sup>",,2,166307,62597,5883,77946,19704,177,0
10291,r157,Rhode Island,Rhode Island,,,1,,,,,,,
10291,r158,"Rhode Island -> Department of Defense, RDT&E",Rhode Island,"Department of Defense, RDT&E",,2,521386,270768,3428,192295,53956,939,0
10291,r159,"Rhode Island -> Department of Defense,  research",Rhode Island,"Department of Defense,  research",,2,479218,242361,3253,178709,53956,939,0
10291,r160,"Rhode Island -> Department of Defense, operational systems development<sup>c</sup>",Rhode Island,"Department of Defense, operational systems development<sup>c</sup>",,2,42168,28407,175,13586,0,0,0
10291,r161,South Carolina,South Carolina,,,1,,,,,,,
10291,r162,"South Carolina -> Department of Defense, RDT&E",South Carolina,"Department of Defense, RDT&E",,2,1270576,156101,11383,816915,57119,229058,0
10291,r163,"South Carolina -> Department of Defense,  research",South Carolina,"Department of Defense,  research",,2,973769,81262,11383,595925,57119,228081,0
10291,r164,"South Carolina -> Department of Defense, operational systems development<sup>c</sup>",South Carolina,"Department of Defense, operational systems development<sup>c</sup>",,2,296807,74839,0,220990,0,977,0
10291,r165,South Dakota,South Dakota,,,1,,,,,,,
10291,r166,"South Dakota -> Department of Defense, RDT&E",South Dakota,"Department of Defense, RDT&E",,2,51466,9919,0,32840,7977,729,0
10291,r167,"South Dakota -> Department of Defense,  research",South Dakota,"Department of Defense,  research",,2,36027,9919,0,18961,6418,729,0
10291,r168,"South Dakota -> Department of Defense, operational systems development<sup>c</sup>",South Dakota,"Department of Defense, operational systems development<sup>c</sup>",,2,15439,0,0,13879,1559,0,0
10291,r169,Tennessee,Tennessee,,,1,,,,,,,
10291,r170,"Tennessee -> Department of Defense, RDT&E",Tennessee,"Department of Defense, RDT&E",,2,907818,666035,59777,143024,30330,8652,0
10291,r171,"Tennessee -> Department of Defense,  research",Tennessee,"Department of Defense,  research",,2,847842,644976,30646,133238,30330,8652,0
10291,r172,"Tennessee -> Department of Defense, operational systems development<sup>c</sup>",Tennessee,"Department of Defense, operational systems development<sup>c</sup>",,2,59976,21058,29131,9786,0,0,0
10291,r173,Texas,Texas,,,1,,,,,,,
10291,r174,"Texas -> Department of Defense, RDT&E",Texas,"Department of Defense, RDT&E",,2,4002352,300773,64905,3333438,263049,40188,0
10291,r175,"Texas -> Department of Defense,  research",Texas,"Department of Defense,  research",,2,2534815,276770,64555,1904298,249005,40188,0
10291,r176,"Texas -> Department of Defense, operational systems development<sup>c</sup>",Texas,"Department of Defense, operational systems development<sup>c</sup>",,2,1467537,24003,350,1429140,14044,0,0
10291,r177,Utah,Utah,,,1,,,,,,,
10291,r178,"Utah -> Department of Defense, RDT&E",Utah,"Department of Defense, RDT&E",,2,1828486,192191,0,1543440,87100,5756,0
10291,r179,"Utah -> Department of Defense,  research",Utah,"Department of Defense,  research",,2,1640157,125921,0,1429880,78600,5756,0
10291,r180,"Utah -> Department of Defense, operational systems development<sup>c</sup>",Utah,"Department of Defense, operational systems development<sup>c</sup>",,2,188329,66269,0,113559,8501,0,0
10291,r181,Vermont,Vermont,,,1,,,,,,,
10291,r182,"Vermont -> Department of Defense, RDT&E",Vermont,"Department of Defense, RDT&E",,2,39596,621,0,31924,6924,127,0
10291,r183,"Vermont -> Department of Defense,  research",Vermont,"Department of Defense,  research",,2,34521,621,0,30877,2896,127,0
10291,r184,"Vermont -> Department of Defense, operational systems development<sup>c</sup>",Vermont,"Department of Defense, operational systems development<sup>c</sup>",,2,5076,0,0,1048,4028,0,0
10291,r185,Virginia,Virginia,,,1,,,,,,,
10291,r186,"Virginia -> Department of Defense, RDT&E",Virginia,"Department of Defense, RDT&E",,2,8498988,2104308,432068,5812532,72279,75998,1802
10291,r187,"Virginia -> Department of Defense,  research",Virginia,"Department of Defense,  research",,2,7734839,1879983,385685,5331462,71506,64400,1802
10291,r188,"Virginia -> Department of Defense, operational systems development<sup>c</sup>",Virginia,"Department of Defense, operational systems development<sup>c</sup>",,2,764149,224326,46383,481070,773,11598,0
10291,r189,Washington,Washington,,,1,,,,,,,
10291,r190,"Washington -> Department of Defense, RDT&E",Washington,"Department of Defense, RDT&E",,2,1233361,155019,46041,932035,63466,36800,0
10291,r191,"Washington -> Department of Defense,  research",Washington,"Department of Defense,  research",,2,1166173,143794,19342,902996,63241,36800,0
10291,r192,"Washington -> Department of Defense, operational systems development<sup>c</sup>",Washington,"Department of Defense, operational systems development<sup>c</sup>",,2,67189,11225,26700,29039,225,0,0
10291,r193,West Virginia,West Virginia,,,1,,,,,,,
10291,r194,"West Virginia -> Department of Defense, RDT&E",West Virginia,"Department of Defense, RDT&E",,2,75181,42524,0,31727,835,94,0
10291,r195,"West Virginia -> Department of Defense,  research",West Virginia,"Department of Defense,  research",,2,29565,374,0,28262,835,94,0
10291,r196,"West Virginia -> Department of Defense, operational systems development<sup>c</sup>",West Virginia,"Department of Defense, operational systems development<sup>c</sup>",,2,45615,42150,0,3465,0,0,0
10291,r197,Wisconsin,Wisconsin,,,1,,,,,,,
10291,r198,"Wisconsin -> Department of Defense, RDT&E",Wisconsin,"Department of Defense, RDT&E",,2,193414,10504,0,128615,52135,2160,0
10291,r199,"Wisconsin -> Department of Defense,  research",Wisconsin,"Department of Defense,  research",,2,140754,10504,0,76076,52014,2160,0
10291,r200,"Wisconsin -> Department of Defense, operational systems development<sup>c</sup>",Wisconsin,"Department of Defense, operational systems development<sup>c</sup>",,2,52660,0,0,52539,121,0,0
10291,r201,Wyoming,Wyoming,,,1,,,,,,,
10291,r202,"Wyoming -> Department of Defense, RDT&E",Wyoming,"Department of Defense, RDT&E",,2,95589,3235,5170,68628,18071,484,0
10291,r203,"Wyoming -> Department of Defense,  research",Wyoming,"Department of Defense,  research",,2,94807,2460,5170,68622,18071,484,0
10291,r204,"Wyoming -> Department of Defense, operational systems development<sup>c</sup>",Wyoming,"Department of Defense, operational systems development<sup>c</sup>",,2,782,775,0,0.05,0,0,0
10291,r205,Outlying areas,Outlying areas,,,1,,,,,,,
10291,r206,"Outlying areas -> Department of Defense, RDT&E",Outlying areas,"Department of Defense, RDT&E",,2,99710,17635,0,54273,4014,23788,0
10291,r207,"Outlying areas -> Department of Defense,  research",Outlying areas,"Department of Defense,  research",,2,82737,9325,0,45610,4014,23788,0
10291,r208,"Outlying areas -> Department of Defense, operational systems development<sup>c</sup>",Outlying areas,"Department of Defense, operational systems development<sup>c</sup>",,2,16973,8310,0,8663,0,0,0
10291,r209,Outlying areas -> Puerto Rico,Outlying areas,Puerto Rico,,2,,,,,,,
10291,r210,"Outlying areas -> Puerto Rico -> Department of Defense, RDT&E",Outlying areas,Puerto Rico,"Department of Defense, RDT&E",3,5569,1473,0,1899,2197,0,0
10291,r211,"Outlying areas -> Puerto Rico -> Department of Defense,  research",Outlying areas,Puerto Rico,"Department of Defense,  research",3,4768,1473,0,1098,2197,0,0
10291,r212,"Outlying areas -> Puerto Rico -> Department of Defense, operational systems development<sup>c</sup>",Outlying areas,Puerto Rico,"Department of Defense, operational systems development<sup>c</sup>",3,800,0,0,800,0,0,0
10291,r213,Outlying areas -> Other areas<sup>d</sup>,Outlying areas,Other areas<sup>d</sup>,,2,,,,,,,
10291,r214,"Outlying areas -> Other areas<sup>d</sup> -> Department of Defense, RDT&E",Outlying areas,Other areas<sup>d</sup>,"Department of Defense, RDT&E",3,94142,16162,0,52374,1817,23788,0
10291,r215,"Outlying areas -> Other areas<sup>d</sup> -> Department of Defense,  research",Outlying areas,Other areas<sup>d</sup>,"Department of Defense,  research",3,77969,7852,0,44512,1817,23788,0
10291,r216,"Outlying areas -> Other areas<sup>d</sup> -> Department of Defense, operational systems development<sup>c</sup>",Outlying areas,Other areas<sup>d</sup>,"Department of Defense, operational systems development<sup>c</sup>",3,16173,8310,0,7863,0,0,0
10291,r217,Offices abroad<sup>e</sup>,Offices abroad<sup>e</sup>,,,1,,,,,,,
10291,r218,"Offices abroad<sup>e</sup> -> Department of Defense, RDT&E",Offices abroad<sup>e</sup>,"Department of Defense, RDT&E",,2,175057,42278,0,128891,3643,245,0
10291,r219,"Offices abroad<sup>e</sup> -> Department of Defense,  research",Offices abroad<sup>e</sup>,"Department of Defense,  research",,2,111237,41846,0,65904,3242,245,0
