table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total_number,field_total_se,field_employed_total_number,field_employed_total_se,field_employed_full_time_number,field_employed_full_time_se,field_employed_part_time_number,field_employed_part_time_se,field_unemployeda_number,field_unemployeda_se,field_retired_number,field_retired_se,field_not_employed_or_not_seeking_workb_number,field_not_employed_or_not_seeking_workb_se
8211,r011,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Other biological, agricultural, life scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Other biological, agricultural, life scientists",4,25600,900,22600,825,21000,800,1600,225,450,125,1850,225,700,125
8211,r012,All occupations -> Science occupations -> Computer and information scientists,All occupations,Science occupations,Computer and information scientists,,3,74150,1025,65450,1025,62000,1000,3450,300,1250,275,6150,425,1300,250
8211,r013,All occupations -> Science occupations -> Computer and information scientists -> Computer and information scientists,All occupations,Science occupations,Computer and information scientists,Computer and information scientists,4,62400,1150,55100,1125,52450,1125,2650,275,1100,275,5150,375,1100,200
8211,r014,"All occupations -> Science occupations -> Computer and information scientists -> Postsecondary teachers, computer science",All occupations,Science occupations,Computer and information scientists,"Postsecondary teachers, computer science",4,11750,600,10350,550,9550,550,800,150,150,50,1050,200,200,125
8211,r015,All occupations -> Science occupations -> Mathematical scientists,All occupations,Science occupations,Mathematical scientists,,3,49750,950,43950,875,41000,850,2950,300,600,125,4250,375,900,200
8211,r016,All occupations -> Science occupations -> Mathematical scientists -> Mathematical scientists,All occupations,Science occupations,Mathematical scientists,Mathematical scientists,4,27700,800,24900,750,23450,725,1450,225,450,125,1950,250,450,125
8211,r017,"All occupations -> Science occupations -> Mathematical scientists -> Postsecondary teachers, mathematics, statistics",All occupations,Science occupations,Mathematical scientists,"Postsecondary teachers, mathematics, statistics",4,22050,675,19050,625,17550,575,1500,225,150,50,2300,225,500,175
8211,r018,All occupations -> Science occupations -> Physical scientists,All occupations,Science occupations,Physical scientists,,3,101300,1425,85100,1375,78300,1350,6800,400,1450,225,13050,525,1650,200
8211,r019,"All occupations -> Science occupations -> Physical scientists -> Chemists, except biochemists",All occupations,Science occupations,Physical scientists,"Chemists, except biochemists",4,26300,725,21250,675,19950,650,1250,175,650,150,4000,350,400,100
8211,r020,"All occupations -> Science occupations -> Physical scientists -> Earth, atmospheric, ocean scientists",All occupations,Science occupations,Physical scientists,"Earth, atmospheric, ocean scientists",4,13950,450,11500,400,10350,375,1150,125,250,75,1950,200,250,75
8211,r021,"All occupations -> Science occupations -> Physical scientists -> Physicists, astronomers",All occupations,Science occupations,Physical scientists,"Physicists, astronomers",4,15850,700,13550,625,12600,600,950,150,200,75,1850,250,250,75
8211,r022,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, chemistry",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, chemistry",4,19450,750,17200,700,15400,700,1750,250,150,75,1800,250,300,100
8211,r023,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, physics",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, physics",4,11900,600,10100,550,9350,550,750,125,S,S,1400,200,250,125
8211,r024,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, other physical science",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, other physical science",4,7850,375,6700,350,6250,350,500,100,50,25,1000,150,100,50
8211,r025,All occupations -> Science occupations -> Physical scientists -> Other physical scientists,All occupations,Science occupations,Physical scientists,Other physical scientists,4,5900,425,4800,350,4350,325,450,125,,,1050,225,50,25
8211,r026,All occupations -> Science occupations -> Psychologists,All occupations,Science occupations,Psychologists,,3,92550,950,78400,1025,56000,1025,22400,750,900,150,10850,550,2400,325
8211,r027,All occupations -> Science occupations -> Psychologists -> Psychologists,All occupations,Science occupations,Psychologists,Psychologists,4,68600,1000,58300,1050,38100,900,20150,750,650,150,7800,450,1850,300
8211,r028,"All occupations -> Science occupations -> Psychologists -> Postsecondary teachers, psychology",All occupations,Science occupations,Psychologists,"Postsecondary teachers, psychology",4,23900,825,20150,725,17900,725,2250,225,250,75,3000,325,550,150
8211,r029,All occupations -> Science occupations -> Social scientists,All occupations,Science occupations,Social scientists,,3,81200,1225,68450,1150,60750,1000,7700,475,1400,225,10050,550,1300,225
8211,r030,All occupations -> Science occupations -> Social scientists -> Economists,All occupations,Science occupations,Social scientists,Economists,4,10800,425,9150,375,8100,375,1050,150,100,50,1350,200,250,125
8211,r031,All occupations -> Science occupations -> Social scientists -> Political scientists,All occupations,Science occupations,Social scientists,Political scientists,4,2600,325,1750,250,1550,225,200,75,S,S,500,150,200,125
8211,r032,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, economics",All occupations,Science occupations,Social scientists,"Postsecondary teachers, economics",4,12750,625,10900,600,9700,575,1200,175,150,75,1550,225,S,S
8211,r033,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, political science",All occupations,Science occupations,Social scientists,"Postsecondary teachers, political science",4,11250,550,10000,525,9150,475,850,200,300,150,900,175,100,50
8211,r034,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, sociology",All occupations,Science occupations,Social scientists,"Postsecondary teachers, sociology",4,9550,450,7950,425,7150,400,800,175,100,50,1400,200,50,50
8211,r035,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, other social sciences",All occupations,Science occupations,Social scientists,"Postsecondary teachers, other social sciences",4,18150,550,15550,500,14100,475,1450,175,250,100,2250,275,100,50
8211,r036,"All occupations -> Science occupations -> Social scientists -> Sociologists, anthropologists",All occupations,Science occupations,Social scientists,"Sociologists, anthropologists",4,4900,375,3800,300,3000,275,800,175,200,75,800,150,100,50
8211,r037,All occupations -> Science occupations -> Social scientists -> Other social scientists,All occupations,Science occupations,Social scientists,Other social scientists,4,11200,525,9400,475,8000,450,1400,175,150,50,1300,200,300,100
8211,r038,All occupations -> Engineering occupations,All occupations,Engineering occupations,,,2,138100,1575,122800,1575,116050,1525,6750,475,2150,275,11850,600,1250,200
8211,r039,"All occupations -> Engineering occupations -> Aerospace, aeronautical, astronautical engineers",All occupations,Engineering occupations,"Aerospace, aeronautical, astronautical engineers",,3,8000,450,7100,425,6650,400,400,150,100,75,750,150,,
8211,r040,All occupations -> Engineering occupations -> Chemical engineers,All occupations,Engineering occupations,Chemical engineers,,3,10050,500,8800,475,8500,450,300,100,250,100,950,200,100,50
8211,r041,"All occupations -> Engineering occupations -> Civil, architectural, sanitary engineers",All occupations,Engineering occupations,"Civil, architectural, sanitary engineers",,3,8050,450,7400,425,6750,400,650,200,S,S,400,150,100,50
8211,r042,All occupations -> Engineering occupations -> Electrical engineers,All occupations,Engineering occupations,Electrical engineers,,3,29850,875,26950,850,25750,850,1200,250,200,75,2450,275,250,75
8211,r043,All occupations -> Engineering occupations -> Industrial engineers,All occupations,Engineering occupations,Industrial engineers,,3,1550,225,1450,200,1300,200,100,50,,,S,S,,
8211,r044,All occupations -> Engineering occupations -> Mechanical engineers,All occupations,Engineering occupations,Mechanical engineers,,3,16150,650,14250,625,13750,600,500,125,400,125,1400,225,100,50
8211,r045,"All occupations -> Engineering occupations -> Postsecondary teachers, engineering",All occupations,Engineering occupations,"Postsecondary teachers, engineering",,3,28550,775,26100,750,24850,750,1250,200,200,100,2000,325,200,75
8211,r046,All occupations -> Engineering occupations -> Other engineers,All occupations,Engineering occupations,Other engineers,,3,35900,925,30750,825,28450,800,2250,275,850,150,3800,350,500,150
8211,r047,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,2,119200,1700,100450,1525,91200,1425,9300,600,2000,225,14650,675,2050,300
8211,r048,"All occupations -> S&E-related occupations -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations,"Health occupations, except postsecondary teachers and managers",,3,36550,975,30750,850,26050,800,4650,375,750,150,4100,350,950,200
8211,r049,"All occupations -> S&E-related occupations -> Postsecondary teachers, health and related science",All occupations,S&E-related occupations,"Postsecondary teachers, health and related science",,3,28650,875,24000,825,21600,775,2400,275,400,125,4050,350,200,100
8211,r050,"All occupations -> S&E-related occupations -> S&E managers, including health",All occupations,S&E-related occupations,"S&E managers, including health",,3,35350,1025,30550,950,29650,950,950,200,450,125,4150,325,200,100
8211,r051,All occupations -> S&E-related occupations -> S&E precollege teachers,All occupations,S&E-related occupations,S&E precollege teachers,,3,7100,400,5300,325,4750,325,550,100,250,100,1200,150,400,125
8211,r052,All occupations -> S&E-related occupations -> S&E technicians/ technologists,All occupations,S&E-related occupations,S&E technicians/ technologists,,3,10400,625,9100,600,8350,550,700,150,200,75,900,175,250,125
8211,r053,All occupations -> S&E-related occupations -> Other S&E-related occupations,All occupations,S&E-related occupations,Other S&E-related occupations,,3,1150,175,800,150,800,150,,,,,300,125,,
8211,r054,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,2,178900,1950,146600,1825,124450,1825,22200,750,4300,400,24600,850,3450,275
8211,r055,"All occupations -> Non-S&E occupations -> Arts, humanities-related occupations",All occupations,Non-S&E occupations,"Arts, humanities-related occupations",,3,11500,600,9150,500,6150,425,3000,300,350,100,1350,200,650,125
8211,r056,All occupations -> Non-S&E occupations -> Management-related occupations,All occupations,Non-S&E occupations,Management-related occupations,,3,35200,1025,29100,975,24700,925,4350,375,950,200,4650,325,500,100
8211,r057,All occupations -> Non-S&E occupations -> Non-S&E managers,All occupations,Non-S&E occupations,Non-S&E managers,,3,70100,1350,60150,1350,56150,1325,4000,325,700,175,8850,600,400,125
8211,r058,All occupations -> Non-S&E occupations -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations,Non-S&E postsecondary teachers,,3,21050,675,17250,575,14650,550,2600,275,300,75,3300,300,250,75
8211,r059,All occupations -> Non-S&E occupations -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations,Non-S&E precollege/ other teachers,,3,5950,475,3700,350,1850,275,1850,225,400,100,1300,225,550,125
8211,r060,"All occupations -> Non-S&E occupations -> Sales, marketing occupations",All occupations,Non-S&E occupations,"Sales, marketing occupations",,3,10800,600,8550,525,7000,450,1550,225,350,100,1600,225,300,75
8211,r061,All occupations -> Non-S&E occupations -> Social service-related occupations,All occupations,Non-S&E occupations,Social service-related occupations,,3,7600,400,6000,350,3950,300,2050,225,200,50,1100,175,350,125
8211,r062,All occupations -> Non-S&E occupations -> Other non-S&E occupations,All occupations,Non-S&E occupations,Other non-S&E occupations,,3,16750,650,12750,575,9950,525,2800,300,1050,200,2400,250,500,125
