table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_all_full_time_employed_all_median_salary,field_all_full_time_employed_all_se,field_u_s_citizen_all_median_salary,field_u_s_citizen_all_se,field_u_s_citizen_native_born_median_salary,field_u_s_citizen_native_born_se,field_u_s_citizen_naturalized_median_salary,field_u_s_citizen_naturalized_se,field_non_u_s_citizen_all_median_salary,field_non_u_s_citizen_all_se,field_non_u_s_citizen_permanent_resident_median_salary,field_non_u_s_citizen_permanent_resident_se,field_non_u_s_citizen_temporary_resident_median_salary,field_non_u_s_citizen_temporary_resident_se
9245,r021,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,4,103000,4000,105000,3000,105000,3500,103000,5000,84000,8000,85000,8500,76000,12000
9245,r022,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",4,90000,2000,90000,3500,92000,3500,89000,3500,83000,3000,83000,3500,72000,20000
9245,r023,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,4,90000,500,90000,1000,90000,1000,100000,5000,82000,2500,84000,5000,73000,7500
9245,r024,All fields -> Engineering,All fields,Engineering,,,2,137000,2000,143000,2500,139000,2500,150000,1000,120000,2500,129000,500,102000,4500
9245,r025,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,137000,4500,146000,5000,149000,6500,144000,9000,112000,6500,122000,7500,102000,4500
9245,r026,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,3,139000,4000,144000,3500,139000,4000,153000,5500,117000,3500,126000,8500,105000,4500
9245,r027,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,3,119000,4500,126000,4000,120000,2500,138000,9000,94000,4000,99000,1500,83000,3000
9245,r028,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,3,150000,2000,159000,2500,153000,5500,160000,3500,140000,3500,149000,1500,129000,4000
9245,r029,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,3,130000,2000,131000,3500,130000,3500,132000,3500,115000,5000,119000,3500,98000,4000
9245,r030,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,3,134000,3500,142000,3500,139000,3500,149000,4500,114000,5500,123000,7500,91000,13000
9245,r031,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,3,130000,500,136000,3500,130000,2500,147000,4500,110000,4000,122000,6000,95000,2500
9245,r032,All fields -> Health,All fields,Health,,,2,110000,1500,115000,2500,110000,2500,125000,9000,93000,4500,97000,5000,90000,8500
