table_id,row_id,broad_field_of_study_and_primary_source_of_support_full_path,broad_field_of_study_and_primary_source_of_support_level_1,broad_field_of_study_and_primary_source_of_support_level_2,broad_field_of_study_and_primary_source_of_support_level_3,broad_field_of_study_and_primary_source_of_support_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
1770,r023,All fields (number) -> Mathematics and computer sciences (number) -> Teaching assistantships,All fields (number),Mathematics and computer sciences (number),Teaching assistantships,3,38.2,37.2,41.1,39.0,37.6,36.0,,35.0,19.4,41.6,,31.3,9.1
1770,r024,All fields (number) -> Mathematics and computer sciences (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Mathematics and computer sciences (number),Research assistantships or traineeships<sup>b</sup>,3,35.1,36.7,30.0,27.0,41.7,22.5,0.0,33.6,21.0,26.9,20.4,18.8,27.3
1770,r025,"All fields (number) -> Mathematics and computer sciences (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),Mathematics and computer sciences (number),"Fellowships, scholarships, or dissertation grants",3,17.3,16.4,20.2,20.2,14.9,27.0,0.0,17.3,40.3,18.2,35.2,31.3,36.4
1770,r026,All fields (number) -> Mathematics and computer sciences (number) -> Own resources,All fields (number),Mathematics and computer sciences (number),Own resources,3,5.1,5.1,5.0,9.0,1.8,6.7,0.0,10.0,,8.6,,,18.2
1770,r027,All fields (number) -> Mathematics and computer sciences (number) -> Employer,All fields (number),Mathematics and computer sciences (number),Employer,3,2.1,2.4,1.2,4.3,0.3,6.7,,4.1,,4.2,,0.0,0.0
1770,r028,All fields (number) -> Mathematics and computer sciences (number) -> Other,All fields (number),Mathematics and computer sciences (number),Other,3,2.3,2.2,2.6,0.6,3.7,1.1,0.0,0.0,0.0,0.6,0.0,0.0,9.1
1770,r029,All fields (number) -> Psychology and social sciences (number),All fields (number),Psychology and social sciences (number),,2,7738,3186,4552,6096,1619,511,27,437,472,4322,244,55,28
1770,r030,All fields (number) -> Psychology and social sciences (number) -> Teaching assistantships,All fields (number),Psychology and social sciences (number),Teaching assistantships,3,29.0,31.2,27.4,27.1,35.9,24.5,,27.7,14.0,28.9,,36.4,35.7
1770,r031,All fields (number) -> Psychology and social sciences (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Psychology and social sciences (number),Research assistantships or traineeships<sup>b</sup>,3,16.6,15.5,17.4,16.6,17.0,12.7,,14.9,10.2,18.2,,9.1,0.0
1770,r032,"All fields (number) -> Psychology and social sciences (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),Psychology and social sciences (number),"Fellowships, scholarships, or dissertation grants",3,27.2,28.3,26.4,25.4,33.9,32.7,40.7,34.1,21.4,23.7,31.6,23.6,25.0
1770,r033,All fields (number) -> Psychology and social sciences (number) -> Own resources,All fields (number),Psychology and social sciences (number),Own resources,3,23.7,20.5,25.9,28.0,7.2,28.2,33.3,20.1,50.2,26.3,26.6,30.9,35.7
1770,r034,All fields (number) -> Psychology and social sciences (number) -> Employer,All fields (number),Psychology and social sciences (number),Employer,3,2.0,2.2,1.8,,,,,2.5,3.4,2.3,,0.0,3.6
1770,r035,All fields (number) -> Psychology and social sciences (number) -> Other,All fields (number),Psychology and social sciences (number),Other,3,1.6,2.3,1.1,,,,0.0,0.7,0.8,0.6,1.2,0.0,0.0
1770,r036,All fields (number) -> Engineering (number),All fields (number),Engineering (number),,2,9070,6895,2175,3925,5112,264,6,639,153,2670,127,41,25
1770,r037,All fields (number) -> Engineering (number) -> Teaching assistantships,All fields (number),Engineering (number),Teaching assistantships,3,11.3,11.6,10.5,7.8,14.1,6.4,0.0,9.7,7.8,7.7,4.7,2.4,8.0
1770,r038,All fields (number) -> Engineering (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Engineering (number),Research assistantships or traineeships<sup>b</sup>,3,58.6,59.6,55.4,48.2,66.7,33.3,,53.8,33.3,48.9,52.8,,60.0
1770,r039,"All fields (number) -> Engineering (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),Engineering (number),"Fellowships, scholarships, or dissertation grants",3,19.9,18.1,25.6,30.8,11.5,44.3,,27.2,42.5,29.4,,34.1,20.0
1770,r040,All fields (number) -> Engineering (number) -> Own resources,All fields (number),Engineering (number),Own resources,3,4.6,4.7,4.6,7.5,2.4,9.5,,,9.8,7.9,,9.8,8.0
1770,r041,All fields (number) -> Engineering (number) -> Employer,All fields (number),Engineering (number),Employer,3,2.5,2.7,1.9,5.2,0.5,4.9,0.0,,6.5,5.5,5.5,,4.0
1770,r042,All fields (number) -> Engineering (number) -> Other,All fields (number),Engineering (number),Other,3,2.9,3.2,2.0,0.5,4.8,1.5,0.0,0.3,0.0,0.5,0.8,0.0,0.0
1770,r043,All fields (number) -> Education (number),All fields (number),Education (number),,2,4233,1298,2935,3687,531,284,19,182,518,2524,114,25,21
1770,r044,All fields (number) -> Education (number) -> Teaching assistantships,All fields (number),Education (number),Teaching assistantships,3,11.6,12.9,11.0,10.7,17.7,9.5,0.0,15.4,4.4,11.6,14.0,16.0,14.3
1770,r045,All fields (number) -> Education (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Education (number),Research assistantships or traineeships<sup>b</sup>,3,16.4,15.3,16.9,14.8,28.1,11.6,26.3,21.4,10.2,15.5,17.5,8.0,14.3
1770,r046,"All fields (number) -> Education (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),Education (number),"Fellowships, scholarships, or dissertation grants",3,13.5,13.3,13.5,11.9,23.7,13.4,36.8,16.5,14.3,10.4,20.2,8.0,19.0
1770,r047,All fields (number) -> Education (number) -> Own resources,All fields (number),Education (number),Own resources,3,45.5,43.0,46.6,49.8,15.8,52.8,36.8,39.6,61.4,48.5,36.8,68.0,28.6
1770,r048,All fields (number) -> Education (number) -> Employer,All fields (number),Education (number),Employer,3,10.6,11.9,10.0,11.9,1.3,10.6,0.0,5.5,8.5,13.4,9.6,0.0,23.8
1770,r049,All fields (number) -> Education (number) -> Other,All fields (number),Education (number),Other,3,2.5,3.5,2.0,0.9,13.4,2.1,0.0,1.6,1.2,0.6,1.8,0.0,0.0
1770,r050,All fields (number) -> Humanities and arts (number),All fields (number),Humanities and arts (number),,2,4538,2244,2294,3847,667,324,11,185,188,2989,112,24,14
1770,r051,All fields (number) -> Humanities and arts (number) -> Teaching assistantships,All fields (number),Humanities and arts (number),Teaching assistantships,3,40.0,38.3,41.5,39.7,41.2,41.0,,34.1,,41.6,31.3,25.0,42.9
1770,r052,All fields (number) -> Humanities and arts (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Humanities and arts (number),Research assistantships or traineeships<sup>b</sup>,3,1.9,2.0,1.7,1.9,1.6,,0.0,,3.2,1.9,,0.0,7.1
1770,r053,"All fields (number) -> Humanities and arts (number) -> Fellowships, scholarships, or dissertation grants",All fields (number),Humanities and arts (number),"Fellowships, scholarships, or dissertation grants",3,36.9,36.2,37.5,35.5,45.1,38.3,45.5,47.0,45.2,33.6,44.6,29.2,21.4
1770,r054,All fields (number) -> Humanities and arts (number) -> Own resources,All fields (number),Humanities and arts (number),Own resources,3,19.0,20.8,17.3,21.0,7.2,17.9,,,26.1,21.0,19.6,41.7,28.6
1770,r055,All fields (number) -> Humanities and arts (number) -> Employer,All fields (number),Humanities and arts (number),Employer,3,1.4,1.4,1.3,,,1.5,0.0,,,1.6,,0.0,0.0
1770,r056,All fields (number) -> Humanities and arts (number) -> Other,All fields (number),Humanities and arts (number),Other,3,1.0,1.3,0.6,,,,0.0,0.0,2.1,0.3,0.0,4.2,0.0
1770,r057,All fields (number) -> Other (number)<sup>d</sup>,All fields (number),Other (number)<sup>d</sup>,,2,2458,1206,1252,1538,906,71,,146,189,1054,44,,12
1770,r058,All fields (number) -> Other (number)<sup>d</sup> -> Teaching assistantships,All fields (number),Other (number)<sup>d</sup>,Teaching assistantships,3,23.9,22.1,25.6,21.9,27.5,16.9,0.0,19.2,13.8,24.2,25.0,22.2,8.3
1770,r059,All fields (number) -> Other (number)<sup>d</sup> -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Other (number)<sup>d</sup>,Research assistantships or traineeships<sup>b</sup>,3,17.7,18.6,16.9,13.7,24.5,,0.0,15.8,6.3,15.4,,0.0,8.3
1770,r060,"All fields (number) -> Other (number)<sup>d</sup> -> Fellowships, scholarships, or dissertation grants",All fields (number),Other (number)<sup>d</sup>,"Fellowships, scholarships, or dissertation grants",3,25.1,28.4,21.9,21.3,31.3,25.4,,42.5,15.3,19.0,,16.7,25.0
1770,r061,All fields (number) -> Other (number)<sup>d</sup> -> Own resources,All fields (number),Other (number)<sup>d</sup>,Own resources,3,27.2,24.0,30.2,36.9,10.5,,,,59.8,34.5,43.2,,50.0
1770,r062,All fields (number) -> Other (number)<sup>d</sup> -> Employer,All fields (number),Other (number)<sup>d</sup>,Employer,3,3.6,3.9,3.4,5.3,0.8,,0.0,,3.7,6.1,0.0,0.0,8.3
1770,r063,All fields (number) -> Other (number)<sup>d</sup> -> Other,All fields (number),Other (number)<sup>d</sup>,Other,3,2.6,3.0,2.2,0.9,5.4,0.0,0.0,0.0,1.1,0.9,4.5,5.6,0.0
