table_id,row_id,sex_and_demographic_characteristic_full_path,sex_and_demographic_characteristic_level_1,sex_and_demographic_characteristic_level_2,sex_and_demographic_characteristic_level_3,sex_and_demographic_characteristic_level_4,sex_and_demographic_characteristic_level_5,sex_and_demographic_characteristic_hierarchy_depth,field_total,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
3401,r019,"Employed scientists and engineers (number) -> If married, spouse's employment status -> Employed -> Yes, part time",Employed scientists and engineers (number),"If married, spouse's employment status",Employed,"Yes, part time",,4,12.2,10.6,5.6,9.4,12.0,S,12.9,11.8
3401,r020,"Employed scientists and engineers (number) -> If married, spouse's employment status -> Not employed",Employed scientists and engineers (number),"If married, spouse's employment status",Not employed,,,3,21.9,21.0,15.2,25.1,22.2,8.1,21.5,21.8
3401,r021,"Employed scientists and engineers (number) -> If spouse is employed, field in which spouse's job required a bachelor's",Employed scientists and engineers (number),"If spouse is employed, field in which spouse's job required a bachelor's",,,,2,,,,,,,,
3401,r022,"Employed scientists and engineers (number) -> If spouse is employed, field in which spouse's job required a bachelor's -> Engineering, computer science, math, or natural sciences",Employed scientists and engineers (number),"If spouse is employed, field in which spouse's job required a bachelor's","Engineering, computer science, math, or natural sciences",,,3,27.3,24.1,9.4,50.4,22.4,8.5,23.9,29.3
3401,r023,"Employed scientists and engineers (number) -> If spouse is employed, field in which spouse's job required a bachelor's -> Social sciences",Employed scientists and engineers (number),"If spouse is employed, field in which spouse's job required a bachelor's",Social sciences,,,3,13.0,14.7,6.0,8.5,17.9,S,13.1,17.9
3401,r024,"Employed scientists and engineers (number) -> If spouse is employed, field in which spouse's job required a bachelor's -> Other",Employed scientists and engineers (number),"If spouse is employed, field in which spouse's job required a bachelor's",Other,,,3,38.7,40.4,42.0,33.6,39.8,16.1,39.5,34.5
3401,r025,Employed scientists and engineers (number) -> Children living in household,Employed scientists and engineers (number),Children living in household,,,,2,,,,,,,,
3401,r026,Employed scientists and engineers (number) -> Children living in household -> No,Employed scientists and engineers (number),Children living in household,No,,,3,53.2,53.2,47.1,48.1,51.6,45.0,54.5,54.1
3401,r027,Employed scientists and engineers (number) -> Children living in household -> Yes,Employed scientists and engineers (number),Children living in household,Yes,,,3,46.8,46.8,52.9,51.9,48.4,55.0,45.5,45.9
3401,r028,Employed scientists and engineers (number) -> Citizenship,Employed scientists and engineers (number),Citizenship,,,,2,,,,,,,,
3401,r029,Employed scientists and engineers (number) -> Citizenship -> U.S. citizen,Employed scientists and engineers (number),Citizenship,U.S. citizen,,,3,92.7,90.0,99.4,68.8,93.3,98.6,97.6,96.0
3401,r030,Employed scientists and engineers (number) -> Citizenship -> U.S. citizen -> Native,Employed scientists and engineers (number),Citizenship,U.S. citizen,Native,,4,80.1,68.5,99.4,22.5,77.1,67.3,93.4,87.6
3401,r031,Employed scientists and engineers (number) -> Citizenship -> U.S. citizen -> Naturalized,Employed scientists and engineers (number),Citizenship,U.S. citizen,Naturalized,,4,12.6,21.5,,46.3,16.2,31.3,4.3,8.4
3401,r032,Employed scientists and engineers (number) -> Citizenship -> Non-U.S. citizen,Employed scientists and engineers (number),Citizenship,Non-U.S. citizen,,,3,7.3,10.0,,31.2,6.7,1.4,2.4,4.0
3401,r033,Employed scientists and engineers (number) -> Citizenship -> Non-U.S. citizen -> Permanent resident,Employed scientists and engineers (number),Citizenship,Non-U.S. citizen,Permanent resident,,4,4.1,7.5,,13.8,5.4,S,1.5,3.5
3401,r034,Employed scientists and engineers (number) -> Citizenship -> Non-U.S. citizen -> Temporary resident,Employed scientists and engineers (number),Citizenship,Non-U.S. citizen,Temporary resident,,4,3.3,2.5,,17.5,1.3,,0.8,0.5
3401,r035,Employed scientists and engineers (number) -> Female,Employed scientists and engineers (number),Female,,,,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3401,r036,Employed scientists and engineers (number) -> Female -> Age (years),Employed scientists and engineers (number),Female,Age (years),,,3,,,,,,,,
3401,r037,Employed scientists and engineers (number) -> Female -> Age (years) -> 29 and younger,Employed scientists and engineers (number),Female,Age (years),29 and younger,,4,18.1,21.0,9.6,20.9,17.0,16.0,17.0,25.5
3401,r038,Employed scientists and engineers (number) -> Female -> Age (years) -> 30&#8211;39,Employed scientists and engineers (number),Female,Age (years),30&#8211;39,,4,28.5,31.5,36.5,29.5,27.9,33.2,27.6,36.6
3401,r039,Employed scientists and engineers (number) -> Female -> Age (years) -> 40&#8211;49,Employed scientists and engineers (number),Female,Age (years),40&#8211;49,,4,23.2,23.1,28.2,29.4,23.3,40.0,22.0,21.2
3401,r040,Employed scientists and engineers (number) -> Female -> Age (years) -> 50&#8211;75,Employed scientists and engineers (number),Female,Age (years),50&#8211;75,,4,30.3,24.4,25.6,20.3,31.9,10.8,33.4,16.7
3401,r041,Employed scientists and engineers (number) -> Female -> Disability status,Employed scientists and engineers (number),Female,Disability status,,,3,,,,,,,,
3401,r042,Employed scientists and engineers (number) -> Female -> Disability status -> Without disability,Employed scientists and engineers (number),Female,Disability status,Without disability,,4,90.7,85.4,95.1,92.2,89.0,92.5,91.4,92.3
3401,r043,Employed scientists and engineers (number) -> Female -> Disability status -> With disability,Employed scientists and engineers (number),Female,Disability status,With disability,,4,9.3,14.6,4.9,7.8,11.0,S,8.6,7.7
3401,r044,Employed scientists and engineers (number) -> Female -> Marital status,Employed scientists and engineers (number),Female,Marital status,,,3,,,,,,,,
3401,r045,Employed scientists and engineers (number) -> Female -> Marital status -> Married<sup>b</sup>,Employed scientists and engineers (number),Female,Marital status,Married<sup>b</sup>,,4,66.8,62.2,68.2,69.4,41.5,48.1,70.7,53.3
3401,r046,Employed scientists and engineers (number) -> Female -> Marital status -> Widowed,Employed scientists and engineers (number),Female,Marital status,Widowed,,4,1.1,1.0,,0.7,0.7,,1.3,0.2
3401,r047,Employed scientists and engineers (number) -> Female -> Marital status -> Separated,Employed scientists and engineers (number),Female,Marital status,Separated,,4,1.1,1.8,,0.9,3.3,,0.8,0.8
3401,r048,Employed scientists and engineers (number) -> Female -> Marital status -> Divorced,Employed scientists and engineers (number),Female,Marital status,Divorced,,4,9.2,8.8,6.9,4.7,15.0,S,9.2,12.2
3401,r049,Employed scientists and engineers (number) -> Female -> Marital status -> Never married,Employed scientists and engineers (number),Female,Marital status,Never married,,4,21.9,26.4,24.0,24.4,39.5,30.2,18.0,33.5
3401,r050,"Employed scientists and engineers (number) -> Female -> If married, spouse's employment status",Employed scientists and engineers (number),Female,"If married, spouse's employment status",,,3,,,,,,,,
3401,r051,"Employed scientists and engineers (number) -> Female -> If married, spouse's employment status -> Employed",Employed scientists and engineers (number),Female,"If married, spouse's employment status",Employed,,4,87.5,89.0,90.8,86.7,84.7,91.8,87.8,83.1
3401,r052,"Employed scientists and engineers (number) -> Female -> If married, spouse's employment status -> Employed -> Yes, full time",Employed scientists and engineers (number),Female,"If married, spouse's employment status",Employed,"Yes, full time",5,81.6,81.9,83.4,82.8,77.3,85.5,81.8,73.6
3401,r053,"Employed scientists and engineers (number) -> Female -> If married, spouse's employment status -> Employed -> Yes, part time",Employed scientists and engineers (number),Female,"If married, spouse's employment status",Employed,"Yes, part time",5,5.9,7.2,S,3.9,7.4,S,5.9,9.5
3401,r054,"Employed scientists and engineers (number) -> Female -> If married, spouse's employment status -> Not employed",Employed scientists and engineers (number),Female,"If married, spouse's employment status",Not employed,,4,12.5,11.0,S,13.3,15.3,,12.2,16.9
3401,r055,"Employed scientists and engineers (number) -> Female -> If spouse is employed, field in which spouse's job required a bachelor's",Employed scientists and engineers (number),Female,"If spouse is employed, field in which spouse's job required a bachelor's",,,3,,,,,,,,
3401,r056,"Employed scientists and engineers (number) -> Female -> If spouse is employed, field in which spouse's job required a bachelor's -> Engineering, computer science, math, or natural sciences",Employed scientists and engineers (number),Female,"If spouse is employed, field in which spouse's job required a bachelor's","Engineering, computer science, math, or natural sciences",,4,33.2,27.4,S,59.7,28.6,20.1,29.6,31.6
3401,r057,"Employed scientists and engineers (number) -> Female -> If spouse is employed, field in which spouse's job required a bachelor's -> Social sciences",Employed scientists and engineers (number),Female,"If spouse is employed, field in which spouse's job required a bachelor's",Social sciences,,4,9.5,8.9,S,6.7,15.9,S,9.8,8.2
3401,r058,"Employed scientists and engineers (number) -> Female -> If spouse is employed, field in which spouse's job required a bachelor's -> Other",Employed scientists and engineers (number),Female,"If spouse is employed, field in which spouse's job required a bachelor's",Other,,4,32.6,36.8,S,29.3,29.6,25.7,33.1,23.0
3401,r059,Employed scientists and engineers (number) -> Female -> Children living in household,Employed scientists and engineers (number),Female,Children living in household,,,3,,,,,,,,
3401,r060,Employed scientists and engineers (number) -> Female -> Children living in household -> No,Employed scientists and engineers (number),Female,Children living in household,No,,4,53.0,52.5,36.8,48.1,51.0,49.7,54.2,53.9
3401,r061,Employed scientists and engineers (number) -> Female -> Children living in household -> Yes,Employed scientists and engineers (number),Female,Children living in household,Yes,,4,47.0,47.5,63.2,51.9,49.0,50.3,45.8,46.1
3401,r062,Employed scientists and engineers (number) -> Female -> Citizenship,Employed scientists and engineers (number),Female,Citizenship,,,3,,,,,,,,
3401,r063,Employed scientists and engineers (number) -> Female -> Citizenship -> U.S. citizen,Employed scientists and engineers (number),Female,Citizenship,U.S. citizen,,4,94.7,91.9,98.7,75.0,96.0,98.0,98.5,97.7
3401,r064,Employed scientists and engineers (number) -> Female -> Citizenship -> U.S. citizen -> Native,Employed scientists and engineers (number),Female,Citizenship,U.S. citizen,Native,5,82.5,71.7,98.7,25.6,81.4,62.8,94.7,88.5
3401,r065,Employed scientists and engineers (number) -> Female -> Citizenship -> U.S. citizen -> Naturalized,Employed scientists and engineers (number),Female,Citizenship,U.S. citizen,Naturalized,5,12.2,20.2,,49.4,14.6,35.2,3.8,9.2
3401,r066,Employed scientists and engineers (number) -> Female -> Citizenship -> Non-U.S. citizen,Employed scientists and engineers (number),Female,Citizenship,Non-U.S. citizen,,4,5.3,8.1,,25.0,4.0,,1.5,2.3
3401,r067,Employed scientists and engineers (number) -> Female -> Citizenship -> Non-U.S. citizen -> Permanent resident,Employed scientists and engineers (number),Female,Citizenship,Non-U.S. citizen,Permanent resident,5,3.3,6.8,,13.1,2.9,,1.1,1.7
3401,r068,Employed scientists and engineers (number) -> Female -> Citizenship -> Non-U.S. citizen -> Temporary resident,Employed scientists and engineers (number),Female,Citizenship,Non-U.S. citizen,Temporary resident,5,2.0,1.3,,11.9,1.1,,0.4,S
3401,r069,Employed scientists and engineers (number) -> Male,Employed scientists and engineers (number),Male,,,,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3401,r070,Employed scientists and engineers (number) -> Male -> Age (years),Employed scientists and engineers (number),Male,Age (years),,,3,,,,,,,,
3401,r071,Employed scientists and engineers (number) -> Male -> Age (years) -> 29 and younger,Employed scientists and engineers (number),Male,Age (years),29 and younger,,4,13.6,17.5,S,17.5,12.5,S,12.2,21.5
3401,r072,Employed scientists and engineers (number) -> Male -> Age (years) -> 30&#8211;39,Employed scientists and engineers (number),Male,Age (years),30&#8211;39,,4,26.4,29.0,S,29.8,26.0,12.3,25.3,33.1
3401,r073,Employed scientists and engineers (number) -> Male -> Age (years) -> 40&#8211;49,Employed scientists and engineers (number),Male,Age (years),40&#8211;49,,4,23.0,24.4,17.9,26.0,28.2,45.6,21.7,22.6
3401,r074,Employed scientists and engineers (number) -> Male -> Age (years) -> 50&#8211;75,Employed scientists and engineers (number),Male,Age (years),50&#8211;75,,4,36.9,29.2,34.1,26.7,33.4,33.1,40.9,22.8
3401,r075,Employed scientists and engineers (number) -> Male -> Disability status,Employed scientists and engineers (number),Male,Disability status,,,3,,,,,,,,
3401,r076,Employed scientists and engineers (number) -> Male -> Disability status -> Without disability,Employed scientists and engineers (number),Male,Disability status,Without disability,,4,88.9,87.9,92.4,92.3,88.5,83.6,88.4,88.7
3401,r077,Employed scientists and engineers (number) -> Male -> Disability status -> With disability,Employed scientists and engineers (number),Male,Disability status,With disability,,4,11.1,12.1,7.6,7.7,11.5,16.4,11.6,11.3
3401,r078,Employed scientists and engineers (number) -> Male -> Marital status,Employed scientists and engineers (number),Male,Marital status,,,3,,,,,,,,
3401,r079,Employed scientists and engineers (number) -> Male -> Marital status -> Married<sup>b</sup>,Employed scientists and engineers (number),Male,Marital status,Married<sup>b</sup>,,4,74.2,65.8,55.2,73.5,66.1,78.8,76.3,71.1
3401,r080,Employed scientists and engineers (number) -> Male -> Marital status -> Widowed,Employed scientists and engineers (number),Male,Marital status,Widowed,,4,0.5,0.4,,0.1,0.5,,0.6,
3401,r081,Employed scientists and engineers (number) -> Male -> Marital status -> Separated,Employed scientists and engineers (number),Male,Marital status,Separated,,4,0.6,1.1,,0.4,0.7,,0.5,S
3401,r082,Employed scientists and engineers (number) -> Male -> Marital status -> Divorced,Employed scientists and engineers (number),Male,Marital status,Divorced,,4,5.3,7.7,S,2.2,5.8,,5.7,3.1
3401,r083,Employed scientists and engineers (number) -> Male -> Marital status -> Never married,Employed scientists and engineers (number),Male,Marital status,Never married,,4,19.4,25.1,S,23.8,26.8,20.4,16.8,24.2
3401,r084,"Employed scientists and engineers (number) -> Male -> If married, spouse's employment status",Employed scientists and engineers (number),Male,"If married, spouse's employment status",,,3,,,,,,,,
3401,r085,"Employed scientists and engineers (number) -> Male -> If married, spouse's employment status -> Employed",Employed scientists and engineers (number),Male,"If married, spouse's employment status",Employed,,4,70.2,68.7,78.2,66.1,72.6,91.9,70.8,74.1
3401,r086,"Employed scientists and engineers (number) -> Male -> If married, spouse's employment status -> Employed -> Yes, full time",Employed scientists and engineers (number),Male,"If married, spouse's employment status",Employed,"Yes, full time",5,52.9,54.7,74.7,52.6,57.1,61.9,52.1,60.3
3401,r087,"Employed scientists and engineers (number) -> Male -> If married, spouse's employment status -> Employed -> Yes, part time",Employed scientists and engineers (number),Male,"If married, spouse's employment status",Employed,"Yes, part time",5,17.4,14.1,S,13.5,15.5,S,18.7,13.7
3401,r088,"Employed scientists and engineers (number) -> Male -> If married, spouse's employment status -> Not employed",Employed scientists and engineers (number),Male,"If married, spouse's employment status",Not employed,,4,29.8,31.3,21.8,33.9,27.4,8.1,29.2,25.9
3401,r089,"Employed scientists and engineers (number) -> Male -> If spouse is employed, field in which spouse's job required a bachelor's",Employed scientists and engineers (number),Male,"If spouse is employed, field in which spouse's job required a bachelor's",,,3,,,,,,,,
3401,r090,"Employed scientists and engineers (number) -> Male -> If spouse is employed, field in which spouse's job required a bachelor's -> Engineering, computer science, math, or natural sciences",Employed scientists and engineers (number),Male,"If spouse is employed, field in which spouse's job required a bachelor's","Engineering, computer science, math, or natural sciences",,4,21.3,19.7,S,41.3,16.9,S,18.0,27.2
3401,r091,"Employed scientists and engineers (number) -> Male -> If spouse is employed, field in which spouse's job required a bachelor's -> Social sciences",Employed scientists and engineers (number),Male,"If spouse is employed, field in which spouse's job required a bachelor's",Social sciences,,4,16.5,22.4,S,10.2,19.7,S,16.5,27.0
3401,r092,"Employed scientists and engineers (number) -> Male -> If spouse is employed, field in which spouse's job required a bachelor's -> Other",Employed scientists and engineers (number),Male,"If spouse is employed, field in which spouse's job required a bachelor's",Other,,4,44.9,45.2,S,37.9,48.9,13.4,46.1,45.3
3401,r093,Employed scientists and engineers (number) -> Male -> Children living in household,Employed scientists and engineers (number),Male,Children living in household,,,3,,,,,,,,
3401,r094,Employed scientists and engineers (number) -> Male -> Children living in household -> No,Employed scientists and engineers (number),Male,Children living in household,No,,4,53.4,54.0,56.0,48.1,52.3,42.8,54.6,54.4
3401,r095,Employed scientists and engineers (number) -> Male -> Children living in household -> Yes,Employed scientists and engineers (number),Male,Children living in household,Yes,,4,46.6,46.0,44.0,51.9,47.7,57.2,45.4,45.6
3401,r096,Employed scientists and engineers (number) -> Male -> Citizenship,Employed scientists and engineers (number),Male,Citizenship,,,3,,,,,,,,
3401,r097,Employed scientists and engineers (number) -> Male -> Citizenship -> U.S. citizen,Employed scientists and engineers (number),Male,Citizenship,U.S. citizen,,4,90.9,88.0,99.9,63.8,90.0,98.8,96.9,94.2
3401,r098,Employed scientists and engineers (number) -> Male -> Citizenship -> U.S. citizen -> Native,Employed scientists and engineers (number),Male,Citizenship,U.S. citizen,Native,5,78.0,65.1,99.9,20.0,71.8,69.4,92.2,86.7
3401,r099,Employed scientists and engineers (number) -> Male -> Citizenship -> U.S. citizen -> Naturalized,Employed scientists and engineers (number),Male,Citizenship,U.S. citizen,Naturalized,5,12.9,22.9,,43.9,18.2,29.4,4.7,7.5
3401,r100,Employed scientists and engineers (number) -> Male -> Citizenship -> Non-U.S. citizen,Employed scientists and engineers (number),Male,Citizenship,Non-U.S. citizen,,4,9.1,12.0,,36.2,10.0,S,3.1,5.8
3401,r101,Employed scientists and engineers (number) -> Male -> Citizenship -> Non-U.S. citizen -> Permanent resident,Employed scientists and engineers (number),Male,Citizenship,Non-U.S. citizen,Permanent resident,5,4.7,8.2,,14.3,8.4,,2.0,5.6
3401,r102,Employed scientists and engineers (number) -> Male -> Citizenship -> Non-U.S. citizen -> Temporary resident,Employed scientists and engineers (number),Male,Citizenship,Non-U.S. citizen,Temporary resident,5,4.4,3.9,,21.9,1.6,,1.2,0.2
