table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
12660,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,2301102,1413489,56323,594769,89182,107492,39847
12660,r019,All R&D fields -> Science -> Physical sciences -> Materials science,All R&D fields,Science,Physical sciences,Materials science,4,319102,205797,3257,69680,17630,5714,17024
12660,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,2966923,2123118,44142,597719,63168,101088,37688
12660,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,390517,219578,19198,83737,43404,16728,7872
12660,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,1637829,978784,59755,462658,13266,101674,21692
12660,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,3615227,1202546,208838,1444371,48351,560818,150303
12660,r024,All R&D fields -> Science -> Social sciences -> Anthropology,All R&D fields,Science,Social sciences,Anthropology,4,151778,46631,2882,86134,1697,9028,5406
12660,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,723797,206477,51013,282137,13846,134058,36266
12660,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,556983,111794,18347,256138,4953,122971,42780
12660,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,727782,317113,38872,247163,8174,102853,13607
12660,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,1454887,520531,97724,572799,19681,191908,52244
12660,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,1194804,475264,59917,518241,42317,68582,30483
12660,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,17468446,10931327,961129,3329879,1316843,469350,459918
12660,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,1913964,1425681,49179,169291,234299,13133,22381
12660,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,1885216,1198449,72787,405953,65963,108655,33409
12660,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,1246882,713248,49789,289767,111376,50687,32015
12660,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,1900543,929044,321866,464145,89171,53101,43216
12660,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,3838675,2794497,95317,565978,213480,91116,78287
12660,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering,All R&D fields,Engineering,Industrial and manufacturing engineering,,3,707239,481861,42289,123495,38000,11101,10493
12660,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,2324946,1551973,75145,418863,188103,42727,48135
12660,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,1039160,693211,31768,188925,75209,26021,24026
12660,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,2611821,1143363,222989,703462,301242,72809,167956
12660,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,6904991,1724799,477012,3614281,175186,677742,235971
12660,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,1218052,109626,46073,895095,44567,61346,61345
12660,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,253609,58280,17077,125641,6620,37174,8817
12660,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,2042372,890786,198505,630046,47941,237427,37667
12660,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,846919,65170,21484,594879,14677,111700,39009
12660,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,430807,35110,27187,251221,12851,83021,21417
12660,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,416735,205510,60678,107154,4131,35487,3775
12660,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,283750,20717,14035,219951,1711,15636,11700
12660,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,1412747,339600,91973,790294,42688,95951,52241
