table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_assets_total,field_worldwide_assets_property_plant_and_equipment,field_worldwide_assets_goodwill,field_worldwide_assets_identifiable_intangible_assets,field_accumulated_depreciation_and_amortization_total,field_accumulated_depreciation_and_amortization_property_plant_and_equipment,field_accumulated_depreciation_and_amortization_identifiable_intangible_assets,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_total,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_property_plant_and_equipment,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_goodwill,field_reduction_in_value_due_to_impairment_charges_disposals_or_retirement_identifiable_intangible_assets,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_total,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_property_plant_and_equipment,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_goodwill,field_book_value_of_assets_acquired_through_mergers_and_acquisitions_identifiable_intangible_assets
12327,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['416,904', '  ']","['170,532', '  ']","['170,783', '  ']","['75,589', '  ']","['216,932', '  ']","['166,038', '  ']","['50,894', '  ']","['8,389', '  ']","['4,095', '  ']","['3,014', '  ']","['1,280', '  ']","['13,137', '  ']","['1,217', '  ']","['7,452', '  ']","['4,469', '  ']"
12327,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['35,807', '  ']","['22,859', '  ']","['8,177', '  ']","['4,771', '  ']","['26,878', '  ']","['24,880', '  ']","['1,998', '  ']","['481', '  ']","['429', '  ']","['0', '  ']","['52', '  ']","['2,116', '  ']","['259', '  ']","['1,350', '  ']","['507', '  ']"
12327,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['29,905', '  ']","['17,166', '  ']","['9,835', '  ']","['2,905', '  ']","['21,072', '  ']","['14,516', '  ']","['6,556', '  ']","['1,081', 'r ']","['151', '  ']","['0', '  ']","['930', 'r ']","['1,313', '  ']","['46', '  ']","['648', '  ']","['619', '  ']"
12327,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['49,553', '  ']","['29,700', '  ']","['14,880', '  ']","['4,973', '  ']","['40,750', '  ']","['33,043', '  ']","['7,707', '  ']","['1,504', '  ']","['259', '  ']","['1,236', '  ']","['10', '  ']","['373', '  ']","['78', '  ']","['96', '  ']","['199', '  ']"
12327,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['301,639', '  ']","['100,807', '  ']","['137,892', '  ']","['62,940', '  ']","['128,231', '  ']","['93,599', '  ']","['34,633', '  ']","['5,323', '  ']","['3,256', '  ']","['1,778', '  ']","['288', '  ']","['9,335', '  ']","['834', '  ']","['5,357', '  ']","['3,144', '  ']"
12327,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['845,766', '  ']","['303,390', '  ']","['389,699', '  ']","['152,678', '  ']","['499,780', '  ']","['377,474', '  ']","['122,306', '  ']","['15,484', '  ']","['5,675', '  ']","['8,844', '  ']","['964', '  ']","['58,964', '  ']","['3,324', '  ']","['44,520', '  ']","['11,120', '  ']"
12327,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['93,572', '  ']","['17,534', '  ']","['61,583', '  ']","['14,455', '  ']","['38,975', '  ']","['24,441', '  ']","['14,535', '  ']","['4,073', '  ']","['1,883', '  ']","['2,122', '  ']","['68', '  ']","['1,573', '  ']","['140', '  ']","['883', '  ']","['550', '  ']"
12327,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['431,735', '  ']","['191,749', '  ']","['162,827', '  ']","['77,159', '  ']","['247,382', '  ']","['207,336', '  ']","['40,046', '  ']","['1,823', '  ']","['1,099', '  ']","['450', '  ']","['273', '  ']","['33,777', '  ']","['1,964', '  ']","['29,758', '  ']","['2,055', '  ']"
12327,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['170,608', '  ']","['28,625', '  ']","['97,810', '  ']","['44,173', '  ']","['55,768', '  ']","['31,056', '  ']","['24,712', '  ']","['6,717', '  ']","['1,633', '  ']","['4,705', '  ']","['379', '  ']","['17,556', '  ']","['654', '  ']","['10,588', '  ']","['6,314', '  ']"
12327,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['61,360', '  ']","['6,520', '  ']","['36,515', '  ']","['18,325', '  ']","['12,999', '  ']","['6,465', '  ']","['6,534', '  ']","['4,874', '  ']","['292', '  ']","['4,520', '  ']","['62', '  ']","['1,087', '  ']","['20', '  ']","['636', '  ']","['430', '  ']"
12327,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['11,444', '  ']","['3,455', '  ']","['6,281', '  ']","['1,708', '  ']","['6,951', '  ']","['4,779', '  ']","['2,171', '  ']","['71', '  ']","['70', '  ']","['1', 'i ']","['*', '  ']","['277', '  ']","['30', '  ']","['130', '  ']","['117', '  ']"
12327,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['97,805', '  ']","['18,651', '  ']","['55,014', '  ']","['24,140', '  ']","['35,819', '  ']","['19,812', '  ']","['16,006', '  ']","['1,772', '  ']","['1,271', '  ']","['185', '  ']","['317', '  ']","['16,193', '  ']","['604', '  ']","['9,822', '  ']","['5,767', '  ']"
12327,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['149,851', '  ']","['65,482', '  ']","['67,478', '  ']","['16,891', '  ']","['157,654', '  ']","['114,641', '  ']","['43,013', '  ']","['2,871', 'i ']","['1,060', 'i ']","['1,567', 'i ']","['244', 'i ']","['6,058', '  ']","['566', '  ']","['3,291', '  ']","['2,202', '  ']"
12327,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['155,103', '  ']","['46,325', '  ']","['72,756', '  ']","['36,022', '  ']","['69,934', '  ']","['50,269', '  ']","['19,664', '  ']","['5,039', '  ']","['1,888', '  ']","['527', '  ']","['2,624', '  ']","['6,253', '  ']","['489', '  ']","['2,974', '  ']","['2,789', '  ']"
12327,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['823,233', '  ']","['406,378', '  ']","['253,025', '  ']","['163,829', '  ']","['440,617', '  ']","['359,218', '  ']","['81,399', '  ']","['21,515', '  ']","['18,111', '  ']","['2,815', '  ']","['589', '  ']","['10,770', '  ']","['2,421', '  ']","['4,248', '  ']","['4,101', '  ']"
