table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_designed_goods_that_were_contracted_out_number_yes,field_designed_goods_that_were_contracted_out_number_no,field_designed_goods_that_were_contracted_out_percent_yes,field_designed_goods_that_were_contracted_out_percent_no
11272,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['6,623', '&nbsp;']","['3,353', '&nbsp;']","['3,270', '&nbsp;']","['50.6', '&nbsp;']","['49.4', '&nbsp;']"
11272,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['3,707', '&nbsp;']","['2,530', '&nbsp;']","['1,177', '&nbsp;']","['68.2', '&nbsp;']","['31.8', '&nbsp;']"
11272,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,370', '&nbsp;']","['1,523', '&nbsp;']","['847', '&nbsp;']","['64.2', '&nbsp;']","['35.8', '&nbsp;']"
11272,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['280', '&nbsp;']","['251', '&nbsp;']","['29', '&nbsp;']","['89.6', '&nbsp;']","['10.4', '&nbsp;']"
11272,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['672', '&nbsp;']","['363', '&nbsp;']","['309', '&nbsp;']","['54.0', '&nbsp;']","['46.0', '&nbsp;']"
11272,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['1,058', '&nbsp;']","['668', '&nbsp;']","['390', '&nbsp;']","['63.1', '&nbsp;']","['36.9', '&nbsp;']"
11272,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['356', '&nbsp;']","['238', '&nbsp;']","['118', '&nbsp;']","['66.9', '&nbsp;']","['33.1', '&nbsp;']"
11272,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,036', '&nbsp;']","['743', '&nbsp;']","['293', '&nbsp;']","['71.7', '&nbsp;']","['28.3', '&nbsp;']"
11272,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['1,365', '&nbsp;']","['813', '&nbsp;']","['552', '&nbsp;']","['59.6', '&nbsp;']","['40.4', '&nbsp;']"
11272,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['865', '&nbsp;']","['515', '&nbsp;']","['350', '&nbsp;']","['59.5', '&nbsp;']","['40.5', '&nbsp;']"
11272,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['259', '&nbsp;']","['132', '&nbsp;']","['127', '&nbsp;']","['51.0', '&nbsp;']","['49.0', '&nbsp;']"
11272,r029,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['241', '&nbsp;']","['166', '&nbsp;']","['75', '&nbsp;']","['68.9', '&nbsp;']","['31.1', '&nbsp;']"
11272,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['1,430', '&nbsp;']","['1,050', '&nbsp;']","['380', '&nbsp;']","['73.4', '&nbsp;']","['26.6', '&nbsp;']"
11272,r031,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['3,483', '&nbsp;']","['2,360', '&nbsp;']","['1,123', '&nbsp;']","['67.8', '&nbsp;']","['32.2', '&nbsp;']"
11272,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['1,021', '&nbsp;']","['687', '&nbsp;']","['334', '&nbsp;']","['67.3', '&nbsp;']","['32.7', '&nbsp;']"
11272,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['2,461', '&nbsp;']","['1,671', '&nbsp;']","['790', '&nbsp;']","['67.9', '&nbsp;']","['32.1', '&nbsp;']"
11272,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['137,273', '&nbsp;']","['80,363', '&nbsp;']","['56,910', '&nbsp;']","['58.6', '&nbsp;']","['41.4', '&nbsp;']"
11272,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['166', 'r']","['103', 'r']","['63', 'r']","['62.0', 'r']","['38.0', 'r']"
11272,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['334', '&nbsp;']","['205', '&nbsp;']","['129', '&nbsp;']","['61.4', '&nbsp;']","['38.6', '&nbsp;']"
11272,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['57', '&nbsp;']","['21', '&nbsp;']","['36', 'r']","['36.8', 'r']","['63.2', 'r']"
11272,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['17,626', '&nbsp;']","['9,422', '&nbsp;']","['8,204', '&nbsp;']","['53.5', '&nbsp;']","['46.5', '&nbsp;']"
11272,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['38,960', '&nbsp;']","['22,143', '&nbsp;']","['16,817', '&nbsp;']","['56.8', '&nbsp;']","['43.2', '&nbsp;']"
11272,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['28,791', '&nbsp;']","['17,687', '&nbsp;']","['11,104', '&nbsp;']","['61.4', '&nbsp;']","['38.6', '&nbsp;']"
11272,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['1,492', '&nbsp;']","['582', '&nbsp;']","['910', '&nbsp;']","['39.0', '&nbsp;']","['61.0', '&nbsp;']"
11272,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['3,315', '&nbsp;']","['2,068', '&nbsp;']","['1,247', '&nbsp;']","['62.4', '&nbsp;']","['37.6', '&nbsp;']"
11272,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,917', '&nbsp;']","['1,111', '&nbsp;']","['806', '&nbsp;']","['58.0', '&nbsp;']","['42.0', '&nbsp;']"
11272,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['1,704', '&nbsp;']","['963', '&nbsp;']","['741', '&nbsp;']","['56.5', '&nbsp;']","['43.5', '&nbsp;']"
11272,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['212', '&nbsp;']","['149', '&nbsp;']","['63', '&nbsp;']","['70.3', '&nbsp;']","['29.7', '&nbsp;']"
11272,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['190', '&nbsp;']","['98', '&nbsp;']","['92', '&nbsp;']","['51.6', '&nbsp;']","['48.4', '&nbsp;']"
11272,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['214', '&nbsp;']","['154', '&nbsp;']","['60', '&nbsp;']","['72.0', '&nbsp;']","['28.0', 'r']"
11272,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['993', '&nbsp;']","['706', '&nbsp;']","['287', '&nbsp;']","['71.1', '&nbsp;']","['28.9', '&nbsp;']"
11272,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['760', '&nbsp;']","['419', '&nbsp;']","['341', '&nbsp;']","['55.1', '&nbsp;']","['44.9', '&nbsp;']"
11272,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['1,578', '&nbsp;']","['675', '&nbsp;']","['903', '&nbsp;']","['42.8', '&nbsp;']","['57.2', '&nbsp;']"
11272,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['52', 'r']","['0', '&nbsp;']","['52', 'r']","['0.0', '&nbsp;']","['100.0', 'r']"
11272,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['1,526', '&nbsp;']","['675', '&nbsp;']","['851', '&nbsp;']","['44.2', '&nbsp;']","['55.8', '&nbsp;']"
11272,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['16,240', '&nbsp;']","['11,354', '&nbsp;']","['4,886', '&nbsp;']","['69.9', '&nbsp;']","['30.1', '&nbsp;']"
11272,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['187', '&nbsp;']","['67', 'r']","['120', '&nbsp;']","['35.8', 'r']","['64.2', 'r']"
11272,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['154', '&nbsp;']","['86', 'r']","['68', 'r']","['55.8', 'r']","['44.2', 'r']"
11272,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['2,914', '&nbsp;']","['2,224', '&nbsp;']","['690', '&nbsp;']","['76.3', '&nbsp;']","['23.7', '&nbsp;']"
11272,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['2,861', '&nbsp;']","['2,348', '&nbsp;']","['513', '&nbsp;']","['82.1', '&nbsp;']","['17.9', '&nbsp;']"
11272,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['1,888', '&nbsp;']","['1,276', '&nbsp;']","['612', '&nbsp;']","['67.6', '&nbsp;']","['32.4', '&nbsp;']"
11272,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['2,835', '&nbsp;']","['1,917', '&nbsp;']","['918', '&nbsp;']","['67.6', '&nbsp;']","['32.4', '&nbsp;']"
11272,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,567', '&nbsp;']","['1,181', '&nbsp;']","['386', '&nbsp;']","['75.4', '&nbsp;']","['24.6', '&nbsp;']"
11272,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['2,396', '&nbsp;']","['1,554', '&nbsp;']","['842', '&nbsp;']","['64.8', '&nbsp;']","['35.2', '&nbsp;']"
11272,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['1,439', '&nbsp;']","['702', '&nbsp;']","['737', '&nbsp;']","['48.8', '&nbsp;']","['51.2', '&nbsp;']"
11272,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['120', 'r']","['69', 'r']","['51', 'r']","['57.5', 'r']","['42.5', 'r']"
11272,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['3,768', '&nbsp;']","['2,171', '&nbsp;']","['1,597', '&nbsp;']","['57.6', '&nbsp;']","['42.4', '&nbsp;']"
11272,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['1,052', '&nbsp;']","['719', '&nbsp;']","['333', '&nbsp;']","['68.3', '&nbsp;']","['31.7', '&nbsp;']"
11272,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['8,466', '&nbsp;']","['5,084', '&nbsp;']","['3,382', '&nbsp;']","['60.1', '&nbsp;']","['39.9', '&nbsp;']"
11272,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['8,157', '&nbsp;']","['4,858', '&nbsp;']","['3,299', '&nbsp;']","['59.6', '&nbsp;']","['40.4', '&nbsp;']"
11272,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['309', '&nbsp;']","['226', '&nbsp;']","['83', 'r']","['73.1', '&nbsp;']","['26.9', 'r']"
11272,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['2,470', '&nbsp;']","['1,386', '&nbsp;']","['1,084', '&nbsp;']","['56.1', '&nbsp;']","['43.9', '&nbsp;']"
11272,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['6,205', '&nbsp;']","['3,261', '&nbsp;']","['2,944', '&nbsp;']","['52.6', '&nbsp;']","['47.4', '&nbsp;']"
11272,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['5,876', '&nbsp;']","['2,992', '&nbsp;']","['2,884', '&nbsp;']","['50.9', '&nbsp;']","['49.1', '&nbsp;']"
